Time,Scenario,price_model
1,11,130.01376144058358
1,12,-3.480527863074778e-10
1,13,130.01091790856665
1,19,130.0134383483313
1,1,130.01616745204038
1,22,130.01410152265686
1,23,-8.416979579892593e-11
1,24,-1.2549315214362663e-7
1,26,-9.753928570712773e-9
1,27,130.01717494253012
1,29,-3.967962585636509e-10
1,30,130.02464753001155
1,4,130.0135918601133
1,7,130.016901214113
1,8,-7.227955107568505e-10
2,11,130.0252611622076
2,12,130.03126580953128
2,13,130.0160285289703
2,19,-6.310082605793114e-10
2,1,130.02074856242612
2,22,130.00713682970246
2,23,9.507008681554774e-12
2,24,130.0209021036262
2,26,-4.06026791679283e-10
2,27,130.03138181936183
2,29,130.02051392253867
2,30,130.01556139951876
2,4,130.02001461630306
2,7,130.009044820735
2,8,130.01860523805735
3,11,312.06988723355056
3,12,5.71546995309261e-10
3,13,130.03502477735455
3,19,130.0309096525177
3,1,130.01185969027276
3,22,208.02550735091754
3,23,-5.391657829659004e-10
3,24,130.03283856701077
3,26,4.605057049903107e-10
3,27,1.540040730494669e-10
3,29,130.0321607284788
3,30,130.00510551232892
3,4,130.01395013342727
3,7,130.01566028413347
3,8,130.00803464774083
4,11,-0.008406404823972157
4,12,130.03233826239827
4,13,130.0289396888515
4,19,130.01984142625653
4,1,130.01569293879515
4,22,-0.007120507233352701
4,23,-7.905394972939951e-11
4,24,130.0219260955153
4,26,130.01253947725334
4,27,130.0307585476868
4,29,-7.343218058307915e-10
4,30,130.0105502302866
4,4,130.02450021754515
4,7,130.02607054626338
4,8,130.02019588350123
5,11,130.03073687574877
5,12,130.02673730044322
5,13,130.01865369958657
5,19,130.0403931122904
5,1,130.01995161203232
5,22,130.02986148330518
5,23,3.375713358418284e-9
5,24,130.01412008260635
5,26,130.0108902062454
5,27,130.02712313592386
5,29,1.0762489796154121e-8
5,30,130.0211211944379
5,4,7.340944747738208e-10
5,7,130.0358435632536
5,8,130.02966453410764
6,11,130.01804458743547
6,12,130.02031818718518
6,13,130.00771228416832
6,19,1.0374868414713255e-9
6,1,212.15228755713642
6,22,130.0286270212518
6,23,130.0160790731931
6,24,130.0187926478927
6,26,130.01781063081611
6,27,130.03735829076382
6,29,130.0154800801814
6,30,130.0420603744856
6,4,130.028710493587
6,7,130.0265853008556
6,8,130.01550434435816
7,11,130.0362205882306
7,12,130.01102494053936
7,13,130.00592643004128
7,19,130.0363599407099
7,1,15.018163428713063
7,22,130.01076888419868
7,23,130.03456699744345
7,24,130.01086428061242
7,26,130.0201120041734
7,27,130.01894756982725
7,29,130.03293691554998
7,30,6.5427152992197e-11
7,4,130.01692795037857
7,7,-4.612170840331143e-10
7,8,130.0084524784779
8,11,-4.324035451344961e-9
8,12,130.01981699244078
8,13,130.00746556057004
8,19,15.029462451818217
8,1,130.01996570419556
8,22,130.0213489906255
8,23,3.2712239073921543e-10
8,24,130.01208062055045
8,26,130.02599697841532
8,27,130.02444759116827
8,29,130.0124065772576
8,30,130.02983806831458
8,4,7.87028980703357e-10
8,7,130.03409827687423
8,8,130.00539393109057
9,11,-5.777892921233617e-10
9,12,130.02500150535232
9,13,130.00722890264666
9,19,270.5568791971659
9,1,130.01683949306073
9,22,130.02727411254423
9,23,130.0403026815108
9,24,130.01441928952855
9,26,130.02612418913654
9,27,130.02721078861336
9,29,130.01301299105884
9,30,130.02461448620681
9,4,130.03794041719937
9,7,130.02900980380528
9,8,130.0102540387921
10,11,1.6112974494886767e-10
10,12,130.01802763439687
10,13,130.0078092282856
10,19,130.02879329309602
10,1,130.0227349722627
10,22,130.02896248444927
10,23,130.0298188680802
10,24,130.01744279605555
10,26,130.02599686045667
10,27,130.01773897811694
10,29,130.01656898779268
10,30,130.01495957442057
10,4,130.02042673378645
10,7,-5.770632999148317e-10
10,8,130.006817757223
11,11,130.01963187141817
11,12,130.0078319844008
11,13,130.00669293907316
11,19,-9.278171406274497e-10
11,1,130.0173217210632
11,22,6.319536616638569e-9
11,23,130.02138264167863
11,24,130.0193469892801
11,26,2.1117786652429327e-10
11,27,130.0124227585882
11,29,130.02484589778305
11,30,130.01287480687026
11,4,130.016828209209
11,7,4.867824936024683e-10
11,8,130.0093534511703
12,11,6.603202297939494e-10
12,12,412.4922933476263
12,13,130.01285470951441
12,19,130.02846001970454
12,1,130.0069157991326
12,22,130.02356615873373
12,23,130.02948698782913
12,24,130.0195958056382
12,26,5.423448638312673e-10
12,27,130.01817844648414
12,29,130.02451625022067
12,30,9.128998551843625e-6
12,4,130.02243506474366
12,7,130.03195938456827
12,8,130.01440541090005
13,11,7.553047860785225e-11
13,12,130.0156290898697
13,13,130.0208971184275
13,19,-8.142106020221187e-10
13,1,389.9990098280761
13,22,130.01951076842118
13,23,130.01817532173663
13,24,130.0127624597128
13,26,130.0309198837285
13,27,4.657036877923505e-10
13,29,130.02127521615853
13,30,130.04032578359292
13,4,130.04111817012227
13,7,-0.0013514807186389335
13,8,130.0188624009132
14,11,-1.4795944516365322e-10
14,12,130.0310641602512
14,13,12.437820289333239
14,19,130.03512369313282
14,1,0.0011499240489499891
14,22,130.03212269456665
14,23,130.01780808588555
14,24,130.0053478065605
14,26,-1.0221674879334677e-9
14,27,130.04060397352598
14,29,130.03131470370408
14,30,-8.552655002778308e-11
14,4,3.236774891230246e-10
14,7,216.674028189428
14,8,130.01255203913362
15,11,130.03281503810265
15,12,1.0875071256079922e-9
15,13,255.45887152513248
15,19,-4.5559580763191354e-10
15,1,130.01637512457953
15,22,130.03236139363597
15,23,130.0266597187749
15,24,130.00369171161788
15,26,3.0155640722689424e-10
15,27,130.02610006328027
15,29,130.02314952057012
15,30,1.070442438431987e-9
15,4,130.02796558727323
15,7,130.017033151895
15,8,130.0127803052347
16,11,-0.006323734281777957
16,12,130.03344871293535
16,13,130.0199799335689
16,19,130.0311723665767
16,1,-5.32871558915124e-10
16,22,130.02095281000314
16,23,130.01832588960372
16,24,130.01653788827875
16,26,-5.507137387368579e-10
16,27,130.01809483514506
16,29,130.01786351784315
16,30,-0.014417233306583989
16,4,-7.661928192883221e-10
16,7,130.03985535283186
16,8,130.02468514944988
17,11,211.2736310010677
17,12,130.02569730906782
17,13,130.03082281344723
17,19,130.01358444121698
17,1,1.9790897684874792e-10
17,22,130.01243512624518
17,23,130.0365016177519
17,24,130.02192446382853
17,26,7.721716088416876e-10
17,27,130.01646217594438
17,29,130.0044402858737
17,30,287.05079364495765
17,4,130.0348481593568
17,7,-4.614684860325537e-8
17,8,9.942837791991334
18,11,130.01982867868094
18,12,130.00669106260185
18,13,130.02143292851585
18,19,130.0175259908604
18,1,130.04006146930428
18,22,130.02675254236053
18,23,-5.895694794498498e-11
18,24,130.0145547907033
18,26,-1.047451154586791e-9
18,27,130.02894602377145
18,29,130.01529728840404
18,30,14.224911934628068
18,4,130.02711826358978
18,7,130.02971001423313
18,8,130.03297871855756
19,11,130.03146869462088
19,12,130.01861566655703
19,13,130.0196569906155
19,19,2.707790993087056e-10
19,1,1.344357316902586e-10
19,22,130.0364285904879
19,23,130.02599608865418
19,24,130.0078309587588
19,26,130.03450421030476
19,27,8.993574695998181e-10
19,29,130.02487943830414
19,30,130.03033760925044
19,4,-1.157734168215533e-10
19,7,130.01565374958764
19,8,9.956261598181626e-10
20,11,130.0265908277772
20,12,130.0062990842034
20,13,130.0182276156313
20,19,1.91608540562676e-10
20,1,130.02858386020884
20,22,1.6405796229714558e-9
20,23,130.0165298654115
20,24,130.020377609593
20,26,7.20275226214412e-10
20,27,130.03252908266455
20,29,130.026098180118
20,30,1.4429529138332648e-9
20,4,2.402351928625469e-10
20,7,130.00796503827667
20,8,130.02715538596814
21,11,130.03268340649117
21,12,130.0220100064507
21,13,130.02304694518642
21,19,130.03542296156846
21,1,130.01550280870384
21,22,-6.599113816189835e-10
21,23,130.00409057518274
21,24,130.01962559568364
21,26,130.03294373830283
21,27,130.02017434917977
21,29,130.01909392023393
21,30,130.02936549700692
21,4,130.03458517399787
21,7,130.00478292353804
21,8,130.0197346968584
22,11,4.6047999103896015e-9
22,12,130.01422481845972
22,13,130.02693248560874
22,19,130.02872591287712
22,1,130.01320919355436
22,22,130.0353034741518
22,23,130.00555225926072
22,24,165.86475656475878
22,26,3.2041479349953822e-9
22,27,464.7431906772228
22,29,130.02424829725499
22,30,130.03226207278556
22,4,-7.251700104756873e-10
