Time,Scenario,Residual
1,11,2.2035867503156226e-5
1,12,1.3178938829128128e-8
1,13,2.0358713149093433e-5
1,19,1.837075933730503e-5
1,1,2.255427095354534e-5
1,22,2.0653522260882795e-5
1,23,1.105583358196327e-8
1,24,-4.7228919264341584e-7
1,26,8.663951422960281e-8
1,27,2.3414969740009894e-5
1,29,3.821165606154864e-11
1,30,3.4815948605881886e-5
1,4,1.8528145136809115e-5
1,7,2.2889625349797882e-5
1,8,9.118555244214122e-9
2,11,3.3646913622842334e-5
2,12,4.2971986614404045e-5
2,13,5.315670106087467e-5
2,19,4.80826489734909e-10
2,1,2.841700448241724e-5
2,22,1.4374010624429445e-5
2,23,2.8773874394261156e-8
2,24,2.8665967962915317e-5
2,26,-3.10844194828519e-9
2,27,4.524044871079269e-5
2,29,2.7329644392004582e-5
2,30,2.4756773222112116e-5
2,4,2.980169948862965e-5
2,7,1.3507820780134239e-5
2,8,3.209802681558571e-5
3,11,0.0019969202423908428
3,12,7.648265132331744e-9
3,13,4.966340005863046e-5
3,19,4.461933313582023e-5
3,1,1.567054862139372e-5
3,22,5.934698361542701e-5
3,23,3.2025253560163947e-9
3,24,4.365382137194729e-5
3,26,9.743088691394064e-7
3,27,2.386530528752928e-9
3,29,4.3885120025954905e-5
3,30,1.186212285286814e-5
3,4,2.4851183931140497e-5
3,7,2.074143014985097e-5
3,8,1.4211173908318386e-5
4,11,-0.0002508658626485527
4,12,4.669959065450868e-5
4,13,3.8391222435318895e-5
4,19,2.7325967361768733e-5
4,1,2.2611792735105496e-5
4,22,-1.9363063048949414e-5
4,23,6.512062000751939e-9
4,24,3.001055084306259e-5
4,26,1.851723536550054e-5
4,27,4.22898128187299e-5
4,29,-3.5378251439510677e-9
4,30,1.7074332370192735e-5
4,4,3.35230574983747e-5
4,7,3.6134189561387586e-5
4,8,3.3114288274127546e-5
5,11,4.4677818540783676e-5
5,12,3.541897979308928e-5
5,13,2.8903192868412475e-5
5,19,5.3950677934899716e-5
5,1,2.6482020980544974e-5
5,22,4.176245200770978e-5
5,23,3.4447980468144124e-8
5,24,2.0362054606426483e-5
5,26,2.140292915076003e-5
5,27,3.596440214970187e-5
5,29,2.4519259067545818e-8
5,30,2.7999684241386547e-5
5,4,3.149217775444413e-8
5,7,4.811003863469665e-5
5,8,4.0920869379235114e-5
6,11,2.391958828740215e-5
6,12,2.9174100522499913e-5
6,13,1.1112722289041699e-5
6,19,5.653123302806762e-9
6,1,-7.266221397372874e-5
6,22,3.9643152951018834e-5
6,23,3.5405371548336007e-5
6,24,2.7307897011219495e-5
6,26,2.361977112919078e-5
6,27,5.0977947732455675e-5
6,29,2.0831581202696015e-5
6,30,5.861525265249412e-5
6,4,3.8049810373141923e-5
6,7,3.57189903166244e-5
6,8,2.9078258266146406e-5
7,11,4.990251872749596e-5
7,12,1.5609050912690492e-5
7,13,-0.21672109770685166
7,19,5.1120958155514984e-5
7,1,2.3012760300478163e-5
7,22,1.610015938746656e-5
7,23,4.695338521898407e-5
7,24,1.432252466848638e-5
7,26,2.784183858306477e-5
7,27,2.510502063790554e-5
7,29,4.507629799466173e-5
7,30,6.1008935681172716e-9
7,4,2.543196680626636e-5
7,7,-1.5730545754877312e-9
7,8,1.1090491192522478e-5
8,11,-1.8222441777737686e-8
8,12,2.633767450488378e-5
8,13,9.779199370729685e-6
8,19,7.236622238560031e-5
8,1,2.8003712997382024e-5
8,22,3.0859925815640565e-5
8,23,2.9214239916086626e-9
8,24,1.7333509518380197e-5
8,26,3.445889455555573e-5
8,27,3.39275244902737e-5
8,29,1.6400396723348365e-5
8,30,4.913461588174073e-5
8,4,-1.5084903695061769e-6
8,7,4.864797601289439e-5
8,8,0.0470588764406088
9,11,8.003238516351985e-9
9,12,3.588103791019037e-5
9,13,1.4349149457970611e-5
9,19,-0.0006447257816759588
9,1,2.2322660302442898e-5
9,22,3.614469422741351e-5
9,23,6.087765085283081e-5
9,24,1.9074193625012725e-5
9,26,4.0047240891460945e-5
9,27,3.6072621464544596e-5
9,29,1.9537417168535853e-5
9,30,3.264771649469367e-5
9,4,5.3037423361157465e-5
9,7,3.851180334280002e-5
9,8,1.3503403720083185e-5
10,11,-3.1330025240805526e-8
10,12,2.803149453445286e-5
10,13,1.0233868406039903e-5
10,19,3.820180160163389e-5
10,1,3.3422572701446995e-5
10,22,4.5292986323275386e-5
10,23,3.949421522086993e-5
10,24,2.4687981530213676e-5
10,26,3.4462446619976106e-5
10,27,2.597370592782866e-5
10,29,2.1958149654999204e-5
10,30,2.8635281478450736e-5
10,4,2.7118098502310062e-5
10,7,3.2383731252139114e-9
10,8,1.5600053942854686e-5
11,11,3.406286696350236e-5
11,12,1.0273222703638396e-5
11,13,1.208824482912263e-5
11,19,-3.4936231685378516e-10
11,1,2.293320195700943e-5
11,22,1.9914212501248585e-8
11,23,3.085198574659387e-5
11,24,2.566180422602926e-5
11,26,-2.4069783943758694e-7
11,27,1.6431704434882732e-5
11,29,3.9181774034169337e-5
11,30,1.9410866547442396e-5
11,4,2.4081089961214275e-5
11,7,1.909696845103781e-9
11,8,1.2301848007822969e-5
12,11,1.944998828662392e-9
12,12,-0.32375367985856807
12,13,1.936271573832471e-5
12,19,3.97171648440775e-5
12,1,1.6879008504666615e-5
12,22,4.896073816684776e-5
12,23,3.9514603466184184e-5
12,24,2.7800718013892833e-5
12,26,4.008605003491539e-9
12,27,2.714138150494705e-5
12,29,3.38988441792587e-5
12,30,1.0373036757549414e-5
12,4,3.0345104048201677e-5
12,7,4.5356943611629674e-5
12,8,2.5740504671745157e-5
13,11,-5.770521838144305e-10
13,12,2.0656049694700584e-5
13,13,3.0755437723239964e-5
13,19,-6.34696739609808e-11
13,1,-0.003006381790640944
13,22,2.605776683806127e-5
13,23,3.1781868554681125e-5
13,24,1.6858665479180246e-5
13,26,4.509541163155717e-5
13,27,3.4977398755131617e-9
13,29,4.234356495569358e-5
13,30,5.498553406813045e-5
13,4,5.6533769718924987e-5
13,7,3.527376578915664e-5
13,8,2.501765834361791e-5
14,11,1.0163208052915707e-9
14,12,4.618868185879421e-5
14,13,0.00023327369246084473
14,19,4.656545186065841e-5
14,1,0.00041454118958395014
14,22,4.429340046741004e-5
14,23,2.363347487088774e-5
14,24,1.3692165302892079e-5
14,26,-2.4170594414840707e-9
14,27,5.747673561096178e-5
14,29,4.143036815262846e-5
14,30,4.138792419894344e-9
14,4,3.121521263693694e-9
14,7,-0.0001135292416822864
14,8,2.2572830713052383e-5
15,11,5.0150325160203124e-5
15,12,1.4011213522735488e-8
15,13,-0.0002457811482576844
15,19,2.8459243850420535e-9
15,1,2.632823703319076e-5
15,22,4.291669994271885e-5
15,23,3.7541562639020754e-5
15,24,7.196555166899543e-6
15,26,9.410738410764452e-9
15,27,3.459272803585378e-5
15,29,3.9027296465654615e-5
15,30,3.418456095971578e-8
15,4,4.3150444620998485e-5
15,7,2.254181744820727e-5
15,8,1.822438300935758e-5
16,11,9.998521793352921e-5
16,12,5.5543607061281364e-5
16,13,2.6507812782128326e-5
16,19,4.133516851467789e-5
16,1,3.4667513304498243e-10
16,22,3.664715723328271e-5
16,23,2.824659213906955e-5
16,24,2.1875247425029443e-5
16,26,2.1779213987827006e-9
16,27,2.8482094018400517e-5
16,29,2.445514936244564e-5
16,30,-0.00023949103703246877
16,4,1.3011676180951781e-9
16,7,5.4113189167814824e-5
16,8,3.426360009095575e-5
17,11,-0.00020430957796957472
17,12,3.7947299106555477e-5
17,13,4.332365502168756e-5
17,19,1.796989624969214e-5
17,1,2.795737419347688e-9
17,22,1.6398822900498544e-5
17,23,4.8336222329581346e-5
17,24,3.354179458359141e-5
17,26,-2.4996836245350096e-7
17,27,2.1802365607559437e-5
17,29,8.46547897292993e-6
17,30,0.0012268925298162259
17,4,4.620689071010986e-5
17,7,-4.844784751156794e-8
17,8,4.254522399582683e-5
18,11,2.6319474833780276e-5
18,12,4.669619014396886e-5
18,13,2.8442159180297466e-5
18,19,2.6731428340198704e-5
18,1,5.858270425207479e-5
18,22,3.6791349060649736e-5
18,23,5.8583831119563e-9
18,24,1.9255575124610402e-5
18,26,5.770993460885165e-9
18,27,4.049441262488074e-5
18,29,2.3549670649991583e-5
18,30,-0.00023804944161653907
18,4,3.593060732987041e-5
18,7,4.2443042810091924e-5
18,8,4.686139131226952e-5
19,11,4.468337039931214e-5
19,12,2.717755483994111e-5
19,13,3.196428389973249e-5
19,19,6.223941806382527e-9
19,1,3.0335884915189126e-9
19,22,5.247170789512978e-5
19,23,4.2592361300108905e-5
19,24,1.3115977715472127e-5
19,26,4.5862133084106915e-5
19,27,1.2218690059739856e-8
19,29,3.2996030391085895e-5
19,30,4.372765634030884e-5
19,4,-1.3635568230085937e-9
19,7,2.0683616383188053e-5
19,8,4.766695038682656e-9
20,11,3.525445280772033e-5
20,12,4.7740483400282585e-5
20,13,2.4164786702751684e-5
20,19,1.2126058379635651e-8
20,1,4.172021893555922e-5
20,22,6.429255350326457e-9
20,23,2.1826546922731893e-5
20,24,3.0426324682863992e-5
20,26,1.2101734281344534e-8
20,27,4.590332886689197e-5
20,29,3.681319887416379e-5
20,30,1.9726453803770028e-8
20,4,4.292495248137129e-9
20,7,0.48166095736675363
20,8,4.239707011777227e-5
21,11,4.5074559037239226e-5
21,12,2.970345069375213e-5
21,13,3.299642666387825e-5
21,19,4.851165146169123e-5
21,1,2.052574889921388e-5
21,22,8.080203173221889e-10
21,23,1.5661937482036592e-5
21,24,2.602282810038048e-5
21,26,4.823623103167307e-5
21,27,2.6748170328882992e-5
21,29,2.5323738963134446e-5
21,30,4.224344754799603e-5
21,4,4.672282513240589e-5
21,7,6.173249219809662e-6
21,8,2.6177126119630856e-5
22,11,1.0236392684603857e-6
22,12,3.0418800381681876e-5
22,13,3.715608295351558e-5
22,19,3.8070319499983185e-5
22,1,2.5842057893576964e-5
22,22,4.7893770069862285e-5
22,23,7.202978149045691e-6
22,24,7.529769212588633e-7
22,26,3.6320619845042756e-8
22,27,-0.00029375535957942844
22,29,3.678189326894454e-5
22,30,4.293073285399629e-5
22,4,4.0001291168323405e-9
22,7,-8.232646067492721e-5
22,8,3.205631603098169e-5
23,11,3.4840379809608635e-5
23,12,1.1661548096064678e-5
23,13,2.329742715190264e-5
23,19,-7.898950770801605e-6
23,1,3.369649518614182e-5
23,22,-1.131546774679748e-5
23,23,-0.2533439141525724
23,24,1.7493031264415038e-5
23,26,5.868520660179399e-5
23,27,2.090660798526045e-5
23,29,3.954464755651088e-9
23,30,5.8609225383587926e-5
23,4,4.320221437392746e-5
23,7,1.4705654532320978e-5
23,8,1.343015060761843e-5
24,11,2.4360850171767368e-5
24,12,0.4178363803540801
24,13,7.943472546401154e-10
24,19,-0.28288984511369497
24,1,4.0309828886364585e-5
24,22,0.4646945653047947
24,23,1.2621635776532969e-5
24,24,5.716976686720443e-5
24,26,-6.967361354526247e-9
24,27,2.548801538138079e-5
24,29,5.358713687630967e-5
24,30,2.4582530357086796e-5
24,4,4.748958115641244e-9
24,7,2.1432361998918736e-5
24,8,-0.297631323463587
25,11,2.2488701633793795e-5
25,12,5.690816339942728e-6
25,13,1.1236394925617788e-8
25,19,1.6217184924283146e-5
25,1,1.894700840665564e-9
25,22,1.3874928732171554e-5
25,23,2.1718204045395595e-5
25,24,1.3660671704940341e-8
25,26,-5.196130570261914e-7
25,27,3.237421211865765e-5
25,29,1.2734977516970503e-9
25,30,1.7098433425566384e-5
25,4,1.1365221208592402e-8
25,7,2.278160630009296e-5
25,8,1.3394713076486653e-5
26,11,3.0011961984044433e-5
26,12,-7.99943114217672e-5
26,13,6.570674910388874e-6
26,19,4.924484467760948e-5
26,1,4.185359731057048e-5
26,22,2.465470298051997e-5
26,23,2.8911879674353713e-5
26,24,3.859213972745579e-5
26,26,3.9351397433051716e-5
26,27,5.567227539682307e-5
26,29,4.372682851760956e-5
26,30,3.33061922419553e-5
26,4,6.790748408036507e-9
26,7,2.1691530855072472e-5
26,8,2.44755780069994e-5
27,11,3.9828940455066686e-5
27,12,5.008860509914115e-6
27,13,6.095223844582165e-5
27,19,4.257176115851635e-5
