Time,Scenario,price_model
1,11,129.99979024438565
1,12,2.1199321759692758e-9
1,13,129.99986346626397
1,19,129.9997635865312
1,1,129.99971963322278
1,22,129.9997657242931
1,23,3.1253319525184645e-9
1,24,6.602384723472397e-8
1,26,2.1801392727662083e-9
1,27,129.99969556336245
1,29,1.8544419572469795e-9
1,30,129.99957725774007
1,4,129.99976009660705
1,7,129.999700065224
1,8,-2.4659224585473512e-9
2,11,129.99954604394205
2,12,129.9994504305767
2,13,130.00003430874077
2,19,2.381778421048561e-10
2,1,129.99963371601797
2,22,129.99992439600243
2,23,7.0483162471319336e-9
2,24,129.9996311811453
2,26,-7.873981044022244e-10
2,27,129.99947083289194
2,29,129.99963058045992
2,30,129.9997608579984
2,4,129.99967073263795
2,7,129.9998545571549
2,8,129.99973877646073
3,11,311.99927001124695
3,12,2.9532982565330625e-9
3,13,129.99940109385668
3,19,129.9994782008413
3,1,129.99978650685193
3,22,207.9997532096703
3,23,-6.489038876857994e-10
3,24,129.99940731345302
3,26,-2.5492218278948832e-8
3,27,9.359428426832184e-10
3,29,129.99943268774004
3,30,129.99996269205673
3,4,129.9998143626409
3,7,129.99971740988923
3,8,129.99989304573532
4,11,9.742644021513931e-5
4,12,129.99945485960686
4,13,129.99947932926884
4,19,129.99965204007776
4,1,129.99973695924973
4,22,6.151073140679228e-5
4,23,1.2202429910610643e-9
4,24,129.9996128559149
4,26,129.99979403689935
4,27,129.9994591905129
4,29,-6.897003336125458e-10
4,30,129.9998435172155
4,4,129.99956763796098
4,7,129.99954520523784
4,8,129.99969895195298
5,11,129.99948426556566
5,12,129.9995174344031
5,13,129.9997061080716
5,19,129.99927581303217
5,1,129.99963921245853
5,22,129.99948147655942
5,23,1.0063940150830587e-8
5,24,129.9997631541594
5,26,129.99987654508843
5,27,129.99950998183087
5,29,2.4038575048960398e-8
5,30,129.9996185124572
5,4,6.46673637153537e-9
5,7,129.99935945900125
5,8,129.9994811104051
6,11,129.99967410724264
6,12,129.99965662596276
6,13,129.99987313595994
6,19,2.736919845011872e-9
6,1,222.85657480609746
6,22,129.99949976914777
6,23,129.99985468285436
6,24,129.99968643197033
6,26,129.9996782035977
6,27,129.99933990314912
6,29,129.99972452912561
6,30,129.99927077813132
6,4,129.99948197964116
6,7,129.999525322122
6,8,129.9998074051506
7,11,129.9993660787279
7,12,129.99981282013428
7,13,1485.9018900072317
7,19,129.99937390528692
7,1,0.0001468222729024585
7,22,129.99982614977966
7,23,129.99938666776217
7,24,129.99980486401074
7,26,129.99964987179357
7,27,129.9996579395111
7,29,129.99941907006345
7,30,1.780460089273236e-9
7,4,129.9997268361518
7,7,6.378696974830658e-10
7,8,129.9998489027078
8,11,-5.278798376486383e-9
8,12,129.99964244315535
8,13,129.99986677322093
8,19,0.0001611492871572758
8,1,129.99965658373625
8,22,129.99964137610937
8,23,1.8487049744296852e-9
8,24,129.99979870120117
8,26,129.9995305193726
8,27,129.99957421780664
