Time,Scenario,Residual
1,11,1.0275548465443762e-5
1,12,1.0275613544941109e-5
1,13,1.027561171218494e-5
1,19,1.027560681698958e-5
1,1,1.0275611147747554e-5
1,22,1.0275603493870022e-5
1,23,1.0275617335686604e-5
1,24,1.0275610037968619e-5
1,26,1.0275613826049579e-5
1,27,1.0275635718759446e-5
1,29,1.0275615138333194e-5
1,30,1.027564675526449e-5
1,4,1.0275606703302742e-5
1,7,1.0275630230260901e-5
1,8,1.027561615751793e-5
2,11,1.0275540826665264e-5
2,12,1.0275620598410029e-5
2,13,1.0275617067456722e-5
2,19,1.027561401123478e-5
2,1,1.0275604234610825e-5
2,22,1.0275627366329587e-5
2,23,1.0275613642640735e-5
2,24,1.0275661290304328e-5
2,26,1.0275613668841999e-5
2,27,1.0275616831645351e-5
2,29,1.027561688893286e-5
2,30,1.0275546996396656e-5
2,4,1.0275482981825235e-5
2,7,1.0275599777287425e-5
2,8,1.0275560673456141e-5
3,11,1.0275592113195842e-5
3,12,6.850410505965243e-6
3,13,1.0275617188248987e-5
3,19,1.0275635676570971e-5
3,1,6.8504094317134445e-6
3,22,1.0275628440581386e-5
3,23,1.0275621268984736e-5
3,24,1.0275623128830347e-5
3,26,1.0275615767163515e-5
3,27,6.8504098296173765e-6
3,29,1.0275616351584915e-5
3,30,1.0275680968341305e-5
3,4,1.027561190891646e-5
3,7,6.850404918878894e-6
3,8,1.0275629354961069e-5
4,11,1.0275615053956244e-5
4,12,1.0275620280886244e-5
4,13,1.027561821498324e-5
4,19,1.0275779356305748e-5
4,1,1.0275644817703267e-5
4,22,6.850381144563045e-6
4,23,1.027561136357491e-5
4,24,1.0275549688465446e-5
4,26,1.0275612309040838e-5
4,27,1.027563823985389e-5
4,29,1.027561431410362e-5
4,30,1.0275802643899823e-5
4,4,1.0275680681459676e-5
4,7,1.027559409250145e-5
4,8,1.0275684168004062e-5
5,11,1.027563512057128e-5
5,12,6.8504173929007095e-6
5,13,1.0275663309133876e-5
5,19,1.0275617160715456e-5
5,1,6.850359418386631e-6
5,22,1.0275542242865754e-5
5,23,6.850410683156838e-6
5,24,1.0275543753213157e-5
5,26,1.0275619746202835e-5
5,27,6.8504270429592395e-6
5,29,6.8504110464218115e-6
5,30,6.8502222858590756e-6
5,4,1.0275615918597936e-5
5,7,1.0275614135579758e-5
5,8,1.0275627597255976e-5
6,11,6.850566639737821e-6
6,12,1.0275612552845814e-5
6,13,1.0275584387819947e-5
6,19,6.850409863812246e-6
6,1,1.027563169753165e-5
6,22,1.0275431844064542e-5
6,23,1.0275629903411243e-5
6,24,1.027552079246874e-5
6,26,6.850395191992931e-6
6,27,1.0275632835288206e-5
6,29,1.0275606312504237e-5
6,30,1.0275615549559802e-5
6,4,1.0275617875699083e-5
6,7,1.0275618430810596e-5
6,8,1.0275623275823875e-5
7,11,1.0275617110533375e-5
7,12,1.0275626925349002e-5
7,13,1.0275618500976691e-5
7,19,1.0275621977307026e-5
7,1,6.850410193770529e-6
7,22,1.0275621102895371e-5
7,23,1.027562196931342e-5
7,24,6.8503837300504244e-6
7,26,1.027561515165587e-5
7,27,6.850405340763643e-6
7,29,1.027559989275062e-5
7,30,6.850409755010389e-6
7,4,1.0275595679232197e-5
7,7,1.027561604560745e-5
7,8,6.850411743197782e-6
8,11,1.0275614852339743e-5
