Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,11,-436.71067540384473,-0.0010005225091778856,-1.946745094711213e-5
H2,1,12,-0.001312206603561597,-0.0026865846412897935,-9.591915873048244e-5
H2,1,13,-0.0029064959930950123,-0.001000494804057846,-1.8521737138902067e-5
H2,1,19,-623.9393998978677,-0.0010004716875562094,-1.430010382337974e-5
H2,1,1,-0.001135715891221208,-0.00100046489933962,-4.724358568275468e-5
H2,1,22,-0.0012620704225731,-0.0010005042059576155,-4.39771440326444e-5
H2,1,23,-0.0017118294050027215,-0.002126552802678217,-4.1988704267439876e-5
H2,1,24,-0.0012617651752441549,-0.002833058194509601,-0.00011083575141237977
H2,1,26,-0.0015148552010348748,-0.0023174030434399808,-7.612446130681597e-5
H2,1,27,-0.0016238232437242796,-0.001569736601605324,-6.37746156965739e-5
H2,1,29,-0.0013465044439048886,-0.002567101474574947,-8.469194800133593e-5
H2,1,30,-0.0010005992750139194,-88.0857295209237,-0.00034852482108418807
H2,1,4,-0.0053534180489373,-0.00100075418536028,-3.868034205860531e-5
H2,1,7,-0.0017640601357141203,-0.0010005116535772355,-2.767424384779161e-5
H2,1,8,-0.0010006168709154931,-80.0782162432224,-0.0002798763435176277
H2,2,11,-228.80991205460316,-0.0010006666131945313,-1.2757774872057245e-5
H2,2,12,-0.0012652832083341794,-0.002647492286853626,-0.00010494403709798262
H2,2,13,-0.0010009452171422116,-32.032608041875996,-1.965538692685042e-5
H2,2,19,-0.0010204841535136498,-0.020318701464813363,-1.920681879160991e-5
H2,2,1,-0.0011750424096291718,-0.001000553090837849,-3.648257311511925e-5
H2,2,22,-0.0013995164530147199,-0.0010005362539554693,-2.7833233770945326e-5
H2,2,23,-0.0015307290741899922,-0.00227410146515005,-3.529693988236105e-5
H2,2,24,-0.001201802317924577,-0.0023136205926201168,-0.00013798543559152203
H2,2,26,-0.0011403078725844263,-0.004040756706721349,-0.0002230932283743768
H2,2,27,-0.0013854589688387586,-0.0023921624276810865,-6.140092873889779e-5
H2,2,29,-0.0016009626356189247,-0.0021165852342865405,-7.281806454445811e-5
H2,2,30,-0.0010812077789879371,-0.001000553135629624,-0.00016702315138227448
H2,2,4,-0.0028241174504108125,-0.0010005623031036435,-1.819182663328125e-5
H2,2,7,-53.45464327876327,-0.0010005835411698698,-1.5046748704810644e-5
H2,2,8,-0.0014815287943274517,-0.0010007098357899026,-8.88905495982481e-5
H2,3,11,-207.95832861228075,-0.0010006567780576378,-9.97870130622856e-6
H2,3,12,-0.0012503749403250386,-0.0029246247036421643,-0.00011577211774357635
H2,3,13,-0.0010004579064996544,-256.2560559876901,-3.7592446415068345e-5
H2,3,19,-0.0010390369808814424,-0.009917377833250494,-2.3047822523125376e-5
H2,3,1,-0.0013398567352653698,-0.0010007454471748084,-3.095502496507576e-5
H2,3,22,-56.657059497865795,-0.0010005528654534392,-1.509666756161563e-5
H2,3,23,-0.0011550139192933618,-0.003795399625702476,-7.381264811982404e-5
H2,3,24,-0.0010965994237598353,-0.004977637580805372,-11.508660581150966
H2,3,26,-0.001121271177873202,-0.004356003760568834,-11.43940978494373
H2,3,27,-0.0011382650736173959,-0.004054066111862747,-8.432811033563396e-5
H2,3,29,-0.0012634215400111842,-0.0027773895288631494,-7.723737007567894e-5
H2,3,30,-0.001064714278228369,-0.0010004620843145993,-8.855540765866523e-5
H2,3,4,-0.006134201326054217,-0.0010006908271321632,-1.3210030425829844e-5
H2,3,7,-12.78253727017768,-0.001000705150522401,-1.112578611619391e-5
H2,3,8,-0.0032084934895989653,-0.0010005367341775105,-2.3227973194898335e-5
H2,4,11,-0.0010177489087594025,-0.02327311176552089,-1.11917947828191e-5
H2,4,12,-0.0011217722145587322,-0.004125226837710847,-0.00025567251147533157
H2,4,13,-0.0010005898217331968,-88.08866151012485,-5.393797184026141e-5
H2,4,19,-0.004132304373513325,-0.0010448559802742538,-1.4848772002234372e-5
H2,4,1,-0.0022181302532309553,-0.0010006091823486476,-2.0139226449067737e-5
H2,4,22,-0.001000897138773886,-0.0010044085066068034,-1.5100653651350966e-5
H2,4,23,-0.0012812344558709935,-0.002797603302082867,-7.807238470453943e-5
H2,4,24,-0.0010029002499556687,-0.0010005546233580874,-0.06934595801591838
H2,4,26,-0.012607513369674975,-0.0010005188450408512,-2.1086095359753315e-5
H2,4,27,-0.0011316006014565204,-0.003021096589812105,-0.00012613822977661338
H2,4,29,-0.0010823535194646307,-0.005872501730251694,-0.0007904532638501345
H2,4,30,-0.004238914001751276,-0.0010004470364222949,-9.510018114208672e-6
H2,4,4,-0.0010006056161364393,-104.09910604894597,-1.534159539807348e-5
H2,4,7,-15.107165650727772,-0.0010006714394776677,-8.40190340752792e-6
H2,4,8,-0.0010005418927345581,-120.1170989045942,-3.1536386572611444e-5
H2,5,11,-0.0010291231764903443,-0.013425676533169567,-1.2057274556109562e-5
H2,5,12,-0.0010990709344304698,-0.00475896813270799,-11.439373895849913
H2,5,13,-0.0010004755049335195,-208.20719618671595,-4.37404162518247
H2,5,19,-0.0010511469527943367,-0.008561938570922684,-1.631519567382776e-5
H2,5,1,-0.0010999234244257674,-0.0010008575093854298,-1.956473038471313e-5
H2,5,22,-0.0010007838110854823,-0.0010013922505655631,-1.510060091273571e-5
H2,5,23,-0.001265932054568083,-0.0028302488663081386,-8.281012394296492e-5
H2,5,24,-0.001001800453383941,-0.0010005563908144857,-0.04502899417448635
H2,5,26,-0.008517970454523413,-0.0010006067877273124,-1.3055162543082671e-5
H2,5,27,-0.0011249890510199175,-0.003496177605941806,-0.00021703279072094362
H2,5,29,-0.001133419927446689,-0.004083403668538719,-11.438793163517607
H2,5,30,-0.0010218377816261824,-0.0010009459184905723,-9.467878419045205e-6
H2,5,4,-0.0010005360511554499,-136.13401203870356,-1.932363040870824e-5
H2,5,7,-0.0010089827887301089,-0.04590292695666102,-1.0188794896628198e-5
H2,5,8,-0.001000442661132741,-328.3281962151867,-0.000504004674840696
H2,6,11,-0.00103421177686985,-0.0013379243851838337,-1.2324367547153224e-5
H2,6,12,-0.0023785352259266517,-0.0010006641506221552,-7.208205996096624e-5
H2,6,13,-0.0030821268709224116,-0.0010004266196527607,-1.0922692595530657e-5
H2,6,19,-0.0010631886044254921,-0.007266274645279682,-1.7602433357960396e-5
H2,6,1,-0.0015538805249654777,-0.0010006417087187849,-1.631788983453429e-5
H2,6,22,-0.0010005605015128793,-0.001005502144697352,-1.5120526221468073e-5
H2,6,23,-0.0014961685887274628,-0.001745744369326338,-7.012673614977772e-5
H2,6,24,-0.0010018971587923305,-0.001000638355432218,-0.03538929127250905
H2,6,26,-0.003684713093392636,-0.0010008357725941233,-1.1216648827195203e-5
H2,6,27,-0.0010833580961470103,-0.004872511621230455,-11.439230467039414
H2,6,29,-0.0034037965512834904,-0.0010008565398362235,-9.681269258489058e-5
H2,6,30,-0.0010005553987572828,-104.1063673159829,-1.058614041913866e-5
H2,6,4,-0.0010008122358130056,-48.04767233992139,-2.1230422305761844e-5
H2,6,7,-0.0010066544206796134,-0.0624514701231086,-1.4293897726111436e-5
H2,6,8,-0.0010819652293001375,-0.001000647396062084,-0.00025744878564793155
H2,7,11,-0.0010197854803794873,-0.020759708026084938,-1.3980811987507366e-5
H2,7,12,-0.0015908606655128056,-0.001000511583340793,-2.9041607160743468e-5
H2,7,13,-0.004016530342387569,-0.0010005482300438219,-8.430276422524207e-6
H2,7,19,-0.0010320583810398826,-0.013130598913825732,-2.160237314873651e-5
H2,7,1,-0.0010017359883209675,-0.001000866762943931,-1.6312065894908723e-5
H2,7,22,-0.0013043400132437975,-0.0010005034768173673,-1.2283067360695176e-5
H2,7,23,-0.0012343308463724063,-0.002675439900479258,-7.413841857951826e-5
H2,7,24,-0.0010024515440322384,-0.0010008096383605305,-0.02989922778788949
H2,7,26,-0.008810263283482203,-0.0010006226063296179,-8.401410782212616e-6
H2,7,27,-0.0029634087768303937,-0.0010007170146571866,-7.45305484953885e-5
H2,7,29,-0.0010014228905895846,-0.0010007842502520094,-9.6565050214414e-5
H2,7,30,-0.0010006053165823887,-80.08191964066253,-1.1621647414945621e-5
H2,7,4,-0.00688255033874138,-0.0010006502083401998,-1.3657005041512082e-5
H2,7,7,-0.0010091705878208796,-0.045024517223465246,-1.960499588593511e-5
H2,7,8,-0.001074493021086329,-0.0010007528151192572,-0.00019502916883782398
H2,8,11,-0.0010183861573618185,-0.022474303259092946,-1.6313930605308503e-5
H2,8,12,-0.0010009034827021398,-0.0016022246315161302,-3.079883128615818e-5
H2,8,13,-0.0010013359504840661,-0.001000905801466089,-8.429142183635027e-6
H2,8,19,-0.0010464454292793495,-0.00930890136860331,-2.5161562468618558e-5
H2,8,1,-0.0012364192478193964,-0.0010006265789398075,-1.4871784173140665e-5
H2,8,22,-0.0015647133953239209,-0.0010006439681655237,-1.0824990947842189e-5
H2,8,23,-0.001151924066340985,-0.0038250934986609865,-9.153494060093183e-5
H2,8,24,-0.0010015947076099038,-0.001000637936151723,-0.026202294363181215
H2,8,26,-0.0010395583227673197,-0.0014987007291916833,-8.535848944360999e-6
H2,8,27,-0.0022501276209278137,-0.001000646077662765,-3.550282519741613e-5
H2,8,29,-0.0018652583459095667,-0.0010008997883169354,-6.10153629149355e-5
H2,8,30,-0.0010005344863192565,-120.12119618163744,-1.3573133225293594e-5
H2,8,4,-0.0010006368632549344,-80.07928229602784,-1.534856207967365e-5
H2,8,7,-0.0010224627137519827,-0.01835833126832142,-2.2658999784174546e-5
H2,8,8,-0.0014982803449265553,-0.0010006135979797502,-6.965936114355157e-5
H2,9,11,-0.0010129934366447826,-0.03168775243852762,-2.144348794193123e-5
H2,9,12,-0.001000465733232056,-0.0015700105583334259,-4.9645027255682015e-5
H2,9,13,-0.001004169907761279,-0.0010005779109088307,-8.420398116835313e-6
H2,9,19,-187.18195365290467,-0.0010007285092988184,-1.7286016094180222e-5
H2,9,1,-0.001313206149360366,-0.0010007879752532123,-1.3939844780694012e-5
H2,9,22,-0.001000615594456572,-80.07862367091327,-1.1905126171089878e-5
H2,9,23,-0.0010727198859345737,-0.006404981991535061,-0.00030033177066718516
H2,9,24,-0.0010019626019470362,-0.0010008224130828905,-0.023515089356913092
H2,9,26,-0.0010558857406425778,-0.0010734436187617325,-8.474289429859312e-6
H2,9,27,-0.0010016660603677314,-0.0010008238527321612,-3.5473598816555455e-5
H2,9,29,-0.0016527253410581685,-0.0010006255083310847,-3.630443176529998e-5
H2,9,30,-0.0010006446950130495,-72.07005383140391,-1.5059783530441887e-5
H2,9,4,-0.0010006185688439786,-88.08679142524672,-1.7722749171404557e-5
H2,9,7,-0.0010172889251235807,-0.02370971122422912,-2.849657270280085e-5
H2,9,8,-0.0010611168167748378,-0.0010007977400216944,-6.526878047817449e-5
H2,10,11,-0.0010630995134576359,-0.007281662627334176,-2.249706143117444e-5
H2,10,12,-0.001357167569702496,-0.0010006442530456812,-3.6814588787141184e-5
H2,10,13,-0.0010014415165254475,-0.0010008904779065307,-8.419230733810959e-6
H2,10,19,-0.0012906937231039106,-0.0014653996131369067,-1.703982761500493e-5
H2,10,1,-0.001249144106934256,-0.001000644614464427,-1.2879601836034833e-5
