Y,T,Weights
21,1,4
21,2,5
21,3,1
21,4,1
21,5,3
21,6,2
21,7,5
21,8,2
21,9,8
21,10,2
21,11,1
21,12,5
21,13,5
21,14,2
21,15,1
21,16,8
21,17,2
21,18,1
21,19,4
21,20,1
21,21,5
21,22,2
21,23,1
21,24,8
21,25,2
21,26,1
21,27,4
21,28,1
21,29,2
21,30,3
21,31,2
21,32,1
21,33,8
21,34,1
21,35,2
21,36,4
21,37,2
21,38,3
21,39,2
21,40,1
21,41,2
21,42,8
21,43,2
21,44,4
21,45,3
21,46,2
21,47,2
21,48,2
21,49,10
21,50,1
21,51,4
21,52,1
21,53,2
21,54,2
21,55,2
21,56,2
21,57,7
21,58,1
21,59,2
21,60,1
21,61,4
21,62,1
21,63,6
21,64,2
21,65,8
21,66,1
21,67,2
21,68,4
21,69,1
21,70,2
21,71,4
21,72,2
21,73,8
21,74,3
21,75,4
21,76,1
21,77,6
21,78,2
21,79,8
21,80,3
21,81,4
21,82,7
21,83,2
21,84,3
21,85,4
21,86,1
21,87,1
21,88,2
21,89,4
21,90,6
21,91,2
21,92,1
21,93,3
21,94,4
21,95,3
21,96,2
21,97,3
21,98,3
21,99,3
21,100,1
21,101,2
21,102,3
21,103,7
21,104,1
21,105,6
21,106,3
21,107,2
21,108,2
21,109,5
21,110,2
21,111,1
21,112,4
21,113,6
21,114,2
21,115,2
21,116,1
21,117,1
21,118,3
21,119,5
21,120,1
21,121,2
21,122,1
21,123,2
21,124,2
21,125,5
21,126,2
21,127,1
21,128,7
21,129,1
21,130,3
21,131,5
21,132,2
21,133,3
21,134,2
21,135,1
21,136,4
21,137,4
21,138,2
21,139,2
21,140,4
21,141,2
21,142,3
21,143,2
21,144,1
21,145,5
21,146,2
21,147,1
21,148,3
21,149,3
21,150,2
21,151,2
21,152,2
21,153,2
21,154,2
21,155,5
21,156,3
21,157,2
21,158,2
21,159,3
21,160,3
21,161,2
21,162,2
21,163,2
21,164,5
21,165,3
21,166,2
21,167,2
21,168,3
21,169,1
21,170,2
21,171,2
21,172,2
21,173,2
21,174,3
21,175,2
21,176,2
21,177,1
21,178,1
21,179,2
21,180,2
21,181,3
21,182,6
21,183,2
21,184,8
21,185,3
21,186,5
21,187,6
21,188,2
21,189,8
21,190,3
21,191,5
21,192,6
21,193,2
21,194,8
21,195,2
21,196,1
21,197,4
21,198,1
21,199,2
21,200,3
21,201,2
21,202,1
21,203,8
21,204,2
21,205,1
21,206,4
21,207,1
21,208,2
21,209,3
21,210,2
21,211,1
21,212,3
21,213,2
21,214,4
21,215,1
21,216,2
21,217,4
21,218,2
21,219,3
21,220,2
21,221,4
21,222,5
21,223,2
21,224,1
21,225,4
21,226,3
21,227,3
21,228,2
21,229,5
21,230,3
21,231,1
21,232,2
21,233,2
21,234,3
21,235,1
21,236,2
21,237,3
21,238,2
21,239,1
21,240,3
21,241,4
21,242,1
21,243,2
21,244,1
21,245,4
21,246,1
21,247,1
21,248,5
21,249,2
21,250,8
21,251,2
21,252,1
21,253,3
21,254,2
21,255,2
21,256,3
21,257,2
21,258,1
21,259,4
21,260,3
21,261,1
21,262,2
21,263,1
21,264,4
21,265,1
21,266,2
21,267,4
21,268,2
21,269,7
21,270,1
21,271,2
21,272,2
21,273,4
21,274,2
21,275,3
21,276,2
21,277,4
21,278,4
21,279,2
21,280,2
21,281,3
21,282,2
21,283,2
21,284,3
21,285,2
21,286,1
21,287,7
21,288,3
21,289,1
21,290,3
21,291,2
21,292,2
21,293,3
21,294,2
21,295,1
21,296,8
21,297,2
21,298,2
21,299,4
21,300,6
21,301,1
21,302,1
21,303,8
21,304,3
21,305,5
21,306,6
21,307,2
21,308,8
21,309,2
21,310,2
21,311,3
21,312,2
21,313,5
21,314,1
21,315,1
21,316,8
21,317,2
21,318,1
21,319,4
21,320,2
21,321,5
21,322,2
21,323,8
21,324,2
21,325,1
21,326,4
21,327,1
21,328,1
21,329,5
21,330,2
21,331,9
21,332,1
21,333,1
21,334,4
21,335,1
21,336,1
21,337,5
21,338,2
21,339,3
21,340,6
21,341,1
21,342,1
21,343,4
21,344,1
21,345,1
21,346,4
21,347,2
21,348,9
21,349,2
21,350,2
21,351,4
21,352,1
21,353,5
21,354,2
21,355,8
21,356,1
21,357,1
21,358,1
21,359,4
21,360,2
21,361,5
21,362,2
21,363,8
21,364,2
21,365,2
21,366,3
21,367,2
21,368,5
21,369,2
21,370,3
21,371,5
21,372,1
21,373,2
21,374,5
21,375,2
21,376,4
21,377,2
21,378,8
21,379,1
21,380,2
21,381,4
21,382,1
21,383,2
21,384,3
21,385,2
21,386,1
21,387,9
21,388,1
21,389,1
21,390,4
21,391,1
21,392,2
21,393,3
21,394,3
21,395,10
21,396,1
21,397,4
21,398,2
21,399,4
21,400,2
21,401,9
21,402,1
21,403,1
21,404,1
21,405,4
21,406,1
21,407,1
21,408,5
21,409,2
21,410,8
21,411,1
21,412,1
21,413,1
21,414,4
21,415,1
21,416,1
21,417,5
21,418,2
21,419,8
21,420,2
21,421,1
21,422,4
21,423,2
21,424,5
21,425,2
21,426,5
21,427,3
21,428,1
21,429,1
21,430,1
21,431,4
21,432,1
21,433,1
21,434,5
21,435,2
21,436,8
21,437,1
21,438,1
21,439,5
21,440,2
21,441,5
21,442,2
21,443,5
21,444,4
21,445,1
21,446,2
21,447,3
21,448,3
21,449,3
21,450,2
21,451,1
21,452,10
21,453,2
21,454,4
21,455,2
21,456,3
21,457,2
21,458,5
21,459,3
21,460,1
21,461,1
21,462,2
21,463,4
21,464,2
21,465,4
21,466,2
21,467,1
21,468,7
21,469,1
21,470,2
21,471,2
21,472,4
21,473,1
21,474,5
21,475,1
21,476,1
21,477,7
21,478,1
21,479,1
21,480,2
21,481,5
21,482,1
21,483,5
21,484,2
21,485,8
21,486,1
21,487,1
21,488,1
21,489,4
21,490,1
21,491,1
21,492,1
21,493,3
21,494,2
21,495,9
21,496,1
21,497,1
21,498,1
21,499,4
21,500,1
21,501,1
21,502,1
21,503,3
21,504,2
21,505,1
21,506,9
21,507,1
21,508,1
21,509,5
21,510,2
21,511,3
21,512,2
21,513,4
21,514,6
21,515,1
21,516,1
21,517,1
21,518,3
21,519,1
21,520,1
21,521,1
21,522,4
21,523,2
21,524,4
21,525,4
21,526,1
21,527,1
21,528,1
21,529,4
21,530,1
21,531,1
21,532,1
21,533,3
21,534,2
21,535,1
21,536,3
21,537,4
21,538,1
21,539,2
21,540,1
21,541,1
21,542,4
21,543,1
21,544,1
21,545,4
21,546,2
21,547,8
21,548,1
21,549,1
21,550,1
21,551,4
21,552,1
21,553,1
21,554,1
21,555,4
21,556,2
21,557,8
21,558,1
21,559,1
21,560,1
21,561,4
21,562,1
21,563,1
21,564,1
21,565,4
21,566,2
21,567,8
21,568,1
21,569,1
21,570,1
21,571,4
21,572,1
21,573,1
21,574,1
21,575,4
21,576,2
21,577,8
21,578,1
21,579,1
21,580,1
21,581,4
21,582,1
21,583,1
21,584,1
21,585,4
21,586,2
21,587,3
21,588,5
21,589,1
21,590,1
21,591,1
21,592,4
21,593,1
21,594,1
21,595,1
21,596,4
21,597,2
21,598,8
21,599,1
21,600,1
21,601,1
21,602,1
21,603,3
21,604,1
21,605,1
21,606,1
21,607,4
21,608,2
21,609,8
21,610,1
21,611,1
21,612,1
21,613,4
21,614,1
21,615,1
21,616,1
21,617,4
21,618,2
21,619,8
21,620,1
21,621,1
21,622,1
21,623,4
21,624,1
21,625,1
21,626,1
21,627,4
21,628,2
21,629,3
21,630,4
21,631,1
21,632,2
21,633,1
21,634,4
21,635,1
21,636,1
21,637,2
21,638,3
21,639,2
21,640,3
21,641,5
21,642,2
21,643,1
21,644,1
21,645,3
21,646,1
21,647,1
21,648,1
21,649,4
21,650,2
21,651,4
21,652,5
21,653,1
21,654,2
21,655,3
21,656,1
21,657,2
21,658,3
21,659,2
21,660,1
21,661,9
21,662,1
21,663,1
21,664,2
21,665,2
21,666,1
21,667,2
21,668,4
21,669,2
21,670,7
21,671,1
21,672,1
21,673,1
21,674,5
21,675,1
21,676,1
21,677,1
21,678,1
21,679,3
21,680,1
21,681,1
21,682,8
21,683,2
21,684,2
21,685,4
21,686,2
21,687,4
21,688,1
21,689,1
21,690,8
21,691,1
21,692,1
21,693,1
21,694,1
21,695,3
21,696,1
21,697,1
21,698,1
21,699,4
21,700,1
21,701,1
21,702,2
21,703,2
21,704,3
21,705,1
21,706,1
21,707,2
21,708,3
21,709,3
21,710,1
21,711,4
21,712,2
21,713,3
21,714,5
21,715,1
21,716,1
21,717,1
21,718,4
21,719,1
21,720,3
21,721,3
21,722,2
21,723,5
21,724,4
21,725,1
21,726,1
21,727,4
21,728,2
21,729,1
21,730,3
21,731,2
21,732,4
21,733,6
21,734,2
21,735,4
21,736,1
21,737,2
21,738,4
21,739,1
21,740,7
21,741,1
21,742,2
21,743,1
21,744,1
21,745,3
21,746,2
21,747,1
21,748,2
21,749,3
21,750,1
21,751,8
21,752,1
21,753,1
21,754,1
21,755,1
21,756,4
21,757,1
21,758,1
21,759,1
21,760,4
21,761,1
21,762,3
21,763,5
21,764,2
21,765,1
21,766,1
21,767,4
21,768,1
21,769,1
21,770,1
21,771,1
21,772,3
21,773,1
21,774,8
21,775,2
21,776,2
21,777,4
21,778,1
21,779,2
21,780,2
21,781,2
21,782,2
21,783,7
21,784,2
21,785,1
21,786,3
21,787,4
21,788,4
21,789,2
21,790,9
21,791,1
21,792,2
21,793,5
21,794,2
21,795,4
21,796,2
21,797,8
21,798,1
21,799,1
21,800,4
21,801,2
21,802,1
21,803,1
21,804,4
21,805,1
21,806,9
21,807,1
21,808,1
21,809,1
21,810,4
21,811,1
21,812,1
21,813,1
21,814,4
21,815,1
21,816,3
21,817,5
21,818,1
21,819,2
21,820,1
21,821,3
21,822,2
21,823,2
21,824,4
21,825,1
21,826,4
21,827,4
21,828,1
21,829,1
21,830,1
21,831,1
21,832,4
21,833,1
21,834,1
21,835,1
21,836,1
21,837,3
21,838,1
21,839,2
21,840,3
21,841,2
21,842,2
21,843,2
21,844,1
21,845,1
21,846,3
21,847,2
21,848,1
21,849,4
21,850,1
21,851,4
21,852,4
21,853,1
21,854,1
21,855,2
21,856,4
21,857,2
21,858,2
21,859,3
21,860,1
21,861,5
21,862,4
21,863,1
21,864,1
21,865,1
21,866,4
21,867,2
21,868,1
21,869,1
21,870,3
21,871,2
21,872,8
21,873,1
21,874,1
21,875,1
21,876,4
21,877,1
21,878,1
21,879,1
21,880,1
21,881,4
21,882,3
21,883,5
21,884,1
21,885,1
21,886,1
21,887,5
21,888,2
21,889,2
21,890,3
21,891,1
21,892,8
21,893,1
21,894,1
21,895,1
21,896,1
21,897,4
21,898,1
21,899,1
21,900,1
21,901,1
21,902,3
21,903,1
21,904,8
21,905,1
21,906,1
21,907,1
21,908,1
21,909,4
21,910,1
21,911,1
21,912,1
21,913,1
21,914,3
21,915,1
21,916,4
21,917,4
21,918,1
21,919,1
21,920,1
21,921,1
21,922,4
21,923,1
21,924,1
21,925,1
21,926,1
21,927,3
21,928,1
21,929,8
21,930,1
21,931,1
21,932,1
21,933,1
21,934,4
21,935,1
21,936,1
21,937,1
21,938,1
21,939,3
21,940,1
21,941,3
21,942,5
21,943,1
21,944,1
21,945,1
21,946,1
21,947,4
21,948,1
21,949,1
21,950,1
21,951,1
21,952,4
21,953,9
21,954,1
21,955,1
21,956,1
21,957,4
21,958,1
21,959,1
21,960,1
21,961,1
21,962,4
21,963,8
21,964,1
21,965,1
21,966,1
21,967,1
21,968,3
21,969,2
21,970,1
21,971,1
21,972,1
21,973,3
21,974,1
21,975,8
21,976,1
21,977,1
21,978,1
21,979,1
21,980,4
21,981,1
21,982,1
21,983,1
21,984,1
21,985,3
21,986,2
21,987,7
21,988,1
21,989,1
21,990,1
21,991,1
21,992,4
21,993,1
21,994,1
21,995,1
21,996,1
21,997,3
21,998,2
21,999,7
21,1000,1
21,1001,1
21,1002,1
21,1003,1
21,1004,4
21,1005,1
21,1006,1
21,1007,1
21,1008,1
21,1009,2
21,1010,2
21,1011,3
21,1012,5
21,1013,1
21,1014,1
21,1015,1
21,1016,1
21,1017,4
21,1018,1
21,1019,1
21,1020,1
21,1021,1
21,1022,4
21,1023,8
21,1024,1
21,1025,1
21,1026,1
21,1027,1
21,1028,3
21,1029,2
21,1030,1
21,1031,1
21,1032,1
21,1033,4
21,1034,3
21,1035,5
21,1036,1
21,1037,1
21,1038,1
21,1039,1
21,1040,4
21,1041,1
21,1042,1
21,1043,1
21,1044,1
21,1045,4
21,1046,8
21,1047,1
21,1048,1
21,1049,2
21,1050,4
21,1051,1
21,1052,1
21,1053,1
21,1054,1
21,1055,3
21,1056,1
21,1057,8
21,1058,1
21,1059,1
21,1060,1
21,1061,1
21,1062,4
21,1063,1
21,1064,1
21,1065,1
21,1066,1
21,1067,3
21,1068,2
21,1069,7
21,1070,2
21,1071,1
21,1072,2
21,1073,4
21,1074,2
21,1075,1
21,1076,3
21,1077,1
21,1078,8
21,1079,1
21,1080,1
21,1081,1
21,1082,1
21,1083,4
21,1084,1
21,1085,1
21,1086,1
21,1087,1
21,1088,4
21,1089,8
21,1090,1
21,1091,2
21,1092,2
21,1093,2
21,1094,2
21,1095,3
21,1096,3
21,1097,1
21,1098,9
21,1099,1
21,1100,1
21,1101,2
21,1102,4
21,1103,1
21,1104,1
21,1105,1
21,1106,3
21,1107,2
21,1108,4
21,1109,3
21,1110,1
21,1111,2
21,1112,6
21,1113,1
21,1114,2
21,1115,4
21,1116,8
21,1117,1
21,1118,1
21,1119,1
21,1120,5
21,1121,1
21,1122,1
21,1123,2
21,1124,3
21,1125,1
21,1126,8
21,1127,1
21,1128,1
21,1129,1
21,1130,5
21,1131,2
21,1132,2
21,1133,3
21,1134,1
21,1135,8
21,1136,1
21,1137,1
21,1138,1
21,1139,1
21,1140,4
21,1141,1
21,1142,1
21,1143,1
21,1144,1
21,1145,3
21,1146,2
21,1147,6
21,1148,1
21,1149,1
21,1150,1
21,1151,1
21,1152,5
21,1153,1
21,1154,1
21,1155,1
21,1156,1
21,1157,3
21,1158,1
21,1159,8
21,1160,1
21,1161,1
21,1162,1
21,1163,5
21,1164,1
21,1165,1
21,1166,1
21,1167,1
21,1168,4
21,1169,8
21,1170,1
21,1171,1
21,1172,1
21,1173,5
21,1174,2
21,1175,2
21,1176,4
21,1177,4
21,1178,4
21,1179,1
21,1180,1
21,1181,1
21,1182,2
21,1183,4
21,1184,1
21,1185,1
21,1186,1
21,1187,4
21,1188,8
21,1189,1
21,1190,1
21,1191,1
21,1192,1
21,1193,4
21,1194,1
21,1195,1
21,1196,1
21,1197,1
21,1198,1
21,1199,3
21,1200,8
21,1201,1
21,1202,1
21,1203,2
21,1204,4
21,1205,2
21,1206,1
21,1207,1
21,1208,3
21,1209,2
21,1210,7
21,1211,1
21,1212,1
21,1213,1
21,1214,1
21,1215,4
21,1216,1
21,1217,1
21,1218,1
21,1219,1
21,1220,3
21,1221,2
21,1222,6
21,1223,1
21,1224,1
21,1225,1
21,1226,2
21,1227,4
21,1228,1
21,1229,1
21,1230,1
21,1231,2
21,1232,3
21,1233,7
21,1234,1
21,1235,1
21,1236,2
21,1237,5
21,1238,2
21,1239,1
21,1240,2
