Y,T,Weights
30,1,2
30,2,2
30,3,5
30,4,1
30,5,1
30,6,3
30,7,1
30,8,6
30,9,2
30,10,8
30,11,2
30,12,1
30,13,4
30,14,1
30,15,2
30,16,3
30,17,2
30,18,1
30,19,10
30,20,1
30,21,4
30,22,1
30,23,2
30,24,3
30,25,2
30,26,4
30,27,7
30,28,1
30,29,4
30,30,3
30,31,2
30,32,2
30,33,2
30,34,8
30,35,1
30,36,2
30,37,4
30,38,2
30,39,4
30,40,2
30,41,1
30,42,8
30,43,1
30,44,2
30,45,4
30,46,3
30,47,3
30,48,2
30,49,1
30,50,3
30,51,2
30,52,2
30,53,1
30,54,1
30,55,3
30,56,3
30,57,2
30,58,3
30,59,2
30,60,2
30,61,3
30,62,2
30,63,2
30,64,1
30,65,2
30,66,1
30,67,1
30,68,3
30,69,1
30,70,2
30,71,3
30,72,2
30,73,1
30,74,8
30,75,2
30,76,1
30,77,4
30,78,2
30,79,4
30,80,2
30,81,1
30,82,9
30,83,2
30,84,5
30,85,2
30,86,3
30,87,3
30,88,5
30,89,5
30,90,1
30,91,4
30,92,2
30,93,4
30,94,2
30,95,1
30,96,2
30,97,6
30,98,1
30,99,8
30,100,4
30,101,2
30,102,1
30,103,8
30,104,3
30,105,4
30,106,3
30,107,2
30,108,2
30,109,2
30,110,3
30,111,2
30,112,2
30,113,1
30,114,3
30,115,4
30,116,2
30,117,3
30,118,2
30,119,1
30,120,1
30,121,8
30,122,3
30,123,4
30,124,3
30,125,2
30,126,2
30,127,2
30,128,5
30,129,2
30,130,1
30,131,3
30,132,4
30,133,3
30,134,2
30,135,2
30,136,2
30,137,8
30,138,2
30,139,1
30,140,3
30,141,1
30,142,1
30,143,2
30,144,2
30,145,2
30,146,2
30,147,3
30,148,4
30,149,3
30,150,1
30,151,4
30,152,3
30,153,2
30,154,2
30,155,2
30,156,4
30,157,4
30,158,3
30,159,4
30,160,2
30,161,4
30,162,2
30,163,1
30,164,8
30,165,2
30,166,2
30,167,3
30,168,1
30,169,2
30,170,3
30,171,2
30,172,1
30,173,8
30,174,3
30,175,2
30,176,2
30,177,2
30,178,4
30,179,2
30,180,1
30,181,8
30,182,2
30,183,1
30,184,3
30,185,2
30,186,2
30,187,3
30,188,2
30,189,1
30,190,8
30,191,2
30,192,1
30,193,4
30,194,1
30,195,1
30,196,4
30,197,2
30,198,1
30,199,8
30,200,2
30,201,1
30,202,4
30,203,3
30,204,3
30,205,2
30,206,1
30,207,2
30,208,2
30,209,6
30,210,1
30,211,5
30,212,2
30,213,3
30,214,2
30,215,1
30,216,8
30,217,1
30,218,6
30,219,3
30,220,3
30,221,2
30,222,1
30,223,3
30,224,2
30,225,3
30,226,2
30,227,5
30,228,1
30,229,2
30,230,2
30,231,2
30,232,1
30,233,1
30,234,3
30,235,5
30,236,2
30,237,1
30,238,4
30,239,1
30,240,2
30,241,3
30,242,2
30,243,1
30,244,4
30,245,4
30,246,2
30,247,6
30,248,2
30,249,3
30,250,2
30,251,1
30,252,8
30,253,2
30,254,1
30,255,4
30,256,1
30,257,2
30,258,3
30,259,2
30,260,1
30,261,9
30,262,1
30,263,1
30,264,4
30,265,1
30,266,2
30,267,3
30,268,2
30,269,1
30,270,10
30,271,1
30,272,4
30,273,3
30,274,3
30,275,2
30,276,1
30,277,8
30,278,2
30,279,1
30,280,4
30,281,1
30,282,1
30,283,5
30,284,2
30,285,3
30,286,5
30,287,1
30,288,2
30,289,3
30,290,2
30,291,2
30,292,4
30,293,1
30,294,1
30,295,3
30,296,5
30,297,2
30,298,1
30,299,1
30,300,4
30,301,2
30,302,3
30,303,2
30,304,1
30,305,8
30,306,2
30,307,2
30,308,2
30,309,2
30,310,2
30,311,4
30,312,2
30,313,2
30,314,3
30,315,3
30,316,3
30,317,4
30,318,3
30,319,3
30,320,1
30,321,2
30,322,9
30,323,1
30,324,1
30,325,2
30,326,3
30,327,2
30,328,3
30,329,2
30,330,4
30,331,2
30,332,2
30,333,1
30,334,2
30,335,3
30,336,3
30,337,2
30,338,3
30,339,2
30,340,4
30,341,4
30,342,1
30,343,2
30,344,1
30,345,4
30,346,1
30,347,2
30,348,1
30,349,2
30,350,2
30,351,1
30,352,2
30,353,6
30,354,2
30,355,2
30,356,4
30,357,1
30,358,5
30,359,2
30,360,3
30,361,4
30,362,1
30,363,2
30,364,1
30,365,1
30,366,3
30,367,1
30,368,1
30,369,3
30,370,2
30,371,2
30,372,5
30,373,2
30,374,1
30,375,2
30,376,2
30,377,4
30,378,2
30,379,2
30,380,2
30,381,2
30,382,3
30,383,2
30,384,3
30,385,2
30,386,1
30,387,5
30,388,1
30,389,4
30,390,2
30,391,2
30,392,4
30,393,3
30,394,2
30,395,1
30,396,1
30,397,3
30,398,1
30,399,1
30,400,1
30,401,4
30,402,2
30,403,9
30,404,1
30,405,1
30,406,1
30,407,3
30,408,1
30,409,1
30,410,1
30,411,3
30,412,2
30,413,1
30,414,5
30,415,3
30,416,2
30,417,2
30,418,3
30,419,1
30,420,3
30,421,2
30,422,2
30,423,1
30,424,3
30,425,5
30,426,2
30,427,1
30,428,5
30,429,1
30,430,2
30,431,2
30,432,2
30,433,1
30,434,8
30,435,2
30,436,1
30,437,4
30,438,2
30,439,2
30,440,2
30,441,2
30,442,1
30,443,5
30,444,3
30,445,1
30,446,2
30,447,3
30,448,2
30,449,2
30,450,3
30,451,2
30,452,1
30,453,8
30,454,2
30,455,1
30,456,4
30,457,1
30,458,1
30,459,2
30,460,2
30,461,2
30,462,1
30,463,9
30,464,1
30,465,1
30,466,5
30,467,1
30,468,2
30,469,2
30,470,1
30,471,2
30,472,9
30,473,1
30,474,1
30,475,1
30,476,3
30,477,1
30,478,1
30,479,1
30,480,3
30,481,2
30,482,9
30,483,2
30,484,1
30,485,4
30,486,1
30,487,1
30,488,2
30,489,2
30,490,2
30,491,1
30,492,3
30,493,5
30,494,2
30,495,1
30,496,1
30,497,3
30,498,1
30,499,1
30,500,2
30,501,2
30,502,2
30,503,1
30,504,3
30,505,5
30,506,1
30,507,1
30,508,1
30,509,4
30,510,1
30,511,1
30,512,1
30,513,3
30,514,2
30,515,1
30,516,3
30,517,4
30,518,1
30,519,1
30,520,1
30,521,1
30,522,4
30,523,1
30,524,1
30,525,1
30,526,3
30,527,2
30,528,1
30,529,8
30,530,1
30,531,1
30,532,1
30,533,1
30,534,3
30,535,1
30,536,1
30,537,1
30,538,3
30,539,2
30,540,4
30,541,6
30,542,1
30,543,6
30,544,2
30,545,3
30,546,3
30,547,10
30,548,1
30,549,4
30,550,2
30,551,2
30,552,2
30,553,2
30,554,1
30,555,7
30,556,1
30,557,2
30,558,1
30,559,1
30,560,1
30,561,1
30,562,1
30,563,1
30,564,3
30,565,2
30,566,2
30,567,1
30,568,7
30,569,1
30,570,1
30,571,2
30,572,3
30,573,1
30,574,1
30,575,3
30,576,3
30,577,1
30,578,1
30,579,8
30,580,1
30,581,1
30,582,1
30,583,4
30,584,2
30,585,2
30,586,3
30,587,2
30,588,4
30,589,4
30,590,2
30,591,1
30,592,4
30,593,1
30,594,2
30,595,4
30,596,2
30,597,3
30,598,2
30,599,3
30,600,2
30,601,2
30,602,3
30,603,1
30,604,3
30,605,3
30,606,2
30,607,5
30,608,2
30,609,2
30,610,1
30,611,1
30,612,3
30,613,2
30,614,2
30,615,1
30,616,2
30,617,1
30,618,2
30,619,3
30,620,6
30,621,1
30,622,1
30,623,2
30,624,3
30,625,3
30,626,2
30,627,2
30,628,1
30,629,5
30,630,2
30,631,1
30,632,1
30,633,1
30,634,1
30,635,2
30,636,3
30,637,1
30,638,1
30,639,2
30,640,1
30,641,2
30,642,1
30,643,3
30,644,4
30,645,1
30,646,2
30,647,1
30,648,1
30,649,1
30,650,3
30,651,1
30,652,2
30,653,3
30,654,2
30,655,7
30,656,1
30,657,1
30,658,1
30,659,1
30,660,3
30,661,2
30,662,1
30,663,1
30,664,1
30,665,1
30,666,2
30,667,1
30,668,1
30,669,3
30,670,2
30,671,3
30,672,3
30,673,3
30,674,2
30,675,2
30,676,4
30,677,2
30,678,8
30,679,1
30,680,1
30,681,1
30,682,4
30,683,1
30,684,1
30,685,2
30,686,3
30,687,2
30,688,6
30,689,3
30,690,1
30,691,1
30,692,1
30,693,3
30,694,1
30,695,1
30,696,1
30,697,1
30,698,2
30,699,1
30,700,2
30,701,3
30,702,1
30,703,1
30,704,1
30,705,3
30,706,1
30,707,1
30,708,5
30,709,1
30,710,1
30,711,1
30,712,2
30,713,2
30,714,1
30,715,2
30,716,5
30,717,1
30,718,1
30,719,3
30,720,3
30,721,2
30,722,5
30,723,2
30,724,3
30,725,5
30,726,1
30,727,1
30,728,6
30,729,1
30,730,1
30,731,1
30,732,2
30,733,2
30,734,1
30,735,2
30,736,3
30,737,3
30,738,2
30,739,2
30,740,3
30,741,2
30,742,1
30,743,4
30,744,2
30,745,8
30,746,2
30,747,1
30,748,4
30,749,2
30,750,5
30,751,2
30,752,3
30,753,5
30,754,1
30,755,2
30,756,2
30,757,2
30,758,2
30,759,2
30,760,3
30,761,2
30,762,3
30,763,3
30,764,2
30,765,1
30,766,1
30,767,1
30,768,3
30,769,2
30,770,2
30,771,3
30,772,2
30,773,1
30,774,2
30,775,3
30,776,3
30,777,2
30,778,1
30,779,2
30,780,3
30,781,1
30,782,1
30,783,4
30,784,2
30,785,4
30,786,3
30,787,1
30,788,1
30,789,1
30,790,2
30,791,3
30,792,1
30,793,1
30,794,1
30,795,4
30,796,2
30,797,3
30,798,4
30,799,1
30,800,1
30,801,1
30,802,1
30,803,4
30,804,1
30,805,1
30,806,1
30,807,4
30,808,2
30,809,2
30,810,2
30,811,3
30,812,1
30,813,1
30,814,1
30,815,1
30,816,4
30,817,1
30,818,1
30,819,1
30,820,4
30,821,2
30,822,7
30,823,1
30,824,1
30,825,1
30,826,1
30,827,4
30,828,1
30,829,1
30,830,1
30,831,4
30,832,2
30,833,8
30,834,1
30,835,1
30,836,1
30,837,4
30,838,2
30,839,1
30,840,4
30,841,2
30,842,8
30,843,1
30,844,1
30,845,1
30,846,1
30,847,3
30,848,1
30,849,1
30,850,1
30,851,1
30,852,3
30,853,2
30,854,3
30,855,5
30,856,1
30,857,1
30,858,1
30,859,4
30,860,1
30,861,1
30,862,1
30,863,4
30,864,1
30,865,8
30,866,1
30,867,1
30,868,1
30,869,1
30,870,4
30,871,1
30,872,1
30,873,1
30,874,4
30,875,1
30,876,8
30,877,1
30,878,1
30,879,1
30,880,1
30,881,4
30,882,1
30,883,1
30,884,1
30,885,1
30,886,3
30,887,1
30,888,8
30,889,1
30,890,1
30,891,1
30,892,5
30,893,1
30,894,1
30,895,1
30,896,4
30,897,1
30,898,2
30,899,6
30,900,2
30,901,2
30,902,4
30,903,2
30,904,3
30,905,2
30,906,1
30,907,2
30,908,2
30,909,5
30,910,1
30,911,2
30,912,3
30,913,3
30,914,2
30,915,3
30,916,2
30,917,8
30,918,2
30,919,2
30,920,2
30,921,2
30,922,2
30,923,4
30,924,2
30,925,2
30,926,6
30,927,1
30,928,1
30,929,1
30,930,4
30,931,1
30,932,1
30,933,1
30,934,4
30,935,2
30,936,8
30,937,1
30,938,1
30,939,1
30,940,3
30,941,2
30,942,1
30,943,2
30,944,4
30,945,8
30,946,1
30,947,2
30,948,1
30,949,4
30,950,2
30,951,1
30,952,4
30,953,1
30,954,8
30,955,1
30,956,1
30,957,1
30,958,1
30,959,4
30,960,1
30,961,1
30,962,1
30,963,1
30,964,3
30,965,1
30,966,8
30,967,1
30,968,1
30,969,1
30,970,1
30,971,4
30,972,1
30,973,1
30,974,1
30,975,1
30,976,3
30,977,2
30,978,7
30,979,1
30,980,1
30,981,1
30,982,1
30,983,4
30,984,1
30,985,1
30,986,1
30,987,1
30,988,3
30,989,2
30,990,7
30,991,1
30,992,1
30,993,1
30,994,1
30,995,4
30,996,1
30,997,1
30,998,1
30,999,1
30,1000,3
30,1001,2
30,1002,7
30,1003,1
30,1004,1
30,1005,1
30,1006,1
30,1007,4
30,1008,1
30,1009,1
30,1010,1
30,1011,1
30,1012,4
30,1013,8
30,1014,1
30,1015,1
30,1016,1
30,1017,1
30,1018,4
30,1019,1
30,1020,1
30,1021,1
30,1022,1
30,1023,3
30,1024,1
30,1025,8
30,1026,1
30,1027,1
30,1028,1
30,1029,4
30,1030,2
30,1031,1
30,1032,2
30,1033,3
30,1034,1
30,1035,8
30,1036,1
30,1037,1
30,1038,1
30,1039,1
30,1040,4
30,1041,1
30,1042,1
30,1043,1
30,1044,1
30,1045,3
30,1046,2
30,1047,2
30,1048,2
30,1049,3
30,1050,2
30,1051,2
30,1052,4
30,1053,2
30,1054,2
30,1055,3
30,1056,1
30,1057,8
30,1058,1
30,1059,1
30,1060,1
30,1061,1
30,1062,4
30,1063,1
30,1064,1
30,1065,1
30,1066,1
30,1067,3
30,1068,2
30,1069,8
30,1070,1
30,1071,1
30,1072,1
30,1073,4
30,1074,2
30,1075,1
30,1076,1
30,1077,4
30,1078,5
30,1079,3
30,1080,1
30,1081,1
30,1082,1
30,1083,1
30,1084,4
30,1085,1
30,1086,1
30,1087,1
30,1088,1
30,1089,4
30,1090,8
30,1091,1
30,1092,1
30,1093,1
30,1094,1
30,1095,4
30,1096,1
30,1097,1
30,1098,1
30,1099,1
30,1100,4
30,1101,3
30,1102,5
30,1103,1
30,1104,1
30,1105,1
30,1106,1
30,1107,1
30,1108,3
30,1109,1
30,1110,1
30,1111,1
30,1112,1
30,1113,1
30,1114,3
30,1115,5
30,1116,3
30,1117,1
30,1118,1
30,1119,1
30,1120,1
30,1121,4
30,1122,1
30,1123,1
30,1124,1
30,1125,1
