Time,Scenario,Generator,Dispatch
1,11,PV,1.915283501431953
1,12,PV,0.29319409502742777
1,13,PV,2.981749186090977
1,19,PV,0.29338308816327496
1,1,PV,0.5696518851459005
1,22,PV,0.9968075368905766
1,23,PV,0.23623169240604916
1,24,PV,2.2249202585392207
1,26,PV,0.067312721179551
1,27,PV,0.30596005652632163
1,29,PV,0.6294220711110005
1,30,PV,1.0913394488384758
1,4,PV,0.26269204055596623
1,7,PV,0.25212257667448995
1,8,PV,0.2267810171086059
2,11,PV,0.09419577013812047
2,12,PV,0.7618539019398705
2,13,PV,16.05743074624794
2,19,PV,0.782738957386965
2,1,PV,0.44132594095900807
2,22,PV,2.545352154439351
2,23,PV,1.1296272169981991
2,24,PV,0.45976144425047877
2,26,PV,1.125564479641025
2,27,PV,1.8439767257389732
2,29,PV,0.05897345920507704
2,30,PV,2.0782010485145443
2,4,PV,1.6247646533492222
2,7,PV,0.8167553899764743
2,8,PV,3.7289406990447267
3,11,PV,2.0018670711390674
3,12,PV,0.0
3,13,PV,1.6471752624233655
3,19,PV,1.8255959321128177
3,1,PV,0.0
3,22,PV,2.38922877979601
3,23,PV,0.3005251527852945
3,24,PV,0.04392370615984076
3,26,PV,0.06780042977968088
3,27,PV,0.0
3,29,PV,0.6474528260892731
3,30,PV,2.632255725765741
3,4,PV,3.237365801536732
3,7,PV,0.0
3,8,PV,1.8350271610927134
4,11,PV,0.08376354759688007
4,12,PV,1.9312071861659719
4,13,PV,0.04885774527033621
4,19,PV,0.5154313332322089
4,1,PV,0.9533353371062234
4,22,PV,0.0
4,23,PV,1.8168992490303326
4,24,PV,0.4601579951509237
4,26,PV,0.9802038741608966
4,27,PV,0.7499423459989953
4,29,PV,0.46286538552710244
4,30,PV,1.6129475648392388
4,4,PV,0.5146797981004616
4,7,PV,0.7954978903689891
4,8,PV,3.178355761918995
5,11,PV,1.970466344835772
5,12,PV,0.0
5,13,PV,2.114967682276552
5,19,PV,0.2333009180983206
5,1,PV,0.0
5,22,PV,1.0702727995083785
5,23,PV,0.0
5,24,PV,0.8591100600171024
5,26,PV,3.5600470419218935
5,27,PV,0.0
5,29,PV,0.0
5,30,PV,0.0
5,4,PV,3.5624556689245948
5,7,PV,0.31755321058173464
5,8,PV,0.818719870321758
6,11,PV,0.0
6,12,PV,1.146181608599319
6,13,PV,0.5196644363370838
6,19,PV,0.0
6,1,PV,1.4064232764630789
6,22,PV,0.8449278412036824
6,23,PV,7.136392349649953
6,24,PV,1.2394886509780632
6,26,PV,0.0
6,27,PV,0.7314478077145865
6,29,PV,0.1745915881768023
6,30,PV,1.4731624072444616
6,4,PV,0.008077009206241298
