Time,Scenario,Residual
1,11,1.8161502253200013e-6
1,12,1.8161502159941278e-6
1,13,1.816150233313607e-6
1,19,1.8161502279845365e-6
1,1,1.8161502168823063e-6
1,22,1.8161502324254286e-6
1,23,1.8161502040037192e-6
1,24,1.8161502075564329e-6
1,26,1.8161502102209681e-6
1,27,1.8161502262081797e-6
1,29,1.816150218214574e-6
1,30,1.81615023731041e-6
1,4,1.8161502346458747e-6
1,7,1.8161502191027523e-6
1,8,1.8161502342017855e-6
2,11,1.8161502102209681e-6
2,12,1.8161502146618602e-6
2,13,1.8161501835756155e-6
2,19,1.8161502075564329e-6
2,1,1.8161502328695178e-6
2,22,1.816150260847138e-6
2,23,1.816150209776879e-6
2,24,1.8161502377544991e-6
2,26,1.816150201339184e-6
2,27,1.8161502253200013e-6
2,29,1.8161502031155408e-6
2,30,1.8161502084446113e-6
2,4,1.8161502262081797e-6
2,7,1.816150239530856e-6
2,8,1.8161502075564329e-6
3,11,1.8161502239877336e-6
3,12,1.2107668205807443e-6
3,13,1.8161502306490718e-6
3,19,1.8161501991187379e-6
3,1,1.2107668219130119e-6
3,22,1.8161502195468415e-6
3,23,1.8161502217672876e-6
3,24,1.816150239530856e-6
3,26,1.8161502088887005e-6
3,27,1.2107667992644622e-6
3,29,1.8161502346458747e-6
3,30,1.816150239530856e-6
3,4,1.8161501937896674e-6
3,7,1.210766815695763e-6
3,8,1.816150209776879e-6
4,11,1.8161502222113768e-6
4,12,1.8161502306490718e-6
4,13,1.8161502208791092e-6
4,19,1.816150214217771e-6
4,1,1.8161501991187379e-6
4,22,1.2107668059258003e-6
4,23,1.8161501991187379e-6
4,24,1.8161502235436444e-6
4,26,1.8161502235436444e-6
4,27,1.8161502284286257e-6
4,29,1.816150218214574e-6
4,30,1.816150260847138e-6
4,4,1.8161502213231984e-6
4,7,1.816150192901489e-6
4,8,1.816150195121935e-6
5,11,1.8161502195468415e-6
5,12,1.210766798820373e-6
5,13,1.8161502262081797e-6
5,19,1.816150252409443e-6
5,1,1.2107668290184392e-6
5,22,1.8161502222113768e-6
5,23,1.2107668054817111e-6
5,24,1.8161502461921941e-6
5,26,1.8161502275404473e-6
5,27,1.2107667828331614e-6
5,29,1.2107667983762838e-6
5,30,1.2107667877181427e-6
5,4,1.8161501946778458e-6
5,7,1.816150235534053e-6
5,8,1.816150231093161e-6
6,11,1.2107668183602982e-6
6,12,1.8161502017832731e-6
6,13,1.816150273281636e-6
6,19,1.2107668334593313e-6
6,1,1.8161502026714516e-6
6,22,1.8161502159941278e-6
6,23,1.8161501857960616e-6
6,24,1.8161501857960616e-6
6,26,1.210766820136655e-6
6,27,1.8161502435276589e-6
6,29,1.816150228872715e-6
6,30,1.8161502133295926e-6
6,4,1.8161501897928645e-6
6,7,1.8161502297608934e-6
6,8,1.8161502044478084e-6
7,11,1.816150197342381e-6
7,12,1.8161502199909307e-6
7,13,1.8161502666202978e-6
7,19,1.81615020355963e-6
7,1,1.2107668196925658e-6
7,22,1.8161502244318228e-6
7,23,1.81615020355963e-6
7,24,1.210766832571153e-6
7,26,1.8161502506330862e-6
7,27,1.2107668108107816e-6
7,29,1.8161502319813394e-6
7,30,1.2107668063698895e-6
7,4,1.8161502350899639e-6
7,7,1.81615022043502e-6
7,8,1.2107668276861716e-6
8,11,1.8161502053359868e-6
8,12,1.8161502146618602e-6
8,13,1.2107668339034205e-6
8,19,1.8161502008950947e-6
8,1,1.8161502168823063e-6
8,22,1.8161502186586631e-6
8,23,1.2107668254657256e-6
8,24,1.8161502275404473e-6
8,26,1.210766813919406e-6
8,27,1.8161502222113768e-6
8,29,1.2107668463379184e-6
8,30,1.8161502230995552e-6
8,4,1.8161502217672876e-6
8,7,1.8161502000069163e-6
8,8,1.8161502559621567e-6
9,11,1.8161502133295926e-6
9,12,1.8161502199909307e-6
9,13,1.8161502230995552e-6
9,19,1.81615022043502e-6
9,1,1.2107668170280306e-6
9,22,1.2107668165839414e-6
9,23,1.8161501982305595e-6
9,24,1.2107668037053543e-6
9,26,1.8161502071123437e-6
9,27,1.2107668143634953e-6
9,29,1.8161502168823063e-6
9,30,1.2107668068139787e-6
9,4,1.8161501840197047e-6
9,7,1.8161501942337566e-6
9,8,1.210766813919406e-6
10,11,1.8161502151059494e-6
10,12,1.8161502302049826e-6
10,13,1.2107668037053543e-6
10,19,1.2107667770600017e-6
10,1,1.8161502017832731e-6
10,22,1.8161502044478084e-6
10,23,1.210766817916209e-6
10,24,1.8161502293168041e-6
10,26,1.2107668125871385e-6
10,27,1.8161502497449078e-6
10,29,1.2107668054817111e-6
10,30,1.8161502053359868e-6
10,4,1.2107668299066177e-6
10,7,1.816150214217771e-6
10,8,1.8161502026714516e-6
11,11,1.8161502124414142e-6
11,12,1.210766813475317e-6
11,13,1.81615020355963e-6
11,19,1.8161501964542026e-6
11,1,1.2107668165839414e-6
11,22,1.21076681169896e-6
11,23,1.8161502062241652e-6
11,24,1.210766813919406e-6
11,26,1.8161501955660242e-6
11,27,1.8161502133295926e-6
11,29,1.8161502106650573e-6
11,30,1.8161502453040157e-6
11,4,1.8161502275404473e-6
11,7,1.2107668037053543e-6
11,8,1.2107668343475098e-6
12,11,1.210766796599927e-6
12,12,1.8161512205239205e-6
12,13,1.816150233313607e-6
12,19,1.816150224875912e-6
12,1,1.8161502159941278e-6
12,22,1.8161502488567294e-6
12,23,1.8161502293168041e-6
12,24,1.8161502000069163e-6
12,26,1.210766786385875e-6
12,27,1.816150218214574e-6
12,29,1.8161502044478084e-6
12,30,1.2107668081462464e-6
12,4,1.8161502386426776e-6
12,7,1.8161502328695178e-6
12,8,1.8161502319813394e-6
13,11,1.8161501778024558e-6
13,12,1.2107668236893687e-6
13,13,1.8161502222113768e-6
13,19,1.8161501706970284e-6
13,1,1.8161502337576962e-6
13,22,1.8161502306490718e-6
13,23,1.8161502293168041e-6
13,24,1.2107668081462464e-6
13,26,1.8161502071123437e-6
13,27,1.2107667943794809e-6
13,29,1.8161501920133105e-6
13,30,1.8161502071123437e-6
13,4,1.8161502230995552e-6
13,7,1.2107668125871385e-6
13,8,1.2107668081462464e-6
14,11,1.2107668019289974e-6
14,12,1.8161502293168041e-6
14,13,1.8161502404190344e-6
14,19,1.2107667748395556e-6
