Time,Scenario,Residual
1,10,7.378891397458176e-6
1,11,7.3788926195916815e-6
1,12,7.37889248547674e-6
1,13,7.378892604492648e-6
1,14,7.378892582288188e-6
1,15,7.378891167419965e-6
1,16,7.378892109777269e-6
1,17,7.3788958276921335e-6
1,18,7.378892040499352e-6
1,19,7.378895475085301e-6
1,1,7.378892664888781e-6
1,20,7.378892666665138e-6
1,21,4.9192135032072315e-6
1,22,7.378892775022905e-6
1,23,7.378892320275554e-6
1,24,7.378892336262766e-6
1,25,7.378891094589335e-6
1,26,7.378892358467226e-6
1,27,7.3788927084095235e-6
1,28,7.3788786609796375e-6
1,29,7.378892263432135e-6
1,2,7.3788920609274555e-6
1,30,7.378892266984849e-6
1,3,7.378891585752001e-6
1,4,4.919261742841741e-6
1,5,7.378892629361644e-6
1,6,7.378892326492803e-6
1,7,7.378894314236106e-6
1,8,7.37889249702306e-6
1,9,4.919255679247669e-6
2,10,7.378886941467044e-6
2,11,7.3788919614514725e-6
2,12,7.378880865438475e-6
2,13,7.378892644460677e-6
2,14,7.378892505016665e-6
2,15,7.378893267961928e-6
2,16,7.378892535214732e-6
2,17,7.378892285636596e-6
2,18,7.378893325693525e-6
2,19,4.919284363857912e-6
2,1,7.378892753706623e-6
2,20,7.378892971310336e-6
2,21,7.378891444531632e-6
2,22,7.378892397547077e-6
2,23,7.378892392218006e-6
2,24,7.378892616038968e-6
2,25,4.919261574087841e-6
2,26,4.9192611033532785e-6
2,27,7.378891590192893e-6
2,28,7.3788924757067775e-6
2,29,7.378899586463206e-6
2,2,7.378891069720339e-6
2,30,7.378892782128332e-6
2,3,7.378892776799262e-6
2,4,7.378892857623498e-6
2,5,7.378892474818599e-6
2,6,7.378891947240618e-6
2,7,7.37888969215561e-6
2,8,7.37889286206439e-6
2,9,7.378891683451627e-6
3,10,7.379013838182402e-6
3,11,7.378893545961773e-6
3,12,4.9192613635895555e-6
3,13,7.378892537879267e-6
3,14,7.378892578735474e-6
3,15,4.919260410574111e-6
3,16,7.378892425968786e-6
3,17,7.378892208365073e-6
3,18,4.919260796931724e-6
3,19,7.378904604671277e-6
3,1,4.919261793467911e-6
3,20,7.3788934491503255e-6
3,21,7.37888995061553e-6
3,22,7.378892583176366e-6
3,23,7.378891269560484e-6
3,24,7.378892300735629e-6
3,25,7.378892496134881e-6
3,26,7.37889224389221e-6
3,27,7.37889253610291e-6
3,28,7.378889148590417e-6
3,29,7.378892161291617e-6
3,2,7.3788931169715966e-6
3,30,7.3788924650486365e-6
3,3,7.378896033749527e-6
3,4,7.378892214582322e-6
3,5,7.378893335463488e-6
3,6,7.378891857534597e-6
3,7,4.919262019065229e-6
3,8,7.378892462384101e-6
3,9,7.378889857356796e-6
4,10,7.378894729015428e-6
4,11,4.919261618496762e-6
4,12,7.378892600051756e-6
4,13,7.378881648811841e-6
4,14,7.378890470199906e-6
4,15,7.378891679010735e-6
4,16,7.378892241227675e-6
4,17,7.378890804154992e-6
4,18,7.3788890091464054e-6
4,19,7.378882045827595e-6
4,1,7.378892085796451e-6
4,20,7.378893440268541e-6
4,21,7.378896769161258e-6
4,22,4.919261282765319e-6
4,23,4.919261492375426e-6
4,24,7.378892663112424e-6
4,25,4.919261675340181e-6
4,26,7.378892199483289e-6
4,27,7.37889267110603e-6
4,28,7.3788935273100265e-6
4,29,7.378892528997483e-6
4,2,7.3788914196626365e-6
4,30,7.378892246556745e-6
4,3,7.378893423393151e-6
4,4,7.378893426945865e-6
4,5,4.919261975544487e-6
4,6,4.9192618503113295e-6
4,7,7.378892523668412e-6
4,8,7.378891090148443e-6
4,9,7.378890167331065e-6
5,10,4.9192623921001655e-6
5,11,4.919261684221965e-6
5,12,7.37889249702306e-6
5,13,7.378891586640179e-6
5,14,7.378891547560329e-6
5,15,7.3788937307028846e-6
5,16,7.378892820320004e-6
5,17,7.378892646237034e-6
5,18,4.91926069212667e-6
5,19,7.378900956922507e-6
5,1,4.919262809544023e-6
5,20,7.378894815168735e-6
5,21,4.919261875180325e-6
5,22,7.3788928292017886e-6
5,23,7.378892417087002e-6
5,24,7.378892556531014e-6
5,25,7.378887761255726e-6
5,26,4.919262107883071e-6
5,27,4.919262273972436e-6
5,28,7.378893612575155e-6
5,29,7.378892758147515e-6
5,2,4.9192614355320075e-6
5,30,4.9192618671867194e-6
5,3,4.919260693903027e-6
5,4,7.37889215418619e-6
5,5,7.378892374454438e-6
5,6,7.378891706544266e-6
5,7,7.378891662135345e-6
5,8,7.378894181009343e-6
5,9,7.37889058033403e-6
6,10,7.378892129317194e-6
6,11,7.378893059239999e-6
6,12,7.378893318588098e-6
6,13,7.378892189713326e-6
6,14,7.3788908991900826e-6
6,15,4.91926079337901e-6
6,16,4.919261043845324e-6
6,17,7.378898471799289e-6
6,18,7.37889311519524e-6
6,19,7.379015391606458e-6
6,1,7.3788893182324955e-6
6,20,7.378893085885352e-6
6,21,7.3788923655726535e-6
6,22,7.378892517451163e-6
6,23,7.378891938358834e-6
6,24,7.3788926089335405e-6
6,25,7.378889138820455e-6
6,26,7.378891416998101e-6
6,27,7.378892802556436e-6
6,28,7.3788928141027554e-6
6,29,7.378892236786783e-6
6,2,4.919261257008145e-6
6,30,7.378893176479551e-6
6,3,7.378900856558346e-6
6,4,7.378892455278674e-6
6,5,7.3788917136496934e-6
6,6,7.378893694287569e-6
6,7,7.3788544767694475e-6
6,8,7.378884535391705e-6
6,9,7.378892453502317e-6
7,10,7.378893218223936e-6
7,11,4.919261599845015e-6
7,12,7.378893132958808e-6
7,13,7.378894029130834e-6
7,14,7.378893469578429e-6
7,15,7.378892516562985e-6
7,16,7.37889110880019e-6
7,17,7.378890893861012e-6
7,18,7.378891544007615e-6
7,19,7.379296527609824e-6
7,1,4.919267300174113e-6
7,20,4.9192614630655385e-6
7,21,4.919262054592366e-6
7,22,4.919261618496762e-6
7,23,4.919261404445763e-6
7,24,7.378892616038968e-6
7,25,7.378891925036157e-6
7,26,4.919243930423534e-6
7,27,7.3788925201156985e-6
7,28,7.378891705656088e-6
7,29,4.919261837876832e-6
7,2,7.378891891285377e-6
7,30,7.378892469489529e-6
7,3,7.378889485210038e-6
7,4,7.378891660358988e-6
7,5,7.378892286524774e-6
7,6,7.378886958342434e-6
7,7,7.378892450837782e-6
7,8,7.378898226662045e-6
7,9,4.919260045532781e-6
8,10,4.919262234892585e-6
8,11,7.378892297182915e-6
8,12,7.378892459719566e-6
8,13,7.378891702991552e-6
8,14,7.3788920946782355e-6
8,15,7.378892875387066e-6
8,16,7.3788923380391225e-6
8,17,7.378893278620069e-6
8,18,7.3788734233914965e-6
8,19,7.3788619898707e-6
8,1,7.378892427745143e-6
8,20,7.378891964116008e-6
8,21,7.378892061815634e-6
8,22,7.37889258672908e-6
8,23,7.378891894838091e-6
8,24,7.378892687093241e-6
8,25,7.3788922998474504e-6
8,26,7.378892506793022e-6
8,27,7.378892820320004e-6
8,28,7.378893097431671e-6
8,29,7.378892559195549e-6
8,2,7.378891842435564e-6
8,30,7.378892663112424e-6
8,3,4.9192615731996625e-6
8,4,7.378896004439639e-6
8,5,4.919262019953408e-6
8,6,7.3788913539374335e-6
8,7,7.37890908819594e-6
8,8,4.91926180501423e-6
8,9,7.378892494358524e-6
9,10,7.378895248599804e-6
9,11,7.378892491693989e-6
9,12,4.919261791691554e-6
9,13,7.378892675546922e-6
9,14,7.378892484588562e-6
9,15,4.919261721525459e-6
9,16,7.378892483700383e-6
9,17,7.378892966869444e-6
9,18,7.378892635578893e-6
9,19,7.378895856113843e-6
9,1,4.9192618165605495e-6
9,20,7.378890879650157e-6
9,21,7.378892694198669e-6
9,22,7.3788925707418684e-6
9,23,7.378934078872135e-6
9,24,7.378892583176366e-6
9,25,4.919262027947013e-6
9,26,4.919263138170038e-6
9,27,7.378892535214732e-6
9,28,4.919261077596104e-6
9,29,7.378893069009962e-6
9,2,7.378891262455056e-6
9,30,4.919263426828024e-6
9,3,7.378895718446188e-6
9,4,7.378892506793022e-6
9,5,7.378891870857274e-6
9,6,7.3788938639296475e-6
9,7,4.919259703584089e-6
9,8,7.37904731984429e-6
9,9,7.3788998422585905e-6
10,10,7.378892048492958e-6
10,11,7.3788923211637325e-6
10,12,7.379100789295379e-6
10,13,7.378892652454283e-6
10,14,7.378891815790212e-6
10,15,7.378959202775093e-6
10,16,7.3788937751118056e-6
10,17,7.378893607246084e-6
10,18,7.378893857712399e-6
10,19,7.37891491642273e-6
10,1,7.378892589393615e-6
10,20,7.378893494447425e-6
10,21,7.378890217957235e-6
10,22,4.919258513425007e-6
10,23,7.378892213694144e-6
10,24,4.919262011959802e-6
10,25,7.37889190105534e-6
10,26,7.378891721643299e-6
10,27,7.378892641796142e-6
10,28,7.3788946108876985e-6
10,29,7.37889273860759e-6
10,2,4.9192617952442674e-6
10,30,7.3788923993234334e-6
10,3,4.9192608875259225e-6
10,4,4.9192625528604594e-6
10,5,7.378893887910465e-6
10,6,7.378890089171364e-6
10,7,7.37889250235213e-6
10,8,4.919261941793707e-6
10,9,7.37889099600153e-6
11,10,7.378893910114925e-6
11,11,7.37889217639065e-6
11,12,4.919257619917516e-6
11,13,7.378891815790212e-6
11,14,7.378890228615376e-6
11,15,4.919260460312103e-6
11,16,4.919261674452002e-6
11,17,7.3788911869598905e-6
11,18,7.3788931445051276e-6
11,19,7.378801570645521e-6
11,1,4.919262311275929e-6
11,20,7.379076707891841e-6
11,21,7.378891217157957e-6
11,22,7.378892685316885e-6
11,23,7.378892559195549e-6
11,24,7.378891836218315e-6
11,25,7.378893628562366e-6
11,26,4.9192616513593634e-6
11,27,7.378892180831542e-6
11,28,4.919261845870437e-6
11,29,7.3788931889140486e-6
11,2,7.378890900078261e-6
11,30,7.37889245172596e-6
11,3,7.378891783815789e-6
11,4,4.919261794356089e-6
11,5,7.378892101783663e-6
11,6,4.9192616833337866e-6
11,7,7.378892699527739e-6
11,8,7.378891583975644e-6
11,9,7.378897089793668e-6
12,10,7.3788914853878396e-6
12,11,4.9192615900750525e-6
12,12,7.378894205878339e-6
12,13,7.378892390441649e-6
12,14,7.37889400870273e-6
12,15,7.378893514875529e-6
12,16,7.378891854870062e-6
12,17,7.378888978948339e-6
12,18,4.9192605340309115e-6
12,19,7.378887607600859e-6
12,1,7.378891565323897e-6
12,20,4.919080939913556e-6
12,21,7.378894337328745e-6
12,22,4.919261503033567e-6
12,23,7.378893420728616e-6
12,24,7.378892172837936e-6
12,25,7.3788922936302015e-6
12,26,7.3788927252849135e-6
12,27,4.919261633595795e-6
12,28,7.378894403053948e-6
12,29,7.378892627585287e-6
12,2,7.378889981701775e-6
12,30,4.919261601621372e-6
12,3,4.919262575953098e-6
12,4,7.3788923717899024e-6
12,5,7.3788926195916815e-6
12,6,7.378859079310018e-6
12,7,4.919261443525613e-6
12,8,4.919261830771404e-6
12,9,7.378892722620378e-6
13,10,4.919220690347004e-6
13,11,7.378892541431981e-6
13,12,7.37889291269056e-6
13,13,7.378892757259337e-6
13,14,7.3788919685569e-6
13,15,4.919261918701068e-6
13,16,4.9192615456661315e-6
13,17,7.378893882581394e-6
13,18,7.37889349711196e-6
13,19,7.3788446108835615e-6
13,1,7.378912205702193e-6
13,20,7.378894061993435e-6
13,21,7.378890004794414e-6
13,22,7.378892683540528e-6
13,23,7.378892546761051e-6
13,24,4.919262118541212e-6
13,25,7.378890560794105e-6
13,26,7.378892612486254e-6
13,27,7.378893160492339e-6
13,28,7.378894055776186e-6
13,29,7.3788926195916815e-6
13,2,7.378893029041933e-6
13,30,7.378892378007151e-6
13,3,7.37889520596724e-6
13,4,7.378892673770565e-6
13,5,7.3788925707418684e-6
13,6,7.3788927084095235e-6
13,7,7.378892882492494e-6
13,8,7.378892423304251e-6
13,9,4.919260856439678e-6
14,10,7.3788901859828115e-6
14,11,7.378894331111496e-6
14,12,7.378892877163423e-6
