Time,Scenario,Residual
1,11,8.406334728761067e-6
1,12,8.406451665443626e-6
1,13,8.406447968845043e-6
1,19,8.406439248709319e-6
1,1,8.4064470939893e-6
1,22,8.406438589236842e-6
1,23,8.406452393305841e-6
1,24,8.40644386812528e-6
1,26,8.406451046383268e-6
1,27,8.406479957479007e-6
1,29,8.406452061127112e-6
1,30,8.406464498289523e-6
1,4,8.40642646693368e-6
1,7,8.40644226585141e-6
1,8,8.406451514009206e-6
2,11,8.406508453795425e-6
2,12,8.406457932430556e-6
2,13,8.406455521026146e-6
2,19,8.406455668907853e-6
2,1,8.406433086527443e-6
2,22,8.406464199861574e-6
2,23,8.40645392230499e-6
2,24,8.406479113709509e-6
2,26,8.406451186715458e-6
2,27,8.406453978260231e-6
2,29,8.406454932607943e-6
2,30,8.406277974604137e-6
2,4,8.406438538166583e-6
2,7,8.40646449473681e-6
2,8,8.406327860033258e-6
3,11,8.406444777619981e-6
3,12,5.604301253292476e-6
3,13,8.406454213627512e-6
3,19,8.406478030131836e-6
3,1,5.6043004623695936e-6
3,22,8.406424059081985e-6
3,23,8.406459787391185e-6
3,24,8.406449846898312e-6
3,26,8.406452951970067e-6
3,27,5.604300992168021e-6
3,29,8.406454214071601e-6
3,30,8.406632928892321e-6
3,4,8.40644810562452e-6
3,7,5.6042825886670755e-6
3,8,8.406471330602017e-6
4,11,8.406453559040017e-6
4,12,8.406458360532554e-6
4,13,8.406456268872375e-6
4,19,8.406333922295062e-6
4,1,8.406471594391007e-6
4,22,5.604320052476908e-6
4,23,8.406454582221556e-6
4,24,8.406366675650645e-6
4,26,8.406448289921542e-6
4,27,8.406474861999413e-6
4,29,8.406450992648473e-6
4,30,8.406790475312675e-6
4,4,8.40653029188232e-6
4,7,8.406444009789737e-6
4,8,8.406591219589643e-6
5,11,8.40647177291487e-6
5,12,5.604307244944096e-6
5,13,8.40663930867791e-6
5,19,8.40645578836785e-6
5,1,5.6041304787868285e-6
5,22,8.406467416399721e-6
5,23,5.604302103723313e-6
5,24,8.406381033942978e-6
5,26,8.406458298360064e-6
5,27,5.604314923246534e-6
5,29,5.604302717454601e-6
5,30,5.603935108844382e-6
5,4,8.406452613574089e-6
5,7,8.406450115572284e-6
5,8,8.406469482746814e-6
6,11,5.604516950974414e-6
6,12,8.406450643150265e-6
6,13,8.4062674070573e-6
6,19,5.604301765327335e-6
6,1,8.406462152166227e-6
