Time,Scenario,Residual
1,10,2.9363906362434022e-5
1,11,2.9363908125468186e-5
1,12,2.936390852692483e-5
1,13,2.936390814500811e-5
1,14,2.9363908659263416e-5
1,15,2.9363908256030413e-5
1,16,2.9363909304969127e-5
1,17,2.936391405317096e-5
1,18,2.9363912706692474e-5
1,19,2.936387574514754e-5
1,1,2.9363907906976294e-5
1,20,2.936391003327543e-5
1,21,1.9576684848310322e-5
1,22,2.9363907241730658e-5
1,23,2.9363908733870403e-5
1,24,2.936390894259233e-5
1,25,2.936391717689446e-5
1,26,2.9363908401691674e-5
1,27,2.9363907725787897e-5
1,28,2.9363993125919308e-5
1,29,2.9363908922164228e-5
1,2,2.9363909793467258e-5
1,30,2.936390952879009e-5
1,3,2.9363909715307557e-5
1,4,1.957593885926201e-5
1,5,2.936390708896397e-5
1,6,2.9363915139413166e-5
1,7,2.9363893816913844e-5
1,8,2.9363908591761856e-5
1,9,1.957595829971126e-5
2,10,2.9363911060009684e-5
2,11,2.9363911044022473e-5
2,12,2.9363536757642805e-5
2,13,2.9363907913193543e-5
2,14,2.9363910582169694e-5
2,15,2.9363907310120396e-5
2,16,2.9363908692126017e-5
2,17,2.9363912084079402e-5
2,18,2.9363905731827344e-5
2,19,1.957592627022109e-5
2,1,2.9363907311896753e-5
2,20,2.9363908405244388e-5
2,21,2.9363908255142235e-5
2,22,2.9363910064361676e-5
2,23,2.936390843810699e-5
2,24,2.936390793184529e-5
2,25,1.9575938065230503e-5
2,26,1.95759406746987e-5
2,27,2.936391355223833e-5
2,28,2.9363916156377456e-5
2,29,2.9363899383128e-5
2,2,2.93639116026867e-5
2,30,2.9363906944190887e-5
2,3,2.93639121871081e-5
2,4,2.9363907039225978e-5
2,5,2.936390865659888e-5
2,6,2.9363924375580552e-5
2,7,2.9363923447434104e-5
2,8,2.9363906893564717e-5
2,9,2.9363908496726765e-5
3,10,2.936369969930297e-5
3,11,2.936390426722113e-5
3,12,1.9575940279459303e-5
3,13,2.9363908590873677e-5
3,14,2.9363908900847946e-5
3,15,1.957596005919271e-5
3,16,2.9363909271218347e-5
3,17,2.9363908687685125e-5
3,18,1.9575938199345444e-5
3,19,2.9363944928917363e-5
3,1,1.9575938711824392e-5
3,20,2.9363909802349042e-5
3,21,2.9363965074580278e-5
3,22,2.9363911204782767e-5
3,23,2.9363912323887575e-5
3,24,2.9363910440949326e-5
3,25,2.9363918315539195e-5
3,26,2.9363909430202284e-5
3,27,2.9363908491397694e-5
3,28,2.9363925870384833e-5
3,29,2.9363909148649725e-5
