Time,Scenario,Residual
1,11,7.671644131512778e-6
1,12,7.671648106111206e-6
1,13,7.671642054063454e-6
1,19,7.67164195503156e-6
1,1,7.671641399475959e-6
1,22,7.671641079287639e-6
1,23,7.671642066053863e-6
1,24,7.671701241385165e-6
1,26,7.671642497708575e-6
1,27,7.6716416859135e-6
1,29,7.671649058682561e-6
1,30,7.671637948902799e-6
1,4,7.67164207315929e-6
1,7,7.671639318918011e-6
1,8,7.671645517071113e-6
2,11,7.67163931980619e-6
2,12,7.671643279749674e-6
2,13,7.671641463424805e-6
2,19,7.671641962136988e-6
2,1,7.67164158421707e-6
2,22,7.671642712647753e-6
2,23,7.671647814344595e-6
2,24,7.671625901650714e-6
2,26,7.67164279880106e-6
2,27,7.671640270157098e-6
2,29,7.671641200523993e-6
2,30,7.671643752260593e-6
2,4,7.67164148296473e-6
2,7,7.671648498241979e-6
2,8,7.671643981410625e-6
3,11,7.671637504813589e-6
3,12,5.114431551600518e-6
3,13,7.671638901474154e-6
3,19,7.67164168014034e-6
3,1,5.114427505503727e-6
3,22,7.671628173611111e-6
3,23,7.671646053974968e-6
3,24,7.6716260832832e-6
3,26,7.671681397258823e-6
3,27,5.114428990982134e-6
3,29,7.671641029993737e-6
3,30,7.671654382424009e-6
3,4,7.67164431003664e-6
3,7,5.114427655161791e-6
3,8,7.671646482521055e-6
4,11,7.67164561388256e-6
4,12,7.671646567786183e-6
4,13,7.671639557393917e-6
4,19,7.671639453032952e-6
4,1,7.671641840012455e-6
4,22,5.114444416864927e-6
4,23,7.67164076975746e-6
4,24,7.671595579683554e-6
4,26,7.671643750040147e-6
4,27,7.671642383577648e-6
4,29,7.671642593631844e-6
4,30,7.671638288631044e-6
4,4,7.671640743556196e-6
4,7,7.671642419104785e-6
4,8,7.671641579332089e-6
5,11,7.671641065520873e-6
5,12,5.114424473262602e-6
5,13,7.67164189907632e-6
5,19,7.671637891171201e-6
5,1,5.114424486585278e-6
5,22,7.67164210113691e-6
5,23,5.114434479480678e-6
5,24,7.671629925987133e-6
5,26,7.671643849960219e-6
5,27,5.11442731854217e-6
5,29,5.114436253617072e-6
5,30,5.114426741226197e-6
5,4,7.671657279662014e-6
5,7,7.671630124050921e-6
5,8,7.671633849071213e-6
6,11,5.114427849228775e-6
6,12,7.671642960893621e-6
6,13,7.671644227880137e-6
6,19,5.114433037523014e-6
6,1,7.670619071475926e-6
6,22,7.671640710249505e-6
6,23,7.67164372028617e-6
6,24,7.671633219352714e-6
6,26,5.11442675632523e-6
6,27,7.67164148296473e-6
6,29,7.671643462270339e-6
6,30,7.671639776773986e-6
6,4,7.671635943395927e-6
6,7,7.671631740535645e-6
6,8,7.67164754744698e-6
7,11,7.671643261986105e-6
7,12,7.67164643455942e-6
7,13,7.67178840987981e-6
7,19,7.67163949344507e-6
7,1,5.115206722194898e-6
7,22,7.671643073248191e-6
7,23,7.671639719042389e-6
7,24,5.114437957143281e-6
7,26,7.6716439618707e-6
7,27,5.114428171637542e-6
7,29,7.671641040651878e-6
7,30,5.11442911133031e-6
7,4,7.67164782278229e-6
7,7,7.671645034346142e-6
7,8,5.1144284927140404e-6
8,11,7.671643533324612e-6
8,12,7.671640633866161e-6
8,13,5.114428646812996e-6
8,19,7.672662369451189e-6
8,1,7.671645651186054e-6
8,22,7.67164375403695e-6
8,23,5.1144277120052095e-6
8,24,7.67161997394794e-6
8,26,5.11442555906072e-6
8,27,7.671642752171692e-6
8,29,5.114427851449221e-6
8,30,7.671643230011682e-6
8,4,7.67164281567645e-6
8,7,7.671640723572182e-6
8,8,7.671698806888116e-6
9,11,7.671641484741087e-6
9,12,7.671646427453993e-6
9,13,7.671649965956817e-6
9,19,7.670622673927596e-6
9,1,5.114427805263944e-6
9,22,5.114425709606962e-6
9,23,7.671632738848189e-6
9,24,5.114418452745184e-6
9,26,7.67164250614627e-6
9,27,5.114426054220189e-6
9,29,7.67164410753196e-6
9,30,5.114426866459354e-6
9,4,7.671639597361946e-6
9,7,7.671639762119042e-6
9,8,5.1144246668854976e-6
10,11,7.671643370343872e-6
10,12,7.67164142700949e-6
10,13,5.114428762276191e-6
10,19,5.114428192065645e-6
10,1,7.671642387130362e-6
10,22,7.671642231699138e-6
10,23,5.1144205168718315e-6
10,24,7.67163676229643e-6
10,26,5.11442671147222e-6
10,27,7.671642956896818e-6
10,29,5.1144272275038816e-6
10,30,7.671645295914686e-6
10,4,5.114427219066187e-6
10,7,7.671643166062836e-6
10,8,7.671649658647084e-6
11,11,7.671641141460128e-6
11,12,5.1144288102378255e-6
11,13,7.671661063746171e-6
11,19,7.671645947837646e-6
11,1,5.114426638641589e-6
11,22,5.114451526289088e-6
11,23,7.671645836815344e-6
11,24,5.114429144192911e-6
11,26,7.67165210024956e-6
11,27,7.671641924389405e-6
11,29,7.671642656248423e-6
11,30,7.671648296181388e-6
11,4,7.6716437931168e-6
11,7,5.114428236030477e-6
11,8,5.114427887420447e-6
12,11,5.1144299129113335e-6
12,12,7.671841157019799e-6
12,13,7.671641927942119e-6
12,19,7.671620231519682e-6
12,1,7.671645072093725e-6
12,22,7.671642222817354e-6
12,23,7.671640458450923e-6
12,24,7.671631609973417e-6
12,26,5.11442899320258e-6
12,27,7.671648472928894e-6
12,29,7.671641223616632e-6
12,30,5.114552209750656e-6
12,4,7.671641534479079e-6
12,7,7.671642552331548e-6
12,8,7.671644081774787e-6
13,11,7.671641808038032e-6
13,12,5.1144263935043455e-6
13,13,7.67164235471185e-6
13,19,7.671644313589354e-6
13,1,7.67159997128175e-6
13,22,7.671642445750138e-6
13,23,7.671642284101665e-6
13,24,5.114429825869848e-6
13,26,7.671642055839811e-6
13,27,5.11442951012242e-6
13,29,7.671642718420912e-6
13,30,7.67164133730347e-6
13,4,7.671640664064228e-6
13,7,5.114445076337404e-6
13,8,5.114427146235556e-6
14,11,5.1144286028481645e-6
14,12,7.671640374518063e-6
14,13,7.671793943231364e-6
14,19,5.114427433561275e-6
14,1,5.114463570432548e-6
14,22,7.671642052287098e-6
14,23,7.671643310835918e-6
14,24,7.671614857152065e-6
14,26,7.671642317852445e-6
14,27,7.671640369188992e-6
14,29,5.114423214269692e-6
14,30,5.1144291934868136e-6
14,4,5.114429325825398e-6
14,7,7.671631767180997e-6
14,8,7.671645827045381e-6
15,11,7.671642404005752e-6
15,12,5.114434025621506e-6
15,13,7.671490000582537e-6
15,19,7.671648852625168e-6
15,1,7.671643938333972e-6
15,22,5.114421143925796e-6
15,23,7.671643361462088e-6
15,24,7.671589330904283e-6
15,26,7.671644846496406e-6
15,27,5.114425804197964e-6
15,29,7.671642536344336e-6
15,30,7.671641908402194e-6
15,4,7.671642618056751e-6
15,7,5.1144269206382376e-6
15,8,7.671644008500067e-6
16,11,5.1144681338932685e-6
16,12,7.67163905557311e-6
16,13,5.1144282071646785e-6
16,19,5.114426878449763e-6
16,1,7.671643650120075e-6
16,22,7.67164475412585e-6
16,23,7.671642773487974e-6
16,24,5.1144287511739606e-6
16,26,7.671642475504115e-6
16,27,7.671643873052858e-6
16,29,7.671640559703263e-6
16,30,5.114430284169913e-6
16,4,7.671643645235093e-6
16,7,7.671641076179014e-6
16,8,7.671641638840043e-6
17,11,7.671600962932956e-6
17,12,7.671648618590154e-6
17,13,7.671641903073123e-6
17,19,5.1144283172988025e-6
17,1,5.114429275643317e-6
17,22,5.114429327157666e-6
17,23,5.114426456565013e-6
17,24,7.671667772157775e-6
17,26,7.671654493002222e-6
17,27,5.114427746200079e-6
17,29,7.671645781748282e-6
17,30,7.67108601618105e-6
17,4,5.114427933605725e-6
17,7,7.671692423993903e-6
17,8,5.114595622135454e-6
18,11,5.1144260231339445e-6
18,12,7.671642618056751e-6
18,13,5.114427558794432e-6
18,19,7.671647967555373e-6
18,1,7.671638835304861e-6
18,22,7.671639390860463e-6
18,23,7.671642748618979e-6
18,24,5.114421512075751e-6
18,26,7.671642973772208e-6
18,27,7.671643016848861e-6
18,29,7.67164625514738e-6
18,30,5.115047641446324e-6
18,4,5.114426846919429e-6
18,7,7.671645235518554e-6
18,8,7.671642881845742e-6
19,11,7.671640693374115e-6
19,12,7.671644255857757e-6
19,13,7.671642584305971e-6
19,19,5.114430800645664e-6
19,1,5.114429043384661e-6
19,22,7.671641525597295e-6
19,23,7.671640775974709e-6
19,24,7.671620921190225e-6
19,26,7.67164239423579e-6
19,27,5.114432391373214e-6
19,29,5.114423143659508e-6
19,30,7.67164288806299e-6
19,4,7.67164235959683e-6
19,7,5.114427433561275e-6
19,8,5.11443448436566e-6
20,11,5.114428865748977e-6
20,12,7.671642331175121e-6
20,13,5.1144277311010455e-6
20,19,7.671654840279984e-6
20,1,7.671642579865079e-6
20,22,5.11443241046905e-6
20,23,5.114426464558619e-6
20,24,7.671665402497752e-6
20,26,5.114430952080085e-6
20,27,7.671642459072814e-6
20,29,7.671642593187755e-6
20,30,5.114438105913166e-6
20,4,5.114428884844813e-6
20,7,7.671746710791183e-6
20,8,7.671642091366948e-6
21,11,7.671644629780872e-6
21,12,7.671643042606036e-6
21,13,7.671642543449764e-6
21,19,7.671598393876877e-6
21,1,5.11442768935666e-6
21,22,7.671643381002013e-6
21,23,7.671655025021096e-6
21,24,5.114422843455202e-6
21,26,7.67164256831876e-6
21,27,5.114426949059947e-6
21,29,5.114427537034061e-6
21,30,7.671643981410625e-6
21,4,7.671641946593866e-6
21,7,5.114447660936605e-6
21,8,5.114426771868352e-6
22,11,7.671646821361122e-6
22,12,7.671641566453502e-6
22,13,7.671641339079827e-6
22,19,7.671632749950419e-6
22,1,7.671646241824703e-6
22,22,7.671641943041152e-6
22,23,5.114429089125849e-6
22,24,7.671634073780353e-6
22,26,5.1144416048920505e-6
22,27,7.671637995088076e-6
22,29,7.67164573201029e-6
22,30,7.67163326598208e-6
22,4,7.671644582707415e-6
22,7,7.671372793051096e-6
22,8,7.671645421147844e-6
23,11,7.671644784768006e-6
23,12,7.671644046691739e-6
23,13,7.671642662909761e-6
23,19,7.671649845164552e-6
23,1,5.114424645125126e-6
23,22,5.114542628081864e-6
23,23,7.670479952093245e-6
23,24,7.67168059478962e-6
23,26,7.671640071649222e-6
23,27,7.671646115259279e-6
23,29,5.114431103070416e-6
23,30,7.671633556416424e-6
23,4,7.671643230011682e-6
23,7,5.114428305308394e-6
23,8,5.1144285859727745e-6
24,11,7.671642431983372e-6
24,12,7.671709728818144e-6
24,13,7.671645320339593e-6
24,19,7.67025085446349e-6
24,1,7.671643214912649e-6
24,22,7.671546041088106e-6
24,23,5.114428227592782e-6
24,24,7.671601380376813e-6
24,26,7.67164374249063e-6
24,27,7.671643614592938e-6
24,29,7.671641093054404e-6
24,30,7.671649380647239e-6
24,4,7.671643075912726e-6
24,7,7.671647674456494e-6
24,8,7.672207091857786e-6
25,11,7.67164519865915e-6
25,12,5.114453543786368e-6
25,13,7.671650804397245e-6
25,19,5.114429379116103e-6
25,1,7.671645455786802e-6
25,22,5.114427912289443e-6
25,23,7.671644510320874e-6
25,24,5.114459435962004e-6
25,26,7.671647365814493e-6
25,27,5.114426465002708e-6
25,29,7.671643120765737e-6
25,30,7.67164169701573e-6
25,4,5.114428893282508e-6
25,7,5.114428175190255e-6
25,8,5.114427782615394e-6
26,11,5.114425659868971e-6
26,12,7.671614640093055e-6
26,13,5.1145383395123645e-6
26,19,7.671640295470183e-6
26,1,7.6716350596584e-6
26,22,7.671643222906255e-6
26,23,7.67164456894065e-6
26,24,7.671586649493634e-6
26,26,7.671642840101356e-6
26,27,7.671641425233133e-6
26,29,5.1144261394853174e-6
26,30,7.67163999348952e-6
26,4,7.671644166151736e-6
26,7,7.671636248929303e-6
26,8,7.671641484741087e-6
27,11,7.671644831397373e-6
27,12,5.114656463689471e-6
27,13,7.671633443173675e-6
27,19,7.671640576134564e-6
27,1,7.671643488915691e-6
27,22,7.671641931938922e-6
27,23,7.671623518223925e-6
27,24,5.11443940220957e-6
27,26,7.671640901207866e-6
27,27,5.114437730657784e-6
27,29,7.671642824114144e-6
27,30,7.671648603491121e-6
27,4,5.11442839723486e-6
27,7,7.671643409423723e-6
27,8,7.671641293782727e-6
28,11,5.11442738027057e-6
28,12,7.671603111669006e-6
28,13,5.114430070118914e-6
28,19,7.671645571249996e-6
28,1,5.114431085750937e-6
28,22,7.670818235716581e-6
28,23,7.671639224771098e-6
28,24,7.671636611306099e-6
28,26,7.671642516804411e-6
28,27,7.671642419104785e-6
28,29,5.114427293229085e-6
28,30,5.114432232389277e-6
28,4,7.671658652341762e-6
28,7,7.671641797379891e-6
28,8,7.671640828377235e-6
29,11,7.671649617790877e-6
29,12,7.671658054597685e-6
29,13,7.671629637329147e-6
29,19,5.1144316310924864e-6
29,1,7.671643604822975e-6
29,22,5.114428164088025e-6
29,23,7.671634793204873e-6
29,24,5.114432392261392e-6
29,26,5.11442794204342e-6
29,27,5.1144249777479445e-6
29,29,7.671642353379582e-6
29,30,7.670188507502562e-6
29,4,7.671673099896026e-6
29,7,7.671854840740622e-6
29,8,7.671641622852832e-6
30,11,5.114427931385279e-6
30,12,5.114423115237798e-6
30,13,5.114425280616786e-6
30,19,7.671649128404567e-6
30,1,5.114429741936988e-6
30,22,7.671644212337014e-6
30,23,5.114429307173651e-6
30,24,7.671615974480517e-6
30,26,7.671642625162178e-6
30,27,7.671647111351376e-6
30,29,5.114427353181128e-6
30,30,5.114431927744079e-6
30,4,7.671641972795129e-6
30,7,7.671638015072091e-6
30,8,7.671747643378524e-6
31,11,7.671642928919198e-6
31,12,7.67163564940887e-6
31,13,7.671641367501536e-6
31,19,5.114419127760783e-6
31,1,7.671638671880032e-6
31,22,5.1144274832992664e-6
31,23,7.671634352668377e-6
31,24,5.1144407966496885e-6
31,26,5.114427819474798e-6
31,27,5.1144281520976165e-6
31,29,7.671647503926238e-6
31,30,7.671648762475058e-6
31,4,5.114429960872968e-6
31,7,7.671643934337169e-6
31,8,5.1144303974126615e-6
32,11,5.114429308505919e-6
32,12,5.114429784125463e-6
32,13,5.114456913091203e-6
32,19,7.671642954676372e-6
32,1,5.114417052975995e-6
32,22,7.671642731743589e-6
32,23,5.114429610930671e-6
32,24,7.671685525956207e-6
32,26,7.672515305756633e-6
32,27,7.671643289519636e-6
32,29,7.671641956363828e-6
32,30,7.67164119075403e-6
32,4,7.671638975637052e-6
32,7,5.114426852248499e-6
32,8,7.671827408017862e-6
33,11,7.671642576312365e-6
33,12,7.671640824824522e-6
33,13,7.67164107884355e-6
33,19,7.671641574447108e-6
33,1,7.671641951922936e-6
33,22,5.114427566343949e-6
33,23,7.671650502416583e-6
33,24,7.67167379489564e-6
33,26,7.671641003792473e-6
33,27,5.1144391925994626e-6
33,29,5.1144255555080065e-6
33,30,5.114430693176075e-6
33,4,7.67164328774328e-6
33,7,7.67164784587493e-6
33,8,5.114427150676448e-6
34,11,7.671657232588558e-6
34,12,7.671643179385512e-6
34,13,7.671644116857834e-6
34,19,7.671625116056902e-6
34,1,7.67163957249295e-6
34,22,7.671642717532734e-6
34,23,7.671645104068148e-6
34,24,7.671637617168159e-6
34,26,7.671670241293782e-6
34,27,7.671636423900452e-6
34,29,7.671642884510277e-6
34,30,7.671641713002941e-6
34,4,7.671646899076734e-6
34,7,5.114432096053889e-6
34,8,7.671640049444761e-6
35,11,7.671640444684158e-6
35,12,7.671640186224238e-6
35,13,7.67164393389308e-6
35,19,7.671640121387213e-6
35,1,7.671637986206292e-6
35,22,5.114425363217379e-6
35,23,7.67164319714908e-6
35,24,7.671628125205388e-6
35,26,5.114428959007711e-6
35,27,7.671650215090864e-6
35,29,5.114425438712544e-6
35,30,5.114427944263866e-6
35,4,7.67164472659232e-6
35,7,7.671640069872865e-6
35,8,5.114427366503804e-6
36,11,5.114431214536808e-6
36,12,5.1144287382953735e-6
36,13,5.114438996312032e-6
36,19,7.671644568052471e-6
36,1,5.114428906605184e-6
36,22,7.671644763895813e-6
36,23,7.671649291829397e-6
36,24,7.67161824910545e-6
36,26,7.671650782192785e-6
36,27,5.114427952701561e-6
