Time,Scenario,Residual
1,10,1.4032455581514114e-5
1,11,1.4032455132095834e-5
1,12,1.40324556232585e-5
1,13,1.4032455166734792e-5
1,14,1.4032454143553252e-5
1,15,1.4032455465162741e-5
1,16,1.4032455146306688e-5
1,17,1.4032452398282658e-5
1,18,1.4032449085377152e-5
1,19,1.4032452814838337e-5
1,1,1.40324554092075e-5
1,20,1.4032457988477631e-5
1,21,9.354969392916246e-6
1,22,1.403245565079203e-5
1,23,1.4032455978529867e-5
1,24,1.4032455332824156e-5
1,25,1.4032447800182979e-5
1,26,1.403245575826162e-5
1,27,1.4032455247559028e-5
1,28,1.4032455291967949e-5
1,29,1.403245519604468e-5
1,2,1.4032454869195021e-5
1,30,1.4032454984658216e-5
1,3,1.403245341435877e-5
1,4,9.354970040398314e-6
1,5,1.4032391260521138e-5
1,6,1.4032458113710788e-5
1,7,1.403245504949524e-5
1,8,1.403245514008944e-5
1,9,9.35497010967623e-6
2,10,1.403244753017674e-5
2,11,1.403245507791695e-5
2,12,1.4032455584178649e-5
2,13,1.4032454980217324e-5
2,14,1.4032456400414617e-5
2,15,1.4032452727796851e-5
2,16,1.4032454789258964e-5
2,17,1.4032454482837409e-5
2,18,1.4032453924173183e-5
2,19,9.354970019082032e-6
2,1,1.4032455110779551e-5
2,20,1.4032454338952505e-5
2,21,1.403245937137143e-5
2,22,1.4032455160517543e-5
2,23,1.4032455888823847e-5
2,24,1.403245496511829e-5
2,25,9.354970669228635e-6
2,26,9.354970063490953e-6
2,27,1.4032455159629365e-5
2,28,1.4032457645640761e-5
2,29,1.4032455078805128e-5
2,2,1.4032460915025524e-5
2,30,1.403245522446639e-5
2,3,1.4032452838819154e-5
2,4,1.4032455056600668e-5
2,5,1.4032453758083818e-5
2,6,1.4032455014856282e-5
2,7,1.4032454944690187e-5
2,8,1.4032455025514423e-5
2,9,1.4032455863066673e-5
3,10,1.4032456327583986e-5
3,11,1.4032455105450481e-5
3,12,9.35497016651965e-6
3,13,1.4032455088575091e-5
3,14,1.4032455097456875e-5
3,15,9.354970333497192e-6
3,16,1.4032455059265203e-5
3,17,1.403252559040169e-5
3,18,9.35496993026419e-6
3,19,1.4032455657897458e-5
3,1,9.354970163855114e-6
3,20,1.4032453820256308e-5
3,21,1.4032457357870953e-5
3,22,1.4032454866530486e-5
3,23,1.4032455210255534e-5
3,24,1.4032454915380299e-5
3,25,1.4032453776735565e-5
3,26,1.4032454777712644e-5
3,27,1.4032455099233232e-5
3,28,1.4032456148171946e-5
3,29,1.4032455219137319e-5
3,2,1.403246047892992e-5
3,30,1.4032454752843648e-5
3,3,1.4032458617307952e-5
3,4,1.4032455146306688e-5
3,5,1.4032434586752629e-5
3,6,1.4032456627788292e-5
3,7,9.35497013809794e-6
3,8,1.4032455208479178e-5
3,9,1.4032456799206727e-5
4,10,1.4032458975243856e-5
4,11,9.354970210040392e-6
4,12,1.4032455026402602e-5
4,13,1.403245502196171e-5
4,14,1.4032455261769883e-5
4,15,1.4032453494294828e-5
4,16,1.4032455613488537e-5
4,17,1.4032471183256234e-5
4,18,1.4032449142220571e-5
4,19,1.4032455389667575e-5
4,1,1.4032455107226838e-5
4,20,1.403245588704749e-5
4,21,1.4032454429546704e-5
4,22,9.354970329944479e-6
4,23,9.354970060826417e-6
4,24,1.4032454624057777e-5
4,25,9.35497133003338e-6
4,26,1.4032455883494777e-5
4,27,1.403245495978922e-5
4,28,1.4032453550250068e-5
4,29,1.403245509479234e-5
4,2,1.4032469697333738e-5
4,30,1.4032455373680364e-5
4,3,1.4032454641821346e-5
4,4,1.4032455048607062e-5
4,5,9.354929922267274e-6
4,6,9.354970027963816e-6
4,7,1.4032455251111742e-5
4,8,1.4032455204038286e-5
4,9,1.4032456639334612e-5
5,10,9.354968121044749e-6
5,11,9.354970124775264e-6
5,12,1.403245525732899e-5
5,13,1.4032454323853472e-5
5,14,1.403245383002627e-5
5,15,1.4032449970891037e-5
5,16,1.4032455174728398e-5
5,17,1.403244330866471e-5
5,18,9.354969599861818e-6
5,19,1.403245332465275e-5
5,1,9.354970180730504e-6
5,20,1.4032451595369366e-5
5,21,9.354970090136305e-6
5,22,1.4032454671131234e-5
5,23,1.4032454872747735e-5
5,24,1.4032455371015828e-5
5,25,1.4032457785972952e-5
5,26,9.354970147867903e-6
5,27,9.354970061714596e-6
5,28,1.4032461027824183e-5
5,29,1.4032454721757404e-5
5,2,9.354970588404399e-6
5,30,9.354969914276978e-6
5,3,9.35497084064707e-6
5,4,1.4032455043277992e-5
5,5,1.4032403999664211e-5
5,6,1.403245530262609e-5
5,7,1.4032454402013173e-5
5,8,1.4032455491808093e-5
5,9,1.4032454881629519e-5
6,10,1.4032458014234805e-5
6,11,1.4032455208479178e-5
6,12,1.4032455143642153e-5
6,13,1.4032455114332265e-5
6,14,1.4032449809242564e-5
6,15,9.35497106535621e-6
6,16,9.354969949804115e-6
6,17,1.4032444731526539e-5
6,18,1.4032453924173183e-5
6,19,1.4032448477863113e-5
6,1,1.4032455188939252e-5
6,20,1.403245400410924e-5
6,21,1.4032454856760523e-5
6,22,1.4032455315060588e-5
6,23,1.4032454386025961e-5
6,24,1.4032455313284231e-5
6,25,1.4032453023560265e-5
6,26,1.4032455169399327e-5
6,27,1.4032454885182233e-5
6,28,1.4032454960677399e-5
6,29,1.4032455479373596e-5
6,2,9.354970875286028e-6
6,30,1.4032455368351293e-5
6,3,1.4032449285217297e-5
6,4,1.403245492603844e-5
6,5,1.4032516475914747e-5
6,6,1.4032456860491038e-5
6,7,1.4032455614376715e-5
6,8,1.4032454977552788e-5
6,9,1.4032456396861903e-5
7,10,1.403245508946327e-5
7,11,9.354970138986118e-6
7,12,1.403245553888155e-5
7,13,1.4032454888734947e-5
7,14,1.4032457315238389e-5
7,15,1.4032449220380272e-5
7,16,1.403245489228766e-5
7,17,1.403245517384022e-5
7,18,1.4032451696621706e-5
7,19,1.4032451808532187e-5
7,1,9.35496997467311e-6
7,20,9.354969307651118e-6
7,21,9.354970880615099e-6
7,22,9.354970144315189e-6
7,23,9.35497000309482e-6
7,24,1.4032455883494777e-5
7,25,1.4032454227930202e-5
7,26,9.354970249120242e-6
7,27,1.4032455161405721e-5
7,28,1.4032457906765217e-5
7,29,9.354970209152214e-6
7,2,1.4032457405832588e-5
7,30,1.4032455166734792e-5
7,3,1.4032451428391823e-5
7,4,1.4032455023738066e-5
7,5,1.4032451876033747e-5
7,6,1.4032455577073222e-5
7,7,1.403245536479858e-5
7,8,1.4032455203150107e-5
7,9,9.354972595687627e-6
8,10,9.354968520725038e-6
8,11,1.4032455193380144e-5
8,12,1.403245508946327e-5
8,13,1.4032456086887635e-5
8,14,1.4032453142576173e-5
8,15,1.4032452304135745e-5
8,16,1.4032455216472783e-5
8,17,1.4032456888912748e-5
8,18,1.4032435601052384e-5
8,19,1.4032449962009252e-5
8,1,1.4032454879853162e-5
8,20,1.4032453842460768e-5
8,21,1.4032458878432408e-5
8,22,1.4032454990875465e-5
8,23,1.4032455334600513e-5
8,24,1.4032455070811523e-5
8,25,1.4032454323853472e-5
8,26,1.4032454270562766e-5
8,27,1.4032455115220444e-5
8,28,1.4032452273937679e-5
8,29,1.403245513387219e-5
8,2,1.4032455511348019e-5
8,30,1.4032454860313237e-5
8,3,9.354969369823607e-6
8,4,1.4032454653367665e-5
8,5,9.354962873686645e-6
8,6,1.4032462630986231e-5
8,7,1.4032455448287351e-5
8,8,9.354970032404708e-6
8,9,1.4032454652479487e-5
9,10,1.403245376252471e-5
9,11,1.4032455413648393e-5
9,12,9.354968880437298e-6
9,13,1.4032455378121256e-5
9,14,1.4032456304491348e-5
9,15,9.354968734776037e-6
9,16,1.4032455096568697e-5
9,17,1.4032455043277992e-5
9,18,1.4032455192491966e-5
9,19,1.403245478570625e-5
9,1,9.354969990660322e-6
9,20,1.4032452109624671e-5
9,21,1.4032454918933013e-5
9,22,1.403245493136751e-5
9,23,1.4032455447399172e-5
9,24,1.4032455512236197e-5
9,25,9.354969585650963e-6
9,26,9.354970015529318e-6
9,27,1.4032454657808557e-5
9,28,9.354971865604966e-6
9,29,1.4032455289303414e-5
9,2,1.4032457759327599e-5
9,30,9.354970233133031e-6
9,3,1.403245526354624e-5
9,4,1.4032454724421939e-5
9,5,1.4032395409202536e-5
9,6,1.4032452837042797e-5
9,7,9.354970013752961e-6
9,8,1.403245508946327e-5
9,9,1.4032468957481115e-5
10,10,1.4032457024804046e-5
10,11,1.4032455140977618e-5
10,12,1.4032453197643235e-5
10,13,1.4032454854984167e-5
10,14,1.4032454155099572e-5
10,15,1.403245537545672e-5
10,16,1.403245543762921e-5
10,17,1.4032453846013482e-5
10,18,1.4032450257772666e-5
10,19,1.4032447183787156e-5
10,1,1.4032455426971069e-5
10,20,1.4032453601764416e-5
10,21,1.4032457835710943e-5
10,22,9.354970089248127e-6
10,23,1.4032455514012554e-5
10,24,9.354969789932e-6
10,25,1.403245760123184e-5
10,26,1.4032454876300449e-5
10,27,1.4032455171175684e-5
10,28,1.4032455217360962e-5
10,29,1.4032455112555908e-5
10,2,9.354970269548346e-6
10,30,1.4032455258217169e-5
10,3,9.354971328257022e-6
10,4,9.354970136321583e-6
10,5,1.4032429318078243e-5
10,6,1.4032458294011008e-5
10,7,1.4032454749290935e-5
10,8,9.35497095344573e-6
10,9,1.4032460871504782e-5
11,10,1.4032444184408632e-5
11,11,1.4032454905610336e-5
11,12,9.35497022247489e-6
11,13,1.403245501574446e-5
11,14,1.4032459988655432e-5
11,15,9.354966745256377e-6
11,16,9.354970091912662e-6
11,17,1.4032448627077088e-5
11,18,1.4032459461077451e-5
11,19,1.4032448016898513e-5
11,1,9.354969955133186e-6
11,20,1.4032452432033438e-5
11,21,1.4032459407786746e-5
11,22,1.4032455309731517e-5
11,23,1.4032455057488846e-5
11,24,1.4032455026402602e-5
11,25,1.4032455638357533e-5
11,26,9.354970046615563e-6
11,27,1.4032454683565732e-5
11,28,9.354969546571112e-6
11,29,1.4032455388779397e-5
11,2,1.403246309283901e-5
11,30,1.4032455047718884e-5
11,3,1.403245807374276e-5
11,4,9.35497005905006e-6
11,5,1.4032437625211003e-5
11,6,9.354970998742829e-6
11,7,1.4032455325718729e-5
11,8,1.4032454833667884e-5
11,9,1.4032438097721922e-5
12,10,1.4032454546786255e-5
12,11,9.354970011976604e-6
12,12,1.403245529107977e-5
12,13,1.4032454585866105e-5
12,14,1.4032457835710943e-5
12,15,1.4032454444645737e-5
12,16,1.4032455197821037e-5
12,17,1.4032453659496014e-5
12,18,9.354970834429821e-6
12,19,1.4032454472179268e-5
12,1,1.4032455046830705e-5
12,20,9.354969443542416e-6
12,21,1.4032450826206855e-5
12,22,9.354970115005301e-6
12,23,1.4032455051271597e-5
12,24,1.4032455168511149e-5
12,25,1.4032455554868761e-5
12,26,1.4032455380785791e-5
12,27,9.354970061714596e-6
12,28,1.4032458746982002e-5
12,29,1.4032455077028771e-5
12,2,1.4032458039103801e-5
12,30,9.354969965791327e-6
12,3,9.354969306762939e-6
12,4,1.4032455244006314e-5
12,5,1.4032428919286133e-5
12,6,1.4032463854007915e-5
12,7,9.354970099906268e-6
12,8,9.354970061714596e-6
12,9,1.4032451716161631e-5
13,10,9.354969499497656e-6
13,11,1.4032455109891373e-5
13,12,1.403245518449836e-5
13,13,1.4032454945578365e-5
13,14,1.4032455135648547e-5
13,15,9.354970150532438e-6
13,16,9.354970129216156e-6
13,17,1.4032453732326644e-5
13,18,1.4032447982259555e-5
13,19,1.4032450061485235e-5
13,1,1.4032455084134199e-5
13,20,1.4032452146039986e-5
13,21,1.4032456489232459e-5
13,22,1.4032455194268323e-5
13,23,1.4032454895840374e-5
13,24,9.35497000842389e-6
13,25,1.4032458094170863e-5
13,26,1.4032455082357842e-5
13,27,1.4032454535239935e-5
13,28,1.4032454277668194e-5
13,29,1.4032454883405876e-5
13,2,1.4032454648926773e-5
13,30,1.4032455135648547e-5
13,3,1.4032453849566195e-5
13,4,1.4032455188939252e-5
13,5,1.4032473542258117e-5
13,6,1.4032456812529404e-5
13,7,1.4032454796364391e-5
13,8,1.4032454803469818e-5
13,9,9.35497220666548e-6
14,10,1.4032462717139538e-5
14,11,1.4032455023738066e-5
14,12,1.4032455062817917e-5
14,13,1.4032456304491348e-5
14,14,9.354969408903457e-6
14,15,1.4032455805335076e-5
14,16,1.4032455641910246e-5
14,17,1.4032444616063344e-5
14,18,1.4032455478485417e-5
14,19,1.4032453464096761e-5
14,1,9.354970172736898e-6
14,20,1.4032453214518625e-5
14,21,9.354970998742829e-6
14,22,1.4032455095680518e-5
14,23,9.354970129216156e-6
14,24,1.4032455698753665e-5
14,25,1.4032454412671314e-5
14,26,1.4032455347035011e-5
14,27,9.354970009312069e-6
14,28,1.403245374032025e-5
14,29,1.4032454962453755e-5
14,2,1.4032456716606134e-5
14,30,9.35497005905006e-6
14,3,1.4032450220469173e-5
14,4,1.4032454878076805e-5
14,5,1.4032411344899742e-5
14,6,1.4032456197909937e-5
14,7,9.354970000430285e-6
14,8,9.35497004217467e-6
14,9,1.403245920350571e-5
15,10,1.4032447298362172e-5
15,11,9.354970194941359e-6
15,12,1.4032455215584605e-5
15,13,1.4032454367374214e-5
15,14,1.4032461077562175e-5
15,15,9.354969760622112e-6
15,16,9.354969963126791e-6
15,17,9.354968017127874e-6
15,18,1.4032442267719603e-5
15,19,9.354969915165157e-6
15,1,1.403245518982743e-5
15,20,1.4032454112467008e-5
15,21,1.4032448799383701e-5
15,22,1.4032455828427715e-5
15,23,1.4032454968671004e-5
15,24,9.354970187835931e-6
15,25,1.4032461251645145e-5
15,26,1.4032453999668348e-5
15,27,1.4032455660561993e-5
15,28,1.403245676989684e-5
15,29,1.4032455991852544e-5
15,2,1.4032456385315584e-5
15,30,1.4032455450063708e-5
15,3,1.4032458639512413e-5
15,4,1.403245519071561e-5
15,5,9.354933567351509e-6
15,6,1.403245534170594e-5
