Time,Scenario,Residual
1,10,1.536609092234187e-5
1,11,1.536609066388195e-5
1,12,1.536609074648254e-5
1,13,1.536609074648254e-5
1,14,1.5366090476476302e-5
1,15,1.536608975882814e-5
1,16,1.536609074204165e-5
1,17,1.5366089953339213e-5
1,18,1.5366088266688394e-5
1,19,1.5366089576751563e-5
1,1,1.5366090794444176e-5
1,20,1.536609169683345e-5
1,21,1.0244060534070343e-5
1,22,1.5366090795332354e-5
1,23,1.5366090676316446e-5
1,24,1.536609071273176e-5
1,25,1.5366094374691386e-5
1,26,1.5366090654111986e-5
1,27,1.536609074115347e-5
1,28,1.5366092893209782e-5
1,29,1.5366090723389902e-5
1,2,1.5366090605262173e-5
1,30,1.536609070829087e-5
1,3,1.536609348384843e-5
1,4,1.024406048522053e-5
1,5,1.5366081766998718e-5
1,6,1.5366090153179357e-5
1,7,1.5366090670099197e-5
1,8,1.536609074648254e-5
1,9,1.024406091776342e-5
2,10,1.5366102039671148e-5
2,11,1.536609074204165e-5
2,12,1.53660907811215e-5
2,13,1.536609074115347e-5
2,14,1.5366091693280737e-5
2,15,1.536609054575422e-5
2,16,1.5366090734048043e-5
2,17,1.5366092797286512e-5
2,18,1.53660906905273e-5
2,19,1.0244059348352152e-5
2,1,1.5366090703849977e-5
2,20,1.5366090801549603e-5
2,21,1.5366090681645517e-5
2,22,1.5366090748258898e-5
2,23,1.5366090767798823e-5
2,24,1.5366090759805218e-5
2,25,1.0244060713482384e-5
2,26,1.0244060477226924e-5
2,27,1.5366090740265292e-5
2,28,1.536608932450889e-5
2,29,1.5366090721613546e-5
2,2,1.536608684737928e-5
2,30,1.5366090722501724e-5
2,3,1.5366092718238633e-5
2,4,1.5366090721613546e-5
2,5,1.536609312502435e-5
2,6,1.536609124741517e-5
2,7,1.536609078023332e-5
2,8,1.536609071983719e-5
2,9,1.536609036456582e-5
3,10,1.5366092199542436e-5
3,11,1.5366090755364326e-5
3,12,1.024406050742499e-5
3,13,1.5366090693191836e-5
3,14,1.536609094365815e-5
3,15,1.0244059938102623e-5
3,16,1.5366090728718973e-5
3,17,1.536608992758204e-5
3,18,1.0244060733022309e-5
3,19,1.5366090489798978e-5
3,1,1.0244060436370717e-5
3,20,1.536609137708922e-5
3,21,1.536609468200112e-5
3,22,1.5366090801549603e-5
3,23,1.5366090734048043e-5
3,24,1.5366090829083134e-5
3,25,1.5366091592028397e-5
3,26,1.5366090714508118e-5
3,27,1.5366090705626334e-5
3,28,1.536609152896773e-5
3,29,1.5366090744706185e-5
3,2,1.5366092931401454e-5
3,30,1.5366090790003284e-5
3,3,1.536609183716564e-5
3,4,1.5366090755364326e-5
3,5,1.5366093562008132e-5
3,6,1.5366092389612618e-5
3,7,1.0244060511865882e-5
3,8,1.536609074115347e-5
3,9,1.5366091097313017e-5
4,10,1.53660935469091e-5
4,11,1.024406046212789e-5
4,12,1.5366090720725367e-5
4,13,1.536609072427808e-5
4,14,1.536609265873068e-5
4,15,1.536608962382502e-5
4,16,1.5366090632795704e-5
4,17,1.53660912420861e-5
4,18,1.536609268004696e-5
4,19,1.536608815655427e-5
4,1,1.5366090766022467e-5
4,20,1.5366092305235668e-5
4,21,1.5366091678181704e-5
4,22,1.02440604905496e-5
4,23,1.0244060501207741e-5
4,24,1.536609061769667e-5
4,25,1.0244060425712576e-5
4,26,1.5366090742929828e-5
4,27,1.5366090737600757e-5
4,28,1.536608980323706e-5
4,29,1.5366090710955405e-5
4,2,1.5366085513335292e-5
4,30,1.536609063013117e-5
4,3,1.536609116836729e-5
4,4,1.5366090716284475e-5
4,5,1.0244063273212589e-5
4,6,1.0244061055431075e-5
4,7,1.5366090731383508e-5
4,8,1.5366090728718973e-5
4,9,1.5366086214108066e-5
5,10,1.0244062190523096e-5
5,11,1.0244060459463356e-5
5,12,1.53660906452302e-5
5,13,1.5366090616808492e-5
5,14,1.5366089018087337e-5
5,15,1.5366090315716008e-5
5,16,1.5366090833524026e-5
5,17,1.5366089092694324e-5
5,18,1.0244059229336244e-5
5,19,1.5366088733870242e-5
5,1,1.024406051897131e-5
5,20,1.5366091763446832e-5
5,21,1.0244060585584691e-5
5,22,1.5366090748258898e-5
5,23,1.53660906576647e-5
5,24,1.536609082020135e-5
5,25,1.5366093846225226e-5
5,26,1.0244060469233318e-5
5,27,1.0244060537623056e-5
5,28,1.536609084773488e-5
5,29,1.5366090757140682e-5
5,2,1.024405972671616e-5
5,30,1.0244060523412202e-5
5,3,1.0244060945296951e-5
5,4,1.536609079266782e-5
5,5,1.536605062923968e-5
5,6,1.536609068519823e-5
5,7,1.5366090701185442e-5
5,8,1.5366090720725367e-5
5,9,1.5366091611568322e-5
6,10,1.5366090739377114e-5
6,11,1.536609078023332e-5
6,12,1.536609071361994e-5
6,13,1.5366090757140682e-5
6,14,1.5366088913282283e-5
6,15,1.024406006333578e-5
6,16,1.0244060521635845e-5
6,17,1.536609088859109e-5
6,18,1.5366086214996244e-5
6,19,1.5366085847290378e-5
6,1,1.5366090737600757e-5
6,20,1.5366091171031826e-5
6,21,1.536609072516626e-5
6,22,1.5366090731383508e-5
6,23,1.5366090737600757e-5
6,24,1.5366090703849977e-5
6,25,1.5366090655888343e-5
6,26,1.5366090908131014e-5
6,27,1.5366090709179048e-5
6,28,1.536609166397085e-5
6,29,1.536609083796492e-5
6,2,1.0244060436370717e-5
6,30,1.536609063990113e-5
6,3,1.5366089946233785e-5
6,4,1.536609073049533e-5
6,5,1.5366177438913553e-5
6,6,1.5366088456758575e-5
6,7,1.5366090759805218e-5
6,8,1.53660907358244e-5
6,9,1.5366091778545865e-5
7,10,1.5366093711222106e-5
7,11,1.0244060475450567e-5
7,12,1.5366090782009678e-5
7,13,1.5366090649671094e-5
7,14,1.5366089772150815e-5
7,15,1.5366090670099197e-5
7,16,1.536609079799689e-5
7,17,1.5366088436330472e-5
7,18,1.5366091109747515e-5
7,19,1.536608890972957e-5
7,1,1.0244060489661422e-5
7,20,1.0244060543840305e-5
7,21,1.0244061042108399e-5
7,22,1.024406049676685e-5
7,23,1.024406042926529e-5
7,24,1.5366091121293834e-5
7,25,1.536609066210559e-5
7,26,1.0244060510977704e-5
7,27,1.536609070829087e-5
7,28,1.5366092103619167e-5
7,29,1.0244060499431384e-5
7,2,1.536609026953073e-5
7,30,1.5366090802437782e-5
7,3,1.5366093828461658e-5
7,4,1.5366090715396297e-5
7,5,1.536607952346003e-5
7,6,1.5366094233471017e-5
7,7,1.536609065144745e-5
7,8,1.53660906452302e-5
7,9,1.0244060991482229e-5
8,10,1.0244064696962596e-5
8,11,1.536609075358797e-5
8,12,1.53660906452302e-5
8,13,1.5366090541313326e-5
8,14,1.5366089844093267e-5
8,15,1.5366091313140373e-5
8,16,1.5366090710955405e-5
8,17,1.536609125363242e-5
8,18,1.536609206809203e-5
8,19,1.536609105023956e-5
8,1,1.5366090748258898e-5
8,20,1.5366091945523408e-5
8,21,1.5366090490687156e-5
8,22,1.536609074737072e-5
8,23,1.53660907358244e-5
8,24,1.5366090698520907e-5
8,25,1.5366090615032135e-5
8,26,1.5366090755364326e-5
8,27,1.5366090675428268e-5
8,28,1.5366092446456037e-5
8,29,1.5366090682533695e-5
8,2,1.5366084990198203e-5
8,30,1.5366090751811612e-5
8,3,1.024406023208968e-5
8,4,1.536609071983719e-5
8,5,1.0244049145846645e-5
8,6,1.536608913355053e-5
8,7,1.536609075891704e-5
8,8,1.0244060492325957e-5
8,9,1.536608938224049e-5
9,10,1.536609464736216e-5
9,11,1.5366090697632728e-5
9,12,1.0244061141584382e-5
9,13,1.5366090602597637e-5
9,14,1.5366090575952285e-5
9,15,1.0244060898223495e-5
9,16,1.5366090742929828e-5
9,17,1.5366091625779177e-5
9,18,1.536609196062244e-5
9,19,1.536609011765222e-5
9,1,1.0244060483444173e-5
9,20,1.5366090869051163e-5
9,21,1.5366091012936067e-5
9,22,1.5366090783786035e-5
9,23,1.5366090751811612e-5
9,24,1.536609075891704e-5
9,25,1.0244060629105434e-5
9,26,1.0244060476338746e-5
9,27,1.536609070207362e-5
9,28,1.024406119309873e-5
9,29,1.5366090767798823e-5
9,2,1.5366089693102936e-5
9,30,1.0244060498543206e-5
9,3,1.536609197749783e-5
9,4,1.5366090794444176e-5
9,5,1.5366083353285376e-5
9,6,1.536609256280741e-5
9,7,1.0244060510089525e-5
9,8,1.5366090740265292e-5
9,9,1.5366087072976597e-5
10,10,1.5366096618230074e-5
10,11,1.536609071894901e-5
10,12,1.5366092250168606e-5
10,13,1.5366090834412205e-5
10,14,1.5366090187818315e-5
10,15,1.536608961139052e-5
10,16,1.536609071273176e-5
10,17,1.536609177588133e-5
10,18,1.5366089742840927e-5
10,19,1.536609063013117e-5
10,1,1.5366090726942616e-5
10,20,1.536609097829711e-5
