Time,Scenario,Residual
1,10,1.1052232594011002e-5
1,11,1.1052232955499619e-5
1,12,1.1052232996355826e-5
1,13,1.1052233034547498e-5
1,14,1.1052233452879534e-5
1,15,1.1052233230834929e-5
1,16,1.1052232979480436e-5
1,17,1.1052232925301553e-5
1,18,1.1052232558483865e-5
1,19,1.105223274677769e-5
1,1,1.1052232757435831e-5
1,20,1.1052231904784549e-5
1,21,7.368155137577048e-6
1,22,1.1052233029218428e-5
1,23,1.105223312336534e-5
1,24,1.1052232919084304e-5
1,25,1.1052235383779418e-5
1,26,1.1052233046093818e-5
1,27,1.1052232998132183e-5
1,28,1.1052231734254292e-5
1,29,1.1052232980368615e-5
1,2,1.105223299990854e-5
1,30,1.1052233002573075e-5
1,3,1.1052233070962814e-5
1,4,7.368155364950724e-6
1,5,1.1052229945462955e-5
1,6,1.1052234595076982e-5
1,7,1.105223313491166e-5
1,8,1.105223293240698e-5
1,9,7.36815479918107e-6
2,10,1.1052233885422424e-5
2,11,1.1052233012343038e-5
2,12,1.1052233075403706e-5
2,13,1.105223296082869e-5
2,14,1.1052234559549845e-5
2,15,1.1052232446573385e-5
2,16,1.1052233058528316e-5
2,17,1.1052232562036579e-5
2,18,1.1052232259167738e-5
2,19,7.3681555017302e-6
2,1,1.1052233047870175e-5
2,20,1.1052232088637481e-5
2,21,1.1052233600317152e-5
2,22,1.1052233115371735e-5
2,23,1.1052232956387797e-5
2,24,1.1052232894215308e-5
2,25,7.368155055864634e-6
2,26,7.368155335640836e-6
2,27,1.1052232963493225e-5
2,28,1.1052233156227942e-5
2,29,1.1052232973263187e-5
2,2,1.1052233960029412e-5
2,30,1.1052233054975602e-5
2,3,1.1052231757346931e-5
2,4,1.1052232992803113e-5
2,5,1.1052235880271155e-5
2,6,1.1052233161557012e-5
2,7,1.1052233049646532e-5
2,8,1.1052232989250399e-5
2,9,1.1052232474995094e-5
3,10,1.1052233104713594e-5
3,11,1.1052232951058727e-5
3,12,7.368155300113699e-6
3,13,1.1052233098496345e-5
3,14,1.1052233324093663e-5
3,15,7.368155591436221e-6
3,16,1.1052232936847872e-5
3,17,1.105223285424728e-5
3,18,7.368154661513415e-6
3,19,1.1052233077180063e-5
3,1,7.368155369391616e-6
3,20,1.1052233273467493e-5
3,21,1.1052232520292193e-5
3,22,1.1052233070074635e-5
3,23,1.1052233018560287e-5
3,24,1.1052233094943631e-5
3,25,1.1052231739583362e-5
3,26,1.1052233012343038e-5
3,27,1.1052233030106606e-5
3,28,1.1052233670483247e-5
3,29,1.1052233021224822e-5
3,2,1.1052233604758044e-5
3,30,1.1052233169550618e-5
3,3,1.1052231826624848e-5
3,4,1.105223294928237e-5
3,5,1.1052235852737624e-5
3,6,1.1052233070074635e-5
3,7,7.368155345410798e-6
3,8,1.1052232892438951e-5
3,9,1.1052234136776917e-5
4,10,1.1052231301711402e-5
4,11,7.368155333864479e-6
4,12,1.1052233092279096e-5
4,13,1.1052232880892632e-5
4,14,1.105223403996547e-5
4,15,1.1052234260233718e-5
4,16,1.1052232810726537e-5
4,17,1.1052233406694256e-5
4,18,1.1052228517272056e-5
4,19,1.1052233132247125e-5
4,1,1.1052232890662594e-5
4,20,1.1052232979480436e-5
4,21,1.1052232553154795e-5
4,22,7.36815532764723e-6
4,23,7.368155237053031e-6
4,24,1.105223301145486e-5
4,25,7.368155560349976e-6
4,26,1.1052232917307947e-5
4,27,1.1052233039876569e-5
4,28,1.1052233007013967e-5
4,29,1.1052233012343038e-5
4,2,1.1052234152764129e-5
4,30,1.105223284803003e-5
4,3,1.1052233521269272e-5
4,4,1.1052233037212034e-5
4,5,7.368154386178105e-6
4,6,7.3681556651550295e-6
4,7,1.1052233019448465e-5
4,8,1.1052232985697685e-5
4,9,1.1052229978325556e-5
5,10,7.3681547867465724e-6
5,11,7.368155228171247e-6
5,12,1.1052233127806232e-5
5,13,1.105223305053471e-5
5,14,1.105223518038656e-5
5,15,1.1052233133135303e-5
5,16,1.1052232965269582e-5
5,17,1.1052235056041582e-5
5,18,7.3681556544968885e-6
5,19,1.1052233748642948e-5
5,1,7.368155357845296e-6
5,20,1.1052232238739634e-5
5,21,7.368154566478324e-6
5,22,1.1052232999020362e-5
5,23,1.1052233034547498e-5
5,24,1.1052232924413374e-5
5,25,1.1052233192643257e-5
5,26,7.368155346298977e-6
5,27,7.368155358733475e-6
5,28,1.1052232373742754e-5
5,29,1.1052232981256793e-5
5,2,7.368155579001723e-6
5,30,7.368155326759052e-6
5,3,7.368155408471466e-6
5,4,1.1052232993691291e-5
5,5,1.1052218464868702e-5
5,6,1.1052233058528316e-5
5,7,1.1052233090502739e-5
5,8,1.1052233070074635e-5
5,9,1.1052231530861434e-5
6,10,1.1052232515851301e-5
6,11,1.1052233018560287e-5
6,12,1.105223301678393e-5
6,13,1.1052232980368615e-5
6,14,1.1052235425523804e-5
6,15,7.368156007103721e-6
6,16,7.368155320541803e-6
6,17,1.1052235397102095e-5
6,18,1.1052232283148555e-5
6,19,1.1052232944841478e-5
6,1,1.1052233073627349e-5
6,20,1.1052230393104878e-5
6,21,1.1052235192821058e-5
6,22,1.1052232948394192e-5
6,23,1.105223305586378e-5
6,24,1.1052233066521922e-5
6,25,1.1052229999641838e-5
6,26,1.105223297770408e-5
6,27,1.1052233121588984e-5
6,28,1.1052231958963432e-5
6,29,1.1052232953723262e-5
6,2,7.368155492848416e-6
6,30,1.1052232885333524e-5
6,3,1.1052234743402778e-5
6,4,1.1052232943065121e-5
6,5,1.1052247532283843e-5
6,6,1.105223360120533e-5
6,7,1.1052233161557012e-5
6,8,1.1052232790298433e-5
6,9,1.1052231922548117e-5
7,10,1.1052230753705317e-5
7,11,7.368155319653624e-6
7,12,1.105223341557604e-5
7,13,1.1052233117148091e-5
7,14,1.1052233495512098e-5
7,15,1.1052232435915244e-5
7,16,1.1052232940400586e-5
7,17,1.1052236010833383e-5
7,18,1.1052229941022063e-5
7,19,1.1052233066521922e-5
7,1,7.3681552841264875e-6
7,20,7.368155023002032e-6
7,21,7.368155245934815e-6
7,22,7.368155406695109e-6
7,23,7.368155372056151e-6
7,24,1.1052233329422734e-5
7,25,1.1052232821384678e-5
7,26,7.3681553161009106e-6
7,27,1.1052233090502739e-5
7,28,1.105223199360239e-5
7,29,7.368155336529014e-6
7,2,1.1052233214847718e-5
7,30,1.1052233038100212e-5
7,3,1.1052241358555648e-5
7,4,1.1052232962605046e-5
7,5,1.1052229323738061e-5
7,6,1.1052238157560623e-5
7,7,1.1052233083397311e-5
7,8,1.10522329439533e-5
7,9,7.3681553667270805e-6
8,10,7.368154768983004e-6
8,11,1.105223302833025e-5
8,12,1.1052233238828535e-5
8,13,1.1052232296471232e-5
8,14,1.1052234000885619e-5
8,15,1.1052234540898098e-5
8,16,1.1052233104713594e-5
8,17,1.1052232681052487e-5
8,18,1.105223407904532e-5
8,19,1.1052232546049368e-5
8,1,1.1052233119812627e-5
8,20,1.1052233789499155e-5
8,21,1.1052232551378438e-5
8,22,1.1052232880004453e-5
8,23,1.1052233043429283e-5
8,24,1.1052232958164154e-5
8,25,1.1052232574471077e-5
8,26,1.1052232999020362e-5
8,27,1.1052232826713748e-5
8,28,1.1052234690112073e-5
8,29,1.1052233178432402e-5
8,2,1.1052231068120477e-5
8,30,1.1052233034547498e-5
8,3,7.3681557308802326e-6
8,4,1.105223318553783e-5
8,5,7.3681599461750125e-6
8,6,1.105223262864996e-5
8,7,1.1052233057640137e-5
8,8,7.368155336529014e-6
8,9,1.1052232199659784e-5
9,10,1.1052231903008192e-5
9,11,1.1052233029218428e-5
9,12,7.368155409359645e-6
9,13,1.1052233054975602e-5
9,14,1.1052233890751495e-5
9,15,7.368155407583288e-6
9,16,1.1052233029218428e-5
9,17,1.105223350528206e-5
9,18,1.1052232753883118e-5
9,19,1.1052233467090389e-5
9,1,7.368155347187155e-6
9,20,1.1052231929653544e-5
9,21,1.1052232985697685e-5
9,22,1.1052232929742445e-5
9,23,1.1052232953723262e-5
9,24,1.1052232968822295e-5
9,25,7.3681553116600185e-6
9,26,7.368155418241429e-6
9,27,1.1052232823161035e-5
9,28,7.368155880094207e-6
9,29,1.1052232959052333e-5
9,2,1.1052233002573075e-5
9,30,7.368155356957118e-6
9,3,1.105223451780546e-5
9,4,1.105223279740386e-5
9,5,1.1052223843677211e-5
9,6,1.1052234377473269e-5
9,7,7.3681553116600185e-6
9,8,1.1052233030994785e-5
9,9,1.1052225399765803e-5
10,10,1.1052234482278323e-5
10,11,1.1052233048758353e-5
10,12,1.1052232896879843e-5
10,13,1.105223291020252e-5
10,14,1.1052234038189113e-5
10,15,1.1052234128783311e-5
10,16,1.105223291020252e-5
10,17,1.1052234064834465e-5
10,18,1.1052234423658547e-5
10,19,1.1052232638419923e-5
10,1,1.1052233052311067e-5
10,20,1.1052230688868292e-5
10,21,1.1052234745179135e-5
10,22,7.368155329423587e-6
10,23,1.1052233073627349e-5
10,24,7.368155031883816e-6
10,25,1.105223211794737e-5
10,26,1.1052233062969208e-5
10,27,1.1052233009678503e-5
10,28,1.1052235868724836e-5
10,29,1.1052233059416494e-5
10,2,7.368155210407679e-6
10,30,1.1052233093167274e-5
10,3,7.3681554004778604e-6
10,4,7.368155326759052e-6
10,5,1.1052226569496781e-5
10,6,1.1052233684694102e-5
10,7,1.1052233046981996e-5
10,8,7.36815541202418e-6
10,9,1.1052231537966861e-5
11,10,1.1052231976727e-5
11,11,1.1052232907537984e-5
11,12,7.368155333864479e-6
11,13,1.1052233002573075e-5
11,14,1.105223370245767e-5
11,15,7.368155894305062e-6
11,16,7.368155351628047e-6
11,17,1.105223284803003e-5
11,18,1.1052232008701424e-5
11,19,1.1052233602093509e-5
11,1,7.368155268139276e-6
11,20,1.1052233691799529e-5
11,21,1.1052229490715604e-5
11,22,1.1052233041652926e-5
11,23,1.1052233002573075e-5
11,24,1.1052232934183337e-5
11,25,1.1052233728214844e-5
11,26,7.368155355180761e-6
11,27,1.1052232856911814e-5
11,28,7.36815573798566e-6
11,29,1.1052233149122515e-5
11,2,1.105223247144238e-5
11,30,1.1052233008790324e-5
11,3,1.105223284270096e-5
11,4,7.368155290343736e-6
11,5,1.1052240196818275e-5
11,6,7.3681562131611145e-6
11,7,1.1052233066521922e-5
11,8,1.1052233073627349e-5
11,9,1.1052230154184883e-5
12,10,1.1052233727326666e-5
12,11,7.368155279685595e-6
12,12,1.1052233074515527e-5
12,13,1.1052233096719988e-5
12,14,1.1052234953012885e-5
12,15,1.1052234739850064e-5
12,16,1.1052232828490105e-5
12,17,1.1052232956387797e-5
12,18,7.368155650944175e-6
12,19,1.1052233418240576e-5
12,1,1.1052246801313004e-5
12,20,7.368154879117128e-6
12,21,1.1052232877339918e-5
12,22,7.368155343634442e-6
12,23,1.1052233047870175e-5
12,24,1.1052233041652926e-5
12,25,1.105223333119909e-5
12,26,1.105223312336534e-5
12,27,7.3681552885673796e-6
12,28,1.105223742836614e-5
12,29,1.1052233020336644e-5
12,2,1.1052232219199709e-5
12,30,7.368155307219126e-6
12,3,7.368155475973026e-6
12,4,1.1052233077180063e-5
12,5,1.105223852437831e-5
12,6,1.1052235255881726e-5
12,7,7.368155357845296e-6
12,8,7.3681553010018774e-6
12,9,1.105223218544893e-5
13,10,7.3681553782734e-6
13,11,1.1052233234387643e-5
