Y,T,Weights
26,1,3
26,2,7
26,3,2
26,4,4
26,5,5
26,6,2
26,7,10
26,8,1
26,9,4
26,10,1
26,11,1
26,12,5
26,13,2
26,14,2
26,15,2
26,16,2
26,17,2
26,18,2
26,19,2
26,20,4
26,21,6
26,22,2
26,23,8
26,24,2
26,25,1
26,26,4
26,27,2
26,28,4
26,29,2
26,30,1
26,31,8
26,32,1
26,33,8
26,34,4
26,35,2
26,36,1
26,37,8
26,38,1
26,39,3
26,40,3
26,41,2
26,42,4
26,43,2
26,44,1
26,45,2
26,46,2
26,47,3
26,48,1
26,49,1
26,50,2
26,51,7
26,52,3
26,53,2
26,54,1
26,55,5
26,56,3
26,57,3
26,58,5
26,59,1
26,60,4
26,61,1
26,62,1
26,63,1
26,64,9
26,65,2
26,66,1
26,67,2
26,68,3
26,69,1
26,70,1
26,71,2
26,72,2
26,73,1
26,74,10
26,75,2
26,76,3
26,77,1
26,78,2
26,79,2
26,80,2
26,81,2
26,82,8
26,83,2
26,84,3
26,85,4
26,86,4
26,87,2
26,88,1
26,89,4
26,90,4
26,91,3
26,92,3
26,93,2
26,94,2
26,95,3
26,96,2
26,97,1
26,98,3
26,99,5
26,100,3
26,101,4
26,102,2
26,103,5
26,104,2
26,105,8
26,106,1
26,107,2
26,108,4
26,109,3
26,110,1
26,111,1
26,112,2
26,113,2
26,114,8
26,115,1
26,116,7
26,117,2
26,118,3
26,119,2
26,120,1
26,121,3
26,122,2
26,123,1
26,124,3
26,125,1
26,126,1
26,127,4
26,128,3
26,129,3
26,130,2
26,131,4
26,132,7
26,133,1
26,134,4
26,135,3
26,136,2
26,137,2
26,138,2
26,139,3
26,140,4
26,141,1
26,142,1
26,143,2
26,144,4
26,145,2
26,146,4
26,147,1
26,148,2
26,149,3
26,150,4
26,151,1
26,152,2
26,153,1
26,154,4
26,155,1
26,156,2
26,157,4
26,158,2
26,159,8
26,160,1
26,161,2
26,162,4
26,163,3
26,164,3
26,165,2
26,166,1
26,167,8
26,168,3
26,169,4
26,170,2
26,171,4
26,172,2
26,173,1
26,174,8
26,175,2
26,176,1
26,177,5
26,178,2
26,179,2
26,180,2
26,181,2
26,182,3
26,183,4
26,184,2
26,185,1
26,186,6
26,187,2
26,188,2
26,189,2
26,190,2
26,191,3
26,192,4
26,193,3
26,194,1
26,195,4
26,196,1
26,197,2
26,198,2
26,199,2
26,200,2
26,201,4
26,202,4
26,203,2
26,204,1
26,205,4
26,206,3
26,207,3
26,208,2
26,209,1
26,210,4
26,211,3
26,212,1
26,213,2
26,214,1
26,215,3
26,216,2
26,217,2
