Y,T,PV,Wind
30,1,0.0,0.5475
30,2,0.0,0.42445
30,3,0.0004,0.32836
30,4,0.057,0.2869
30,5,0.136,0.2582
30,6,0.19299999999999998,0.23346666666666668
30,7,0.099,0.2314
30,8,0.0025,0.21476666666666666
30,9,0.0,0.15265
30,10,0.0,0.097175
30,11,0.003,0.08505
30,12,0.077,0.0737
30,13,0.20600000000000002,0.05005
30,14,0.099,0.0418
30,15,0.009,0.046299999999999994
30,16,0.0,0.05463333333333333
30,17,0.0,0.057749999999999996
30,18,0.0,0.0621
30,19,0.0006000000000000001,0.0738
30,20,0.088,0.1011
30,21,0.20500000000000002,0.07805000000000001
30,22,0.105,0.0874
30,23,0.0105,0.1096
30,24,0.0,0.13336666666666666
30,25,0.0,0.1283
30,26,0.0,0.1393
30,27,0.001142857142857143,0.16502857142857144
30,28,0.062,0.1758
30,29,0.1405,0.17545
30,30,0.030333333333333334,0.21436666666666668
30,31,0.0,0.2022
30,32,0.0,0.17965
30,33,0.0,0.17665
30,34,0.0,0.167725
30,35,0.0,0.1396
30,36,0.0275,0.13115
30,37,0.11599999999999999,0.14015
30,38,0.029,0.15475
30,39,0.0,0.166025
30,40,0.0,0.19325
30,41,0.0,0.2143
30,42,0.0,0.2301375
30,43,0.0,0.1777
30,44,0.008,0.133
30,45,0.07225,0.067575
30,46,0.012000000000000002,0.06326666666666667
30,47,0.0,0.09923333333333334
30,48,0.0,0.18575
30,49,0.0,0.2534
30,50,0.0,0.32993333333333336
30,51,0.0,0.42969999999999997
30,52,0.0,0.5455
30,53,0.0,0.6213
30,54,0.0,0.6789
30,55,0.019666666666666666,0.7392666666666666
30,56,0.07266666666666667,0.7996333333333334
30,57,0.017,0.8435
30,58,0.0,0.8364333333333334
30,59,0.0,0.7968500000000001
30,60,0.0,0.76005
30,61,0.0,0.7088
30,62,0.0,0.63495
30,63,0.0,0.5361
30,64,0.0,0.4631
30,65,0.0015,0.4379
30,66,0.071,0.4189
30,67,0.174,0.3859
30,68,0.251,0.3791
30,69,0.141,0.3677
30,70,0.0155,0.36475
30,71,0.0,0.31906666666666667
30,72,0.0,0.27990000000000004
30,73,0.0,0.2598
30,74,0.0,0.18963750000000001
30,75,0.004,0.1353
30,76,0.082,0.1136
30,77,0.20224999999999999,0.09632500000000001
30,78,0.0575,0.10175000000000001
30,79,0.0,0.14695
30,80,0.0,0.16115000000000002
30,81,0.0,0.1704
30,82,0.0,0.18055555555555555
30,83,0.016,0.2163
30,84,0.08099999999999999,0.21195999999999998
30,85,0.0045,0.25815
30,86,0.0,0.2592666666666667
30,87,0.0,0.26003333333333334
30,88,0.0,0.26073999999999997
30,89,0.0004,0.22274000000000002
30,90,0.03,0.1935
30,91,0.102,0.169375
30,92,0.034,0.2132
30,93,0.0,0.290175
30,94,0.0,0.38634999999999997
30,95,0.0,0.5142
30,96,0.0,0.5898
30,97,0.0,0.6479
30,98,0.0,0.6603
30,99,0.02275,0.6724875
30,100,0.0,0.683425
30,101,0.0,0.7247
30,102,0.0,0.7581
30,103,0.0,0.8127375
30,104,0.01,0.8372333333333333
30,105,0.0915,0.839575
30,106,0.016,0.8089333333333334
30,107,0.0,0.7418
30,108,0.0,0.639
30,109,0.0,0.55445
30,110,0.0,0.4637
30,111,0.0,0.35745
30,112,0.0,0.2536
30,113,0.0,0.1927
30,114,0.018,0.15846666666666667
30,115,0.132,0.1794
30,116,0.0395,0.2378
30,117,0.0,0.28676666666666667
30,118,0.0,0.37970000000000004
30,119,0.0,0.4392
30,120,0.0,0.4788
30,121,0.0,0.5614250000000001
30,122,0.010666666666666666,0.4812666666666667
30,123,0.0805,0.466025
30,124,0.016,0.5177999999999999
30,125,0.0,0.5555
30,126,0.0,0.6079
30,127,0.0,0.6355999999999999
30,128,0.0,0.6257199999999999
30,129,0.0,0.5503
30,130,0.0,0.4826
30,131,0.009333333333333332,0.4700666666666667
30,132,0.08375,0.43034999999999995
30,133,0.02366666666666667,0.39620000000000005
30,134,0.0,0.423
30,135,0.0,0.47350000000000003
30,136,0.0,0.5136000000000001
30,137,0.0,0.535075
30,138,0.011,0.4898
30,139,0.124,0.4354
30,140,0.26066666666666666,0.34673333333333334
30,141,0.229,0.263
30,142,0.14,0.2171
30,143,0.018,0.1693
30,144,0.0,0.1069
30,145,0.0,0.06705
30,146,0.0,0.0609
30,147,0.0,0.10306666666666665
30,148,0.0,0.159925
30,149,0.0013333333333333333,0.21986666666666665
30,150,0.04,0.2589
30,151,0.12475,0.28315
30,152,0.020666666666666667,0.3383
30,153,0.0,0.3625
30,154,0.0,0.3327
30,155,0.0,0.29995000000000005
30,156,0.0,0.23862499999999998
30,157,0.0,0.160075
30,158,0.01,0.12626666666666667
30,159,0.08125,0.0973
30,160,0.0265,0.07235
30,161,0.0,0.06965
30,162,0.0,0.055999999999999994
30,163,0.0,0.0513
30,164,0.0,0.045899999999999996
30,165,0.0125,0.08445
30,166,0.125,0.12669999999999998
30,167,0.20833333333333334,0.1948
30,168,0.12,0.2105
30,169,0.016,0.2026
30,170,0.0,0.1732
30,171,0.0,0.13540000000000002
30,172,0.0,0.1181
30,173,0.0,0.1254375
30,174,0.017333333333333333,0.22230000000000003
30,175,0.09,0.28085000000000004
30,176,0.0815,0.35650000000000004
30,177,0.021,0.4625
30,178,0.0,0.5251
30,179,0.0,0.37565000000000004
30,180,0.0,0.3358
30,181,0.0,0.29533750000000003
30,182,0.0065,0.262
30,183,0.067,0.2247
30,184,0.15433333333333335,0.1703
30,185,0.0825,0.1617
30,186,0.0075,0.16949999999999998
30,187,0.0,0.15413333333333334
30,188,0.0,0.126
30,189,0.0,0.1288
30,190,0.0,0.143125
30,191,0.0085,0.119
30,192,0.093,0.095
30,193,0.2385,0.076625
30,194,0.143,0.0835
30,195,0.047,0.094
30,196,0.0,0.102725
30,197,0.0,0.10980000000000001
30,198,0.0,0.1045
30,199,0.0,0.0931875
30,200,0.004,0.0635
30,201,0.054,0.0507
30,202,0.1275,0.032475000000000004
30,203,0.02666666666666667,0.0456
30,204,0.0,0.09226666666666666
30,205,0.0,0.16035
30,206,0.0,0.2131
30,207,0.0,0.28145
30,208,0.0,0.3868
30,209,0.0013333333333333333,0.5020000000000001
30,210,0.051,0.4873
30,211,0.1038,0.49178
30,212,0.0075,0.5122
30,213,0.0,0.4985666666666666
30,214,0.0,0.5371
30,215,0.0,0.5154
30,216,0.0,0.45675
30,217,0.0,0.4513
30,218,0.04,0.49015000000000003
30,219,0.010666666666666666,0.41430000000000006
30,220,0.0,0.4188666666666667
30,221,0.0,0.6165499999999999
30,222,0.0,0.6655
30,223,0.0,0.6890333333333333
30,224,0.0,0.7821499999999999
30,225,0.0,0.8581666666666666
30,226,0.013,0.8806
30,227,0.1564,0.8616999999999999
30,228,0.098,0.8087
30,229,0.0175,0.7578
30,230,0.0,0.658
30,231,0.0,0.5426500000000001
30,232,0.0,0.4914
30,233,0.0,0.4628
30,234,0.0,0.41620000000000007
30,235,0.0,0.32687999999999995
30,236,0.028,0.27685000000000004
30,237,0.184,0.2305
30,238,0.29475,0.20835
30,239,0.188,0.2058
30,240,0.0375,0.25075
30,241,0.0,0.2941
30,242,0.0,0.30235
30,243,0.0,0.2961
30,244,0.0,0.281475
30,245,0.0,0.20405
30,246,0.0025,0.16405
30,247,0.05416666666666667,0.16463333333333333
30,248,0.006,0.23025
30,249,0.0,0.22873333333333332
30,250,0.0,0.20155
30,251,0.0,0.1939
30,252,0.0,0.168475
30,253,0.0115,0.12575
30,254,0.093,0.1104
30,255,0.21799999999999997,0.08592500000000002
30,256,0.141,0.0642
30,257,0.028,0.08145
30,258,0.0,0.09493333333333333
30,259,0.0,0.0837
30,260,0.0,0.0679
30,261,0.0,0.053911111111111104
30,262,0.04,0.0786
30,263,0.127,0.0927
30,264,0.24575,0.13470000000000001
30,265,0.139,0.1653
30,266,0.0235,0.18925
30,267,0.0,0.21436666666666668
30,268,0.0,0.20800000000000002
30,269,0.0,0.209
30,270,0.0025,0.22984
30,271,0.097,0.2212
30,272,0.172,0.2231
30,273,0.04666666666666667,0.24646666666666664
30,274,0.0,0.2829
30,275,0.0,0.31210000000000004
30,276,0.0,0.3006
30,277,0.0,0.29935
30,278,0.02,0.29915
30,279,0.143,0.2634
30,280,0.273,0.24665
30,281,0.191,0.223
30,282,0.087,0.2051
30,283,0.0012000000000000001,0.18782000000000001
30,284,0.0,0.16444999999999999
30,285,0.0,0.17959999999999998
30,286,0.0,0.24942000000000003
