G,Include,VRE,C_inv,C_v,WACC,Lifetime
PV_old,0,1,895000,0,0.071,30
Wind_old,0,1,1335000,0,0.071,30
Gas_old,0,0,2500000,60,0.071,30
Base_old,0,0,2000000,25,0.071,30
PV,0,1,825000,0,0.034,20
Wind_Distributed,0,1,1952000,0,0.039,25
Gas,0,0,1383000,50,0.054,20
Nuclear,0,0,6344000,7,0.047,60
Wind,0,1,1952000,0,0.039,25
Gas,1,0,1461400,229,0.054,25
PV_cheap,0,1,405400,8,0.034,20
Nuclear,1,0,14375000,7,0.047,60
Wind,0,1,2016300,13,0.039,25
Wind_Offshore,0,1,4500000,16,0.04,30
Wind_Onshore,1,1,2016300,13,0.037,25
Wind_Offshore,0,1,3829000,16,0.04,30
Wind_On,0,1,1327000,13,0.037,25
PV,1,1,854000,8,0.034,30
Wind_Offshore,0,1,3310595,16,0.04,30
Wind_Offshore,1,1,3200595,16,0.04,30
PV,0,1,622741.7,8,0.034,30
