Time,Scenario,Residual
1,10,8.872308177920729e-6
1,11,8.872307533103196e-6
1,12,8.872307837748394e-6
1,13,8.87230826762675e-6
1,14,8.87230980151088e-6
1,15,8.872309662955047e-6
1,16,8.872309034124726e-6
1,17,8.872309862795191e-6
1,18,8.872309198437733e-6
1,19,8.872309484431185e-6
1,1,8.872310675478445e-6
1,20,8.872309102514464e-6
1,21,5.914873319134983e-6
1,22,8.872309652296906e-6
1,23,8.872309619434304e-6
1,24,8.872307360796583e-6
1,25,8.872311497043484e-6
1,26,8.872314198882236e-6
1,27,8.872308562501985e-6
1,28,8.872314463559405e-6
1,29,8.87231092061569e-6
1,2,8.872309553709101e-6
1,30,8.872308434604292e-6
1,3,8.872307811103042e-6
1,4,5.914872446055597e-6
1,5,8.872308432827936e-6
1,6,8.872309050111937e-6
1,7,8.872309070540041e-6
1,8,8.872309333440853e-6
1,9,5.914873155710154e-6
2,10,8.872310282903584e-6
2,11,8.872307758700515e-6
2,12,8.872320776731613e-6
2,13,8.87230848611864e-6
2,14,8.872310482743728e-6
2,15,8.87230999868649e-6
2,16,8.872308114860061e-6
2,17,8.872307133422908e-6
2,18,8.87230961588159e-6
2,19,5.914871726631077e-6
2,1,8.872310447216591e-6
2,20,8.872308952412311e-6
2,21,8.872310690577478e-6
2,22,8.87230917179238e-6
2,23,8.872312318608522e-6
2,24,8.87230892487878e-6
2,25,5.91487224177456e-6
2,26,5.914872590828679e-6
2,27,8.872309336993567e-6
2,28,8.872309455121297e-6
2,29,8.872309186003235e-6
2,2,8.872304823270838e-6
2,30,8.872310394814065e-6
2,3,8.8723094755494e-6
2,4,8.872307619256503e-6
2,5,8.872309536833711e-6
2,6,8.872308534080275e-6
2,7,8.872310709229225e-6
2,8,8.87230833512831e-6
2,9,8.872310990781784e-6
3,10,8.87234624347144e-6
3,11,8.872308768559378e-6
3,12,5.91487225332088e-6
3,13,8.872307373231081e-6
3,14,8.872308837837295e-6
3,15,5.91487220802378e-6
3,16,8.872308168150767e-6
3,17,8.872308669083395e-6
3,18,5.914872032164453e-6
3,19,8.87231036372782e-6
3,1,5.91487227019627e-6
3,20,8.872308890239822e-6
3,21,8.872308047358501e-6
3,22,8.872311092034124e-6
