Time,Scenario,Residual
1,10,1.036493130879279e-5
1,11,1.0364931480211226e-5
1,12,1.0364931645412412e-5
1,13,1.0364931513962006e-5
1,14,1.036493286576956e-5
1,15,1.0364929432959968e-5
1,16,1.0364931497974794e-5
1,17,1.036493350081713e-5
1,18,1.0364925151051807e-5
1,19,1.0364930239425973e-5
1,1,1.0364931324780002e-5
1,20,1.0364931074313688e-5
1,21,6.909954323397471e-6
1,22,1.0364931452677695e-5
1,23,1.0364931336326322e-5
1,24,1.036493132655636e-5
1,25,1.0364924846406609e-5
1,26,1.0364931739559324e-5
1,27,1.0364931425144164e-5
1,28,1.0364934258433323e-5
1,29,1.0364931328332716e-5
1,2,1.0364932442108454e-5
1,30,1.0364931440243197e-5
1,3,1.0364932457207487e-5
1,4,6.909954282541264e-6
1,5,1.0364928071382451e-5
1,6,1.0364925548955739e-5
1,7,1.0364931504192043e-5
1,8,1.0364931476658512e-5
1,9,6.9099531767591316e-6
2,10,1.0364934715845209e-5
2,11,1.0364931398498811e-5
2,12,1.0364931559259105e-5
2,13,1.0364931373629815e-5
2,14,1.036493211881151e-5
2,15,1.036493029715757e-5
2,16,1.036493078654388e-5
2,17,1.036493142692052e-5
2,18,1.036493208506073e-5
2,19,6.90995340235645e-6
2,1,1.0364931453565873e-5
2,20,1.0364931616990702e-5
2,21,1.0364931009476663e-5
2,22,1.0364931707584901e-5
2,23,1.0364931267048405e-5
2,24,1.0364931484652118e-5
2,25,6.90995302043973e-6
2,26,6.909954318068401e-6
2,27,1.0364931409156952e-5
2,28,1.0364929877937357e-5
2,29,1.0364931448236803e-5
2,2,1.036493902617508e-5
2,30,1.0364931570805425e-5
2,3,1.0364931959827572e-5
2,4,1.036493138784067e-5
2,5,1.0364915860705537e-5
2,6,1.0364929430295433e-5
2,7,1.0364931371853459e-5
2,8,1.0364931469553085e-5
2,9,1.0364928376915827e-5
3,10,1.0364931546824607e-5
3,11,1.03649315512655e-5
3,12,6.90995439178721e-6
3,13,1.0364931478434869e-5
3,14,1.0364930672857042e-5
3,15,6.909953521372358e-6
3,16,1.036493141004513e-5
3,17,1.0364934033724182e-5
3,18,6.9099539681261035e-6
3,19,1.0364928384909433e-5
3,1,6.909954385569961e-6
3,20,1.036493128658833e-5
3,21,1.036492618933238e-5
3,22,1.0364931567252711e-5
3,23,1.036493156192364e-5
3,24,1.0364931409156952e-5
3,25,1.0364927153005965e-5
3,26,1.0364931611661632e-5
3,27,1.0364931452677695e-5
3,28,1.0364932553130757e-5
3,29,1.0364931243955766e-5
3,2,1.0364929648787324e-5
3,30,1.0364931857687054e-5
3,3,1.0364932458095666e-5
3,4,1.036493142159145e-5
3,5,1.0364915352667481e-5
3,6,1.0364928739292623e-5
3,7,6.909954377576355e-6
3,8,1.0364931481099404e-5
3,9,1.0364927603312424e-5
4,10,1.0364930679074291e-5
4,11,6.909954276324015e-6
4,12,1.0364931499751151e-5
4,13,1.0364931392281562e-5
4,14,1.0364920179917192e-5
4,15,1.0364931778639175e-5
4,16,1.0364931640083341e-5
4,17,1.0364927591766104e-5
4,18,1.0364925417505333e-5
4,19,1.0364928769490689e-5
4,1,1.0364931682715905e-5
4,20,1.0364929470263462e-5
4,21,1.0364934834861117e-5
4,22,6.909954313627509e-6
4,23,6.909954332279256e-6
4,24,1.036493162409613e-5
4,25,6.909953527589607e-6
4,26,1.0364931432249591e-5
4,27,1.0364931236850339e-5
4,28,1.036492999428873e-5
4,29,1.0364931454454052e-5
4,2,1.0364935522311214e-5
4,30,1.036493147221762e-5
4,3,1.0364931354978069e-5
4,4,1.0364931586792636e-5
4,5,6.909941104638051e-6
4,6,6.909953056855045e-6
4,7,1.0364931456230408e-5
4,8,1.0364931448236803e-5
4,9,1.0364926922967754e-5
5,10,6.909954509026761e-6
5,11,6.90995444241338e-6
5,12,1.0364931943840361e-5
5,13,1.0364931418926915e-5
5,14,1.0364931144479783e-5
5,15,1.0364925703498784e-5
5,16,1.0364931446460446e-5
5,17,1.0364932066408983e-5
5,18,6.909951977718265e-6
5,19,1.0364930441930653e-5
5,1,6.909954340272861e-6
5,20,1.036492928019328e-5
5,21,6.909953611078379e-6
5,22,1.036493126438387e-5
5,23,1.0364931378958886e-5
5,24,1.036493149442208e-5
5,25,1.0364921729788534e-5
5,26,6.909954374023641e-6
5,27,6.909954316292044e-6
5,28,1.0364935739914927e-5
5,29,1.03649313825116e-5
5,2,6.9099557329366235e-6
5,30,6.909954255007733e-6
5,3,6.909954878508984e-6
5,4,1.0364931481987583e-5
5,5,1.0364871044998836e-5
5,6,1.0364931149808854e-5
5,7,1.036493141626238e-5
5,8,1.0364931473105798e-5
5,9,1.0364932951922867e-5
6,10,1.0364926359862636e-5
6,11,1.0364931341655392e-5
6,12,1.0364931502415686e-5
6,13,1.0364931487316653e-5
6,14,1.0364919271310669e-5
6,15,6.9099544717232675e-6
6,16,6.909954296752119e-6
6,17,1.0364937526929907e-5
6,18,1.0364926991357493e-5
6,19,1.0364926294137433e-5
6,1,1.0364931720019399e-5
6,20,1.0364930282946716e-5
6,21,1.0364926051664725e-5
6,22,1.0364931553930035e-5
6,23,1.036493155659457e-5
6,24,1.0364931346984463e-5
6,25,1.0364927108597044e-5
6,26,1.0364931666728694e-5
6,27,1.0364931418038736e-5
6,28,1.0364932544248973e-5
6,29,1.0364932031770024e-5
6,2,6.9099537478578554e-6
6,30,1.0364931403827882e-5
6,3,1.036493676664918e-5
6,4,1.0364931516626541e-5
6,5,1.0364744215785038e-5
6,6,1.036493145001316e-5
6,7,1.036493153971918e-5
6,8,1.036493148376394e-5
6,9,1.0364930391304483e-5
7,10,1.0364925490335963e-5
7,11,6.909954337608326e-6
7,12,1.0364931378070708e-5
7,13,1.036493146688855e-5
