Time,Scenario,Residual
1,10,1.0789994961513116e-5
1,11,1.0789992118453995e-5
1,12,1.078999176717943e-5
1,13,1.0789992741067067e-5
1,14,1.078999235115674e-5
1,15,1.0789990400272842e-5
1,16,1.0789991363946427e-5
1,17,1.0789990765314172e-5
1,18,1.079000353643167e-5
1,19,1.0789987851644867e-5
1,1,1.078999195236463e-5
1,20,1.0789980091185924e-5
1,21,7.1933273777524676e-6
1,22,1.0789992836546247e-5
1,23,1.0789991424786649e-5
1,24,1.0789991658821663e-5
1,25,1.0789977824554597e-5
1,26,1.0789992782811453e-5
1,27,1.0789992153092953e-5
1,28,1.0789988576398457e-5
1,29,1.0789992196613696e-5
1,2,1.0789991196080706e-5
1,30,1.0789992029192064e-5
1,3,1.0789996794713375e-5
1,4,7.193328496857276e-6
1,5,1.0790040560593184e-5
1,6,1.0789996997218054e-5
1,7,1.0789992487492128e-5
1,8,1.0789992123338976e-5
1,9,7.1933283343206256e-6
2,10,1.0789996906179766e-5
2,11,1.0789991616633188e-5
2,12,1.078999226145072e-5
2,13,1.0789991847559577e-5
2,14,1.0789988578174814e-5
2,15,1.0789987381354393e-5
2,16,1.0789993527104969e-5
2,17,1.0790002825444844e-5
2,18,1.0789991809367905e-5
2,19,7.1933264802481744e-6
2,1,1.078999232362321e-5
2,20,1.0789999255855776e-5
2,21,1.0789996009563652e-5
2,22,1.0789988960979713e-5
2,23,1.078999292492e-5
2,24,1.0789992219262245e-5
2,25,7.193329816246319e-6
2,26,7.193327920429482e-6
2,27,1.0789992083370947e-5
2,28,1.0789991783166641e-5
2,29,1.0789992197057785e-5
2,2,1.0789992270776594e-5
2,30,1.0789992314297336e-5
2,3,1.0789992768600598e-5
2,4,1.0789991397697207e-5
2,5,1.0789961935486758e-5
2,6,1.078998773129669e-5
2,7,1.0789982697545497e-5
2,8,1.078999215486931e-5
2,9,1.0789994995263896e-5
3,10,1.0789996587767803e-5
3,11,1.078999284587212e-5
3,12,7.1933281033942365e-6
3,13,1.0789992494597556e-5
3,14,1.0789991895521212e-5
3,15,7.1933275891389314e-6
3,16,1.0789992153537042e-5
3,17,1.0790023203366417e-5
3,18,7.193324763843378e-6
3,19,1.0789992470616738e-5
3,1,7.193328661170284e-6
3,20,1.0789992026971618e-5
3,21,1.0789994873583453e-5
3,22,1.0789990281701023e-5
3,23,1.078999067072317e-5
3,24,1.078999213266485e-5
3,25,1.0789995168458688e-5
3,26,1.078999355996757e-5
3,27,1.0790001239158187e-5
3,28,1.0789989610682227e-5
3,29,1.0789991931936527e-5
3,2,1.0789992653137404e-5
3,30,1.0789989902892927e-5
3,3,1.0790008443617438e-5
3,4,1.0789992578530416e-5
3,5,1.0790030700924547e-5
3,6,1.0789991979898161e-5
3,7,7.193328637189467e-6
3,8,1.0789991863546788e-5
3,9,1.0789985847914352e-5
4,10,1.0789980420700118e-5
4,11,7.193328240617802e-6
4,12,1.078999240267109e-5
4,13,1.0789992392457037e-5
4,14,1.0789980551262346e-5
4,15,1.0790002408000987e-5
4,16,1.0789994348670007e-5
4,17,1.0790055035680979e-5
4,18,1.0789993630577754e-5
4,19,1.0789997546112318e-5
4,1,1.0789992892057398e-5
4,20,1.07899889738583e-5
4,21,1.0789986377712779e-5
4,22,7.1933281309277675e-6
4,23,7.1933280780811515e-6
4,24,1.0789992339610421e-5
4,25,7.193326686749657e-6
4,26,1.0789994038695738e-5
4,27,1.0789991939930133e-5
4,28,1.0789984631998095e-5
4,29,1.0789992417326033e-5
4,2,1.078998152159727e-5
4,30,1.0789986132575535e-5
4,3,1.0789993294846312e-5
4,4,1.078999209314091e-5
4,5,7.1933128520385026e-6
4,6,7.193331315491491e-6
4,7,1.0789992363591239e-5
4,8,1.0789994001392245e-5
4,9,1.0789985248393918e-5
5,10,7.193328370735941e-6
5,11,7.1933285585856765e-6
5,12,1.0789994631554833e-5
5,13,1.0789991908843888e-5
5,14,1.07899881136575e-5
5,15,1.0789989703052782e-5
5,16,1.0789991837789614e-5
5,17,1.079004069737266e-5
5,18,7.193323903642579e-6
5,19,1.0789986955472841e-5
5,1,7.193328201537952e-6
5,20,1.0789990723125698e-5
5,21,7.193321259091334e-6
5,22,1.0789991592208281e-5
5,23,1.078999208203868e-5
5,24,1.0789993271309584e-5
5,25,1.0789989973503111e-5
5,26,7.193328252164122e-6
5,27,7.193327990151488e-6
5,28,1.0789994545845616e-5
5,29,1.0789992433757334e-5
5,2,7.193329224719491e-6
5,30,7.193328434684787e-6
5,3,7.193325809229378e-6
5,4,1.0789992189508268e-5
5,5,1.079001155090964e-5
5,6,1.0789990442905406e-5
5,7,1.0789992332504994e-5
5,8,1.078999222237087e-5
5,9,1.0789980855463455e-5
6,10,1.0789982363146322e-5
6,11,1.0789992279214289e-5
