Time,Scenario,price_model
1,11,311.99923658863867
1,12,1.584027486149279e-5
1,13,311.9996837171656
1,19,311.9996159610212
1,1,311.9996811112485
1,22,311.9992174040058
1,23,1.891542367129486e-5
1,24,8.160672935407398e-5
1,26,-9.250349333100844e-6
1,27,0.00414299227152987
1,29,3.797280602039825e-5
1,30,0.0007776910879402796
1,4,311.99912777125434
1,7,294.5685778787644
1,8,0.00011095536454782789
2,11,0.006210934143866355
2,12,0.00044718418478948313
2,13,0.001306419952662116
2,19,3.221299249627887e-5
2,1,311.99882568120023
2,22,312.00043362739825
2,23,4.213394063675261e-5
2,24,0.0024693834861367592
2,26,-4.609634634869989e-6
2,27,0.000573344232943902
2,29,0.0008279598029157348
2,30,311.1617177909348
2,4,264.0783232833547
2,7,348.02517126417183
2,8,311.9903188529501
3,11,311.9997630466643
3,12,8.330107947388655e-5
3,13,8.88419555574231e-5
3,19,0.002015156840697183
3,1,311.99973676462554
3,22,438.1971693363609
3,23,3.814415544310387e-7
3,24,0.0001872836566616474
3,26,0.00013138937206385516
3,27,2.3325257360362653e-5
3,29,0.00032981039217718015
3,30,312.4012575708742
3,4,312.0000123390121
3,7,311.9977465548517
3,8,312.00034854704
4,11,2.8663965100280962e-5
4,12,0.0004108646302040653
4,13,0.00039990587488262955
4,19,24.367004225953462
4,1,312.00200724928015
4,22,101.67015658953001
4,23,3.748711882950218e-5
4,24,311.9990658071114
4,26,311.9996872822566
4,27,0.0018292252021422403
4,29,7.990778792077617e-6
4,30,312.40779949163806
4,4,0.004982512297908657
4,7,294.5696840666195
4,8,0.005897323581495312
5,11,0.0024162042777038737
5,12,0.000682721120711814
5,13,0.0034087588959843596
5,19,0.00035013422105629457
5,1,264.56712223708104
5,22,120.11990716569196
5,23,0.00013792726786677857
5,24,311.99985423396555
5,26,312.0004580379979
5,27,0.0013457576723695116
5,29,0.0004962811132305422
5,30,309.550207312839
5,4,8.669976979997664e-5
5,7,7.797933170569773e-5
5,8,0.00017324608296537502
6,11,0.04076726888670924
6,12,311.9994868383412
6,13,431.29248394738323
6,19,0.00011481864354475148
6,1,312.00109445859425
6,22,0.005503167102516203
6,23,0.007283045253813155
6,24,311.9997352599915
6,26,311.99708667004813
6,27,0.001191552140804979
6,29,311.99880081646813
6,30,0.0001953651476668168
6,4,0.0007227100381551407
6,7,0.0001895296341873924
6,8,312.00009943118215
7,11,0.00031087619985920424
7,12,311.9998476120911
7,13,431.2984422709731
7,19,0.000218417320682942
7,1,0.004220587284063211
7,22,311.99997590710205
7,23,0.0019470518381976684
7,24,311.9994932179996
7,26,311.9998824944651
7,27,311.99935576590036
7,29,120.11828207087022
7,30,4.63260631826041e-5
7,4,311.9995896982358
7,7,1.766740546763649e-5
7,8,311.9997934175949
8,11,5.861435976628534e-5
8,12,103.05840489589079
8,13,312.0004048436388
8,19,0.0003859672213739314
8,1,312.00000356887784
8,22,311.9996709753399
8,23,3.784074865219703e-5
8,24,312.00121139714065
8,26,0.0057871983121292854
8,27,311.9996159554949
8,29,311.999240610265
8,30,0.0009077096657634734
8,4,1.760562702457245e-5
8,7,0.0005129807001481554
8,8,312.0774329283404
9,11,9.762733938146695e-7
9,12,103.05481424369282
9,13,368.61950709597517
9,19,311.9996752752481
9,1,311.99914251046715
9,22,0.0020805595463526
9,23,9.929749763737207e-5
9,24,311.9981527664834
9,26,0.007268951283053806
9,27,120.12003017330105
9,29,312.00064185636876
9,30,0.006686296674279547
9,4,0.0002562682723593087
9,7,0.00037071988919563903
9,8,311.9992183864849
10,11,0.00012775047257684911
10,12,311.9997427173508
10,13,312.00042863819283
10,19,0.009032862445944983
10,1,311.99961816867625
10,22,0.002250286048765579
10,23,0.0004546477840045964
10,24,312.00069907423847
10,26,0.0012353820083085632
10,27,311.99983330224217
10,29,311.99838210120896
10,30,311.9998055149682
10,4,264.07563704600415
10,7,5.434422158309194e-5
10,8,312.07512703408685
11,11,0.00703528523278448
11,12,311.9997171627833
11,13,368.6918386193487
11,19,2.477798380251257e-5
11,1,311.9977489362181
11,22,0.0003909516343926188
11,23,311.9996164791184
11,24,311.99795545064603
11,26,7.083421033761325e-5
11,27,311.99958880626656
11,29,311.9982178824823
11,30,311.99980264277366
11,4,312.00004192006725
11,7,3.6579639646895086e-5
11,8,311.99956378404374
12,11,0.00013527737074123285
12,12,449.06118227191666
12,13,311.9990695821041
12,19,0.00016261053988659131
12,1,312.0026312501544
12,22,0.004938235561174374
12,23,0.004569186337280395
12,24,311.9998736476121
12,26,3.354795776686544e-5
12,27,311.99973853254744
12,29,101.67359975343551
12,30,0.00022889773816525834
12,4,264.0773952465519
12,7,0.0008064089442370675
12,8,312.00003644065987
13,11,3.912662042243606e-5
13,12,120.11920132416462
13,13,311.9993282471313
13,19,1.4040714150447413e-5
13,1,311.9998114885154
13,22,311.9996583590071
13,23,311.99957967326566
13,24,311.9986686954317
13,26,0.0007652176848481016
13,27,7.544108852878497e-5
