Time,Scenario,Residual
1,10,1.2824651225429307e-5
1,11,1.2824651092202544e-5
1,12,1.282465117835585e-5
1,13,1.2824651128617859e-5
1,14,1.2824651366649675e-5
1,15,1.2824651212994809e-5
1,16,1.2824651224541128e-5
1,17,1.2824651210330273e-5
1,18,1.2824651222764771e-5
1,19,1.2824650420739658e-5
1,1,1.2824651020260092e-5
1,20,1.2824650799103665e-5
1,21,8.549767192889135e-6
1,22,1.2824650951870353e-5
1,23,1.2824651205889381e-5
1,24,1.2824651211218452e-5
1,25,1.2824651288489974e-5
1,26,1.2824651165921352e-5
1,27,1.282465104956998e-5
1,28,1.282465276375433e-5
1,29,1.282465120677756e-5
1,2,1.282465120056031e-5
1,30,1.2824651276943655e-5
1,3,1.2824651132170573e-5
1,4,8.549767413157383e-6
1,5,1.2824650704956753e-5
1,6,1.2824651261844622e-5
1,7,1.282465040297609e-5
1,8,1.2824651181020386e-5
1,9,8.549767532173291e-6
2,10,1.2824651628662309e-5
2,11,1.2824652483978127e-5
2,12,1.2824652516840729e-5
2,13,1.2824651097531614e-5
2,14,1.2824650949205818e-5
2,15,1.2824650915455038e-5
2,16,1.2824651185461278e-5
2,17,1.2824651461684766e-5
2,18,1.2824650871934296e-5
2,19,8.549765814436228e-6
2,1,1.2824650983844776e-5
2,20,1.282465094831764e-5
2,21,1.2824651205001203e-5
2,22,1.2824651584253388e-5
2,23,1.2824651180132207e-5
2,24,1.2824651014931021e-5
2,25,8.54976749398162e-6
2,26,8.54976757214132e-6
2,27,1.2824651368426032e-5
2,28,1.2824650809761806e-5
2,29,1.2824650370113488e-5
2,2,1.2824651277831833e-5
2,30,1.2824650855058906e-5
2,3,1.2824651038911838e-5
2,4,1.2824650990062025e-5
2,5,1.282465127960819e-5
2,6,1.2824651677512122e-5
2,7,1.2824651868470482e-5
2,8,1.2824650935883142e-5
2,9,1.2824651073550797e-5
3,10,1.2824649313181169e-5
3,11,1.2824649586740122e-5
3,12,8.549767633425631e-6
3,13,1.2824651133058751e-5
3,14,1.282465120056031e-5
3,15,8.54977517139588e-6
3,16,1.2824651232534734e-5
3,17,1.282465110019615e-5
3,18,8.549766952192783e-6
3,19,1.2824651737908255e-5
3,1,8.54976742026281e-6
3,20,1.2824651067333548e-5
3,21,1.2824676067779706e-5
3,22,1.2824651559384392e-5
3,23,1.2824651353326999e-5
3,24,1.2824651395071385e-5
3,25,1.2824651445697555e-5
3,26,1.2824651259180087e-5
3,27,1.2824651181020386e-5
3,28,1.2824652030118955e-5
3,29,1.2824651250298302e-5
3,2,1.282465115615139e-5
3,30,1.2824651366649675e-5
3,3,1.2824650947429461e-5
3,4,1.2824651374643281e-5
3,5,1.28246504313978e-5
3,6,1.2824651269838228e-5
3,7,8.549767372301176e-6
3,8,1.2824651272502763e-5
3,9,1.2824651143716892e-5
4,10,1.2824651165921352e-5
4,11,8.549767478882586e-6
4,12,1.282465112772968e-5
4,13,1.2824651272502763e-5
4,14,1.2824650755582923e-5
4,15,1.28246434059065e-5
4,16,1.282465121832388e-5
4,17,1.2824651490106476e-5
4,18,1.2824651205889381e-5
4,19,1.2824646596243383e-5
4,1,1.2824651273390941e-5
4,20,1.2824651522080899e-5
4,21,1.2824626538510131e-5
4,22,8.549767702703548e-6
4,23,8.549767524179686e-6
4,24,1.282465098739749e-5
4,25,8.549767440690914e-6
4,26,1.2824651276943655e-5
4,27,1.2824650989173847e-5
4,28,1.2824651500764617e-5
4,29,1.2824651141940535e-5
4,2,1.2824651111742469e-5
4,30,1.282465122365295e-5
4,3,1.2824651103748863e-5
4,4,1.282465076268835e-5
4,5,8.549767425591881e-6
4,6,8.549767424703703e-6
4,7,1.2824651115295183e-5
4,8,1.2824651478560156e-5
4,9,1.2824651040688195e-5
5,10,8.549767039234268e-6
5,11,8.549767462895375e-6
5,12,1.2824651228093842e-5
5,13,1.282465157803614e-5
5,14,1.2824651888010408e-5
5,15,1.2824651501652795e-5
5,16,1.2824650864828868e-5
5,17,1.2824651367537854e-5
5,18,8.549766935317393e-6
5,19,1.2824647060760697e-5
5,1,8.549767249732554e-6
5,20,1.2824650709397645e-5
5,21,8.54976754371961e-6
5,22,1.2824650643672442e-5
5,23,1.282465108332076e-5
5,24,1.2824651141940535e-5
5,25,1.2824650943876748e-5
5,26,8.549767299470545e-6
5,27,8.549767260390695e-6
5,28,1.2824650944764926e-5
5,29,1.2824650951870353e-5
5,2,8.549767310128686e-6
5,30,8.549767326115898e-6
5,3,8.549767433585487e-6
5,4,1.2824651214771166e-5
5,5,1.282465075114203e-5
5,6,1.2824651151710498e-5
5,7,1.2824651485665584e-5
5,8,1.282465062768523e-5
5,9,1.2824651168585888e-5
6,10,1.2824650070797361e-5
6,11,1.2824650823972661e-5
6,12,1.282465094831764e-5
6,13,1.2824651305365364e-5
6,14,1.2824655108545358e-5
6,15,8.549767334997682e-6
6,16,8.549767629872917e-6
6,17,1.2824650722720321e-5
6,18,1.282465057705906e-5
6,19,1.2824651460796588e-5
6,1,1.2824651282272725e-5
6,20,1.2824650854170727e-5
6,21,1.2824651385301422e-5
6,22,1.2824651340004323e-5
6,23,1.2824651351550642e-5
6,24,1.2824651141940535e-5
6,25,1.2824651788534425e-5
6,26,1.2824651289378153e-5
6,27,1.2824651003384702e-5
6,28,1.2824651134835108e-5
6,29,1.2824651263620979e-5
6,2,8.549767306575973e-6
6,30,1.2824650029941154e-5
6,3,1.2824644375797334e-5
6,4,1.2824651237863804e-5
6,5,1.282465061613891e-5
6,6,1.2824651221876593e-5
6,7,1.2824651273390941e-5
6,8,1.2824656958621006e-5
6,9,1.2824651198783954e-5
7,10,1.28246516002406e-5
7,11,8.549767385623852e-6
7,12,1.282465057705906e-5
7,13,1.282464733964872e-5
7,14,1.2824648202069966e-5
7,15,1.2824651368426032e-5
7,16,1.2824651314247149e-5
7,17,1.2824657120269478e-5
7,18,1.282465113394693e-5
7,19,1.282464664331684e-5
7,1,8.54976721775813e-6
7,20,8.549767307464151e-6
7,21,8.549767397170172e-6
7,22,8.549767531285113e-6
7,23,8.549767525067864e-6
7,24,1.282465112772968e-5
7,25,1.2824651215659344e-5
7,26,8.549767452237234e-6
7,27,1.2824651134835108e-5
7,28,1.2824651570042533e-5
7,29,8.549767390952923e-6
7,2,1.2824651148157784e-5
7,30,1.2824651194343062e-5
7,3,1.2824651541620824e-5
7,4,1.2824651821397026e-5
7,5,1.2824650502452073e-5
7,6,1.2824652086074195e-5
7,7,1.2824651162368639e-5
7,8,1.2824644656461714e-5
7,9,8.549767136045716e-6
8,10,8.549767179566459e-6
8,11,1.2824651233422912e-5
8,12,1.2824651241416518e-5
8,13,1.2824657663834671e-5
8,14,1.2824651063780834e-5
8,15,1.282465117302678e-5
8,16,1.2824651205889381e-5
8,17,1.2824651176579493e-5
8,18,1.2824650823084482e-5
8,19,1.282465258345411e-5
8,1,1.2824651230758377e-5
8,20,1.2824651085097116e-5
8,21,1.2824651236087448e-5
8,22,1.2824651147269606e-5
8,23,1.2824651282272725e-5
8,24,1.2824651104637041e-5
8,25,1.2824651112630647e-5
8,26,1.2824651046017266e-5
8,27,1.2824650966969386e-5
8,28,1.282465088081608e-5
8,29,1.2824651035359125e-5
8,2,1.2824651746790039e-5
8,30,1.2824650927001358e-5
8,3,8.549767517962437e-6
8,4,1.282464868879174e-5
8,5,8.549767289700583e-6
8,6,1.2824651259180087e-5
8,7,1.2824651204113025e-5
8,8,8.549767665400054e-6
8,9,1.2824651046017266e-5
9,10,1.2824651166809531e-5
9,11,1.2824651155263211e-5
9,12,8.54976750463976e-6
9,13,1.2824651120624253e-5
9,14,1.2824651360432426e-5
9,15,8.549767742671577e-6
9,16,1.282465117835585e-5
9,17,1.2824651012266486e-5
