Time,Scenario,Residual
1,10,3.3979100796166506e-5
1,11,3.397910131663906e-5
1,12,3.397909803926069e-5
1,13,3.3979104769432666e-5
1,14,3.397910057456599e-5
1,15,3.397909957891798e-5
1,16,3.397909682201217e-5
1,17,3.397909675806332e-5
1,18,3.397910907088075e-5
1,19,3.397911081526317e-5
1,1,3.3979102056047594e-5
1,20,3.397885621625463e-5
1,21,2.265273215851238e-5
1,22,3.3979104602011034e-5
1,23,3.397908889724022e-5
1,24,3.397909845181957e-5
1,25,3.397911113367513e-5
1,26,3.397910242997071e-5
1,27,3.3979100065639756e-5
1,28,3.397910274793858e-5
1,29,3.3979099593572926e-5
1,2,3.397909692814949e-5
1,30,3.397909992663983e-5
1,3,3.397911231495243e-5
1,4,2.265273596346873e-5
1,5,3.3979203283962534e-5
1,6,3.397910878577548e-5
1,7,3.397910215374722e-5
1,8,3.3979100177550237e-5
1,9,2.2652735196526663e-5
2,10,3.397911550262478e-5
2,11,3.3979098762237925e-5
2,12,3.397910083213773e-5
2,13,3.3979099340886165e-5
2,14,3.3979102224357405e-5
2,15,3.39791048298288e-5
2,16,3.397910332880727e-5
2,17,3.397773425284356e-5
2,18,3.397909945723754e-5
2,19,2.2652735904404864e-5
2,1,3.3979101599967976e-5
2,20,3.397913688196752e-5
2,21,3.3979103937653576e-5
2,22,3.3979058718269783e-5
2,23,3.397910286828676e-5
2,24,3.397910122071579e-5
2,25,2.2652734918970907e-5
2,26,2.2652733212780163e-5
2,27,3.397910034008689e-5
2,28,3.3979097452618845e-5
2,29,3.3979100565684206e-5
2,2,3.3979092837643776e-5
2,30,3.397910189484321e-5
2,3,3.3979102489034574e-5
2,4,3.397909718394487e-5
2,5,3.397916642366994e-5
2,6,3.397909847135949e-5
2,7,3.397884185840638e-5
2,8,3.3979101015546576e-5
2,9,3.397910594049591e-5
3,10,3.397909443547675e-5
3,11,3.3979105652726105e-5
3,12,2.265273363555309e-5
3,13,3.397910361435663e-5
3,14,3.397910042135521e-5
3,15,2.2652734851913436e-5
3,16,3.3979099846703775e-5
3,17,3.397913684333176e-5
3,18,2.2652733615569076e-5
3,19,3.397909387148346e-5
3,1,2.265273785084787e-5
3,20,3.397899282164829e-5
3,21,3.397911140456955e-5
3,22,3.397907514690601e-5
3,23,3.397910394298265e-5
3,24,3.397909948610334e-5
3,25,3.397911784563945e-5
3,26,3.397911142100085e-5
3,27,3.397910681268712e-5
3,28,3.3979101240255716e-5
3,29,3.397909983915426e-5
3,2,3.3979104382630965e-5
3,30,3.397907019264679e-5
3,3,3.397912396030378e-5
3,4,3.3979103476688977e-5
3,5,3.397905410995605e-5
3,6,3.397910095603862e-5
3,7,2.2652737893924524e-5
3,8,3.3979110580784067e-5
3,9,3.397911705382839e-5
4,10,3.397911929603481e-5
4,11,2.2652734548600506e-5
4,12,3.397910214397726e-5
4,13,3.397910113589475e-5
4,14,3.3979099498537835e-5
4,15,3.397910710667418e-5
4,16,3.3979107676440634e-5
4,17,3.397918250014342e-5
4,18,3.39791199714945e-5
4,19,3.39790969645648e-5
4,1,3.397910736246956e-5
4,20,3.397899060741949e-5
