Time,Scenario,Residual
1,10,1.2264007892781592e-5
1,11,1.2264008129037052e-5
1,12,1.2264007954065903e-5
1,13,1.2264008428797268e-5
1,14,1.2264007987816683e-5
1,15,1.2264007837270441e-5
1,16,1.2264007917206499e-5
1,17,1.2264008381279723e-5
1,18,1.2264008232953927e-5
1,19,1.226400904652536e-5
1,1,1.2264008093509915e-5
1,20,1.2264009305429369e-5
1,21,8.17600529856577e-6
1,22,1.2264008275586491e-5
1,23,1.226400779819059e-5
1,24,1.2264007951401368e-5
1,25,1.2264008834250717e-5
1,26,1.2264008275586491e-5
1,27,1.2264008022011552e-5
1,28,1.2264007938078691e-5
1,29,1.2264007980267166e-5
1,2,1.2264007767104346e-5
1,30,1.2264008003359805e-5
1,3,1.2264008542928195e-5
1,4,8.176005553028887e-6
1,5,1.2264007714701819e-5
1,6,1.226400912468506e-5
1,7,1.2264008134366122e-5
1,8,1.2264008017126571e-5
1,9,8.176005192872537e-6
2,10,1.2264007555273793e-5
2,11,1.2264008011353411e-5
2,12,1.2264008071749544e-5
2,13,1.2264007985596237e-5
2,14,1.2264007797746501e-5
2,15,1.226400816944917e-5
2,16,1.2264008999895992e-5
2,17,1.2264009094042905e-5
2,18,1.2264008218743072e-5
2,19,8.17600520308659e-6
2,1,1.2264008063311849e-5
2,20,1.2264017470453581e-5
2,21,1.226400759613e-5
2,22,1.2264007892781592e-5
2,23,1.2264008380835634e-5
2,24,1.226400807929906e-5
2,25,8.176005709792378e-6
2,26,8.176005319882051e-6
2,27,1.2264008033113782e-5
2,28,1.2264008319107234e-5
2,29,1.2264008024231998e-5
2,2,1.2264007514417585e-5
2,30,1.226400810194761e-5
2,3,1.2264007627216245e-5
2,4,1.2264007994033932e-5
2,5,1.226400857445853e-5
2,6,1.2264007733797655e-5
2,7,1.2264007529960708e-5
2,8,1.2264008033113782e-5
2,9,1.2264008666829085e-5
3,10,1.2264007485551787e-5
3,11,1.2264008542040017e-5
3,12,8.176005340310155e-6
3,13,1.2264008233398016e-5
3,14,1.22640081805514e-5
3,15,8.176005333648817e-6
3,16,1.2264008003803895e-5
3,17,1.2264007515305764e-5
3,18,8.17600551217268e-6
3,19,1.2264007917206499e-5
3,1,8.176005724003232e-6
3,20,1.2264008501627899e-5
3,21,1.226401007503597e-5
3,22,1.2264008047324637e-5
3,23,1.2264007946072297e-5
3,24,1.2264007986928505e-5
3,25,1.2264007711593194e-5
3,26,1.2264009415563493e-5
3,27,1.226400785414583e-5
3,28,1.2264008000251181e-5
3,29,1.2264007996254378e-5
3,2,1.226400756237922e-5
3,30,1.2264008072637722e-5
3,3,1.2264007938078691e-5
3,4,1.2264008264040172e-5
3,5,1.2264007448692382e-5
3,6,1.2264007560602863e-5
3,7,8.176005684923382e-6
3,8,1.226401019271961e-5
3,9,1.2264008432349982e-5
4,10,1.2264009150442234e-5
4,11,8.176005417581678e-6
4,12,1.2264008142803817e-5
4,13,1.226400809661854e-5
4,14,1.2264008210749466e-5
4,15,1.226400644416259e-5
4,16,1.226400787679438e-5
4,17,1.2264008116602554e-5
4,18,1.2264004978668197e-5
4,19,1.2264008512730129e-5
4,1,1.2264008738327448e-5
4,20,1.2264007915874231e-5
4,21,1.2264008161899653e-5
4,22,8.176005417581678e-6
4,23,8.17600532654339e-6
4,24,1.2264008064200027e-5
4,25,8.176005170223988e-6
4,26,1.2264009527918063e-5
4,27,1.226400800646843e-5
4,28,1.2264007358542273e-5
4,29,1.2264008105500324e-5
4,2,1.226400652232229e-5
4,30,1.2264007323459225e-5
4,3,1.2264007975826274e-5
4,4,1.2264008037998764e-5
4,5,8.176001927040488e-6
4,6,8.176006080162779e-6
4,7,1.2264008077522703e-5
4,8,1.2264009618068172e-5
4,9,1.2264008059759135e-5
5,10,8.176005463322866e-6
5,11,8.176005544147102e-6
5,12,1.2264008681928118e-5
5,13,1.2264008030449247e-5
5,14,1.2264008740991983e-5
5,15,1.2264007874573934e-5
5,16,1.2264008017126571e-5
5,17,1.226400766363156e-5
5,18,8.176005258153651e-6
5,19,1.2264008129481141e-5
5,1,8.176005426019373e-6
5,20,1.2264012157370274e-5
5,21,8.176005262150454e-6
5,22,1.226400805132144e-5
5,23,1.2264008046436459e-5
5,24,1.226400866993771e-5
5,25,1.226400906872982e-5
5,26,8.17600548908004e-6
5,27,8.17600533720153e-6
5,28,1.2264007684059663e-5
5,29,1.2264008074858168e-5
5,2,8.176005326987479e-6
5,30,8.176005490856397e-6
5,3,8.17600577596167e-6
5,4,1.2264008007356608e-5
5,5,1.2263999427553074e-5
5,6,1.2264008277806937e-5
5,7,1.2264007997586646e-5
5,8,1.2264008026896533e-5
5,9,1.2264007549056544e-5
6,10,1.2264008647733249e-5
6,11,1.2264008031337426e-5
6,12,1.22640080735259e-5
6,13,1.2264008019347017e-5
6,14,1.226401088372242e-5
6,15,8.17600533231655e-6
6,16,8.1760052643709e-6
6,17,1.2264009654039398e-5
6,18,1.2264008379503366e-5
6,19,1.2264006127082894e-5
6,1,1.2264008760531908e-5
6,20,1.2264008099727164e-5
6,21,1.2264020121222075e-5
6,22,1.2264009149554056e-5
6,23,1.2264007968276758e-5
6,24,1.226400851184195e-5
6,25,1.2264008533602322e-5
6,26,1.2264008199203147e-5
6,27,1.2264008064200027e-5
6,28,1.2264011337581593e-5
6,29,1.2264008423912287e-5
6,2,8.176005499738181e-6
6,30,1.2264008030449247e-5
6,3,1.2264007296813872e-5
6,4,1.2264007945184119e-5
6,5,1.2264009781493002e-5
6,6,1.2264008269369242e-5
6,7,1.226400802911698e-5
6,8,1.2264007999807092e-5
6,9,1.226400806864092e-5
7,10,1.2264009642493079e-5
7,11,8.176005430016176e-6
7,12,1.2264007998030735e-5
7,13,1.2264008114382108e-5
7,14,1.2264008030893336e-5
7,15,1.2264010049278795e-5
7,16,1.2264007985152148e-5
7,17,1.2264013248941552e-5
7,18,1.2264008106832591e-5
7,19,1.2264008120155268e-5
7,1,8.17600539937402e-6
7,20,8.176011178750997e-6
7,21,8.176005555693422e-6
7,22,8.176005263926811e-6
7,23,8.17600533187246e-6
7,24,1.2264011045370893e-5
7,25,1.2264007918538766e-5
7,26,8.176005339421977e-6
7,27,1.2264008149909245e-5
7,28,1.2264012439366923e-5
7,29,8.176005515725393e-6
7,2,1.226400830445229e-5
7,30,1.2264007973605828e-5
7,3,1.2264008440787677e-5
7,4,1.2264008027784712e-5
7,5,1.2264003119710765e-5
7,6,1.2264007001494548e-5
7,7,1.2264007363871343e-5
7,8,1.2264008486972955e-5
7,9,8.17600546110242e-6
8,10,8.176005235061012e-6
8,11,1.2264007941187316e-5
8,12,1.2264008252493852e-5
8,13,1.2264006855389198e-5
8,14,1.2264007907880625e-5
8,15,1.2264007946072297e-5
8,16,1.2264007947848654e-5
8,17,1.2264008045104191e-5
8,18,1.226400902964997e-5
8,19,1.2264007946072297e-5
8,1,1.2264008172557794e-5
8,20,1.226400609022349e-5
8,21,1.2264009217055616e-5
8,22,1.2264008547369087e-5
8,23,1.2264008097950807e-5
8,24,1.2264008782736369e-5
8,25,1.2264007829720924e-5
8,26,1.2264008019791106e-5
8,27,1.2264008037998764e-5
8,28,1.2264008477202992e-5
8,29,1.226400806775274e-5
8,2,1.2264009599416426e-5
8,30,1.2264008038442853e-5
8,3,8.176005344751047e-6
8,4,1.2264008404816451e-5
8,5,8.176005600546432e-6
8,6,1.2264010167850614e-5
8,7,1.2264007999363002e-5
8,8,8.176005233284656e-6
8,9,1.2264008637963286e-5
9,10,1.2264008795170867e-5
9,11,1.2264008189877273e-5
9,12,8.176067751719529e-6
9,13,1.2264008542928195e-5
9,14,1.2264008208084931e-5
9,15,8.176005409588072e-6
9,16,1.2264008395934667e-5
9,17,1.226400815212969e-5
9,18,1.2264008237394819e-5
9,19,1.2264008076190436e-5
9,1,8.176005465987402e-6
9,20,1.2264008099727164e-5
9,21,1.2264007870133042e-5
9,22,1.2264008133477944e-5
9,23,1.226400798426397e-5
9,24,1.22640086868131e-5
9,25,8.176005378057738e-6
9,26,8.176005333204728e-6
9,27,1.2264008305784557e-5
9,28,8.176005959814603e-6
9,29,1.226400805087735e-5
9,2,1.2264007509976693e-5
9,30,8.176005351412385e-6
9,3,1.2264008409701432e-5
9,4,1.2264008395934667e-5
9,5,1.2263984045191023e-5
9,6,1.2264008190321363e-5
9,7,8.176005340310155e-6
9,8,1.2264010488927113e-5
9,9,1.2264005194495553e-5
10,10,1.22640074273761e-5
10,11,1.2264008194318166e-5
10,12,1.2263944854318254e-5
10,13,1.22640080570946e-5
10,14,1.226400900122826e-5
10,15,1.2264007932749621e-5
10,16,1.2264008010909322e-5
10,17,1.2264008032669693e-5
10,18,1.2264007175133429e-5
10,19,1.226400885512291e-5
10,1,1.2264008086404488e-5
10,20,1.2264009271678589e-5
10,21,1.226400809661854e-5
10,22,8.17600538827179e-6
10,23,1.2264008137918836e-5
10,24,8.176008335691876e-6
10,25,1.2264007904327912e-5
10,26,1.226400796117133e-5
10,27,1.226400846121578e-5
10,28,1.2264010156304295e-5
10,29,1.226400796117133e-5
10,2,8.176005487747773e-6
10,30,1.2264008120155268e-5
10,3,8.176005248827778e-6
10,4,8.176005352300564e-6
10,5,1.226400501108671e-5
10,6,1.2264009288998068e-5
10,7,1.2264007925644194e-5
10,8,8.17600243729899e-6
10,9,1.226400739984257e-5
11,10,1.226401008569411e-5
11,11,1.2264008119711178e-5
11,12,8.176005561466582e-6
11,13,1.2264008002471627e-5
11,14,1.2264008110385305e-5
