Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,11,-761.2951840859049,-0.03522633229707469,-0.0007435652400283825
H2,1,12,-0.04575745245143081,-0.09449058742238198,-0.004264668008500148
H2,1,13,-0.106622845275105,-0.03527775207302887,-0.0006950483588982036
H2,1,19,-1088.859810144856,-0.03519199851206902,-0.0005462005143388231
H2,1,1,-0.04001858904326284,-0.03524861262183666,-0.001865332053918308
H2,1,22,-0.0416977367013828,-0.03529482114387931,-0.0019952791488722084
H2,1,23,-0.05891317840157923,-0.07445469815823375,-0.0016823228098622508
H2,1,24,-0.04120601997848723,-0.11770222781689689,-0.00868148223713912
H2,1,26,-0.05604911507988297,-0.07875515688879925,-0.002926173970913577
H2,1,27,-0.06912630925102886,-0.04212400627674431,-0.0020286864387054388
H2,1,29,-0.047422837240063354,-0.08765754765373208,-0.0034347139866959643
H2,1,30,-0.03521018786517229,-153.79759917022702,-0.038167277918034134
H2,1,4,-1.2658637470903487,-0.035523350672672094,-0.0013351667011258503
H2,1,7,-0.05718069150446479,-0.035190080692335486,-0.0015042027299652977
H2,1,8,-0.035204393752453274,-139.95737377875741,-0.02093639744537114
H2,2,11,-0.03665152508089051,-0.06696261451166015,-0.0007993043161244399
H2,2,12,-0.04549808665172425,-0.07333664107882723,-0.0038981520680859555
H2,2,13,-0.03576883271100945,-8.000391095819273,-0.0007329589782858949
H2,2,19,-0.035681892184275324,-1.027265113233224,-0.0007379481596707578
H2,2,1,-0.039591687788880836,-0.03535250496635274,-0.0015106666193353845
H2,2,22,-0.058639440241634276,-0.03531401040330855,-0.0010018358437471012
H2,2,23,-0.05326286836541236,-0.07900415210504169,-0.0014020158067058481
H2,2,24,-0.04397122503279255,-0.0426393906575652,-0.004039900930961298
H2,2,26,-0.04059082082359427,-0.13392159554870253,-0.008120622495370945
H2,2,27,-0.04306367403504049,-0.09672267224264773,-0.0021103631443407365
H2,2,29,-0.0625949375805259,-0.06356768662725104,-0.002671172901603758
H2,2,30,-0.037175971976788694,-0.03519783267938386,-0.010551820502794088
H2,2,4,-0.050154314794955954,-0.03537225045738884,-0.0009464725660379142
H2,2,7,-93.22208874142758,-0.03519838286857237,-0.000675967047907556
H2,2,8,-0.03853631490623765,-0.035259177585326706,-0.009107053748146762
H2,3,11,-362.7824028170544,-0.03523152072768638,-0.0005611589477348386
H2,3,12,-0.04327380761725547,-0.10443911077864784,-0.004451430341812231
H2,3,13,-0.03523980007362243,-64.04086451863886,-0.0013861230173586817
H2,3,19,-0.03637250285118273,-0.2786516657404174,-0.0008829868080800824
H2,3,1,-0.04704729406374815,-0.035537484639296985,-0.0012648774849243676
H2,3,22,-28.732247569214753,-0.03533679876613293,-0.00056081807163829
H2,3,23,-0.04016120229229873,-0.14016150794793664,-0.0037372906343283202
H2,3,24,-0.037457890198485895,-0.22927982624838766,-11.811132440333209
H2,3,26,-0.039675474378185104,-0.14205762180961357,-2.8457046851370014
H2,3,27,-0.03790322132011043,-0.2147271096249259,-0.0034282939759532273
H2,3,29,-0.04523457194967367,-0.08532459468138034,-0.00268839468946348
H2,3,30,-0.03877735532697058,-0.03518075665530014,-0.003426760516406485
H2,3,4,-1.5588689731902343,-0.0354446220057079,-0.0005954386650092484
H2,3,7,-22.02274438901967,-0.03522030626230098,-0.00048317463199932083
H2,3,8,-0.19996811038892026,-0.03519101910999271,-0.000874516494803978
H2,4,11,-0.035933797428869485,-0.693318225983851,-0.000655734905564181
H2,4,12,-0.03944827856991917,-0.12583090495854543,-0.009790891813773949
H2,4,13,-0.035377659984777134,-22.010139709108728,-0.0019710637356001605
H2,4,19,-40.24261765333433,-0.0357934280907962,-0.0005234541758244676
H2,4,1,-0.06689372396233748,-0.03539132168800774,-0.0008394116463876101
H2,4,22,-0.035588443789774805,-0.1338783423594075,-0.0005997993770404486
H2,4,23,-0.04325254185756923,-0.10586227848418747,-0.004633622423526021
H2,4,24,-0.03567821109023134,-0.03521585117497686,-0.4014708288687026
H2,4,26,-0.16603539599020858,-0.03530021888003996,-0.0009142915283950843
H2,4,27,-0.0388320581636548,-0.06380666051308301,-0.004346691296088154
H2,4,29,-0.037968193117374795,-0.21013903054883834,-0.0268133529406046
H2,4,30,-0.09553104657414518,-0.03517827066275203,-0.0004307666450630838
H2,4,4,-0.035521701713511114,-23.746144437026537,-0.0007012371731546355
H2,4,7,-0.11293893193101699,-0.03522578713601305,-0.00039224616838388817
H2,4,8,-0.0351981389223744,-204.00341416147737,-0.0011865151127425353
H2,5,11,-0.03670791961570304,-0.23671381455648746,-0.0007196753961201142
H2,5,12,-0.03870609349428422,-0.1400304113674524,-19.997507990748147
H2,5,13,-0.03528714783617041,-1.3461573595683625,-0.6833897098537239
H2,5,19,-0.036520450379010395,-0.397888655111614,-0.0005733841989419995
H2,5,1,-0.037672837413814,-0.03571567070463887,-0.0008232488271469443
H2,5,22,-0.0354394106821509,-0.036928098158530896,-0.0006025104666306115
H2,5,23,-0.04212536786740309,-0.1105370721024618,-0.006110676219734376
H2,5,24,-0.035556442349516104,-0.03521091445955129,-0.2698698088210494
H2,5,26,-0.1740366904785112,-0.035379757500705426,-0.0005656282593689746
H2,5,27,-0.03867425648881376,-0.10154202071801358,-0.007285971045093564
H2,5,29,-0.0402849908224026,-0.131675367461807,-2.8203192785683555
H2,5,30,-0.035843146250800456,-0.035300061505103016,-0.0004289910601455827
H2,5,4,-0.03534492156530803,-33.22863902680718,-0.0009255982168370818
H2,5,7,-0.03629022206360262,-0.49630966497502793,-0.00047311206646901246
H2,5,8,-0.03517709915152397,-574.5236477938784,-0.048352346727388744
H2,6,11,-0.5257733270260302,-0.036249574609521266,-0.0005077561354568521
H2,6,12,-0.08076197202058859,-0.03521022023843808,-0.0026429965400277832
H2,6,13,-0.06300071217880687,-0.03520709707064465,-0.0006415646466082732
H2,6,19,-0.03682680059760678,-0.3395800361302985,-0.0006184548275861321
H2,6,1,-0.05355171084910614,-0.03542503858083984,-0.0006811056601200081
H2,6,22,-0.0353007242795345,-0.6760647215486314,-0.0008520523097995034
