T,O,G,value
1,1,PV,0
2,1,PV,0
3,1,PV,0.03
4,1,PV,0.01
5,1,PV,0
6,1,PV,0.03
7,1,PV,0
8,1,PV,0
9,1,PV,0.01
10,1,PV,0
11,1,PV,0
12,1,PV,0.02
13,1,PV,0
14,1,PV,0
15,1,PV,0.01
16,1,PV,0
17,1,PV,0.03
18,1,PV,0.01
19,1,PV,0.34
20,1,PV,0.01
21,1,PV,0
22,1,PV,0.06
23,1,PV,0.01
24,1,PV,0.07
25,1,PV,0.01
26,1,PV,0.01
27,1,PV,0
28,1,PV,0.01
29,1,PV,0
30,1,PV,0
31,1,PV,0
32,1,PV,0.27
33,1,PV,0
34,1,PV,0
35,1,PV,0.22
36,1,PV,0
37,1,PV,0
38,1,PV,0.14
39,1,PV,0.01
40,1,PV,0.03
41,1,PV,0
42,1,PV,0
43,1,PV,0
44,1,PV,0.01
45,1,PV,0
46,1,PV,0.03
47,1,PV,0.02
48,1,PV,0.41
49,1,PV,0.03
50,1,PV,0
51,1,PV,0.03
52,1,PV,0.02
53,1,PV,0.02
54,1,PV,0
55,1,PV,0.01
56,1,PV,0.02
57,1,PV,0.1
58,1,PV,0
59,1,PV,0.17
60,1,PV,0.01
61,1,PV,0
62,1,PV,0.02
63,1,PV,0
64,1,PV,0.06
65,1,PV,0
66,1,PV,0.06
67,1,PV,0.42
68,1,PV,0.02
69,1,PV,0.03
70,1,PV,0
71,1,PV,0.33
72,1,PV,0.05
73,1,PV,0
74,1,PV,0.09
75,1,PV,0
76,1,PV,0.06
77,1,PV,0
78,1,PV,0
79,1,PV,0.03
80,1,PV,0.03
81,1,PV,0.02
82,1,PV,0
83,1,PV,0.09
84,1,PV,0
85,1,PV,0.35
86,1,PV,0
87,1,PV,0.35
88,1,PV,0.04
89,1,PV,0.03
90,1,PV,0.41
91,1,PV,0
92,1,PV,0.01
93,1,PV,0.01
94,1,PV,0.03
95,1,PV,0
96,1,PV,0.04
97,1,PV,0
98,1,PV,0.34
99,1,PV,0.08
100,1,PV,0.05
101,1,PV,0.46
102,1,PV,0.02
103,1,PV,0.02
104,1,PV,0.25
105,1,PV,0.01
106,1,PV,0.5
107,1,PV,0.02
108,1,PV,0
109,1,PV,0.08
110,1,PV,0.03
111,1,PV,0.48
112,1,PV,0.03
113,1,PV,0.35
114,1,PV,0.01
115,1,PV,0.51
116,1,PV,0.01
117,1,PV,0.52
118,1,PV,0.01
119,1,PV,0
120,1,PV,0.08
121,1,PV,0.02
122,1,PV,0.41
123,1,PV,0.03
124,1,PV,0.31
125,1,PV,0
126,1,PV,0
127,1,PV,0.21
128,1,PV,0.03
129,1,PV,0
130,1,PV,0.31
131,1,PV,0.02
132,1,PV,0.04
133,1,PV,0.61
134,1,PV,0.16
135,1,PV,0.01
136,1,PV,0.53
137,1,PV,0.03
138,1,PV,0.53
139,1,PV,0.03
140,1,PV,0.52
141,1,PV,0.01
142,1,PV,0.01
143,1,PV,0.29
144,1,PV,0.01
145,1,PV,0.31
146,1,PV,0.01
147,1,PV,0.1
148,1,PV,0.05
149,1,PV,0.4
