Time,Scenario,price_model
1,11,129.99953447554654
1,12,2.8693452158928345e-10
1,13,129.99973448921435
1,19,129.999434997948
1,1,129.99933474836524
1,22,129.99945537720674
1,23,3.8634875133847463e-10
1,24,3.6830578648581563e-8
1,26,-8.806506359065567e-9
1,27,129.99927091815943
1,29,-2.385081354261862e-10
1,30,129.99900195549793
1,4,129.9994259434195
1,7,129.9992805945584
1,8,8.769986390502518e-11
2,11,129.99890497422177
2,12,129.99868829204655
2,13,130.0004300770963
2,19,-5.5278242572102525e-12
2,1,129.99912434650207
2,22,129.99987231157314
2,23,1.6709754923226416e-9
2,24,129.999118610548
2,26,-3.3348983104975664e-10
2,27,129.9987610912551
2,29,129.99910855194648
2,30,129.9994669753079
2,4,129.99923938379757
2,7,129.99966614660542
2,8,129.99944928859702
3,11,311.9985473912988
3,12,9.975587549780052e-10
3,13,129.998588197859
3,19,129.99877839208403
3,1,129.99948404384554
3,22,207.99955783543996
3,23,9.343204840816224e-11
3,24,129.99856859006726
3,26,5.626087747823488e-7
3,27,2.7025627516535765e-10
3,29,129.99864298491892
3,30,129.9999667252072
3,4,129.99962135287134
3,7,129.99931705718112
3,8,129.9997811817924
4,11,0.00014328805904551307
4,12,129.99872426653027
4,13,129.99874276795234
4,19,129.99917021433328
4,1,129.9993849216428
4,22,9.567753468953477e-5
4,23,4.1252761861642314e-10
4,24,129.99907432477585
4,26,129.99952344346616
4,27,129.99870922056863
4,29,-4.2074378794675684e-10
4,30,129.99965667633916
4,4,129.99896626122086
4,7,129.99891806397937
4,8,129.99934114639416
5,11,129.99879618959403
5,12,129.9988337785735
5,13,129.99933546345906
5,19,129.9982548604933
5,1,129.99912807525553
5,22,129.99877000228767
5,23,8.433786102945426e-9
5,24,129.9994461794318
5,26,129.99977860489477
5,27,129.99881575169468
5,29,5.9701061538003885e-9
5,30,129.99907804303817
5,4,1.4619758686610307e-9
5,7,129.99845885285592
5,8,129.99876367075058
6,11,129.99921239868843
6,12,129.99919492083774
6,13,129.99970463702522
6,19,7.86211316111077e-11
6,1,222.85570897734812
6,22,129.99880934225877
6,23,129.9998030121084
6,24,129.99926897601486
6,26,129.99922230707455
6,27,129.99842053668047
6,29,129.99933808070367
6,30,129.99826947434826
