Time,Scenario,Residual
1,11,2.75418780919523e-5
1,12,2.7542576576777833e-5
1,13,2.754256596171345e-5
1,19,2.7542139004577137e-5
1,1,2.754256592885085e-5
1,22,2.754253869285961e-5
1,23,2.7542574247974017e-5
1,24,2.754257747161759e-5
1,26,2.7542571707339647e-5
1,27,2.754263098836418e-5
1,29,2.7542577192285478e-5
1,30,2.754287861517213e-5
1,4,2.754255867287725e-5
1,7,2.7540886036625523e-5
1,8,2.754258643067331e-5
2,11,2.7542117805534616e-5
2,12,2.7542594696949863e-5
2,13,2.7542582660800008e-5
2,19,2.7542579133399414e-5
2,1,2.754254717363125e-5
2,22,2.754261890469678e-5
2,23,2.754257399928406e-5
2,24,2.75426657281308e-5
2,26,2.7542572304195545e-5
2,27,2.7542581701567315e-5
2,29,2.754258160386769e-5
2,30,2.7542221193055383e-5
2,4,2.75424187496931e-5
2,7,2.7544134325374614e-5
2,8,2.7542299745775267e-5
3,11,2.7542271084257663e-5
3,12,1.836172129143776e-5
3,13,2.754259154613692e-5
3,19,2.7542652051515404e-5
3,1,1.8361716189740918e-5
3,22,2.7542652144774138e-5
3,23,2.7542577319294992e-5
3,24,2.754260499004957e-5
3,26,2.7542580038453224e-5
3,27,1.836171748603732e-5
3,29,2.754258207504634e-5
3,30,2.7542430397264894e-5
3,4,2.754257231796231e-5
3,7,1.836165213919827e-5
3,8,2.7542576772177085e-5
4,11,2.7542576580774636e-5
4,12,2.7542602412999884e-5
4,13,2.7542590671725264e-5
4,19,2.7542937832247816e-5
4,1,2.7542617867304386e-5
4,22,1.8361629666507895e-5
4,23,2.754257465120702e-5
4,24,2.754240244362549e-5
4,26,2.7542568426408565e-5
4,27,2.7542655884893463e-5
4,29,2.7542574472239068e-5
4,30,2.7542534180469147e-5
4,4,2.7542778953559832e-5
4,7,2.754240252844653e-5
4,8,2.7543117671946504e-5
5,11,2.7542655788970194e-5
5,12,1.8361753634010824e-5
5,13,2.7542744719610823e-5
5,19,2.754258956105815e-5
5,1,1.836165155966185e-5
5,22,2.7542378683520496e-5
5,23,1.836172257352331e-5
5,24,2.754251062997426e-5
5,26,2.7542588505902188e-5
5,27,1.8361776715991596e-5
5,29,1.836172122482438e-5
5,30,1.8361254157994722e-5
5,4,2.7542580736117372e-5
5,7,2.7542594227991657e-5
5,8,2.7542794178270213e-5
6,11,1.836212304251461e-5
6,12,2.7542552238912776e-5
6,13,2.754314719277673e-5
6,19,1.836172103342193e-5
6,1,2.7542606357400246e-5
6,22,2.7542264770641367e-5
6,23,2.7542616844122847e-5
6,24,2.7542503183930478e-5
6,26,1.8361689344104093e-5
6,27,2.754264134630091e-5
6,29,2.75425562548115e-5
6,30,2.7542590239626463e-5
6,4,2.7542586366724464e-5
6,7,2.7542607081709747e-5
6,8,2.7542598888707914e-5
7,11,2.7542592111462483e-5
7,12,2.7542586505724387e-5
7,13,2.7542758162191205e-5
7,19,2.754259514237134e-5
7,1,1.836170870728182e-5
7,22,2.754260790061025e-5
7,23,2.7542598602714463e-5
7,24,1.8361679102518735e-5
7,26,2.754257525783288e-5
7,27,1.836170280711258e-5
7,29,2.7542543985070722e-5
7,30,1.83617215450127e-5
7,4,2.7542544200898078e-5
7,7,2.7542575405714587e-5
7,8,1.836173289726517e-5
8,11,2.7542577278438785e-5
8,12,2.754116740222301e-5
8,13,1.836184795189766e-5
8,19,2.7542593773688395e-5
8,1,2.7542583487694117e-5
8,22,2.7542572896166462e-5
8,23,1.836171711477874e-5
8,24,2.7542624215115552e-5
8,26,1.8361861982896244e-5
8,27,2.7542566076732555e-5
8,29,1.8361711981551565e-5
8,30,2.7542632835775294e-5
8,4,2.7542574143613052e-5
8,7,2.7542590064655315e-5
8,8,2.7543061689172532e-5
9,11,2.7542576503947203e-5
9,12,2.75330983603439e-5
9,13,2.754284882033886e-5
9,19,2.7541906655770276e-5
9,1,1.8361706270120237e-5
9,22,1.836184045433953e-5
9,23,2.7542582516026926e-5
9,24,1.8361644980480207e-5
9,26,2.7542821715798027e-5
9,27,1.8361709577252583e-5
