Time,Scenario,Residual
1,11,1.516065896822738e-5
1,12,1.5160660295610029e-5
1,13,1.5160651310797135e-5
1,19,1.5160658183521747e-5
1,1,1.5160649974976792e-5
1,22,1.5160646065215388e-5
1,23,1.5160665213898028e-5
1,24,1.5160703305650003e-5
1,26,1.5160652651946549e-5
1,27,1.5160649050827146e-5
1,29,1.516068298412776e-5
1,30,1.5160634113886573e-5
1,4,1.5160650121526231e-5
1,7,1.516064819417906e-5
1,8,1.5160664155633441e-5
2,11,1.5160641227307536e-5
2,12,1.5160648353162998e-5
2,13,1.5160647672374239e-5
2,19,1.516066290863094e-5
2,1,1.5160648021872447e-5
2,22,1.5160659037949387e-5
2,23,1.5160678104919612e-5
2,24,1.5160637263811338e-5
2,26,1.5160652295787003e-5
2,27,1.516064188811228e-5
2,29,1.516064672779649e-5
2,30,1.5160643590750311e-5
2,4,1.5160646015477397e-5
2,7,1.5160673849212714e-5
2,8,1.5160653060064533e-5
3,11,1.51605915359454e-5
3,12,1.0107125354874569e-5
3,13,1.5160637697242407e-5
3,19,1.5160655538082324e-5
3,1,1.0107099971179423e-5
3,22,1.5160582263362699e-5
3,23,1.5160652434786925e-5
3,24,1.516057423067707e-5
3,26,1.5161017851372804e-5
3,27,1.0107104571499548e-5
3,29,1.516064506423831e-5
3,30,1.5160653188850404e-5
3,4,1.5160660344903931e-5
3,7,1.0107095941513933e-5
3,8,1.5160663322966172e-5
4,11,1.516065565265734e-5
4,12,1.5160649715184604e-5
4,13,1.5160639144973231e-5
4,19,1.516065914808351e-5
4,1,1.5160658388246873e-5
4,22,1.0107175185680717e-5
4,23,1.5160662006685754e-5
4,24,1.5160584992734982e-5
4,26,1.5160658064949928e-5
4,27,1.516065202711303e-5
4,29,1.5160654649903904e-5
4,30,1.5160648505485597e-5
4,4,1.5160643600964363e-5
4,7,1.5160650877810156e-5
4,8,1.5160647421463835e-5
5,11,1.5160649764034417e-5
5,12,1.010709199800175e-5
5,13,1.5160647111933656e-5
5,19,1.5160648064060922e-5
5,1,1.0107092024647102e-5
5,22,1.516065152173951e-5
5,23,1.010714102944732e-5
