Time,Scenario,Generator,Dispatch
1,11,PV,1.9192994092722009
1,12,PV,0.29363025268098664
1,13,PV,2.988314053464916
1,19,PV,0.294030453792148
1,1,PV,0.5711167777767463
1,22,PV,0.9993082590521482
1,23,PV,0.23633484810513516
1,24,PV,2.184981779424884
1,26,PV,0.0674479509639992
1,27,PV,0.30761878827880096
1,29,PV,0.6236491800271168
1,30,PV,1.0937176804514492
1,4,PV,0.26431425665043695
1,7,PV,0.2526831562515723
1,8,PV,0.22707376025028436
2,11,PV,0.09445974384184491
2,12,PV,0.7635099239472485
2,13,PV,16.094137626219574
2,19,PV,0.7827986774064947
2,1,PV,0.44282198038737003
2,22,PV,2.5511817894835533
2,23,PV,1.104809596755121
2,24,PV,0.4609077806131258
2,26,PV,1.1274817734635036
2,27,PV,1.8499986297944886
2,29,PV,0.06019326352734875
2,30,PV,2.082548823888652
2,4,PV,1.6287210550276445
2,7,PV,0.8185283102364908
2,8,PV,3.736740020305924
3,11,PV,2.006059676276336
3,12,PV,0.0
3,13,PV,1.6510132421783748
3,19,PV,1.82946127705291
3,1,PV,0.0
3,22,PV,2.394775640250406
3,23,PV,0.30110316752638083
3,24,PV,0.044144462920329045
3,26,PV,0.05487819345316655
3,27,PV,0.0
3,29,PV,0.6499302495157914
3,30,PV,2.6377121962453516
3,4,PV,3.245183773643657
3,7,PV,0.0
3,8,PV,1.838868580629468
4,11,PV,0.0839306835694748
4,12,PV,1.9352910499987317
4,13,PV,0.049616070200312584
4,19,PV,0.5165759585661287
4,1,PV,0.9561288750720897
4,22,PV,0.0
4,23,PV,1.8041116668761117
4,24,PV,0.4612726189169212
4,26,PV,0.9827294520147696
4,27,PV,0.7523576185602453
4,29,PV,0.4636670198519147
4,30,PV,1.6162957563743168
4,4,PV,0.5167028196222933
4,7,PV,0.7972414092370538
4,8,PV,3.1850048826703654
5,11,PV,1.9746862539541934
5,12,PV,0.0
5,13,PV,2.119869828556911
5,19,PV,0.2338928166316596
5,1,PV,0.0
5,22,PV,1.0733710854488807
5,23,PV,0.0
5,24,PV,0.8610604234796695
5,26,PV,3.5682564823873033
5,27,PV,0.0
5,29,PV,0.0
5,30,PV,0.0
5,4,PV,3.4965680058343622
5,7,PV,0.3182607407079001
5,8,PV,0.8204406969341733
6,11,PV,0.0
6,12,PV,1.1486504264566633
6,13,PV,0.5209372526010367
6,19,PV,0.0
6,1,PV,1.4103853776762614
6,22,PV,0.8471948341634242
6,23,PV,7.151319085476302
6,24,PV,1.2423077069503285
6,26,PV,0.0
6,27,PV,0.7341118687026353
6,29,PV,0.1761200722156625
6,30,PV,1.4763112865650334
6,4,PV,0.009216393422517344
6,7,PV,0.2537904443304134
6,8,PV,4.320889020944438
7,11,PV,0.977691609979736
7,12,PV,0.5404611150254672
7,13,PV,1.7973231842869088
7,19,PV,1.4966012958171724
7,1,PV,0.0
7,22,PV,0.965454830162299
7,23,PV,0.5624320424091139
7,24,PV,0.0
7,26,PV,0.6206629484552596
7,27,PV,0.0
7,29,PV,0.7066476203703712
7,30,PV,0.0
7,4,PV,1.5549012838394107
7,7,PV,0.2628765730325355
7,8,PV,0.0
8,11,PV,0.13153581152243163
8,12,PV,0.02569326735431386
8,13,PV,0.0
8,19,PV,0.19002862616680927
8,1,PV,0.80997784196969
8,22,PV,1.313195472408838
8,23,PV,0.0
8,24,PV,0.7402079990190188
8,26,PV,0.0
8,27,PV,0.7752314891008556
8,29,PV,0.0
8,30,PV,4.827140468541363
8,4,PV,0.055620339143758905
8,7,PV,1.740176825718024
8,8,PV,2.382486686763971
9,11,PV,0.3258407840163549
9,12,PV,1.3673965681207785
9,13,PV,2.4724810226769005
9,19,PV,3.5593533496721266
9,1,PV,0.0
9,22,PV,0.0
9,23,PV,3.7807573170101096
9,24,PV,0.0
9,26,PV,2.7154396987935243
9,27,PV,0.0
9,29,PV,1.2174192342249626
9,30,PV,0.0
9,4,PV,1.418778790131861
9,7,PV,0.04700196816260169
9,8,PV,0.0
10,11,PV,1.289423614929834
10,12,PV,2.1072673822097605
10,13,PV,0.0
10,19,PV,0.0
10,1,PV,1.6615494650260823
10,22,PV,3.467935583437164
10,23,PV,0.0
10,24,PV,0.8371736905983911
10,26,PV,0.0
10,27,PV,1.2668050255223744
10,29,PV,0.0
10,30,PV,4.470811822605839
10,4,PV,0.0
10,7,PV,0.5766580872288749
10,8,PV,3.353756250176685
11,11,PV,4.045740982692643
11,12,PV,0.0
11,13,PV,1.674266783470744
11,19,PV,0.7041369553094708
11,1,PV,0.0
11,22,PV,0.0
11,23,PV,1.3355916499279243
11,24,PV,0.0
11,26,PV,0.3287196473560935
11,27,PV,0.005534845221883016
11,29,PV,3.1343505978804695
11,30,PV,1.2268239225173516
11,4,PV,0.9375593706153825
11,7,PV,0.0
11,8,PV,0.0
12,11,PV,0.0
12,12,PV,2.9143069303126277
12,13,PV,1.1992034672166572
12,19,PV,0.9949929425289007
12,1,PV,3.949270308620702
12,22,PV,8.949947089493467
12,23,PV,0.22265325887109605
12,24,PV,0.9501006163358129
12,26,PV,0.0
12,27,PV,1.570927601256316
12,29,PV,0.6924016763961391
12,30,PV,0.0
12,4,PV,0.28878203794801105
12,7,PV,1.5031517331545348
12,8,PV,3.394904363133852
13,11,PV,0.6251959587832339
13,12,PV,0.0
13,13,PV,1.530526432824167
13,19,PV,0.6815241547370722
13,1,PV,0.7503664967939933
13,22,PV,0.1155488466741245
13,23,PV,3.8942125158854464
13,24,PV,0.0
13,26,PV,2.0634794896027433
13,27,PV,0.0
13,29,PV,7.160073470026804
13,30,PV,0.8020272395946741
13,4,PV,1.054447934106605
13,7,PV,0.0
13,8,PV,0.0
14,11,PV,0.0
14,12,PV,2.5190780664382753
14,13,PV,0.0396252901768706
14,19,PV,0.0
14,1,PV,0.0
14,22,PV,0.8552460258573296
14,23,PV,0.009879836661279099
14,24,PV,3.3824359986992034
14,26,PV,0.16582510538922743
14,27,PV,1.8732031709569863
14,29,PV,0.0
14,30,PV,0.0
14,4,PV,0.0
14,7,PV,1.654186648977565
14,8,PV,3.04651121224458
15,11,PV,3.3639984053498573
15,12,PV,0.0
15,13,PV,1.5552129626819362
15,19,PV,0.29133752093968046
15,1,PV,2.3420163787708907
15,22,PV,0.0
15,23,PV,1.097839738597298
15,24,PV,1.245004706498456
15,26,PV,1.550787368425402
15,27,PV,0.0
15,29,PV,4.216465233260902
15,30,PV,1.0765291279654063
15,4,PV,3.061209029424389
15,7,PV,0.0
15,8,PV,0.6788850989855344
16,11,PV,0.0
16,12,PV,5.679039175422808
16,13,PV,0.0
16,19,PV,0.0
16,1,PV,0.7784923131719874
16,22,PV,4.491426289476388
16,23,PV,1.9851797921924903
16,24,PV,0.0
16,26,PV,0.5987361109150756
16,27,PV,2.2957085029452498
16,29,PV,0.41726301367758384
16,30,PV,0.0
16,4,PV,0.548152490030377
16,7,PV,0.6744790089714554
16,8,PV,0.7794407741653407
17,11,PV,3.5185717997207306
17,12,PV,1.9552848416449466
17,13,PV,1.216182902633638
17,19,PV,0.0
17,1,PV,0.0
17,22,PV,0.0
17,23,PV,0.0
17,24,PV,2.26921628290037
17,26,PV,0.9565437600946475
17,27,PV,0.0
17,29,PV,1.3740012218359032
17,30,PV,2.9144761512749477
17,4,PV,0.0
17,7,PV,0.6875559503437167
17,8,PV,0.0
18,11,PV,0.0
18,12,PV,19.05864383157007
18,13,PV,0.0
18,19,PV,1.8122755464963634
18,1,PV,2.793680589851192
18,22,PV,0.6628514367417248
18,23,PV,0.1295813790839397
18,24,PV,0.0
18,26,PV,0.738475039053602
18,27,PV,1.1147650487834055
18,29,PV,1.6824855038662099
18,30,PV,0.0
18,4,PV,0.0
18,7,PV,1.5506212311100291
18,8,PV,1.5799136513035534
19,11,PV,1.4811043943346363
19,12,PV,1.268278910312769
19,13,PV,2.9953608358840413
19,19,PV,0.0
19,1,PV,0.0
19,22,PV,2.1157340453369193
19,23,PV,4.124312112822592
19,24,PV,1.4607099167247486
19,26,PV,0.051596118671592875
19,27,PV,0.0
19,29,PV,0.0
19,30,PV,1.772137296008656
19,4,PV,0.4801948505300902
19,7,PV,0.0
19,8,PV,0.0
20,11,PV,0.0
20,12,PV,19.852307673845157
20,13,PV,0.0
20,19,PV,0.32560976320374035
20,1,PV,1.9361540634176508
20,22,PV,0.0
20,23,PV,0.0
20,24,PV,1.7501755987573058
20,26,PV,0.0
