Time,Scenario,Residual
1,11,1.0442357492923549e-5
1,12,1.04423581492874e-5
1,13,1.0442357972539895e-5
1,19,1.044235797564852e-5
1,1,1.0442358140405616e-5
1,22,1.0442357597728602e-5
1,23,1.0442355646400614e-5
1,24,1.0442424662748806e-5
1,26,1.0442357724294027e-5
1,27,1.0442357072815156e-5
1,29,1.0442361466633798e-5
1,30,1.0442355347972665e-5
1,4,1.0442357271323033e-5
1,7,1.044235682368111e-5
1,8,1.0442358550299957e-5
2,11,1.0442355409256976e-5
2,12,1.0442354697826062e-5
2,13,1.044235692448936e-5
2,19,1.0442359058782102e-5
2,1,1.044235725577991e-5
2,22,1.0442358100437588e-5
2,23,1.0442362013307616e-5
2,24,1.044234955660528e-5
2,26,1.0442357703865923e-5
2,27,1.044235620550893e-5
2,29,1.0442356860540514e-5
2,30,1.0442360190765498e-5
2,4,1.0442356743300962e-5
2,7,1.0442357316176043e-5
2,8,1.0442359009044111e-5
3,11,1.044235814973149e-5
3,12,6.961573666419696e-6
3,13,1.0442356353834725e-5
3,19,1.0442359049456229e-5
3,1,6.961571025865254e-6
3,22,1.0442350915518261e-5
3,23,1.0442361989326798e-5
3,24,1.0442347502692684e-5
3,26,1.0442393413967466e-5
3,27,6.961572192043519e-6
3,29,1.0442356807693898e-5
3,30,1.0442357011086756e-5
3,4,1.0442358479245684e-5
3,7,6.961570672814332e-6
3,8,1.0442355267592518e-5
4,11,1.0442357703865923e-5
4,12,1.0442356187301272e-5
4,13,1.04423555029598e-5
4,19,1.0442358216344871e-5
4,1,1.0442357448958717e-5
4,22,6.961580776287946e-6
4,23,1.0442359420714808e-5
4,24,1.0442356027429156e-5
4,26,1.0442358319373568e-5
4,27,1.0442357038620287e-5
4,29,1.0442357992967999e-5
4,30,1.044236021829903e-5
4,4,1.0442356332962532e-5
4,7,1.0442358898465898e-5
4,8,1.0442357569750982e-5
5,11,1.0442358560958098e-5
5,12,6.961570112817839e-6
5,13,1.0442357742945774e-5
5,19,1.0442356561668475e-5
5,1,6.961569396501943e-6
5,22,1.0442357406326153e-5
5,23,6.961576656916435e-6
5,24,1.0442357238460431e-5
5,26,1.044235863290055e-5
5,27,6.9615710689419075e-6
5,29,6.961578229880416e-6
5,30,6.961570433450248e-6
5,4,1.0442367561314114e-5
5,7,1.0442353042705577e-5
5,8,1.0442353283401928e-5
6,11,6.961572566410723e-6
6,12,1.0442362234908131e-5
6,13,1.0442358019169262e-5
6,19,6.961573480790406e-6
6,1,1.0441676985273318e-5
6,22,1.0442356324524837e-5
6,23,1.0442358854056977e-5
6,24,1.044234009750511e-5
6,26,6.9615706985715065e-6
6,27,1.044235703684393e-5
6,29,1.0442358182150002e-5
6,30,1.044235873415289e-5
6,4,1.0442352825545953e-5
6,7,1.0442353740813815e-5
6,8,1.044235943670202e-5
7,11,1.0442358636453264e-5
7,12,1.0442357153639392e-5
7,13,1.0442412394340295e-5
7,19,1.0442357872619823e-5
7,1,6.962207155680744e-6
7,22,1.0442358297169108e-5
7,23,1.0442358080453573e-5
7,24,6.961571291874691e-6
7,26,1.0442359024587233e-5
7,27,6.961571537900113e-6
7,29,1.044235700842222e-5
7,30,6.961572227126567e-6
7,4,1.044236133651566e-5
7,7,1.0442358471696167e-5
7,8,6.9615719895388395e-6
8,11,1.0442359555273839e-5
8,12,1.0442356331186176e-5
8,13,6.96157112933804e-6
8,19,1.0443224069955903e-5
8,1,1.0442359996254424e-5
8,22,1.0442358272300112e-5
8,23,6.961571469954464e-6
8,24,1.0442350974138037e-5
8,26,6.961570010233231e-6
8,27,1.0442357875284358e-5
8,29,6.961571413555134e-6
8,30,1.0442358174600486e-5
8,4,1.0442357763373877e-5
8,7,1.0442357232243182e-5
8,8,1.0442387320175328e-5
9,11,1.0442356306761269e-5
9,12,1.0442358818973929e-5
9,13,1.044235889136047e-5
9,19,1.0441375366987415e-5
9,1,6.961571332730898e-6
9,22,6.961570201635681e-6
9,23,1.0442351785044934e-5
9,24,6.9615708615522465e-6
9,26,1.0442357630147114e-5
9,27,6.9615700954983595e-6
9,29,1.0442358405526875e-5
