Time,Scenario,Generator,Dispatch
1,11,PV,4.218602674778575
1,12,PV,0.6361116802500507
1,13,PV,6.567219055183397
1,19,PV,0.6465484280528084
1,1,PV,1.2548932260500802
1,22,PV,2.1957991053889527
1,23,PV,0.5044197767305869
1,24,PV,2.645748453166965
1,26,PV,0.14799479267145663
1,27,PV,0.42363083721594813
1,29,PV,1.1964039122704735
1,30,PV,1.4689152410097153
1,4,PV,0.5796806528897777
1,7,PV,0.5556579198184829
1,8,PV,0.4935070625215838
2,11,PV,0.12211481705774938
2,12,PV,0.9345553089843273
2,13,PV,30.888690090293316
2,19,PV,1.6517543102614871
2,1,PV,0.9726030927880737
2,22,PV,5.6063538519139335
2,23,PV,1.869141315697977
2,24,PV,0.7001399136110809
2,26,PV,2.428290039874776
2,27,PV,2.2976610977874783
2,29,PV,0.06824669370905834
2,30,PV,4.577413865066998
2,4,PV,3.5787365701538376
2,7,PV,1.799661092433406
2,8,PV,8.21327544333886
3,11,PV,4.408928054067387
3,12,PV,0.0
3,13,PV,1.9977293649080272
3,19,PV,3.4909558643722067
3,1,PV,0.0
3,22,PV,5.2622999361200495
3,23,PV,0.6579408260060551
3,24,PV,0.04916192673628311
3,26,PV,0.10471670210386454
3,27,PV,0.0
3,29,PV,0.7495365217306409
3,30,PV,5.797308973134841
3,4,PV,7.131001860432906
3,7,PV,0.0
3,8,PV,4.041850326326382
4,11,PV,0.1844107124330395
4,12,PV,2.6195493284177584
4,13,PV,0.05580003634572937
4,19,PV,1.128642291742113
4,1,PV,2.100532664320014
4,22,PV,0.0
4,23,PV,3.373223006398079
4,24,PV,1.014202687337048
4,26,PV,2.1593035822259132
4,27,PV,1.161447491801146
4,29,PV,1.0088152603316947
4,30,PV,3.552425629508517
4,4,PV,1.0494783615978365
4,7,PV,1.7529066167825735
4,8,PV,6.9745920732168685
5,11,PV,3.624569818458092
5,12,PV,0.0
5,13,PV,4.655369119024194
5,19,PV,0.26248127293004553
5,1,PV,0.0
5,22,PV,2.355027980854962
5,23,PV,0.0
5,24,PV,1.8928765710331192
5,26,PV,7.841356415370932
5,27,PV,0.0
5,29,PV,0.0
5,30,PV,0.0
5,4,PV,4.898698131859572
5,7,PV,0.3545859026480737
5,8,PV,1.0349149996358775
6,11,PV,0.0
6,12,PV,2.5252645158417866
6,13,PV,1.1448288455302684
6,19,PV,0.0
6,1,PV,3.0983607732206857
6,22,PV,1.8589261173467644
6,23,PV,15.131479436080683
6,24,PV,2.7309837344384547
6,26,PV,0.0
6,27,PV,1.0044286106385791
6,29,PV,0.3856690808901429
6,30,PV,1.7504132957343503
6,4,PV,0.011326867657788434
6,7,PV,0.28999018193764264
6,8,PV,9.49706710547849
7,11,PV,1.1680063385826756
7,12,PV,1.1881688445878558
7,13,PV,3.949676844006805
7,19,PV,1.8316385212538253
7,1,PV,0.0
7,22,PV,2.1214148681366782
7,23,PV,0.7293258794074553
7,24,PV,0.0
7,26,PV,1.3631908561692574
7,27,PV,0.0
7,29,PV,1.5477441022359633
7,30,PV,0.0
7,4,PV,3.4163634174678728
7,7,PV,0.5726343475119567
7,8,PV,0.0
8,11,PV,0.2871996248090093
8,12,PV,0.05656275990957246
8,13,PV,0.0
8,19,PV,0.21340876325258315
8,1,PV,1.7792562109329637
8,22,PV,2.885126580739331
8,23,PV,0.0
8,24,PV,1.6274761052229636
8,26,PV,0.0
8,27,PV,1.7028191511492565
8,29,PV,0.0
8,30,PV,9.303206162496346
8,4,PV,0.12217717781418831
8,7,PV,2.2664062567800847
8,8,PV,5.236816564861712
9,11,PV,0.7129072234104954
9,12,PV,3.005251418918831
9,13,PV,5.433501180374111
9,19,PV,7.8233824941050365
9,1,PV,0.0
9,22,PV,0.0
9,23,PV,4.659538754759673
9,24,PV,0.0
9,26,PV,5.779328632127539
9,27,PV,0.0
9,29,PV,2.6747332016092837
9,30,PV,0.0
9,4,PV,1.6907659708568423
9,7,PV,0.052453205081194526
9,8,PV,0.0
10,11,PV,2.7860878631562014
10,12,PV,4.6320360729732935
10,13,PV,0.0
10,19,PV,0.0
10,1,PV,3.650719679257738
10,22,PV,7.233232357578928
10,23,PV,0.0
10,24,PV,1.8406329200899316
10,26,PV,0.0
10,27,PV,2.783241128442569
10,29,PV,0.0
10,30,PV,9.82656094336161
10,4,PV,0.0
10,7,PV,1.2042955534547515
10,8,PV,7.3714854991676315
11,11,PV,8.56161910869525
11,12,PV,0.0
11,13,PV,3.6791894608710476
11,19,PV,1.4983026845633882
11,1,PV,0.0
11,22,PV,0.0
11,23,PV,2.936048453424042
11,24,PV,0.0
11,26,PV,0.6178958242441128
11,27,PV,0.011673741904311856
11,29,PV,6.887526322334019
11,30,PV,2.696496339719592
11,4,PV,2.059646300407437
11,7,PV,0.0
11,8,PV,0.0
12,11,PV,0.0
12,12,PV,6.405659723847139
12,13,PV,2.6347210709362026
12,19,PV,1.1544313584935701
12,1,PV,8.67771883939397
12,22,PV,19.279924530974505
12,23,PV,0.4841321786247472
12,24,PV,2.088775518873747
12,26,PV,0.0
12,27,PV,3.4514648730561026
12,29,PV,1.5163716853343896
12,30,PV,0.0
12,4,PV,0.6333980173665563
12,7,PV,2.2622506106505016
12,8,PV,7.4619237196857044
13,11,PV,1.316629270152013
13,12,PV,0.0
13,13,PV,3.3631767197513716
13,19,PV,1.4679365811176615
13,1,PV,1.6443431650502303
13,22,PV,0.2532721334065755
13,23,PV,8.55952176605912
13,24,PV,0.0
13,26,PV,3.2683881551078695
13,27,PV,0.0
13,29,PV,15.730167666047642
13,30,PV,0.9214378477877332
13,4,PV,1.2300145214856486
13,7,PV,0.0
13,8,PV,0.0
14,11,PV,0.0
14,12,PV,4.873697050168265
14,13,PV,0.046771741583799056
14,19,PV,0.0
14,1,PV,0.0
14,22,PV,1.8747623258915105
14,23,PV,0.02223686102939082
14,24,PV,7.43452847188825
14,26,PV,0.3636968121357099
14,27,PV,2.2589510971136777
14,29,PV,0.0
14,30,PV,0.0
14,4,PV,0.0
14,7,PV,3.636011724052799
14,8,PV,6.6962840879647425
15,11,PV,4.922413642877932
15,12,PV,0.0
15,13,PV,3.416400014055755
15,19,PV,0.6104006243934665
15,1,PV,5.146461092116935
15,22,PV,0.0
15,23,PV,2.4128506986588003
15,24,PV,2.736466985392593
15,26,PV,2.924170941226693
15,27,PV,0.0
15,29,PV,9.263408064604015
15,30,PV,1.9365482573068065
15,4,PV,5.738793857837382
15,7,PV,0.0
15,8,PV,1.4923188769935551
16,11,PV,0.0
16,12,PV,8.21464218319736
16,13,PV,0.0
16,19,PV,0.0
16,1,PV,1.6497131653727537
16,22,PV,9.870013523962601
16,23,PV,4.363238163032572
16,24,PV,0.0
16,26,PV,1.3029638277794848
16,27,PV,5.044523689375626
16,29,PV,0.9151424734607795
16,30,PV,0.0
16,4,PV,1.1802238194895613
16,7,PV,0.768735844662724
16,8,PV,1.713959568489218
17,11,PV,7.7333002792022
17,12,PV,3.4337911930207063
17,13,PV,2.671469456262758
17,19,PV,0.0
17,1,PV,0.0
17,22,PV,0.0
17,23,PV,0.0
17,24,PV,4.988003509024929
17,26,PV,1.470158525260042
17,27,PV,0.0
17,29,PV,3.0196996416044906
17,30,PV,6.405533037574351
17,4,PV,0.0
17,7,PV,0.9015590464682954
17,8,PV,0.0
18,11,PV,0.0
18,12,PV,39.89567726462136
18,13,PV,0.0
18,19,PV,3.983230521108738
18,1,PV,3.427488840726584
18,22,PV,1.1154697714877972
18,23,PV,0.28431738468507356
18,24,PV,0.0
18,26,PV,1.6002722249305117
18,27,PV,2.4489881137511884
18,29,PV,3.697370558803689
18,30,PV,0.0
18,4,PV,0.0
18,7,PV,3.407635261215351
18,8,PV,2.4200879313762567
19,11,PV,3.250764786789904
19,12,PV,2.787908811137828
19,13,PV,6.5821931866631385
19,19,PV,0.0
19,1,PV,0.0
19,22,PV,2.9175952729424433
19,23,PV,9.065103124726571
19,24,PV,3.2106906597230336
19,26,PV,0.058610620338807255
19,27,PV,0.0
19,29,PV,0.0
19,30,PV,3.872493486966005
19,4,PV,1.0422856874528965
19,7,PV,0.0
19,8,PV,0.0
20,11,PV,0.0
20,12,PV,43.63272831741852
20,13,PV,0.0
20,19,PV,0.6219104339006752
20,1,PV,4.252893844896749
20,22,PV,0.0
20,23,PV,0.0
20,24,PV,3.8474048386660615
20,26,PV,0.0
20,27,PV,3.0544827236416277
20,29,PV,2.4485597471888507
20,30,PV,0.0
20,4,PV,0.0
20,7,PV,3.069428304089476
20,8,PV,7.108588038328951
21,11,PV,1.3829588070912389
21,12,PV,0.5847659083547424
21,13,PV,2.730068639988512
21,19,PV,0.9567028718820572
21,1,PV,0.0
21,22,PV,1.5428609552481813
21,23,PV,11.44502228830865
21,24,PV,0.0
21,26,PV,3.586561221495213
21,27,PV,0.0
21,29,PV,0.0
21,30,PV,3.676216565900077
21,4,PV,0.5124546586609788
21,7,PV,0.0
21,8,PV,0.0
22,11,PV,0.0067946976380875105
22,12,PV,12.889051705473545
22,13,PV,1.561043376034564
22,19,PV,0.04329020418443726
22,1,PV,9.281353533662184
22,22,PV,0.7770342413937604
22,23,PV,0.0
22,24,PV,5.993111588201918
22,26,PV,0.0
22,27,PV,2.7011439809373234
22,29,PV,5.23037836897314
22,30,PV,0.15080803473855212
22,4,PV,3.347940862691847
22,7,PV,2.5269991671048473
22,8,PV,12.40445677177382
23,11,PV,3.3236323761909907
23,12,PV,0.24619559472330735
23,13,PV,2.5971158649498207
23,19,PV,0.829534188628964
23,1,PV,0.0
23,22,PV,0.0
23,23,PV,11.667950078340645
23,24,PV,0.016985066090511057
23,26,PV,6.029103907002465
23,27,PV,0.8238447186619116
23,29,PV,0.0
23,30,PV,21.981265246479463
23,4,PV,0.9943468569652244
23,7,PV,0.0
23,8,PV,0.0
24,11,PV,0.022236981534309537
24,12,PV,14.705346318566383
24,13,PV,1.2584318371820766
24,19,PV,7.643050392217884
24,1,PV,4.83269054001244
24,22,PV,4.212700908662869
24,23,PV,0.0
24,24,PV,2.686151995530348
24,26,PV,0.9317278944164552
24,27,PV,6.825731332968303
24,29,PV,2.4787049174773528
24,30,PV,0.8131181936488929
24,4,PV,1.1947021657418508
24,7,PV,2.5413306566840745
24,8,PV,4.848095076909142
25,11,PV,12.040714498464846
25,12,PV,0.0
25,13,PV,1.4528642158704204
25,19,PV,0.0
25,1,PV,0.8454322981816017
25,22,PV,0.0
25,23,PV,8.69785389472471
25,24,PV,0.0
25,26,PV,0.07934313909528608
25,27,PV,0.0
25,29,PV,1.789776747083461
25,30,PV,2.5955931550041553
25,4,PV,0.0
25,7,PV,0.0
25,8,PV,0.0
26,11,PV,0.0
26,12,PV,11.161791063432014
26,13,PV,0.0
26,19,PV,1.2622553351409391
26,1,PV,0.03396161206403086
26,22,PV,7.378190488526572
26,23,PV,0.33850443921541634
26,24,PV,6.484736199306933
26,26,PV,7.453761761924951
26,27,PV,6.608679846195275
26,29,PV,0.0
26,30,PV,2.2702183496687356
26,4,PV,2.6823541650802345
26,7,PV,3.174494780270371
26,8,PV,4.714466039113368
27,11,PV,8.653921768062046
27,12,PV,0.0
27,13,PV,1.3629127470130515
