Time,Scenario,Residual
1,11,1.1523220693199221e-5
1,12,1.1523454429340774e-5
1,13,1.1523446385997005e-5
1,19,1.1523352880349336e-5
1,1,1.1523445606620442e-5
1,22,1.1523432653426369e-5
1,23,1.1523457330575582e-5
1,24,1.1523430665683065e-5
1,26,1.1523452493555908e-5
1,27,1.1523498720578118e-5
1,29,1.1523454561235269e-5
1,30,1.152348739452691e-5
1,4,1.1523426845183593e-5
1,7,1.1523399829460601e-5
1,8,1.152345627497553e-5
2,11,1.152355833422547e-5
2,12,1.1523463657070465e-5
2,13,1.1523460739848446e-5
2,19,1.1523458470108494e-5
2,1,1.1523425758497297e-5
2,22,1.1523474910735132e-5
2,23,1.1523457717821373e-5
2,24,1.1523511552535837e-5
2,26,1.1523452383865873e-5
2,27,1.1523457858153563e-5
2,29,1.152345897814655e-5
2,30,1.1523226026710631e-5
2,4,1.1522425475973819e-5
2,7,1.1523459008788706e-5
2,8,1.1523233414134637e-5
3,11,1.1523406020508276e-5
3,12,7.682303091005593e-6
3,13,1.152345969757107e-5
3,19,1.1523494850784743e-5
3,1,7.682301416345183e-6
3,22,1.152339034860006e-5
3,23,1.1523449191308544e-5
3,24,1.1523434281901501e-5
3,26,1.152345616795003e-5
3,27,7.68230264869274e-6
3,29,1.1523458350648497e-5
3,30,1.1523581376238212e-5
3,4,1.1523447679184784e-5
3,7,7.682260649399808e-6
3,8,1.152347684518773e-5
4,11,1.1523452983386306e-5
4,12,1.1523467798646436e-5
4,13,1.1523462526863426e-5
4,19,1.1523173596206249e-5
4,1,1.152347807575893e-5
4,22,7.682350735116472e-6
4,23,1.1523449752637305e-5
4,24,1.152330532461221e-5
4,26,1.1523446493466594e-5
4,27,1.152349300959088e-5
4,29,1.1523452804418355e-5
4,30,1.1523755105269373e-5
4,4,1.1523618530517865e-5
4,7,1.1523419455095052e-5
4,8,1.1523829013704301e-5
5,11,1.1523486325160093e-5
5,12,7.682317388013615e-6
5,13,1.1524081195535274e-5
5,19,1.1523461801665746e-5
5,1,7.68218430735601e-6
5,22,1.1523512988276252e-5
5,23,7.682302172629107e-6
5,24,1.1523366652443912e-5
5,26,1.1523462731588552e-5
5,27,7.68232799108759e-6
5,29,7.682305377620935e-6
5,30,7.681891502908655e-6
5,4,1.152345589305881e-5
5,7,1.152345970290014e-5
5,8,1.1523486940667738e-5
6,11,7.682577217504871e-6
6,12,1.1523445912597907e-5
6,13,1.1522906921079823e-5
6,19,7.682302889833181e-6
6,1,1.1523468472773857e-5
6,22,1.1525559479697023e-5
6,23,1.152349943289721e-5
6,24,1.152340796295448e-5
6,26,7.68227824554657e-6
6,27,1.1523478554487099e-5
6,29,1.1523433228965985e-5
6,30,1.152345702770674e-5
6,4,1.1523460448970013e-5
6,7,1.1523464694906949e-5
6,8,1.1523465226481733e-5
7,11,1.1523460306417377e-5
7,12,1.1523468259611036e-5
7,13,1.1523370640809105e-5
7,19,1.1523462172036147e-5
7,1,7.682510074769056e-6
7,22,1.152346527266701e-5
7,23,1.1523470524466006e-5
7,24,7.682255967811358e-6
7,26,1.1523451743045143e-5
7,27,7.682291911947914e-6
7,29,1.152346840349594e-5
7,30,7.682303602152274e-6
7,4,1.1523429997772894e-5
7,7,1.1523457214224209e-5
7,8,7.682313214019132e-6
8,11,1.152345501020946e-5
8,12,1.1523465054619209e-5
8,13,7.68232822734305e-6
8,19,1.1523462639217996e-5
8,1,1.152345681454392e-5
8,22,1.1523450990758022e-5
8,23,7.682302742839653e-6
8,24,1.1523439350291653e-5
8,26,7.682378641682419e-6
8,27,1.1523446606709342e-5
8,29,7.682296997657545e-6
8,30,1.1523483148145885e-5
8,4,1.1523453240958048e-5
