Time,Scenario,Generator,Dispatch
1,11,PV,1.9157081309332964
1,12,PV,0.2932742722288325
1,13,PV,2.982402741568825
1,19,PV,0.29343416736491473
1,1,PV,0.5697511148888473
1,22,PV,0.9969891936924905
1,23,PV,0.23629553085070742
1,24,PV,2.2254858568218405
1,26,PV,0.06732892314916251
1,27,PV,0.3058769805595226
1,29,PV,0.6301297853743895
1,30,PV,1.0915459572536474
1,4,PV,0.2625832916930768
1,7,PV,0.2521646060457531
1,8,PV,0.22685399737040735
2,11,PV,0.09417462151132118
2,12,PV,0.7619989800611633
2,13,PV,16.060788502129917
2,19,PV,0.7831314330087507
2,1,PV,0.44135415106447257
2,22,PV,2.5458832437384777
2,23,PV,1.1295877097248512
2,24,PV,0.45982620127043916
2,26,PV,1.1258312005044175
2,27,PV,1.8441291991222664
2,29,PV,0.05880302611241412
2,30,PV,2.078666568141002
2,4,PV,1.625074591367832
2,7,PV,0.8169113683302229
2,8,PV,3.729774876502023
3,11,PV,2.002313520757397
3,12,PV,0.0
3,13,PV,1.6475084388718764
3,19,PV,1.8259853143958822
3,1,PV,0.0
3,22,PV,2.3897255828881456
3,23,PV,0.3005970494211566
3,24,PV,0.04388779835768144
3,26,PV,0.06759710724112154
3,27,PV,0.0
3,29,PV,0.6474514922794733
3,30,PV,2.63286477427983
3,4,PV,3.237989867980105
3,7,PV,0.0
3,8,PV,1.8354361478454357
4,11,PV,0.0837851732631236
4,12,PV,1.9316218419658366
4,13,PV,0.04874636996843447
4,19,PV,0.5155183593521502
4,1,PV,0.953455921119674
4,22,PV,0.0
4,23,PV,1.8173816323431826
4,24,PV,0.46023057305676296
4,26,PV,0.9803727705613413
4,27,PV,0.7500075640468467
4,29,PV,0.4629811272334026
4,30,PV,1.6133188329639367
4,4,PV,0.5146710774752957
4,7,PV,0.7956429279491427
4,8,PV,3.1790656230547163
5,11,PV,1.9708682035576361
5,12,PV,0.0
5,13,PV,2.115401454247144
5,19,PV,0.2332997839253245
5,1,PV,0.0
5,22,PV,1.0704141107503824
5,23,PV,0.0
5,24,PV,0.8592748683269277
5,26,PV,3.56078114951325
5,27,PV,0.0
5,29,PV,0.0
5,30,PV,0.0
5,4,PV,3.5626059906762158
5,7,PV,0.31760505853485926
5,8,PV,0.818898755832695
6,11,PV,0.0
6,12,PV,1.1464094137837624
6,13,PV,0.5197631107066698
6,19,PV,0.0
6,1,PV,1.4066445358595046
6,22,PV,0.8450630315857163
6,23,PV,7.137995000730037
6,24,PV,1.2397252529546798
6,26,PV,0.0
6,27,PV,0.731467322090172
6,29,PV,0.17442621609594602
6,30,PV,1.4734645058878968
6,4,PV,0.00815132839965067
6,7,PV,0.2532759255330656
6,8,PV,4.312872842192379
7,11,PV,0.9757595035394124
7,12,PV,0.5394118704404863
7,13,PV,1.79320451253935
7,19,PV,1.4937482825077535
7,1,PV,0.0
7,22,PV,0.9632006944191926
7,23,PV,0.5611812744854142
7,24,PV,0.0
7,26,PV,0.618571890626501
7,27,PV,0.0
7,29,PV,0.70424182497376
7,30,PV,0.0
7,4,PV,1.551069335236744
7,7,PV,0.2624931195135272
7,8,PV,0.0
8,11,PV,0.13134261041883033
8,12,PV,0.025539340327240857
8,13,PV,0.0
8,19,PV,0.18967058422725513
8,1,PV,0.8075259886348705
8,22,PV,1.3097289632250073
8,23,PV,0.0
8,24,PV,0.7385500363899152
8,26,PV,0.0
8,27,PV,0.7727752275551332
8,29,PV,0.0
8,30,PV,4.818204103008584
8,4,PV,0.055522048202548954
8,7,PV,1.7368061714777485
8,8,PV,2.3780101575245
9,11,PV,0.32528579335291946
9,12,PV,1.3648634815712768
9,13,PV,2.467027832741008
9,19,PV,3.552529010073874
9,1,PV,0.0
9,22,PV,0.0
9,23,PV,3.7737165597196367
9,24,PV,0.0
9,26,PV,2.7093821106617173
9,27,PV,0.0
9,29,PV,1.2142019899141132
9,30,PV,0.0
9,4,PV,1.414806210592281
9,7,PV,0.04682342799336599
9,8,PV,0.0
10,11,PV,1.2883382334133278
10,12,PV,2.10328713470708
10,13,PV,0.0
10,19,PV,0.0
10,1,PV,1.6574308357934924
10,22,PV,3.4606338509846233
10,23,PV,0.0
10,24,PV,0.8353148568260114
10,26,PV,0.0
10,27,PV,1.263491866365908
10,29,PV,0.0
10,30,PV,4.462519057120787
10,4,PV,0.0
10,7,PV,0.577451088379054
10,8,PV,3.3475121362767206
11,11,PV,4.038183249580505
11,12,PV,0.0
11,13,PV,1.6702378890771172
11,19,PV,0.704005418869494
11,1,PV,0.0
11,22,PV,0.0
11,23,PV,1.3330201484004793
11,24,PV,0.0
11,26,PV,0.33977221633714433
11,27,PV,0.004904968765118537
11,29,PV,3.127523136689741
11,30,PV,1.2245486520004167
11,4,PV,0.9348643964374231
11,7,PV,0.0
11,8,PV,0.0
12,11,PV,0.0
12,12,PV,2.908822228919375
12,13,PV,1.1960696409637208
12,19,PV,0.9930309107252189
12,1,PV,3.9399387477979695
12,22,PV,8.931657202407681
12,23,PV,0.2221162213715388
12,24,PV,0.9480545307498791
12,26,PV,0.0
12,27,PV,1.5669266206844243
12,29,PV,0.6900234175750172
12,30,PV,0.0
12,4,PV,0.28724118680840954
12,7,PV,1.5002719255136248
12,8,PV,3.388584611637531
13,11,PV,0.6254679985306056
13,12,PV,0.0
13,13,PV,1.5271158027514429
13,19,PV,0.6808183215854609
13,1,PV,0.7479947203695302
13,22,PV,0.11464424831807275
13,23,PV,3.886933891195381
13,24,PV,0.0
13,26,PV,2.0587503674191376
13,27,PV,0.0
13,29,PV,7.145590978052772
13,30,PV,0.8004257353413244
13,4,PV,1.0510491860367237
13,7,PV,0.0
13,8,PV,0.0
14,11,PV,0.0
14,12,PV,2.514362722457969
14,13,PV,0.0411187607883473
14,19,PV,0.0
14,1,PV,0.0
14,22,PV,0.8526993488628666
14,23,PV,0.009809433173483905
14,24,PV,3.3759499809109395
14,26,PV,0.1655314954291237
14,27,PV,1.868677577661044
14,29,PV,0.0
14,30,PV,0.0
14,4,PV,0.0
14,7,PV,1.6510854869668647
14,8,PV,3.040817546835258
15,11,PV,3.357720353499573
15,12,PV,0.0
15,13,PV,1.551216111218654
15,19,PV,0.2921765416094268
15,1,PV,2.336931907203114
15,22,PV,0.0
15,23,PV,1.0957367471425907
15,24,PV,1.2426337910008678
15,26,PV,1.560853509651512
15,27,PV,0.0
15,29,PV,4.207797001245432
15,30,PV,1.0953409593268801
15,4,PV,3.054589613475107
15,7,PV,0.0
15,8,PV,0.6775971474472643
16,11,PV,0.0
16,12,PV,5.668538521152676
16,13,PV,0.0
16,19,PV,0.0
16,1,PV,0.7784208149155807
16,22,PV,4.482050000851015
16,23,PV,1.9813975194398956
16,24,PV,0.0
16,26,PV,0.5977784406463926
16,27,PV,2.290503128673858
16,29,PV,0.4160647857822665
16,30,PV,0.0
16,4,PV,0.5476440732261264
16,7,PV,0.6731214362224932
16,8,PV,0.7778493896051387
17,11,PV,3.512060849888818
17,12,PV,1.9516685287338364
17,13,PV,1.212889524683177
17,19,PV,0.0
17,1,PV,0.0
17,22,PV,0.0
17,23,PV,0.0
17,24,PV,2.264706907277797
17,26,PV,1.0074115386593028
17,27,PV,0.0
17,29,PV,1.3711607051506047
17,30,PV,2.909011515858108
17,4,PV,0.0
17,7,PV,0.7519569106684038
17,8,PV,0.0
18,11,PV,0.0
18,12,PV,19.023391270140117
18,13,PV,0.0
18,19,PV,1.8089234736378013
18,1,PV,2.7875220169338872
18,22,PV,0.6613575407760165
18,23,PV,0.12935800774569026
18,24,PV,0.0
18,26,PV,0.7374419545390214
18,27,PV,1.1116677063166416
18,29,PV,1.6784150910437088
18,30,PV,0.0
18,4,PV,0.0
18,7,PV,1.5476733479410503
18,8,PV,1.5769029603966886
19,11,PV,1.4782656918343824
19,12,PV,1.2658709194660167
19,13,PV,2.988864195385198
19,19,PV,0.0
19,1,PV,0.0
19,22,PV,2.1107719621328442
19,23,PV,4.116612582247433
19,24,PV,1.457869499193754
19,26,PV,0.050406110287363914
19,27,PV,0.0
19,29,PV,0.0
19,30,PV,1.7687655946724317
19,4,PV,0.47950873151560197
19,7,PV,0.0
19,8,PV,0.0
20,11,PV,0.0
20,12,PV,19.81571779640526
20,13,PV,0.0
20,19,PV,0.33437432352231716
20,1,PV,1.9316607930949472
20,22,PV,0.0
20,23,PV,0.0
20,24,PV,1.7465501712901743
20,26,PV,0.0
20,27,PV,1.388631803743811
20,29,PV,1.1114949586100888
20,30,PV,0.0
20,4,PV,0.0
20,7,PV,1.393641046506522
20,8,PV,3.228365962707553
21,11,PV,0.8736880156708199
21,12,PV,0.2651923827616252
21,13,PV,1.2393021270278533
21,19,PV,0.8450483205085667
21,1,PV,0.0
21,22,PV,0.7252782944906394
21,23,PV,5.197592564618829
21,24,PV,0.0
21,26,PV,2.2868361091471434
21,27,PV,0.0
21,29,PV,0.0
21,30,PV,1.6709144092074797
21,4,PV,0.4339145911297149
21,7,PV,0.0
21,8,PV,0.0
22,11,PV,0.003087678811591267
22,12,PV,5.853461079326831
22,13,PV,0.7087858739989216
22,19,PV,0.03856469955476323
22,1,PV,4.214729031179578
22,22,PV,0.5449250862396502
22,23,PV,0.0
22,24,PV,2.721803664437995
22,26,PV,0.0
22,27,PV,1.2274776163562067
22,29,PV,2.3748890474132596
22,30,PV,0.13473451556136104
22,4,PV,1.7005195277110494
22,7,PV,1.147708040172932
22,8,PV,5.633335207657384
23,11,PV,1.5089676440892557
23,12,PV,0.11129705735254972
23,13,PV,1.1788409651476766
23,19,PV,0.35098017861913
23,1,PV,0.0
23,22,PV,0.0
23,23,PV,5.299041789964207
23,24,PV,0.007718723713689154
23,26,PV,4.618798863407516
23,27,PV,0.36044540953598164
23,29,PV,0.0
23,30,PV,13.093013544983382
23,4,PV,0.7710321074910895
23,7,PV,0.0
23,8,PV,0.0
24,11,PV,0.009809418424909238
24,12,PV,6.678175929883223
24,13,PV,0.6074266317140737
24,19,PV,3.47122053050904
24,1,PV,2.194413837786798
24,22,PV,1.9128227358066878
24,23,PV,0.0
24,24,PV,2.278864506736642
24,26,PV,0.42954071415661277
24,27,PV,3.0993390422342544
24,29,PV,1.9454030421899864
24,30,PV,0.3683131443279593
24,4,PV,0.5513190801333285
24,7,PV,1.1537736083710066
24,8,PV,2.201429114620704
25,11,PV,5.467777451563231
25,12,PV,0.0
25,13,PV,0.8701892010164891
25,19,PV,0.0
25,1,PV,0.4074056399834882
25,22,PV,0.0
25,23,PV,3.9502453045077672
25,24,PV,0.0
25,26,PV,0.036372080553231205
25,27,PV,0.0
25,29,PV,0.8476619671619553
25,30,PV,1.1784177865448433
25,4,PV,0.0
25,7,PV,0.0
25,8,PV,0.0
26,11,PV,0.0
26,12,PV,5.069428775206834
26,13,PV,0.0
26,19,PV,0.9199028930140227
26,1,PV,0.028329918545731962
26,22,PV,3.3503887928801968
26,23,PV,0.15303174887521226
26,24,PV,2.9445885374766023
26,26,PV,3.426829352659458
26,27,PV,4.386345670227257
26,29,PV,0.0
26,30,PV,1.0308697620795244
26,4,PV,1.348366396149393
26,7,PV,1.4413401242588595
26,8,PV,2.1407829276276535
27,11,PV,3.9299321220173282
27,12,PV,0.0
27,13,PV,1.197709222228784
27,19,PV,0.18415046303346663
27,1,PV,0.9658898850685872
27,22,PV,2.631957505746141
27,23,PV,1.871162540806346
27,24,PV,0.0
27,26,PV,0.02918606402248006
27,27,PV,0.0
27,29,PV,2.172405357257205
27,30,PV,1.5707867216485052
27,4,PV,0.0
27,7,PV,0.010700250313939733
27,8,PV,0.005678177694537294
28,11,PV,0.0
28,12,PV,4.074748814694448
28,13,PV,0.0
28,19,PV,0.4025003384086932
28,1,PV,0.0
28,22,PV,4.916350283554274
28,23,PV,0.04573721787983571
28,24,PV,2.180477296017151
28,26,PV,2.524197415559271
28,27,PV,3.717326582505885
28,29,PV,0.0
28,30,PV,0.0
28,4,PV,1.9825463084182753
28,7,PV,1.0622149791063
28,8,PV,1.0365368134993118
29,11,PV,2.7032318767110177
29,12,PV,2.3735900081409103
29,13,PV,3.822812454753929
29,19,PV,0.0
29,1,PV,3.074717219101476
29,22,PV,0.0
29,23,PV,3.7846729254820706
29,24,PV,0.0
29,26,PV,0.0
29,27,PV,0.0
29,29,PV,2.0510505708332105
29,30,PV,4.3217439134157125
29,4,PV,0.0697883981648424
29,7,PV,0.1956212945696915
29,8,PV,0.4474007286235657
30,11,PV,0.0
30,12,PV,0.0
30,13,PV,0.0
30,19,PV,1.6901772355872566
30,1,PV,0.0
30,22,PV,2.1473491337818613
30,23,PV,0.0
30,24,PV,2.131182322379179
30,26,PV,4.267527367551831
30,27,PV,3.840615842439325
30,29,PV,0.0
30,30,PV,0.0
30,4,PV,5.63489993162691
30,7,PV,1.4811994149271948
30,8,PV,2.151737263059292
31,11,PV,2.784692517013946
31,12,PV,0.7922600453890815
31,13,PV,1.2963447328023845
31,19,PV,0.0
31,1,PV,1.9453720027337715
31,22,PV,0.0
31,23,PV,1.054701261656477
31,24,PV,0.0
31,26,PV,0.0
31,27,PV,0.0
31,29,PV,1.229374091207414
31,30,PV,3.311027319703159
31,4,PV,0.0
31,7,PV,3.630234923286139
31,8,PV,0.0
32,11,PV,0.0
32,12,PV,0.0
32,13,PV,0.0
32,19,PV,1.277013397605446
32,1,PV,0.0
32,22,PV,3.1255765234157296
32,23,PV,0.0
32,24,PV,2.439289549632584
32,26,PV,3.2421061887439495
32,27,PV,2.885453580858978
32,29,PV,0.5802523799109914
32,30,PV,0.053024661067667046
32,4,PV,2.5360105259350627
32,7,PV,0.0
32,8,PV,3.9663641055895615
33,11,PV,1.7453385598308795
33,12,PV,0.5909648245978975
33,13,PV,4.624026512738973
33,19,PV,0.0051626505747886745
33,1,PV,2.7053993001725276
33,22,PV,0.0
33,23,PV,1.6479720805067448
33,24,PV,2.4318963098132724
33,26,PV,0.04883248024143481
33,27,PV,0.0
33,29,PV,0.0
33,30,PV,0.0
33,4,PV,0.0038575301151795353
33,7,PV,3.187281693385581
33,8,PV,0.0
34,11,PV,1.3241990018629808
34,12,PV,0.4703234112190614
34,13,PV,0.11680100559196412
34,19,PV,1.1186695160315574
34,1,PV,0.032078824880338114
34,22,PV,3.2526696138075395
34,23,PV,1.7066201953615039
34,24,PV,0.07899161131078856
34,26,PV,1.6332914791128845
34,27,PV,1.5895373818343361
34,29,PV,4.024104435240836
34,30,PV,2.9697682301621815
34,4,PV,0.8458013498614614
34,7,PV,0.0
34,8,PV,5.218023645441972
35,11,PV,5.399891950209904
35,12,PV,0.7863734090840186
35,13,PV,0.38177859650298535
35,19,PV,0.04047517748565362
35,1,PV,2.4727729070467426
35,22,PV,0.0
35,23,PV,2.2584443320739505
35,24,PV,0.8312628749552449
35,26,PV,0.0
35,27,PV,3.3807539742994255
35,29,PV,0.0
35,30,PV,0.0
35,4,PV,0.014041970343854954
35,7,PV,2.9225902292832027
35,8,PV,0.0
36,11,PV,0.0
36,12,PV,0.0
36,13,PV,0.0
36,19,PV,1.8786975185217414
36,1,PV,0.0
36,22,PV,1.1072733285520637
36,23,PV,0.5593551208217277
36,24,PV,7.2939899888274
36,26,PV,4.368818574822967
36,27,PV,0.0
36,29,PV,0.6158565096222505
36,30,PV,5.151013756485265
36,4,PV,0.41261336004303495
36,7,PV,0.0
36,8,PV,1.7987688954839605
37,11,PV,5.960958821001202
37,12,PV,5.089335178630837
37,13,PV,1.5909987409023023
37,19,PV,0.0
37,1,PV,4.082611895485145
37,22,PV,0.06510806831788533
37,23,PV,0.03856589653683658
37,24,PV,1.2792021287342004
37,26,PV,0.0
37,27,PV,1.8468294682944402
37,29,PV,0.9836587696338526
37,30,PV,1.4877975698328447
37,4,PV,0.0
37,7,PV,2.291686547982166
37,8,PV,0.0
38,11,PV,0.271680159392297
38,12,PV,0.0
38,13,PV,0.30364847925334104
38,19,PV,1.7707921142427352
38,1,PV,0.0
38,22,PV,4.37315263552064
38,23,PV,2.1086470820291403
38,24,PV,0.949527605600027
38,26,PV,5.0293214117912335
38,27,PV,0.0
38,29,PV,0.0
38,30,PV,0.22893369573398142
38,4,PV,1.2380131029733148
38,7,PV,0.0
38,8,PV,2.626078075796111
39,11,PV,0.0
39,12,PV,2.9284730184578827
39,13,PV,1.5139312392507578
39,19,PV,0.8490896511086814
39,1,PV,0.8615661973670165
39,22,PV,2.560112503703338
39,23,PV,0.0
39,24,PV,0.4436773292205232
39,26,PV,0.10424807226763845
39,27,PV,1.5756857643028361
