Time,Scenario,price_model
1,11,130.00034080205336
1,12,0.00594741655934893
1,13,130.00149986754232
1,19,130.0014289401328
1,1,129.998693179478
1,22,129.99156039991587
1,23,0.011676167811750262
1,24,14.766060105898733
1,26,0.014140913802462964
1,27,129.99019672114952
1,29,0.09531572527137427
1,30,129.96962127722327
1,4,129.99509403964265
1,7,129.99341209989512
1,8,0.027524150140602225
2,11,129.9701942550572
2,12,129.99914296031247
2,13,129.94231920746756
2,19,0.009824974350515093
2,1,129.99170539754573
2,22,130.0166432225319
2,23,0.058785183859956396
2,24,130.0015138689799
2,26,0.003994808122536417
2,27,129.89533705267013
2,29,129.9587259407533
2,30,129.9989551364119
2,4,129.98565619326465
2,7,130.022933713738
2,8,129.99862564853888
3,11,311.95695238806525
3,12,0.034973560563450225
3,13,129.9789184165613
3,19,129.99793746828595
3,1,129.9929697480607
3,22,207.7124938289653
3,23,0.0010254825111405779
3,24,129.96195476994095
3,26,3.366517282508213
3,27,0.017261796139582623
3,29,129.97387975770042
3,30,130.00162202459592
3,4,130.05362582580096
3,7,129.9904088575398
3,8,130.00649788505163
4,11,0.00441705706354875
4,12,129.99675913800493
4,13,129.91411917126374
4,19,130.00169204572606
4,1,130.03241743757258
4,22,0.5104323673434374
4,23,0.02603526608452128
4,24,129.99848586510254
4,26,130.01603309937954
4,27,130.00852407395888
4,29,0.009270223262106594
4,30,130.00223035642568
4,4,129.96174191011056
4,7,130.00395928653714
4,8,129.99040773603102
5,11,129.99584698521716
5,12,129.97244817147313
5,13,129.99316640726386
5,19,129.98360636144142
5,1,129.90964926612426
5,22,130.00456590174846
5,23,0.10242142563461193
5,24,130.00161887228273
5,26,130.0346236237849
5,27,129.97327159834282
5,29,0.9494349405634075
5,30,129.9897693668016
5,4,0.4289452756403442
5,7,129.95568219267776
5,8,129.9879093843964
6,11,130.0015980314952
6,12,130.00690626913604
6,13,130.00675080794386
6,19,0.0540541880381343
6,1,130.85251361307007
6,22,129.98274077239492
6,23,130.04678041359207
6,24,130.0055347934769
6,26,129.93431140817597
6,27,129.98397549619267
6,29,130.06594823126744
6,30,129.9849004942356
6,4,129.641528912355
6,7,129.99438034241126
6,8,130.0276630770831
7,11,129.9857669479907
7,12,130.0028293198362
7,13,130.71341899833018
7,19,129.99254397949667
7,1,128.71760322760136
7,22,130.00751402575105
7,23,129.99679916001813
7,24,129.9915297217575
7,26,130.0448524582275
7,27,129.9991099283251
7,29,129.97864716649013
7,30,0.012139418933089112
7,4,130.13404137118565
7,7,0.005553538280607975
7,8,129.99739942314415
8,11,0.01602787673021056
8,12,129.97404602417095
8,13,129.9788002255726
8,19,129.60764783842828
8,1,130.06545536925367
8,22,130.0339087279028
8,23,0.010514671856776294
8,24,130.02392318390278
8,26,129.8978164004542
8,27,130.02273389592537
8,29,129.98222134795196
8,30,129.99966412761296
8,4,0.014337222166014343
8,7,129.99626991094047
8,8,130.1429567720075
9,11,0.0020810466682857813
9,12,129.9974695985043
9,13,130.06625922998603
9,19,130.46285651032318
9,1,129.97379529250955
9,22,129.91791486262153
9,23,129.9625553577372
9,24,129.98137077563877
9,26,130.01359271860457
9,27,129.92765304614045
9,29,130.0433197304807
9,30,129.97929841469963
9,4,129.9362712497187
9,7,129.9857960766071
9,8,129.98770253845666
10,11,0.02350415524987234
10,12,130.00501587272223
10,13,129.98353202652473
10,19,129.98464206428812
10,1,130.00860697536118
10,22,130.00945570591156
10,23,129.8820610362063
10,24,130.01724697402048
10,26,129.9632504440717
10,27,130.02649295573113
10,29,129.96253231886635
10,30,130.0100454846222
10,4,129.96653705193927
10,7,0.027134285035635305
10,8,130.0388382662856
11,11,130.0082176266912
11,12,129.99531514019935
11,13,130.14898128754086
11,19,0.008510823270343207
11,1,129.94857056270496
11,22,0.841162683473661
11,23,130.04782870223514
11,24,129.97885584519136
11,26,0.3693978792359223
11,27,129.9899725131022
11,29,130.00520158899633
11,30,130.0136080347266
11,4,130.03910183444768
11,7,0.010643139207800956
11,8,129.99391795255886
12,11,0.025879211073116318
12,12,130.44588917800488
12,13,129.98782527977198
12,19,129.91268370163365
12,1,130.1297885079356
12,22,130.00952368952125
12,23,129.97605451418053
12,24,130.00835385700955
12,26,0.029117626599191707
12,27,130.1805486826921
12,29,129.97524272211035
12,30,15.63770778891315
12,4,129.98402933502814
12,7,129.99750051002144
12,8,130.0078830830361
13,11,0.016427496613119062
13,12,129.96586402609793
13,13,130.00050570655077
13,19,0.004525362979924894
13,1,387.28746775353
13,22,130.00768185880602
13,23,130.01324630415036
13,24,129.9842591528766
13,26,130.00676129719548
13,27,0.043599970380634026
13,29,130.0249722140777
13,30,129.99049682948075
13,4,129.95656212081798
13,7,0.22381775149068192
13,8,129.98165773490757
14,11,0.005112307438671224
14,12,129.99844453291047
14,13,128.07944106214657
14,19,129.9956098170848
14,1,1.2543320413511687
14,22,130.00321256139372
14,23,129.99637346073268
14,24,130.0383991370053
14,26,0.006749697098784168
14,27,129.96709470047827
14,29,129.81744759965306
14,30,0.006236582048106045
14,4,0.030939741657691047
14,7,216.54915554127413
14,8,130.01125226634872
15,11,129.99387150336003
15,12,0.06848259922636993
15,13,131.94903020182963
15,19,0.03461566163403819
15,1,130.03263207461936
15,22,129.62871010146412
15,23,129.99575436912147
15,24,130.00526673279248
15,26,0.1423303509380628
15,27,129.91784015310068
15,29,130.01216613540367
15,30,0.04992327536419604
15,4,130.01972088715323
15,7,129.97615688465913
15,8,129.99958559555722
16,11,0.8029792039242268
16,12,129.99037825474596
16,13,129.9770513295836
16,19,130.00678104500722
16,1,0.029710854001260528
16,22,130.0890328012452
16,23,130.00144859261664
16,24,129.98363949072652
16,26,0.003666095542935291
16,27,130.05056031914077
16,29,129.9870374543471
16,30,0.02326076330236552
16,4,0.024179337294847773
16,7,129.98495658633416
16,8,130.0060112709093
17,11,210.7494085206839
17,12,129.99698066073572
17,13,129.99867234526985
17,19,129.9982719013703
17,1,0.05149879886122727
17,22,130.07976000059043
17,23,129.98188569322667
17,24,130.0050793589182
17,26,0.45714657021757343
17,27,129.98487418328213
17,29,130.0179855526529
17,30,204.52284511833793
17,4,130.00839974335742
17,7,0.3780455009838001
17,8,67.551303303791
18,11,129.98232498717948
18,12,129.9893390245881
18,13,129.97922973126612
18,19,130.0086897976902
18,1,129.96370488297424
18,22,129.98993424890128
18,23,0.007375757337255339
18,24,129.9875272685717
18,26,0.011930088293737231
18,27,130.03197108934353
18,29,130.09896486191823
18,30,129.63108807440753
18,4,129.9477935034887
18,7,130.00339960052256
18,8,130.00187832214866
19,11,129.99900548670198
19,12,130.00044077985476
19,13,130.0148320326102
19,19,0.019305738323033107
19,1,0.03168988060630676
19,22,129.99314769037647
19,23,130.00758307575165
19,24,130.01124756166678
19,26,130.034444101694
19,27,0.1289080220473349
