Time,Scenario,Residual
1,10,1.737572383220254e-5
1,11,1.737572358351258e-5
1,12,1.73757238997041e-5
1,13,1.7375723659895925e-5
1,14,1.7375724879364896e-5
1,15,1.7375723810886257e-5
1,16,1.7375724186585728e-5
1,17,1.7375724035595397e-5
1,18,1.7375725891888294e-5
1,19,1.7375715219536403e-5
1,1,1.737572341031779e-5
1,20,1.7375723441404034e-5
1,21,1.1583842653983822e-5
1,22,1.7375723075474525e-5
1,23,1.737572403914811e-5
1,24,1.737572420168476e-5
1,25,1.7375722660695203e-5
1,26,1.7375723809998078e-5
1,27,1.7375723260215636e-5
1,28,1.737574645943596e-5
1,29,1.7375724021384542e-5
1,2,1.7375724153723127e-5
1,30,1.7375724507218138e-5
1,3,1.7375724240764612e-5
1,4,1.1583815811455622e-5
1,5,1.7375722710433195e-5
1,6,1.737572340410054e-5
1,7,1.7375716276468722e-5
1,8,1.737572396098841e-5
1,9,1.1583821002858485e-5
2,10,1.737572328597281e-5
2,11,1.73757267436514e-5
2,12,1.737566153003911e-5
2,13,1.737572355064998e-5
2,14,1.7375724621793154e-5
2,15,1.7375722902279733e-5
2,16,1.737572392190856e-5
2,17,1.7375724885582144e-5
2,18,1.7375722108248226e-5
2,19,1.1583792711711283e-5
2,1,1.7375723169621438e-5
2,20,1.7375723860624248e-5
2,21,1.7375723242452068e-5
2,22,1.737572480386973e-5
2,23,1.737572383753161e-5
2,24,1.737572333038173e-5
2,25,1.1583815623161797e-5
2,26,1.1583816892368759e-5
2,27,1.7375726364399213e-5
2,28,1.7375725036572476e-5
2,29,1.7375708731393047e-5
2,2,1.737572114990371e-5
2,30,1.7375722675794236e-5
2,3,1.7375724937096493e-5
2,4,1.7375723030177426e-5
2,5,1.7375723845525215e-5
2,6,1.7375726780954892e-5
2,7,1.7375731437674347e-5
2,8,1.7375722845436314e-5
2,9,1.7375724507218138e-5
3,10,1.737565507742289e-5
3,11,1.7375720158696595e-5
3,12,1.1583816665883262e-5
3,13,1.7375723884605065e-5
3,14,1.7375723816215327e-5
3,15,1.15838319993955e-5
3,16,1.7375724231882828e-5
3,17,1.7375724806534265e-5
3,18,1.1583814361060263e-5
3,19,1.7375732833002644e-5
3,1,1.1583815780369378e-5
3,20,1.737572380378083e-5
3,21,1.7375761986571092e-5
3,22,1.737572378601726e-5
3,23,1.7375725473556258e-5
3,24,1.7375725144930243e-5
3,25,1.737572573645707e-5
3,26,1.7375724464585574e-5
3,27,1.7375723934343057e-5
3,28,1.7375732139335298e-5
3,29,1.7375724313595242e-5
3,2,1.7375715239964507e-5
3,30,1.7375724672419324e-5
3,3,1.7375723754042838e-5
3,4,1.7375724869594933e-5
3,5,1.7375719147061375e-5
3,6,1.7375723975199264e-5
3,7,1.1583815288318533e-5
3,8,1.737572429760803e-5
3,9,1.7375725443358192e-5
4,10,1.737572555082778e-5
4,11,1.1583816005966696e-5
4,12,1.737572371407481e-5
4,13,1.7375702106470214e-5
4,14,1.7375726605983743e-5
4,15,1.7375708196709638e-5
4,16,1.7375724402413084e-5
4,17,1.7375723981416513e-5
4,18,1.737572749505034e-5
4,19,1.7375695305688055e-5
4,1,1.7375724670642967e-5
4,20,1.737572479854066e-5
4,21,1.737568791249089e-5
4,22,1.1583817334681612e-5
4,23,1.1583816403870628e-5
4,24,1.7375723267321064e-5
4,25,1.1583816363014421e-5
4,26,1.737572442728208e-5
4,27,1.737572329219006e-5
4,28,1.737572796756126e-5
4,29,1.7375723700752133e-5
4,2,1.737572002014076e-5
4,30,1.7375724401524906e-5
4,3,1.7375723186496828e-5
4,4,1.737572197679782e-5
4,5,1.158381449783974e-5
4,6,1.158381629640104e-5
4,7,1.7375723739831983e-5
4,8,1.7375729388646732e-5
4,9,1.7375722408452532e-5
5,10,1.1583814319315877e-5
5,11,1.1583815963334132e-5
5,12,1.7375724250534574e-5
5,13,1.7375726426571703e-5
5,14,1.7375724395307657e-5
5,15,1.7375723086132666e-5
5,16,1.7375721828472024e-5
5,17,1.7375726015345094e-5
5,18,1.1583813345872329e-5
5,19,1.7375711695244433e-5
5,1,1.1583814422344574e-5
5,20,1.737572632709572e-5
5,21,1.1583815828331012e-5
5,22,1.737572218551975e-5
5,23,1.7375723748713767e-5
5,24,1.7375723886381422e-5
5,25,1.7375723422752287e-5
5,26,1.15838151044656e-5
5,27,1.1583814720772523e-5
5,28,1.7375721219181628e-5
5,29,1.7375722929813264e-5
5,2,1.1583815460625146e-5
5,30,1.1583815322957491e-5
5,3,1.158381571197964e-5
5,4,1.7375724178592122e-5
5,5,1.737572174675961e-5
5,6,1.737572384818975e-5
5,7,1.7375725813728593e-5
5,8,1.737571757054468e-5
5,9,1.7375725111179463e-5
6,10,1.7375722547896544e-5
6,11,1.7375721653500875e-5
6,12,1.7375722530132975e-5
6,13,1.737572478166527e-5
6,14,1.737573531990222e-5
6,15,1.158381524479779e-5
6,16,1.1583816825755378e-5
6,17,1.737572277527022e-5
6,18,1.7375720418044693e-5
6,19,1.7375713151857042e-5
6,1,1.737562908488144e-5
6,20,1.7375724422841188e-5
6,21,1.737572432070067e-5
6,22,1.7375724244317325e-5
6,23,1.737572495486006e-5
6,24,1.737572385884789e-5
6,25,1.7375720059220612e-5
6,26,1.737572573645707e-5
6,27,1.7375723103896235e-5
6,28,1.7375723835755252e-5
6,29,1.737572450632996e-5
6,2,1.1583815626714511e-5
6,30,1.7375717330736506e-5
6,3,1.737569425230845e-5
6,4,1.7375724317147956e-5
6,5,1.737572088611472e-5
6,6,1.73757233810079e-5
6,7,1.7375742977776554e-5
6,8,1.7375750529069478e-5
6,9,1.737572437754409e-5
7,10,1.7375727651369743e-5
7,11,1.1583815774152129e-5
7,12,1.7375721990120496e-5
7,13,1.7375710161360303e-5
7,14,1.7375714946865628e-5
7,15,1.7375723761148265e-5
7,16,1.7375725105850393e-5
7,17,1.737573055304864e-5
7,18,1.7375724143953164e-5
7,19,1.737513709354488e-5
