Time,Scenario,Residual
1,10,1.8594382579451008e-5
1,11,1.859438221263332e-5
1,12,1.859438236451183e-5
1,13,1.85943821682244e-5
1,14,1.8594383486281174e-5
1,15,1.8594382435566104e-5
1,16,1.8594382159342615e-5
1,17,1.8594382296122092e-5
1,18,1.8594382209080607e-5
1,19,1.8594379620040513e-5
1,1,1.8594382101611018e-5
1,20,1.8594380316372394e-5
1,21,1.85943822463841e-5
1,22,1.859438211138098e-5
1,23,1.859438234763644e-5
1,24,1.859438260698454e-5
1,25,1.8594382360959116e-5
1,26,1.8594382225955997e-5
1,27,1.8594382114933694e-5
1,28,1.8594381039349628e-5
1,29,1.8594382598102754e-5
1,2,1.8594382326320158e-5
1,30,1.8594382029668566e-5
1,3,1.8594382249936814e-5
1,4,1.8594382192205217e-5
1,5,1.8594382946268695e-5
1,6,1.859438224016685e-5
1,7,1.8594381936409832e-5
1,8,1.859438239293354e-5
1,9,1.8594380989611636e-5
2,10,1.859438251017309e-5
2,11,1.859438207318931e-5
2,12,1.8594381966607898e-5
2,13,1.859438217266529e-5
2,14,1.859438202700403e-5
2,15,1.8594382006575927e-5
2,16,1.8594382243719565e-5
2,17,1.8594382427572498e-5
2,18,1.8594382328984693e-5
2,19,1.8594382485304095e-5
2,1,1.8594382121150943e-5
2,20,1.8594381517189618e-5
2,21,1.8594382334313764e-5
2,22,1.859438248175138e-5
2,23,1.8594382335201942e-5
2,24,1.8594382091841055e-5
2,25,1.8594382305892054e-5
2,26,1.8594382249048635e-5
2,27,1.8594382008352284e-5
2,28,1.8594382058090275e-5
2,29,1.8594382090952877e-5
2,2,1.8594382217074212e-5
2,30,1.8594382170888935e-5
2,3,1.8594382299674805e-5
2,4,1.859438203855035e-5
2,5,1.859438259010915e-5
2,6,1.85943821229273e-5
2,7,1.85943826744861e-5
2,8,1.8594382143355404e-5
2,9,1.8594382289016664e-5
3,10,1.239625486082474e-5
3,11,1.8594381764103218e-5
3,12,1.2396255050006744e-5
3,13,1.859438173568151e-5
3,14,1.8594382698466916e-5
3,15,1.8594381978154217e-5
3,16,1.8594382352077332e-5
3,17,1.2396254879476487e-5
3,18,1.2396254031266096e-5
3,19,1.859438065654473e-5
3,1,1.2396254806645857e-5
3,20,1.2396254277291519e-5
3,21,1.8594382535042087e-5
3,22,1.859438215667808e-5
3,23,1.8594382244607743e-5
3,24,1.859438180229489e-5
3,25,1.8594382379610863e-5
3,26,1.8594382473757776e-5
3,27,1.2396254893687342e-5
3,28,1.8594380905234686e-5
3,29,1.8594381975489682e-5
3,2,1.8594382311221125e-5
3,30,1.8594382322767444e-5
3,3,1.2396254823521247e-5
3,4,1.8594382423131606e-5
3,5,1.859438234763644e-5
3,6,1.8594382253489528e-5
3,7,1.2396254762236936e-5
3,8,1.8594382327208336e-5
3,9,1.2396254935431728e-5
4,10,1.8594382558134726e-5
4,11,1.8594382322767444e-5
4,12,1.8594382045655777e-5
4,13,1.859438200479957e-5
4,14,1.859438328644103e-5
4,15,1.8594382630077178e-5
4,16,1.239625501270325e-5
4,17,1.8594382456882386e-5
4,18,1.2396255134383694e-5
4,19,1.8594380772007923e-5
4,1,1.8594382295233913e-5
4,20,1.8594382092729234e-5
4,21,1.8594383216274935e-5
4,22,1.2396255359092834e-5
4,23,1.8594382318326552e-5
4,24,1.859438217355347e-5
4,25,1.8594381584691178e-5
4,26,1.859438231921473e-5
4,27,1.85943821229273e-5
4,28,1.859438234674826e-5
4,29,1.8594382265924025e-5
4,2,1.8594383663916858e-5
4,30,1.859438243734246e-5
4,3,1.8594382461323278e-5
4,4,1.8594381974601504e-5
4,5,1.8594382794390185e-5
4,6,1.8594382221515104e-5
4,7,1.8594382202863358e-5
4,8,1.8594382103387375e-5
4,9,1.8594381794301285e-5
5,10,1.8594381637981883e-5
5,11,1.8594382174441648e-5
5,12,1.2396254677859986e-5
5,13,1.859438207318931e-5
5,14,1.859438212825637e-5
5,15,1.2396254648550098e-5
5,16,1.859438197726604e-5
5,17,1.8594382675374277e-5
5,18,1.859438231299748e-5
5,19,1.8594381006487026e-5
5,1,1.2396254721380728e-5
5,20,1.2396254244428917e-5
5,21,1.2396254835955745e-5
5,22,1.8594382194869752e-5
5,23,1.2396255032243175e-5
5,24,1.8594382253489528e-5
5,25,1.2396254835067566e-5
5,26,1.8594382377834506e-5
5,27,1.2396254693847197e-5
5,28,1.8594382188652503e-5
5,29,1.239625489990459e-5
5,2,1.2396254913227267e-5
5,30,1.239625474269701e-5
5,3,1.859438169660166e-5
5,4,1.8594382720671376e-5
5,5,1.8594382635406248e-5
5,6,1.8594382163783507e-5
5,7,1.859438136886382e-5
5,8,1.8594381152148287e-5
5,9,1.859438184670381e-5
6,10,1.8594382356518224e-5
6,11,1.2396254789770467e-5
6,12,1.8594382277470345e-5
6,13,1.8594382676262455e-5
6,14,1.8594382259706776e-5
6,15,1.859438226947674e-5
6,16,1.859438229789845e-5
6,17,1.2396254722268907e-5
6,18,1.2396254477131663e-5
6,19,1.2396255984370441e-5
6,1,1.859438219042886e-5
6,20,1.8594381621106493e-5
6,21,1.8594382428460676e-5
6,22,1.859438208384745e-5
6,23,1.8594382260594955e-5
6,24,1.859438225171317e-5
6,25,1.859438236362365e-5
6,26,1.2396254724933442e-5
6,27,1.859438215667808e-5
6,28,1.8594383197623188e-5
6,29,1.8594382232173245e-5
6,2,1.859438243823064e-5
6,30,1.8594381995029607e-5
6,3,1.8594382098946483e-5
6,4,1.8594382057202097e-5
6,5,1.2396254942537155e-5
6,6,1.2396255624658181e-5
6,7,1.859438167262084e-5
6,8,1.8594383006664827e-5
6,9,1.8594382304115697e-5
7,10,1.239625439986014e-5
7,11,1.859438199858232e-5
7,12,1.8594382349412797e-5
7,13,1.859438673168512e-5
7,14,1.859438223572596e-5
7,15,1.859438226858856e-5
7,16,1.8594382098058304e-5
7,17,1.8594382275693988e-5
7,18,1.2396254299495979e-5
7,19,1.859438042028927e-5
7,1,1.2396254780000504e-5
7,20,1.2396254356339398e-5
7,21,1.2396254834179388e-5
7,22,1.85943823369783e-5
7,23,1.8594382143355404e-5
7,24,1.2396254748026081e-5
7,25,1.2396255094415665e-5
7,26,1.8594382283687594e-5
7,27,1.2396254819968533e-5
7,28,1.2396254780888682e-5
7,29,1.8594382160230793e-5
7,2,1.239625485549567e-5
7,30,1.23962549283263e-5
7,3,1.859438142659542e-5
7,4,1.8594382423131606e-5
7,5,1.8594383187853225e-5
7,6,1.8594381919534442e-5
7,7,1.8594382377834506e-5
7,8,1.2396254751578795e-5
7,9,1.859438263984714e-5
8,10,1.8594381603342924e-5
8,11,1.859438234852462e-5
8,12,1.859438215046083e-5
8,13,1.2396254689406305e-5
8,14,1.8594382023451317e-5
