Time,Scenario,Residual
1,10,8.59208544135015e-6
1,11,8.59208584014226e-6
1,12,8.592085813496908e-6
1,13,8.592085769087987e-6
1,14,8.592085357861379e-6
1,15,8.592086006231625e-6
1,16,8.59208576731163e-6
1,17,8.592086632397411e-6
1,18,8.592087345604682e-6
1,19,8.592095369408526e-6
1,1,8.592085808167838e-6
1,20,8.592084612679685e-6
1,21,5.728057578480161e-6
1,22,8.592085797509696e-6
1,23,8.592085650960257e-6
1,24,8.592085708691855e-6
1,25,8.592087710646013e-6
1,26,8.59208583481319e-6
1,27,8.592085777081593e-6
1,28,8.592087521464009e-6
1,29,8.592085762870738e-6
1,2,8.592085973369024e-6
1,30,8.59208580106241e-6
1,3,8.592085691816465e-6
1,4,5.7280571894580135e-6
1,5,8.592085748659883e-6
1,6,8.592086457426262e-6
1,7,8.592085601222266e-6
1,8,8.592085779746128e-6
1,9,5.728057463905145e-6
2,10,8.592085438685615e-6
2,11,8.592085769976165e-6
2,12,8.59208498038555e-6
2,13,8.592085794845161e-6
2,14,8.592085159797591e-6
2,15,8.592085956493634e-6
2,16,8.592085703362784e-6
2,17,8.592085748659883e-6
2,18,8.592085729119958e-6
2,19,5.728063141141604e-6
2,1,8.592085779746128e-6
2,20,8.592085656289328e-6
2,21,8.592085602998623e-6
2,22,8.592085797509696e-6
2,23,8.592085742442634e-6
2,24,8.592085774417058e-6
2,25,5.728057251630503e-6
2,26,5.728057192122549e-6
2,27,8.592085732672672e-6
2,28,8.59208674519607e-6
2,29,8.592086261138832e-6
2,2,8.592084363989727e-6
2,30,8.5920857726407e-6
2,3,8.59208482850704e-6
2,4,8.592085800174232e-6
2,5,8.59208576198256e-6
2,6,8.592086566672208e-6
2,7,8.592086266467902e-6
2,8,8.592085794845161e-6
2,9,8.592086051528725e-6
3,10,8.592089876913178e-6
3,11,8.592085753100775e-6
3,12,5.728057216103366e-6
3,13,8.592085792180626e-6
3,14,8.592085828595941e-6
3,15,5.728057496767747e-6
3,16,8.592085831260476e-6
3,17,8.59208716708082e-6
3,18,5.728056716058916e-6
3,19,8.592112144434338e-6
3,1,5.728057156595412e-6
3,20,8.592086230940765e-6
3,21,8.59208472192563e-6
3,22,8.592085800174232e-6
3,23,8.592085766423452e-6
3,24,8.592085803726945e-6
3,25,8.592085045222575e-6
3,26,8.592085844583153e-6
3,27,8.592085800174232e-6
3,28,8.592086637726482e-6
3,29,8.592085730008137e-6
3,2,8.592086151892886e-6
3,30,8.592085781522485e-6
3,3,8.592084889791352e-6
3,4,8.592085726455423e-6
3,5,8.59208566605929e-6
3,6,8.592086291336898e-6
3,7,5.728057224096972e-6
3,8,8.592085815273265e-6
3,9,8.592085499969926e-6
4,10,8.592084896896779e-6
4,11,5.728057246301432e-6
4,12,8.59208576198256e-6
4,13,8.59208507009157e-6
4,14,8.59208869563588e-6
4,15,8.592085960046347e-6
4,16,8.592085944059136e-6
4,17,8.592086011560696e-6
4,18,8.592085884551182e-6
4,19,8.592094232540148e-6
4,1,8.5920857397781e-6
4,20,8.592085666947469e-6
4,21,8.59208503722897e-6
4,22,5.72805723653147e-6
4,23,5.728057181464408e-6
4,24,8.592085804615124e-6
4,25,5.7280573058093864e-6
4,26,8.592085757541668e-6
4,27,8.592085841030439e-6
4,28,8.592087864300879e-6
4,29,8.592085785963377e-6
4,2,8.592085935177352e-6
4,30,8.592085730896315e-6
4,3,8.592085134928595e-6
4,4,8.59208578951609e-6
4,5,5.728056916787239e-6
4,6,5.7280575491702734e-6
4,7,8.592085775305236e-6
4,8,8.59208598136263e-6
4,9,8.592085985803521e-6
5,10,5.7280572107742955e-6
5,11,5.728057196563441e-6
5,12,8.592085845471331e-6
5,13,8.592085777969771e-6
5,14,8.592086551573175e-6
5,15,8.59208494663477e-6
5,16,8.592085752212597e-6
5,17,8.592085588787768e-6
5,18,5.728057988818591e-6
5,19,8.592092330950152e-6
5,1,5.728057226761507e-6
5,20,8.592083725389443e-6
5,21,5.728057012710508e-6
5,22,8.592085793068804e-6
5,23,8.592085809056016e-6
5,24,8.592085780634307e-6
5,25,8.592083781344684e-6
5,26,5.72805716902991e-6
5,27,5.728057150378163e-6
5,28,8.592086143011102e-6
5,29,8.592085736225386e-6
5,2,5.728057312026635e-6
5,30,5.728057190346192e-6
5,3,5.72805680931765e-6
5,4,8.592085839254082e-6
5,5,8.592085162462126e-6
5,6,8.592085915637426e-6
5,7,8.59208578951609e-6
5,8,8.592085639413938e-6
5,9,8.592086563119494e-6
6,10,8.592084719261095e-6
6,11,8.592085871228505e-6
6,12,8.592085794845161e-6
6,13,8.592085791292448e-6
6,14,8.59208507630882e-6
6,15,5.7280571859053e-6
6,16,5.728057179688051e-6
6,17,8.592085978698094e-6
6,18,8.592086935266252e-6
6,19,8.592177049848715e-6
6,1,8.592095090520502e-6
6,20,8.592086079950434e-6
6,21,8.592085796621518e-6
6,22,8.5920858179378e-6
6,23,8.592085764647095e-6
6,24,8.592085769976165e-6
6,25,8.592087165304463e-6
6,26,8.592085606551336e-6
6,27,8.592085832148655e-6
6,28,8.592086332193105e-6
6,29,8.592085849024045e-6
6,2,5.7280572889339965e-6
6,30,8.592085304570674e-6
6,3,8.592084996372762e-6
6,4,8.59208581260873e-6
6,5,8.592085669612004e-6
6,6,8.59208588011029e-6
6,7,8.5920852788135e-6
6,8,8.592085892544787e-6
6,9,8.59208605952233e-6
7,10,8.592085869452148e-6
7,11,5.728057199227976e-6
7,12,8.592085769976165e-6
7,13,8.592085606551336e-6
7,14,8.592082981095928e-6
7,15,8.592085541714312e-6
7,16,8.592085780634307e-6
7,17,8.592087028524986e-6
7,18,8.592086142122923e-6
7,19,8.592085057657073e-6
7,1,5.728060279430736e-6
7,20,5.7280568572792845e-6
7,21,5.728056752474231e-6
7,22,5.728057194787084e-6
7,23,5.72805721965608e-6
7,24,8.592085858794007e-6
7,25,8.592085880998468e-6
7,26,5.7280579408569565e-6
7,27,8.592085787739734e-6
7,28,8.592086738090643e-6
7,29,5.728057181464408e-6
7,2,8.592085993797127e-6
7,30,8.592085748659883e-6
7,3,8.592084951075663e-6
7,4,8.592085771752522e-6
7,5,8.59208594761185e-6
7,6,8.592087906045265e-6
7,7,8.592085831260476e-6
7,8,8.592085888992074e-6
7,9,5.728057303144851e-6
8,10,5.72805766907436e-6
8,11,8.592085797509696e-6
8,12,8.592085759318024e-6
8,13,8.592086619074735e-6
8,14,8.592086196301807e-6
8,15,8.592086033765156e-6
8,16,8.592085759318024e-6
8,17,8.592085769976165e-6
8,18,8.59208653203325e-6
8,19,8.592114653538374e-6
8,1,8.592085780634307e-6
8,20,8.592086180314595e-6
8,21,8.592087141323645e-6
8,22,8.59208576731163e-6
8,23,8.592085782410663e-6
8,24,8.59208580639148e-6
8,25,8.59208481163165e-6
8,26,8.592085839254082e-6
8,27,8.592085737113564e-6
8,28,8.592087512582225e-6
8,29,8.592085768199809e-6
8,2,8.592085735337207e-6
8,30,8.592085753988954e-6
8,3,5.72805693277445e-6
8,4,8.5920856491839e-6
8,5,5.72805717435898e-6
8,6,8.592088074799165e-6
8,7,8.592085142922201e-6
8,8,5.728057207221582e-6
8,9,8.592085769976165e-6
9,10,8.592083332814582e-6
9,11,8.592085736225386e-6
9,12,5.7280572001161545e-6
9,13,8.59208580639148e-6
9,14,8.592085926295567e-6
9,15,5.728057341336523e-6
9,16,8.592085731784493e-6
9,17,8.592085574576913e-6
9,18,8.59208654890864e-6
9,19,8.592087199055243e-6
9,1,5.72805719123437e-6
9,20,8.592085966263596e-6
9,21,8.592085737113564e-6
9,22,8.59208574510717e-6
9,23,8.5920860319888e-6
9,24,8.592085816161443e-6
9,25,5.728057033138612e-6
9,26,5.728057240972362e-6
9,27,8.59208577885795e-6
9,28,5.7280568954709565e-6
9,29,8.592085820602335e-6
9,2,8.592086727432502e-6
9,30,5.7280572063334034e-6
9,3,8.5920848960086e-6
9,4,8.592085802838767e-6
9,5,8.592085769976165e-6
9,6,8.592086755854211e-6
9,7,5.728057204557047e-6
9,8,8.592097689330558e-6
9,9,8.59208482317797e-6
10,10,8.59208471126749e-6
10,11,8.592085768199809e-6
10,12,8.592084194791738e-6
10,13,8.59208583481319e-6
10,14,8.592086236269836e-6
10,15,8.592080359193233e-6
10,16,8.592085743330813e-6
10,17,8.592085317005171e-6
10,18,8.592085043446218e-6
10,19,8.592129635331958e-6
10,1,8.592085752212597e-6
10,20,8.592085302794317e-6
10,21,8.592085738001742e-6
10,22,5.728057254295038e-6
10,23,8.5920857397781e-6
10,24,5.7280571894580135e-6
10,25,8.592084791203547e-6
10,26,8.592085858794007e-6
10,27,8.592085793956983e-6
10,28,8.592090394721197e-6
10,29,8.59208574510717e-6
10,2,5.728057328902025e-6
10,30,8.592085775305236e-6
10,3,5.728057254295038e-6
10,4,5.728057276499499e-6
10,5,8.592085666947469e-6
10,6,8.592085237069114e-6
10,7,8.592085796621518e-6
10,8,5.728057201004333e-6
10,9,8.592084989267335e-6
11,10,8.592084011382894e-6
11,11,8.592085824155049e-6
11,12,5.7280573715345895e-6
11,13,8.592085797509696e-6
11,14,8.592085448455578e-6
11,15,5.7280573928508716e-6
11,16,5.728057177023516e-6
