Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
BESS,1,10,-0.0047591358438742945,-0.003751576370083539,-0.00023935142624948377
BESS,1,12,-0.004885067743231645,-0.005189318917380719,-0.0004839775207723696
BESS,1,14,-0.004977109927060809,-0.0043361417381950085,-0.00040844588616584986
BESS,1,17,-0.0038591588798120484,-0.0050066406248404065,-0.004254782939627035
BESS,1,18,-0.004058081859492325,-0.01134380155418458,-12.214033439331416
BESS,1,21,-0.0045527678496702605,-0.003974304644484427,-0.00036108708415937517
BESS,1,22,-0.004386378325542622,-0.004952271107648661,-0.0005927719340075012
BESS,1,23,-0.004868849523662831,-0.003765261487685241,-0.0003642704050990691
BESS,1,24,-0.004021905924141527,-0.020269871811092185,-0.3290248127757675
BESS,1,27,-0.0037564292499111616,-0.0063240069054534415,-3.2709061285678427
BESS,1,29,-0.005217818206032984,-0.004035822409852535,-0.0002480084306230237
BESS,1,2,-0.004584881490436142,-0.005091372419338726,-0.0005150713907458013
BESS,1,6,-0.004191549475890728,-0.006788285134385613,-0.0023071710304649576
BESS,1,7,-0.004775061212081877,-0.004862077414989842,-0.0004903926794781197
BESS,1,8,-0.5652131834372066,-0.004023304917269147,-0.0002789131111740611
BESS,2,10,-0.0038637129648646375,-0.003910422020133663,-0.00024095441432463285
BESS,2,12,-0.005015032206257612,-0.005435607196225993,-0.0004919942617368381
BESS,2,14,-0.004030963114384642,-0.004723021404694946,-0.0005918671166911986
BESS,2,17,-167.5518708588071,-0.0037489484753633613,-0.0002433784930131665
BESS,2,18,-0.003950430099550969,-0.003786537231350676,-0.009880889166580134
BESS,2,21,-0.00404950447492937,-0.005914364887551843,-0.0004427056763587907
BESS,2,22,-0.004593991056419668,-0.005080872849556085,-0.0006750987053505452
BESS,2,23,-0.0059902157210491224,-0.0037850750378539666,-0.0003049061781366695
BESS,2,24,-0.003852819642835012,-0.0039017562961649534,-11.891639932997455
BESS,2,27,-0.006650574704035356,-0.0037602160998533724,-0.0006623501892904156
BESS,2,29,-0.004101241418621606,-0.009277056413837453,-0.0009901492233605816
BESS,2,2,-0.0049911059547659755,-0.005281454504041829,-0.0005285596432625225
BESS,2,6,-0.004328720421531063,-0.005584182933123876,-12.222252637444928
BESS,2,7,-0.004426115314756839,-0.006049900091190162,-0.0006363261742465008
BESS,2,8,-0.004100497152140707,-0.009243415389826946,-0.0007538164823660005
BESS,3,10,-0.004148934640246507,-0.004520880778992673,-0.0002489990446649936
BESS,3,12,-0.004483856868955533,-0.005022752540258177,-0.0005336416737969355
BESS,3,14,-0.014016209636346406,-0.004005149915487862,-0.0002470964305805208
BESS,3,17,-0.004112556144688733,-0.004408709075943579,-0.0002483970045138582
BESS,3,18,-0.008579283632948504,-0.003756011278047767,-0.0003703178658067161
BESS,3,21,-0.01036239669454841,-0.003939065855714367,-0.00025136332663724026
BESS,3,22,-0.004414221576715371,-0.00617546723093245,-0.0009577171541609701
BESS,3,23,-0.004488979527939431,-0.003755996581923216,-0.00023913160987779316
BESS,3,24,-0.006257711250961985,-0.003750994043072976,-0.00023934327323809373
BESS,3,27,-0.007653171572803227,-0.0037586069348700133,-0.0002915037032671583
