Y,T,Weights
5,1,10
5,2,5
5,3,4
5,4,4
5,5,8
5,6,3
5,7,6
5,8,6
5,9,10
5,10,2
5,11,11
5,12,11
5,13,6
5,14,7
5,15,13
5,16,12
5,17,4
5,18,5
5,19,5
5,20,10
5,21,9
5,22,16
5,23,8
5,24,15
5,25,9
5,26,8
5,27,7
5,28,9
5,29,15
5,30,12
5,31,12
5,32,11
5,33,12
5,34,10
5,35,15
5,36,9
5,37,16
5,38,8
5,39,7
5,40,8
5,41,9
5,42,15
5,43,9
5,44,3
5,45,5
5,46,7
5,47,11
5,48,15
5,49,9
5,50,5
5,51,9
5,52,8
5,53,15
5,54,9
5,55,15
5,56,9
5,57,15
5,58,9
5,59,8
5,60,8
5,61,8
5,62,3
5,63,5
5,64,6
5,65,12
5,66,13
5,67,11
5,68,5
5,69,3
5,70,3
5,71,5
5,72,6
5,73,2
5,74,6
5,75,7
5,76,9
5,77,5
5,78,10
5,79,6
5,80,3
5,81,7
5,82,9
5,83,8
5,84,2
5,85,7
5,86,5
5,87,3
5,88,7
5,89,2
5,90,6
5,91,6
5,92,5
5,93,7
5,94,6
5,95,7
5,96,11
5,97,6
5,98,8
5,99,3
5,100,5
5,101,8
5,102,6
5,103,2
5,104,8
5,105,2
5,106,6
5,107,7
5,108,9
5,109,15
5,110,9
5,111,2
5,112,7
5,113,4
5,114,3
5,115,8
5,116,15
5,117,12
5,118,5
5,119,7
5,120,12
5,121,5
5,122,7
5,123,9
5,124,3
5,125,12
5,126,9
5,127,2
5,128,5
5,129,8
5,130,9
5,131,8
5,132,7
5,133,9
5,134,4
5,135,11
5,136,4
5,137,5
5,138,2
5,139,7
5,140,6
5,141,11
5,142,6
5,143,7
5,144,11
5,145,6
5,146,7
5,147,9
5,148,3
5,149,6
5,150,6
5,151,9
5,152,2
5,153,7
5,154,6
5,155,9
5,156,2
5,157,7
5,158,6
5,159,9
5,160,2
5,161,7
5,162,6
5,163,10
5,164,2
5,165,4
5,166,2
5,167,7
5,168,10
5,169,6
5,170,7
5,171,11
5,172,6
5,173,7
5,174,9
5,175,2
5,176,6
5,177,7
5,178,10
5,179,8
5,180,7
5,181,8
5,182,3
5,183,6
5,184,7
5,185,8
5,186,3
5,187,6
5,188,7
5,189,8
5,190,3
5,191,5
5,192,8
5,193,9
5,194,8
5,195,6
5,196,10
5,197,8
5,198,6
5,199,9
5,200,2
5,201,6
5,202,6
5,203,10
5,204,2
5,205,7
5,206,7
5,207,8
5,208,3
5,209,5
5,210,2
5,211,5
5,212,9
5,213,8
5,214,8
5,215,8
5,216,10
5,217,6
5,218,9
5,219,7
5,220,7
5,221,12
5,222,6
5,223,7
5,224,8
5,225,2
5,226,7
5,227,6
5,228,9
5,229,10
5,230,6
5,231,8
5,232,2
5,233,6
5,234,8
5,235,8
5,236,2
5,237,7
5,238,7
5,239,8
5,240,9
5,241,6
5,242,10
5,243,8
5,244,7
5,245,10
5,246,7
5,247,7
5,248,8
5,249,3
5,250,6
5,251,7
5,252,8
5,253,3
5,254,6
5,255,7
5,256,8
5,257,3
5,258,5
5,259,8
5,260,8
5,261,2
5,262,7
5,263,7
5,264,8
5,265,2
5,266,6
5,267,7
5,268,10
5,269,8
5,270,7
5,271,9
5,272,9
5,273,6
5,274,8
5,275,3
5,276,6
5,277,7
5,278,8
5,279,2
5,280,7
5,281,5
5,282,11
5,283,8
5,284,7
5,285,8
5,286,10
5,287,6
5,288,8
5,289,3
5,290,4
5,291,3
5,292,6
5,293,8
5,294,2
5,295,5
5,296,3
5,297,6
5,298,8
5,299,3
5,300,5
5,301,2
5,302,5
5,303,8
5,304,2
5,305,7
5,306,2
5,307,5
5,308,8
5,309,2
5,310,2
5,311,4
5,312,3
5,313,4
5,314,9
5,315,2
5,316,8
5,317,5
5,318,9
5,319,2
5,320,6
5,321,3
5,322,4
5,323,9
5,324,2
5,325,8
5,326,5
5,327,10
5,328,3
5,329,6
5,330,6
5,331,9
5,332,2
5,333,7
5,334,5
5,335,9
5,336,3
5,337,7
5,338,5
5,339,9
5,340,2
5,341,9
5,342,5
5,343,8
5,344,2
5,345,6
5,346,3
5,347,4
5,348,10
5,349,9
5,350,7
5,351,7
5,352,3
5,353,7
5,354,6
5,355,9
5,356,3
5,357,6
5,358,7
5,359,8
5,360,2
5,361,5
5,362,2
5,363,6
5,364,8
5,365,3
5,366,7
5,367,6
5,368,8
5,369,2
5,370,7
5,371,2
5,372,5
5,373,4
5,374,4
5,375,4
5,376,7
5,377,4
5,378,2
5,379,7
5,380,2
5,381,2
5,382,8
5,383,5
5,384,9
5,385,7
5,386,2
5,387,5
5,388,9
5,389,1
5,390,8
5,391,2
5,392,5
5,393,9
5,394,2
5,395,6
5,396,2
5,397,14
5,398,8
5,399,5
5,400,9
5,401,2
5,402,7
5,403,6
5,404,9
5,405,2
5,406,7
5,407,2
5,408,4
5,409,9
5,410,3
5,411,7
5,412,6
5,413,8
5,414,2
5,415,8
