Y,T,PV,Wind
3,1,0.0,0.8488666666666668
3,2,0.0,0.7556499999999999
3,3,0.0085,0.6456500000000001
3,4,0.053,0.5945
3,5,0.0485,0.63255
3,6,0.012,0.70835
3,7,0.0,0.74845
3,8,0.0,0.81795
3,9,0.0,0.8635999999999999
3,10,0.0,0.8747
3,11,0.0,0.9010124999999999
3,12,0.0015,0.89805
3,13,0.0708,0.89862
3,14,0.005833333333333334,0.8876499999999999
3,15,0.0,0.87585
3,16,0.0,0.8748
3,17,0.0,0.8514999999999999
3,18,0.0,0.7712
3,19,0.0005,0.6956
3,20,0.036750000000000005,0.7079250000000001
3,21,0.0,0.7377666666666666
3,22,0.0,0.7447999999999999
3,23,0.0,0.7224999999999999
3,24,0.0,0.6504
3,25,0.0,0.55965
3,26,0.0,0.4847
3,27,0.0135,0.49485
3,28,0.07225000000000001,0.47845000000000004
3,29,0.013333333333333334,0.4546666666666666
3,30,0.0,0.3431
3,31,0.0,0.23315000000000002
3,32,0.0,0.1853
3,33,0.0,0.15542499999999998
3,34,0.0,0.12645
3,35,0.001,0.1555
3,36,0.012,0.163
3,37,0.0375,0.18914999999999998
3,38,0.03525,0.24107499999999998
3,39,0.0,0.22477999999999998
3,40,0.0,0.2112
3,41,0.0,0.2469
3,42,0.0,0.33145
3,43,0.0,0.4568
3,44,0.0,0.5441499999999999
3,45,0.0,0.6073
3,46,0.0,0.6604
3,47,0.028499999999999998,0.7273000000000001
3,48,0.17200000000000001,0.756425
3,49,0.098,0.7296
3,50,0.00575,0.67205
3,51,0.0,0.60055
3,52,0.0,0.567
3,53,0.0,0.6009875
3,54,0.006333333333333334,0.5800000000000001
3,55,0.04783333333333333,0.5577833333333333
3,56,0.0,0.49034999999999995
3,57,0.0,0.43795
3,58,0.0,0.3652
3,59,0.0,0.32001250000000003
3,60,0.004333333333333334,0.3654
3,61,0.0335,0.42974999999999997
3,62,0.015,0.50556
3,63,0.0,0.4663
3,64,0.0,0.4532
3,65,0.0,0.4441
3,66,0.0,0.446475
3,67,0.013,0.4468666666666666
3,68,0.11833333333333333,0.37389999999999995
3,69,0.0905,0.3014
3,70,0.0028,0.27976
3,71,0.0,0.22285
3,72,0.0,0.1845
3,73,0.0,0.17254285714285714
3,74,0.0,0.2262
3,75,0.007,0.25429999999999997
3,76,0.114,0.2739
3,77,0.2515,0.27640000000000003
3,78,0.133,0.3001
3,79,0.0055000000000000005,0.3576333333333333
3,80,0.0,0.3951
3,81,0.0,0.3878333333333333
3,82,0.0,0.35126
3,83,0.006,0.3306
3,84,0.068,0.3126
3,85,0.16575,0.283425
3,86,0.03233333333333333,0.2574
3,87,0.0,0.22055
3,88,0.0,0.18555
3,89,0.0,0.1344
3,90,0.0004,0.07292999999999998
3,91,0.029,0.0394
3,92,0.0915,0.027275
3,93,0.02266666666666667,0.04033333333333333
3,94,0.0,0.06974999999999999
3,95,0.0,0.10819999999999999
3,96,0.0,0.118
3,97,0.0,0.12565714285714286
3,98,0.0,0.1603
3,99,0.0,0.1741
3,100,0.045500000000000006,0.1982125
3,101,0.0,0.2233
3,102,0.0,0.1866
3,103,0.0,0.1932
3,104,0.0,0.21186249999999998
3,105,0.0025,0.1587
3,106,0.06857142857142857,0.12845714285714285
3,107,0.0,0.102025
3,108,0.0,0.08745
3,109,0.0,0.0738
3,110,0.0,0.05903749999999999
3,111,0.014666666666666666,0.07446666666666667
3,112,0.1044,0.06504
3,113,0.0075,0.0776
3,114,0.0,0.10973333333333335
3,115,0.0,0.1233
3,116,0.0,0.1421
3,117,0.0,0.17679999999999998
3,118,0.0,0.25645
3,119,0.0,0.3046
3,120,0.021666666666666667,0.31783333333333336
3,121,0.16519999999999999,0.29307999999999995
3,122,0.00675,0.25515
3,123,0.0,0.17095
3,124,0.0,0.12040000000000001
3,125,0.0,0.09275000000000001
3,126,0.010333333333333333,0.07863333333333333
3,127,0.0815,0.08495
3,128,0.02033333333333333,0.13076666666666667
3,129,0.0,0.17225000000000001
3,130,0.0,0.2042
3,131,0.0,0.2118
3,132,0.004,0.2114
3,133,0.0954,0.2021
3,134,0.022333333333333334,0.2611333333333334
3,135,0.0,0.31470000000000004
3,136,0.0,0.3468
3,137,0.0,0.3456
3,138,0.0004,0.38269000000000003
3,139,0.03,0.3459
3,140,0.061,0.3141
3,141,0.01,0.2778333333333333
3,142,0.0,0.2217
3,143,0.0,0.1713
3,144,0.0,0.1495
3,145,0.0,0.13307142857142856
3,146,0.0,0.1554
3,147,0.011,0.15675
3,148,0.093,0.1532
3,149,0.21525,0.16760000000000003
3,150,0.143,0.1507
3,151,0.007166666666666666,0.19665
3,152,0.0,0.20929999999999999
3,153,0.0,0.19758749999999997
3,154,0.0145,0.18975
3,155,0.124,0.1841
3,156,0.29824999999999996,0.19545
3,157,0.192,0.1859
3,158,0.013000000000000001,0.20044
3,159,0.0,0.24635
3,160,0.0,0.26855
3,161,0.0,0.31758571428571425
3,162,0.0245,0.29245
3,163,0.161,0.2656
3,164,0.28375,0.2807
3,165,0.177,0.289
3,166,0.059,0.2916
3,167,0.0002,0.3202
3,168,0.0,0.34895
3,169,0.0,0.32735
3,170,0.014,0.3198
3,171,0.115,0.3154
3,172,0.27425,0.31365
3,173,0.165,0.3347
3,174,0.0106,0.34684000000000004
3,175,0.0,0.2835
3,176,0.0,0.2458
3,177,0.0,0.2132
3,178,0.0,0.2576
3,179,0.0475,0.2744
3,180,0.163,0.280925
3,181,0.06,0.2964
3,182,0.0,0.33899999999999997
3,183,0.0,0.37825
3,184,0.0,0.40085
3,185,0.0,0.45594999999999997
3,186,0.0,0.49865000000000004
3,187,0.0,0.4322
3,188,0.0265,0.3296
3,189,0.10879999999999998,0.25868
3,190,0.012,0.21685
3,191,0.0,0.20275
3,192,0.0,0.19345
3,193,0.0,0.17145
3,194,0.0,0.12536666666666665
3,195,0.0,0.09738
3,196,0.0105,0.07665
3,197,0.097,0.0755
3,198,0.23825,0.07087500000000001
3,199,0.144,0.0719
3,200,0.008666666666666666,0.10131666666666667
3,201,0.0,0.10245
3,202,0.0,0.11028571428571428
3,203,0.0,0.1261
3,204,0.0175,0.13815
3,205,0.122,0.1318
3,206,0.2545,0.097975
3,207,0.158,0.0945
3,208,0.054,0.1177
3,209,0.0002,0.15589999999999998
3,210,0.0,0.1484
3,211,0.0,0.11292857142857142
3,212,0.0,0.0706
3,213,0.011,0.05515
3,214,0.10250000000000001,0.0401
3,215,0.18733333333333335,0.03043333333333333
3,216,0.0795,0.03595
3,217,0.0002,0.04894
3,218,0.0,0.0507
3,219,0.0,0.06227499999999999
3,220,0.0195,0.0775
3,221,0.13,0.0913
3,222,0.27575000000000005,0.08845
3,223,0.186,0.0901
3,224,0.072,0.1174
3,225,0.0006000000000000001,0.18494000000000002
3,226,0.0,0.1829
3,227,0.0,0.1744
3,228,0.0,0.1384
3,229,0.0,0.1254
3,230,0.012,0.1338
3,231,0.1375,0.1366
