year,T,PV,Wind,Y
2009,1,0,0.0592,1
2009,2,0,0.0582,1
2009,3,0,0.0579,1
2009,4,0,0.0617,1
2009,5,0,0.0723,1
2009,6,0,0.0844,1
2009,7,0,0.0965,1
2009,8,0,0.1065,1
2009,9,0.004,0.118,1
2009,10,0.058,0.1184,1
2009,11,0.139,0.1054,1
2009,12,0.196,0.0913,1
2009,13,0.204,0.0766,1
2009,14,0.165,0.0677,1
2009,15,0.088,0.0664,1
2009,16,0.016,0.0704,1
2009,17,0,0.0778,1
2009,18,0,0.0857,1
2009,19,0,0.094,1
2009,20,0,0.1034,1
2009,21,0,0.1136,1
2009,22,0,0.1174,1
2009,23,0,0.116,1
2009,24,0,0.1141,1
2009,25,0,0.113,1
2009,26,0,0.1158,1
2009,27,0,0.123,1
2009,28,0,0.1319,1
2009,29,0,0.1431,1
2009,30,0,0.1559,1
2009,31,0,0.1701,1
2009,32,0,0.1796,1
2009,33,0.002,0.1837,1
2009,34,0.043,0.1685,1
2009,35,0.114,0.1413,1
2009,36,0.167,0.1187,1
2009,37,0.181,0.103,1
2009,38,0.153,0.1009,1
2009,39,0.085,0.1071,1
2009,40,0.014,0.1211,1
2009,41,0,0.1301,1
2009,42,0,0.1293,1
2009,43,0,0.1244,1
2009,44,0,0.1182,1
2009,45,0,0.1081,1
2009,46,0,0.0977,1
2009,47,0,0.0889,1
2009,48,0,0.0815,1
2009,49,0,0.0782,1
2009,50,0,0.0796,1
2009,51,0,0.084,1
2009,52,0,0.0911,1
2009,53,0,0.1012,1
2009,54,0,0.1113,1
2009,55,0,0.1169,1
2009,56,0,0.1196,1
2009,57,0.014,0.1221,1
2009,58,0.096,0.1214,1
2009,59,0.183,0.1184,1
2009,60,0.241,0.1163,1
2009,61,0.252,0.1179,1
2009,62,0.21,0.1251,1
2009,63,0.123,0.142,1
2009,64,0.028,0.1641,1
2009,65,0,0.1768,1
2009,66,0,0.1818,1
2009,67,0,0.185,1
2009,68,0,0.1877,1
2009,69,0,0.1871,1
2009,70,0,0.1852,1
2009,71,0,0.1863,1
2009,72,0,0.1929,1
2009,73,0,0.1981,1
2009,74,0,0.198,1
2009,75,0,0.1946,1
2009,76,0,0.1955,1
2009,77,0,0.1935,1
2009,78,0,0.1953,1
2009,79,0,0.1865,1
2009,80,0,0.1772,1
2009,81,0.001,0.1683,1
2009,82,0.019,0.155,1
2009,83,0.043,0.147,1
2009,84,0.056,0.1433,1
2009,85,0.056,0.1428,1
2009,86,0.046,0.1469,1
2009,87,0.026,0.1559,1
2009,88,0.004,0.1739,1
2009,89,0,0.1919,1
2009,90,0,0.201,1
2009,91,0,0.2022,1
2009,92,0,0.2005,1
2009,93,0,0.2044,1
2009,94,0,0.2107,1
2009,95,0,0.2193,1
2009,96,0,0.2275,1
2009,97,0,0.2319,1
2009,98,0,0.2314,1
2009,99,0,0.2278,1
2009,100,0,0.2313,1
2009,101,0,0.2365,1
2009,102,0,0.2395,1
2009,103,0,0.2403,1
2009,104,0,0.2392,1
2009,105,0.003,0.2385,1
2009,106,0.069,0.2298,1
2009,107,0.166,0.2117,1
2009,108,0.24,0.195,1
2009,109,0.259,0.1837,1
2009,110,0.214,0.1719,1
2009,111,0.122,0.1688,1
2009,112,0.025,0.1696,1
2009,113,0,0.1679,1
2009,114,0,0.1641,1
2009,115,0,0.1617,1
2009,116,0,0.1617,1
2009,117,0,0.1636,1
2009,118,0,0.1645,1
2009,119,0,0.1664,1
2009,120,0,0.1706,1
2009,121,0,0.1796,1
2009,122,0,0.1906,1
2009,123,0,0.2063,1
2009,124,0,0.2235,1
2009,125,0,0.2394,1
2009,126,0,0.2547,1
2009,127,0,0.2714,1
2009,128,0,0.2893,1
2009,129,0.019,0.3142,1
2009,130,0.116,0.3233,1
2009,131,0.21,0.3052,1
2009,132,0.259,0.2977,1
2009,133,0.263,0.2876,1
2009,134,0.221,0.2681,1
2009,135,0.136,0.255,1
2009,136,0.034,0.2512,1
2009,137,0,0.2519,1
2009,138,0,0.247,1
2009,139,0,0.2598,1
2009,140,0,0.2542,1
2009,141,0,0.2359,1
2009,142,0,0.2167,1
2009,143,0,0.1912,1
2009,144,0,0.1623,1
2009,145,0,0.141,1
2009,146,0,0.1262,1
2009,147,0,0.111,1
2009,148,0,0.1041,1
2009,149,0,0.0953,1
2009,150,0,0.0838,1
2009,151,0,0.0721,1
2009,152,0,0.0635,1
2009,153,0.002,0.0616,1
2009,154,0.027,0.0589,1
2009,155,0.06,0.0581,1
2009,156,0.083,0.0614,1
2009,157,0.086,0.0613,1
2009,158,0.068,0.0632,1
2009,159,0.037,0.0707,1
2009,160,0.007,0.0844,1
2009,161,0,0.1028,1
2009,162,0,0.1205,1
2009,163,0,0.1431,1
2009,164,0,0.1701,1
2009,165,0,0.1956,1
2009,166,0,0.2078,1
2009,167,0,0.2102,1
2009,168,0,0.2145,1
2009,169,0,0.2203,1
2009,170,0,0.2276,1
2009,171,0,0.2343,1
2009,172,0,0.245,1
2009,173,0,0.2582,1
2009,174,0,0.2684,1
2009,175,0,0.2699,1
2009,176,0,0.2793,1
2009,177,0.002,0.287,1
2009,178,0.029,0.2885,1
2009,179,0.076,0.2779,1
2009,180,0.116,0.2672,1
2009,181,0.126,0.2574,1
2009,182,0.106,0.2397,1
2009,183,0.058,0.2363,1
2009,184,0.01,0.2435,1
2009,185,0,0.2435,1
2009,186,0,0.2453,1
2009,187,0,0.2512,1
2009,188,0,0.2515,1
2009,189,0,0.2484,1
2009,190,0,0.2389,1
2009,191,0,0.232,1
2009,192,0,0.2267,1
2009,193,0,0.2163,1
2009,194,0,0.21,1
2009,195,0,0.2021,1
2009,196,0,0.1968,1
2009,197,0,0.1912,1
2009,198,0,0.1876,1
2009,199,0,0.1917,1
2009,200,0,0.1996,1
2009,201,0.013,0.2073,1
2009,202,0.079,0.211,1
2009,203,0.164,0.2209,1
2009,204,0.231,0.2189,1
2009,205,0.243,0.2349,1
2009,206,0.206,0.2545,1
2009,207,0.128,0.2693,1
2009,208,0.033,0.2907,1
2009,209,0,0.313,1
2009,210,0,0.3258,1
2009,211,0,0.3448,1
2009,212,0,0.3593,1
2009,213,0,0.3763,1
2009,214,0,0.3952,1
2009,215,0,0.4164,1
2009,216,0,0.4483,1
2009,217,0,0.4777,1
2009,218,0,0.5041,1
2009,219,0,0.5294,1
2009,220,0,0.5459,1
2009,221,0,0.5721,1
2009,222,0,0.6033,1
2009,223,0,0.6351,1
2009,224,0,0.6588,1
2009,225,0.011,0.6834,1
2009,226,0.051,0.703,1
2009,227,0.094,0.7223,1
2009,228,0.124,0.738,1
2009,229,0.126,0.7492,1
2009,230,0.1,0.7572,1
2009,231,0.058,0.7544,1
2009,232,0.011,0.7614,1
2009,233,0,0.7679,1
2009,234,0,0.7593,1
2009,235,0,0.7535,1
2009,236,0,0.7531,1
2009,237,0,0.7544,1
2009,238,0,0.7463,1
2009,239,0,0.7252,1
2009,240,0,0.7112,1
2009,241,0,0.7037,1
2009,242,0,0.708,1
2009,243,0,0.7231,1
2009,244,0,0.7508,1
2009,245,0,0.7825,1
2009,246,0,0.8096,1
2009,247,0,0.8345,1
2009,248,0,0.8488,1
2009,249,0.006,0.8582,1
2009,250,0.038,0.865,1
2009,251,0.076,0.8713,1
2009,252,0.099,0.8806,1
2009,253,0.089,0.8926,1
2009,254,0.06,0.9027,1
2009,255,0.024,0.9052,1
2009,256,0.002,0.9035,1
2009,257,0,0.9023,1
2009,258,0,0.903,1
2009,259,0,0.9049,1
2009,260,0,0.9026,1
2009,261,0,0.9031,1
2009,262,0,0.9025,1
2009,263,0,0.8945,1
2009,264,0,0.887,1
2009,265,0,0.8773,1
2009,266,0,0.8486,1
2009,267,0,0.8221,1
2009,268,0,0.8031,1
2009,269,0,0.7855,1
2009,270,0,0.7593,1
2009,271,0,0.7299,1
2009,272,0,0.7179,1
2009,273,0,0.6958,1
2009,274,0.015,0.6658,1
2009,275,0.039,0.6223,1
2009,276,0.06,0.5948,1
2009,277,0.072,0.5798,1
2009,278,0.071,0.5609,1
2009,279,0.045,0.5363,1
2009,280,0.01,0.5165,1
2009,281,0,0.5015,1
2009,282,0,0.4889,1
2009,283,0,0.4725,1
2009,284,0,0.4534,1
2009,285,0,0.4301,1
2009,286,0,0.3946,1
2009,287,0,0.357,1
2009,288,0,0.3254,1
2009,289,0,0.2937,1
2009,290,0,0.2732,1
2009,291,0,0.2591,1
2009,292,0,0.246,1
2009,293,0,0.2328,1
2009,294,0,0.2154,1
2009,295,0,0.1951,1
2009,296,0,0.1773,1
2009,297,0.001,0.1559,1
2009,298,0.022,0.1359,1
2009,299,0.057,0.1187,1
2009,300,0.087,0.105,1
2009,301,0.107,0.0994,1
2009,302,0.095,0.0972,1
2009,303,0.058,0.1083,1
2009,304,0.014,0.1283,1
2009,305,0,0.143,1
2009,306,0,0.1457,1
2009,307,0,0.142,1
2009,308,0,0.134,1
2009,309,0,0.1254,1
2009,310,0,0.1184,1
2009,311,0,0.1113,1
2009,312,0,0.1036,1
2009,313,0,0.0965,1
2009,314,0,0.0905,1
2009,315,0,0.0858,1
2009,316,0,0.08,1
2009,317,0,0.0653,1
2009,318,0,0.0514,1
2009,319,0,0.0427,1
2009,320,0,0.045,1
2009,321,0.005,0.0627,1
2009,322,0.039,0.0827,1
2009,323,0.079,0.0987,1
2009,324,0.106,0.1154,1
2009,325,0.102,0.1361,1
2009,326,0.073,0.1707,1
2009,327,0.039,0.2259,1
2009,328,0.007,0.2839,1
2009,329,0,0.3308,1
2009,330,0,0.3798,1
2009,331,0,0.4235,1
2009,332,0,0.4618,1
2009,333,0,0.4964,1
2009,334,0,0.523,1
2009,335,0,0.5599,1
2009,336,0,0.5913,1
2009,337,0,0.5881,1
2009,338,0,0.5746,1
2009,339,0,0.5859,1
2009,340,0,0.5905,1
2009,341,0,0.5959,1
2009,342,0,0.6132,1
2009,343,0,0.629,1
2009,344,0,0.6487,1
2009,345,0.001,0.6692,1
2009,346,0.008,0.6821,1
2009,347,0.021,0.706,1
2009,348,0.029,0.7188,1
2009,349,0.031,0.7328,1
2009,350,0.026,0.7287,1
2009,351,0.014,0.7229,1
2009,352,0.002,0.7248,1
2009,353,0,0.7252,1
2009,354,0,0.7231,1
2009,355,0,0.7169,1
2009,356,0,0.7025,1
2009,357,0,0.6775,1
