year,hour_of_year,PV,Wind
2009,1.0,0.0,0.0592
2009,2.0,0.0,0.0582
2009,3.0,0.0,0.0579
2009,4.0,0.0,0.0617
2009,5.0,0.0,0.0723
2009,6.0,0.0,0.0844
2009,7.0,0.0,0.0965
2009,8.0,0.0,0.1065
2009,9.0,0.004,0.118
2009,10.0,0.058,0.1184
2009,11.0,0.139,0.1054
2009,12.0,0.196,0.0913
2009,13.0,0.204,0.0766
2009,14.0,0.165,0.0677
2009,15.0,0.088,0.0664
2009,16.0,0.016,0.0704
2009,17.0,0.0,0.0778
2009,18.0,0.0,0.0857
2009,19.0,0.0,0.094
2009,20.0,0.0,0.1034
2009,21.0,0.0,0.1136
2009,22.0,0.0,0.1174
2009,23.0,0.0,0.116
2009,24.0,0.0,0.1141
2009,25.0,0.0,0.113
2009,26.0,0.0,0.1158
2009,27.0,0.0,0.123
2009,28.0,0.0,0.1319
2009,29.0,0.0,0.1431
2009,30.0,0.0,0.1559
2009,31.0,0.0,0.1701
2009,32.0,0.0,0.1796
2009,33.0,0.002,0.1837
2009,34.0,0.043,0.1685
2009,35.0,0.114,0.1413
2009,36.0,0.167,0.1187
2009,37.0,0.181,0.103
2009,38.0,0.153,0.1009
2009,39.0,0.085,0.1071
2009,40.0,0.014,0.1211
2009,41.0,0.0,0.1301
2009,42.0,0.0,0.1293
2009,43.0,0.0,0.1244
2009,44.0,0.0,0.1182
2009,45.0,0.0,0.1081
2009,46.0,0.0,0.0977
2009,47.0,0.0,0.0889
2009,48.0,0.0,0.0815
2009,49.0,0.0,0.0782
2009,50.0,0.0,0.0796
2009,51.0,0.0,0.084
2009,52.0,0.0,0.0911
2009,53.0,0.0,0.1012
2009,54.0,0.0,0.1113
2009,55.0,0.0,0.1169
2009,56.0,0.0,0.1196
2009,57.0,0.014,0.1221
2009,58.0,0.096,0.1214
2009,59.0,0.183,0.1184
2009,60.0,0.241,0.1163
2009,61.0,0.252,0.1179
2009,62.0,0.21,0.1251
2009,63.0,0.123,0.142
2009,64.0,0.028,0.1641
2009,65.0,0.0,0.1768
2009,66.0,0.0,0.1818
2009,67.0,0.0,0.185
2009,68.0,0.0,0.1877
2009,69.0,0.0,0.1871
2009,70.0,0.0,0.1852
2009,71.0,0.0,0.1863
2009,72.0,0.0,0.1929
2009,73.0,0.0,0.1981
2009,74.0,0.0,0.198
2009,75.0,0.0,0.1946
2009,76.0,0.0,0.1955
2009,77.0,0.0,0.1935
2009,78.0,0.0,0.1953
2009,79.0,0.0,0.1865
2009,80.0,0.0,0.1772
2009,81.0,0.001,0.1683
2009,82.0,0.019,0.155
2009,83.0,0.043,0.147
2009,84.0,0.056,0.1433
2009,85.0,0.056,0.1428
2009,86.0,0.046,0.1469
2009,87.0,0.026,0.1559
2009,88.0,0.004,0.1739
2009,89.0,0.0,0.1919
2009,90.0,0.0,0.201
2009,91.0,0.0,0.2022
2009,92.0,0.0,0.2005
2009,93.0,0.0,0.2044
2009,94.0,0.0,0.2107
2009,95.0,0.0,0.2193
2009,96.0,0.0,0.2275
2009,97.0,0.0,0.2319
2009,98.0,0.0,0.2314
2009,99.0,0.0,0.2278
2009,100.0,0.0,0.2313
2009,101.0,0.0,0.2365
2009,102.0,0.0,0.2395
2009,103.0,0.0,0.2403
2009,104.0,0.0,0.2392
2009,105.0,0.003,0.2385
2009,106.0,0.069,0.2298
2009,107.0,0.166,0.2117
2009,108.0,0.24,0.195
2009,109.0,0.259,0.1837
2009,110.0,0.214,0.1719
2009,111.0,0.122,0.1688
2009,112.0,0.025,0.1696
2009,113.0,0.0,0.1679
2009,114.0,0.0,0.1641
2009,115.0,0.0,0.1617
2009,116.0,0.0,0.1617
2009,117.0,0.0,0.1636
2009,118.0,0.0,0.1645
2009,119.0,0.0,0.1664
2009,120.0,0.0,0.1706
2009,121.0,0.0,0.1796
2009,122.0,0.0,0.1906
2009,123.0,0.0,0.2063
2009,124.0,0.0,0.2235
2009,125.0,0.0,0.2394
2009,126.0,0.0,0.2547
2009,127.0,0.0,0.2714
2009,128.0,0.0,0.2893
2009,129.0,0.019,0.3142
2009,130.0,0.116,0.3233
2009,131.0,0.21,0.3052
2009,132.0,0.259,0.2977
2009,133.0,0.263,0.2876
2009,134.0,0.221,0.2681
2009,135.0,0.136,0.255
2009,136.0,0.034,0.2512
2009,137.0,0.0,0.2519
2009,138.0,0.0,0.247
2009,139.0,0.0,0.2598
2009,140.0,0.0,0.2542
2009,141.0,0.0,0.2359
2009,142.0,0.0,0.2167
2009,143.0,0.0,0.1912
2009,144.0,0.0,0.1623
2009,145.0,0.0,0.141
2009,146.0,0.0,0.1262
2009,147.0,0.0,0.111
2009,148.0,0.0,0.1041
2009,149.0,0.0,0.0953
2009,150.0,0.0,0.0838
2009,151.0,0.0,0.0721
2009,152.0,0.0,0.0635
2009,153.0,0.002,0.0616
2009,154.0,0.027,0.0589
2009,155.0,0.06,0.0581
2009,156.0,0.083,0.0614
2009,157.0,0.086,0.0613
2009,158.0,0.068,0.0632
2009,159.0,0.037,0.0707
2009,160.0,0.007,0.0844
2009,161.0,0.0,0.1028
2009,162.0,0.0,0.1205
2009,163.0,0.0,0.1431
2009,164.0,0.0,0.1701
2009,165.0,0.0,0.1956
2009,166.0,0.0,0.2078
2009,167.0,0.0,0.2102
2009,168.0,0.0,0.2145
2009,169.0,0.0,0.2203
2009,170.0,0.0,0.2276
2009,171.0,0.0,0.2343
2009,172.0,0.0,0.245
2009,173.0,0.0,0.2582
2009,174.0,0.0,0.2684
2009,175.0,0.0,0.2699
2009,176.0,0.0,0.2793
2009,177.0,0.002,0.287
2009,178.0,0.029,0.2885
2009,179.0,0.076,0.2779
2009,180.0,0.116,0.2672
2009,181.0,0.126,0.2574
2009,182.0,0.106,0.2397
2009,183.0,0.058,0.2363
2009,184.0,0.01,0.2435
2009,185.0,0.0,0.2435
2009,186.0,0.0,0.2453
2009,187.0,0.0,0.2512
2009,188.0,0.0,0.2515
2009,189.0,0.0,0.2484
2009,190.0,0.0,0.2389
2009,191.0,0.0,0.232
2009,192.0,0.0,0.2267
2009,193.0,0.0,0.2163
2009,194.0,0.0,0.21
2009,195.0,0.0,0.2021
2009,196.0,0.0,0.1968
2009,197.0,0.0,0.1912
2009,198.0,0.0,0.1876
2009,199.0,0.0,0.1917
2009,200.0,0.0,0.1996
2009,201.0,0.013,0.2073
2009,202.0,0.079,0.211
2009,203.0,0.164,0.2209
2009,204.0,0.231,0.2189
2009,205.0,0.243,0.2349
2009,206.0,0.206,0.2545
2009,207.0,0.128,0.2693
2009,208.0,0.033,0.2907
2009,209.0,0.0,0.313
2009,210.0,0.0,0.3258
2009,211.0,0.0,0.3448
2009,212.0,0.0,0.3593
2009,213.0,0.0,0.3763
2009,214.0,0.0,0.3952
2009,215.0,0.0,0.4164
2009,216.0,0.0,0.4483
2009,217.0,0.0,0.4777
2009,218.0,0.0,0.5041
2009,219.0,0.0,0.5294
2009,220.0,0.0,0.5459
2009,221.0,0.0,0.5721
2009,222.0,0.0,0.6033
2009,223.0,0.0,0.6351
2009,224.0,0.0,0.6588
2009,225.0,0.011,0.6834
2009,226.0,0.051,0.703
2009,227.0,0.094,0.7223
2009,228.0,0.124,0.738
2009,229.0,0.126,0.7492
2009,230.0,0.1,0.7572
2009,231.0,0.058,0.7544
2009,232.0,0.011,0.7614
2009,233.0,0.0,0.7679
2009,234.0,0.0,0.7593
2009,235.0,0.0,0.7535
2009,236.0,0.0,0.7531
2009,237.0,0.0,0.7544
2009,238.0,0.0,0.7463
2009,239.0,0.0,0.7252
2009,240.0,0.0,0.7112
2009,241.0,0.0,0.7037
2009,242.0,0.0,0.708
2009,243.0,0.0,0.7231
2009,244.0,0.0,0.7508
2009,245.0,0.0,0.7825
2009,246.0,0.0,0.8096
2009,247.0,0.0,0.8345
2009,248.0,0.0,0.8488
2009,249.0,0.006,0.8582
2009,250.0,0.038,0.865
2009,251.0,0.076,0.8713
2009,252.0,0.099,0.8806
2009,253.0,0.089,0.8926
2009,254.0,0.06,0.9027
2009,255.0,0.024,0.9052
2009,256.0,0.002,0.9035
2009,257.0,0.0,0.9023
2009,258.0,0.0,0.903
2009,259.0,0.0,0.9049
2009,260.0,0.0,0.9026
2009,261.0,0.0,0.9031
2009,262.0,0.0,0.9025
2009,263.0,0.0,0.8945
2009,264.0,0.0,0.887
2009,265.0,0.0,0.8773
2009,266.0,0.0,0.8486
2009,267.0,0.0,0.8221
2009,268.0,0.0,0.8031
2009,269.0,0.0,0.7855
2009,270.0,0.0,0.7593
2009,271.0,0.0,0.7299
2009,272.0,0.0,0.7179
2009,273.0,0.0,0.6958
2009,274.0,0.015,0.6658
2009,275.0,0.039,0.6223
2009,276.0,0.06,0.5948
2009,277.0,0.072,0.5798
2009,278.0,0.071,0.5609
2009,279.0,0.045,0.5363
2009,280.0,0.01,0.5165
2009,281.0,0.0,0.5015
2009,282.0,0.0,0.4889
2009,283.0,0.0,0.4725
2009,284.0,0.0,0.4534
2009,285.0,0.0,0.4301
2009,286.0,0.0,0.3946
2009,287.0,0.0,0.357
2009,288.0,0.0,0.3254
2009,289.0,0.0,0.2937
2009,290.0,0.0,0.2732
2009,291.0,0.0,0.2591
2009,292.0,0.0,0.246
2009,293.0,0.0,0.2328
2009,294.0,0.0,0.2154
2009,295.0,0.0,0.1951
2009,296.0,0.0,0.1773
2009,297.0,0.001,0.1559
2009,298.0,0.022,0.1359
2009,299.0,0.057,0.1187
2009,300.0,0.087,0.105
2009,301.0,0.107,0.0994
2009,302.0,0.095,0.0972
2009,303.0,0.058,0.1083
2009,304.0,0.014,0.1283
2009,305.0,0.0,0.143
2009,306.0,0.0,0.1457
2009,307.0,0.0,0.142
2009,308.0,0.0,0.134
2009,309.0,0.0,0.1254
2009,310.0,0.0,0.1184
2009,311.0,0.0,0.1113
2009,312.0,0.0,0.1036
2009,313.0,0.0,0.0965
2009,314.0,0.0,0.0905
2009,315.0,0.0,0.0858
2009,316.0,0.0,0.08
2009,317.0,0.0,0.0653
2009,318.0,0.0,0.0514
2009,319.0,0.0,0.0427
2009,320.0,0.0,0.045
2009,321.0,0.005,0.0627
2009,322.0,0.039,0.0827
2009,323.0,0.079,0.0987
2009,324.0,0.106,0.1154
2009,325.0,0.102,0.1361
2009,326.0,0.073,0.1707
2009,327.0,0.039,0.2259
2009,328.0,0.007,0.2839
2009,329.0,0.0,0.3308
2009,330.0,0.0,0.3798
2009,331.0,0.0,0.4235
2009,332.0,0.0,0.4618
2009,333.0,0.0,0.4964
2009,334.0,0.0,0.523
2009,335.0,0.0,0.5599
2009,336.0,0.0,0.5913
2009,337.0,0.0,0.5881
2009,338.0,0.0,0.5746
2009,339.0,0.0,0.5859
2009,340.0,0.0,0.5905
2009,341.0,0.0,0.5959
2009,342.0,0.0,0.6132
2009,343.0,0.0,0.629
2009,344.0,0.0,0.6487
2009,345.0,0.001,0.6692
2009,346.0,0.008,0.6821
2009,347.0,0.021,0.706
2009,348.0,0.029,0.7188
2009,349.0,0.031,0.7328
2009,350.0,0.026,0.7287
2009,351.0,0.014,0.7229
2009,352.0,0.002,0.7248
2009,353.0,0.0,0.7252
2009,354.0,0.0,0.7231
2009,355.0,0.0,0.7169
2009,356.0,0.0,0.7025
2009,357.0,0.0,0.6775
2009,358.0,0.0,0.641
2009,359.0,0.0,0.5896
2009,360.0,0.0,0.5364
2009,361.0,0.0,0.4776
