Y,T,Weights
8,1,10
8,2,5
8,3,4
8,4,3
8,5,8
8,6,4
8,7,12
8,8,9
8,9,13
8,10,3
8,11,10
8,12,13
8,13,11
8,14,8
8,15,4
8,16,11
8,17,6
8,18,7
8,19,2
8,20,8
8,21,2
8,22,12
8,23,6
8,24,4
8,25,16
8,26,8
8,27,13
8,28,3
8,29,8
8,30,14
8,31,5
8,32,7
8,33,13
8,34,4
8,35,8
8,36,11
8,37,10
8,38,15
8,39,3
8,40,6
8,41,3
8,42,5
8,43,7
8,44,9
8,45,8
8,46,6
8,47,2
8,48,8
8,49,7
8,50,6
8,51,3
8,52,8
8,53,16
8,54,10
8,55,14
8,56,10
8,57,6
8,58,7
8,59,9
8,60,3
8,61,5
8,62,8
8,63,8
8,64,8
8,65,6
8,66,2
8,67,8
8,68,15
8,69,5
8,70,4
8,71,16
8,72,8
8,73,14
8,74,11
8,75,9
8,76,4
8,77,5
8,78,3
8,79,5
8,80,7
8,81,4
8,82,3
8,83,7
8,84,15
8,85,9
8,86,7
8,87,9
8,88,8
8,89,3
8,90,4
8,91,8
8,92,9
8,93,8
8,94,7
8,95,3
8,96,6
8,97,14
8,98,2
8,99,3
8,100,7
8,101,6
8,102,8
8,103,10
8,104,6
8,105,7
8,106,9
8,107,3
8,108,4
8,109,7
8,110,10
8,111,3
8,112,6
8,113,6
8,114,9
8,115,8
8,116,8
8,117,8
8,118,3
8,119,13
8,120,8
8,121,10
8,122,5
8,123,4
8,124,5
8,125,8
8,126,8
8,127,7
8,128,4
8,129,5
8,130,6
8,131,10
8,132,2
8,133,7
8,134,5
8,135,10
8,136,3
8,137,6
8,138,5
8,139,10
8,140,2
8,141,6
8,142,8
8,143,8
8,144,3
8,145,4
8,146,9
8,147,8
8,148,3
8,149,6
8,150,7
8,151,9
8,152,2
8,153,4
8,154,2
8,155,5
8,156,6
8,157,6
8,158,7
8,159,6
8,160,4
8,161,5
8,162,15
8,163,9
8,164,2
8,165,7
8,166,6
8,167,9
8,168,2
8,169,4
8,170,7
8,171,3
8,172,8
8,173,16
8,174,7
8,175,4
8,176,5
8,177,7
8,178,10
8,179,7
8,180,8
8,181,9
8,182,2
8,183,6
8,184,7
8,185,8
8,186,3
8,187,6
8,188,6
8,189,9
8,190,2
8,191,7
8,192,7
8,193,8
8,194,2
8,195,7
8,196,7
8,197,8
8,198,3
8,199,4
8,200,2
8,201,7
8,202,8
8,203,3
8,204,6
8,205,6
8,206,10
8,207,2
8,208,5
8,209,8
8,210,10
8,211,6
8,212,8
8,213,8
8,214,2
8,215,7
8,216,7
8,217,8
8,218,3
8,219,6
8,220,7
8,221,8
8,222,3
8,223,6
8,224,5
8,225,10
8,226,2
8,227,7
8,228,6
8,229,9
8,230,2
8,231,6
8,232,8
8,233,9
8,234,8
8,235,6
8,236,6
8,237,4
8,238,7
8,239,8
8,240,8
8,241,2
8,242,6
8,243,7
8,244,9
8,245,2
8,246,7
8,247,6
8,248,9
8,249,2
8,250,7
8,251,7
8,252,8
8,253,3
8,254,6
8,255,7
8,256,8
8,257,2
8,258,6
8,259,2
8,260,6
8,261,9
8,262,2
8,263,4
8,264,2
8,265,5
8,266,11
8,267,8
8,268,5
8,269,10
8,270,2
8,271,8
8,272,6
8,273,8
8,274,2
8,275,6
8,276,2
8,277,4
8,278,10
8,279,2
8,280,6
8,281,6
8,282,10
8,283,3
8,284,5
8,285,2
8,286,5
8,287,10
8,288,2
8,289,6
8,290,7
8,291,10
8,292,7
8,293,6
8,294,10
8,295,2
8,296,6
8,297,7
8,298,8
8,299,2
8,300,7
8,301,7
8,302,8
8,303,10
8,304,4
8,305,10
8,306,2
8,307,2
8,308,4
8,309,2
8,310,5
8,311,10
8,312,9
8,313,6
8,314,8
8,315,10
8,316,6
8,317,9
8,318,2
8,319,5
8,320,2
8,321,5
8,322,9
8,323,2
8,324,6
8,325,7
8,326,8
8,327,3
8,328,5
8,329,3
8,330,4
8,331,9
8,332,3
8,333,5
8,334,3
8,335,5
8,336,9
8,337,3
8,338,6
8,339,5
8,340,2
8,341,4
8,342,4
8,343,2
8,344,7
8,345,5
8,346,11
8,347,8
8,348,5
8,349,12
8,350,7
8,351,5
8,352,10
8,353,2
8,354,8
8,355,5
8,356,9
8,357,2
8,358,7
8,359,6
8,360,10
8,361,9
8,362,4
8,363,9
8,364,3
8,365,5
8,366,2
8,367,5
8,368,11
8,369,8
8,370,5
8,371,10
8,372,2
8,373,5
8,374,2
8,375,7
8,376,9
8,377,8
8,378,7
8,379,10
8,380,7
8,381,5
8,382,11
8,383,8
8,384,5
8,385,9
8,386,3
8,387,5
8,388,3
8,389,4
8,390,11
8,391,8
8,392,7
8,393,9
8,394,9
8,395,4
8,396,10
8,397,2
8,398,6
8,399,2
8,400,4
8,401,10
8,402,2
8,403,7
8,404,2
8,405,3
8,406,9
8,407,2
8,408,8
8,409,2
8,410,5
8,411,7
8,412,2
8,413,8
8,414,2
8,415,5
8,416,7
8,417,2
8,418,2
8,419,4
8,420,2
8,421,2
8,422,5
8,423,7
8,424,2
8,425,8
8,426,7
8,427,8
8,428,2
8,429,4
8,430,3
8,431,7
8,432,7
8,433,2
8,434,8
8,435,2
8,436,5
8,437,8
8,438,3
8,439,6
8,440,2
8,441,5
8,442,8
8,443,9
8,444,2
8,445,5
8,446,7
8,447,2
8,448,7
8,449,6
8,450,10
8,451,2
8,452,6
8,453,6
8,454,10
8,455,8
8,456,3
8,457,4
8,458,8
8,459,2
8,460,8
8,461,5
8,462,5
8,463,6
8,464,6
8,465,4
8,466,3
8,467,10
8,468,2
8,469,8
8,470,5
8,471,8
8,472,2
8,473,8
8,474,2
8,475,4
8,476,8
8,477,2
8,478,8
8,479,2
8,480,4
8,481,9
8,482,2
8,483,7
8,484,2
8,485,4
8,486,8
8,487,3
8,488,7
8,489,6
8,490,10
8,491,8
8,492,6
8,493,8
8,494,2
8,495,3
8,496,4
8,497,2
8,498,6
8,499,7
8,500,2
8,501,8
8,502,3
8,503,11
8,504,2
8,505,8
8,506,2
8,507,4
8,508,8
8,509,2
8,510,8
8,511,3
8,512,3
8,513,8
8,514,2
8,515,8
8,516,3
8,517,3
8,518,8
8,519,2
8,520,8
8,521,3
8,522,3
8,523,8
8,524,2
8,525,8
8,526,3
8,527,3
8,528,9
8,529,2
8,530,7
8,531,3
8,532,3
8,533,9
8,534,2
8,535,6
8,536,2
8,537,6
8,538,7
8,539,2
8,540,6
8,541,3
8,542,5
8,543,9
8,544,2
8,545,7
8,546,6
8,547,8
8,548,5
8,549,4
8,550,4
8,551,4
8,552,7
8,553,2
8,554,6
8,555,3
8,556,5
8,557,8
8,558,2
8,559,8
8,560,3
8,561,3
8,562,9
8,563,8
8,564,4
8,565,11
8,566,2
8,567,6
8,568,3
8,569,2
8,570,11
8,571,2
8,572,8
8,573,3
8,574,11
8,575,2
8,576,8
8,577,3
8,578,11
8,579,2
8,580,9
8,581,6
8,582,7
8,583,2
8,584,9
8,585,5
8,586,8
8,587,2
8,588,8
8,589,3
8,590,4
8,591,7
8,592,2
8,593,6
8,594,3
8,595,6
8,596,7
8,597,2
8,598,8
8,599,3
8,600,11
8,601,3
8,602,7
8,603,3
8,604,11
8,605,2
8,606,9
8,607,5
8,608,8
8,609,2
8,610,8
8,611,3
8,612,11
8,613,2
8,614,8
8,615,3
8,616,11
8,617,2
8,618,8
8,619,3
8,620,3
8,621,8
8,622,2
8,623,8
8,624,2
8,625,5
8,626,8
8,627,3
8,628,4
8,629,3
8,630,5
8,631,7
8,632,3
8,633,7
8,634,2
8,635,5
8,636,8
8,637,3
8,638,5
8,639,3
8,640,6
8,641,7
8,642,2
8,643,7
8,644,2
8,645,5
8,646,8
8,647,2
8,648,8
8,649,7
8,650,7
8,651,2
8,652,8
8,653,6
8,654,8
8,655,2
8,656,8
8,657,6
8,658,10
8,659,8
8,660,3
8,661,12
8,662,2
8,663,6
8,664,4
8,665,11
8,666,3
8,667,7
8,668,3
8,669,11
8,670,11
8,671,5
8,672,8
8,673,3
8,674,7
8,675,3
8,676,4
8,677,8
8,678,3
8,679,5
8,680,2
8,681,5
8,682,8
8,683,3
8,684,4
8,685,4
8,686,5
8,687,9
8,688,2
8,689,7
8,690,3
8,691,12
8,692,2
8,693,5
8,694,3
8,695,5
8,696,9
8,697,9
8,698,3
8,699,4
8,700,8
8,701,2
8,702,7
8,703,6
8,704,8
8,705,3
8,706,5
8,707,4
8,708,5
8,709,8
8,710,9
8,711,3
8,712,4
8,713,7
8,714,2
8,715,6
8,716,3
8,717,6
8,718,7
8,719,2
8,720,8
8,721,3
8,722,11
8,723,2
8,724,7
8,725,4
8,726,11
8,727,2
8,728,11
8,729,4
8,730,7
8,731,2
8,732,7
8,733,4
8,734,4
8,735,7
8,736,3
8,737,7
8,738,3
8,739,4
8,740,7
8,741,3
8,742,7
8,743,3
8,744,4
8,745,8
8,746,9
8,747,2
8,748,4
8,749,9
8,750,7
8,751,4
8,752,4
8,753,8
8,754,2
8,755,7
8,756,4
8,757,12
8,758,8
8,759,4
8,760,3
8,761,8
8,762,2
8,763,8
8,764,2
8,765,5
8,766,7
8,767,2
8,768,8
8,769,3
8,770,3
8,771,8
8,772,3
8,773,6
8,774,4
8,775,4
8,776,6
8,777,3
8,778,9
8,779,5
8,780,9
8,781,2
8,782,8
8,783,6
8,784,8
8,785,2
8,786,5
8,787,3
8,788,6
8,789,7
8,790,3
8,791,7
8,792,3
8,793,3
8,794,7
8,795,2
8,796,2
8,797,7
8,798,3
8,799,3
8,800,8
8,801,2
8,802,8
8,803,6
8,804,8
8,805,2
8,806,9
8,807,5
8,808,8
8,809,2
8,810,9
8,811,6
8,812,7
8,813,2
8,814,9
8,815,5
8,816,7
8,817,3
8,818,8
8,819,2
8,820,4
8,821,7
8,822,2
8,823,10
8,824,6
8,825,7
8,826,3
8,827,6
8,828,2
8,829,5
8,830,9
8,831,2
8,832,6
8,833,2
8,834,5
8,835,8
8,836,2
8,837,9
8,838,5
8,839,8
8,840,2
8,841,9
8,842,6
8,843,7
8,844,2
8,845,8
8,846,2
8,847,5
8,848,8
8,849,8
8,850,3
8,851,4
8,852,8
8,853,3
8,854,6
8,855,2
8,856,6
8,857,8
8,858,10
8,859,5
8,860,8
8,861,2
8,862,8
8,863,3
8,864,11
8,865,2
8,866,8
8,867,3
8,868,12
8,869,2
8,870,5
8,871,2
8,872,2
8,873,4
8,874,8
8,875,3
8,876,6
8,877,2
8,878,5
8,879,10
8,880,9
8,881,6
8,882,8
8,883,2
8,884,7
8,885,3
8,886,3
8,887,8
8,888,2
8,889,7
8,890,2
8,891,5
8,892,8
8,893,4
8,894,4
8,895,3
8,896,5
8,897,8
8,898,3
8,899,5
8,900,3
8,901,5
8,902,8
8,903,2
8,904,9
8,905,5
8,906,8
8,907,2
8,908,6
8,909,3
8,910,5
8,911,8
8,912,2
8,913,8
8,914,2
8,915,4
8,916,8
8,917,2
8,918,7
8,919,7
8,920,9
8,921,2
8,922,8
8,923,5
8,924,9
8,925,2
8,926,7
8,927,2
8,928,5
8,929,8
8,930,2
8,931,6
8,932,3
8,933,4
8,934,9
8,935,2
8,936,7
8,937,6
