Y,T,Weights
16,1,2
16,2,6
16,3,1
16,4,2
16,5,5
16,6,2
16,7,3
16,8,2
16,9,8
16,10,2
16,11,2
16,12,3
16,13,2
16,14,2
16,15,2
16,16,1
16,17,2
16,18,8
16,19,2
16,20,2
16,21,3
16,22,7
16,23,2
16,24,3
16,25,5
16,26,2
16,27,2
16,28,4
16,29,5
16,30,2
16,31,2
16,32,7
16,33,2
16,34,2
16,35,5
16,36,3
16,37,2
16,38,2
16,39,3
16,40,6
16,41,1
16,42,1
16,43,2
16,44,4
16,45,4
16,46,2
16,47,1
16,48,8
16,49,2
16,50,6
16,51,1
16,52,3
16,53,2
16,54,2
16,55,3
16,56,2
16,57,2
16,58,1
16,59,3
16,60,5
16,61,2
16,62,3
16,63,2
16,64,1
16,65,3
16,66,4
16,67,1
16,68,3
16,69,2
16,70,2
16,71,2
16,72,5
16,73,2
16,74,7
16,75,1
16,76,1
16,77,2
16,78,1
16,79,3
16,80,1
16,81,6
16,82,2
16,83,2
16,84,2
16,85,3
16,86,1
16,87,1
16,88,2
16,89,2
16,90,2
16,91,6
16,92,2
16,93,1
16,94,9
16,95,2
16,96,3
16,97,2
16,98,2
16,99,3
16,100,2
16,101,1
16,102,3
16,103,2
16,104,2
16,105,3
16,106,1
16,107,1
16,108,3
16,109,1
16,110,2
16,111,2
16,112,2
16,113,2
16,114,4
16,115,3
16,116,1
16,117,3
16,118,5
16,119,6
16,120,1
16,121,1
16,122,8
16,123,5
16,124,4
16,125,4
16,126,2
16,127,1
16,128,5
16,129,2
16,130,1
16,131,3
16,132,4
16,133,1
16,134,2
16,135,4
16,136,2
16,137,8
16,138,3
16,139,4
16,140,2
16,141,3
16,142,2
16,143,1
16,144,1
16,145,8
16,146,1
16,147,2
16,148,1
16,149,2
16,150,1
16,151,3
16,152,2
16,153,2
16,154,2
16,155,3
16,156,2
16,157,3
16,158,2
16,159,3
16,160,2
16,161,1
16,162,1
16,163,1
16,164,3
16,165,2
16,166,1
16,167,9
16,168,2
16,169,3
16,170,4
16,171,3
16,172,2
16,173,1
16,174,5
16,175,2
16,176,1
16,177,2
16,178,1
16,179,4
16,180,1
16,181,3
16,182,3
16,183,2
16,184,7
16,185,1
16,186,3
16,187,4
16,188,2
16,189,5
16,190,2
16,191,8
16,192,2
16,193,1
16,194,4
16,195,1
16,196,6
16,197,2
16,198,8
16,199,2
16,200,5
16,201,7
16,202,1
16,203,1
16,204,3
16,205,4
16,206,1
16,207,3
16,208,4
16,209,3
16,210,3
16,211,1
16,212,2
16,213,8
16,214,2
16,215,1
16,216,4
16,217,1
16,218,2
16,219,2
16,220,2
16,221,2
16,222,10
16,223,1
16,224,5
16,225,2
16,226,2
16,227,2
16,228,2
16,229,2
16,230,5
16,231,1
16,232,2
16,233,1
16,234,4
16,235,3
16,236,4
16,237,1
16,238,1
16,239,7
16,240,1
16,241,3
16,242,4
16,243,2
16,244,5
16,245,1
16,246,1
16,247,4
16,248,3
16,249,1
16,250,3
16,251,5
16,252,6
16,253,2
16,254,7
16,255,1
16,256,2
16,257,2
16,258,2
16,259,2
16,260,3
16,261,3
16,262,1
16,263,1
16,264,8
16,265,1
16,266,2
16,267,5
16,268,6
16,269,2
16,270,9
16,271,1
16,272,2
16,273,3
16,274,1
16,275,2
16,276,3
16,277,2
16,278,1
16,279,7
16,280,3
16,281,1
16,282,2
16,283,3
16,284,2
16,285,3
16,286,2
16,287,1
16,288,5
16,289,3
16,290,1
16,291,3
16,292,3
16,293,2
16,294,5
16,295,1
16,296,1
16,297,2
16,298,5
16,299,1
16,300,2
16,301,5
16,302,2
16,303,4
16,304,2
16,305,1
16,306,7
16,307,1
16,308,2
16,309,1
16,310,5
16,311,1
16,312,5
16,313,1
16,314,1
16,315,4
16,316,3
16,317,1
