Y,T,PV,Wind
1,1,0,0.1496
1,2,0,0.1502
1,3,0,0.1485
1,4,0,0.147
1,5,0,0.1489
1,6,0,0.1483
1,7,0,0.1475
1,8,0,0.1486
1,9,0.001,0.1513
1,10,0.035,0.1509
1,11,0.102,0.1469
1,12,0.157,0.1507
1,13,0.179,0.158
1,14,0.156,0.1671
1,15,0.092,0.1774
1,16,0.016,0.1998
1,17,0,0.2217
1,18,0,0.2326
1,19,0,0.2321
1,20,0,0.2237
1,21,0,0.2164
1,22,0,0.2083
1,23,0,0.1967
1,24,0,0.1855
1,25,0,0.1781
1,26,0,0.1747
1,27,0,0.1685
1,28,0,0.1587
1,29,0,0.1431
1,30,0,0.1257
1,31,0,0.1064
1,32,0,0.0913
1,33,0.009,0.0835
1,34,0.088,0.0751
1,35,0.191,0.0653
1,36,0.255,0.0622
1,37,0.258,0.0577
1,38,0.202,0.0569
1,39,0.11,0.0611
1,40,0.02,0.0813
1,41,0,0.1107
1,42,0,0.14
1,43,0,0.1715
1,44,0,0.208
1,45,0,0.244
1,46,0,0.2711
1,47,0,0.2982
1,48,0,0.3258
1,49,0,0.355
1,50,0,0.3993
1,51,0,0.4224
1,52,0,0.4174
1,53,0,0.4052
1,54,0,0.3855
1,55,0,0.3875
1,56,0,0.3293
1,57,0,0.3085
1,58,0.004,0.3131
1,59,0.012,0.3224
1,60,0.016,0.3328
1,61,0.015,0.3492
1,62,0.011,0.3874
1,63,0.005,0.4232
1,64,0.001,0.4563
1,65,0,0.4892
1,66,0,0.5188
1,67,0,0.5613
1,68,0,0.5821
1,69,0,0.5695
1,70,0,0.5644
1,71,0,0.5636
1,72,0,0.5494
1,73,0,0.5381
1,74,0,0.5161
1,75,0,0.5155
1,76,0,0.5118
1,77,0,0.4885
1,78,0,0.4446
1,79,0,0.4116
1,80,0,0.4013
1,81,0.001,0.3922
1,82,0.033,0.3899
1,83,0.084,0.3951
1,84,0.122,0.4263
1,85,0.138,0.4749
1,86,0.114,0.4921
1,87,0.055,0.4873
1,88,0.007,0.4943
1,89,0,0.5113
1,90,0,0.5176
1,91,0,0.5202
1,92,0,0.5218
1,93,0,0.5322
1,94,0,0.5411
1,95,0,0.5341
1,96,0,0.5114
1,97,0,0.491
1,98,0,0.4775
1,99,0,0.4707
1,100,0,0.4951
1,101,0,0.5206
1,102,0,0.5428
1,103,0,0.5626
1,104,0,0.5811
1,105,0.001,0.5921
1,106,0.028,0.5948
1,107,0.08,0.591
1,108,0.127,0.597
1,109,0.141,0.6105
1,110,0.116,0.6177
1,111,0.059,0.6246
1,112,0.009,0.6294
1,113,0,0.6364
1,114,0,0.6363
1,115,0,0.6349
1,116,0,0.6354
1,117,0,0.6319
1,118,0,0.625
1,119,0,0.6158
1,120,0,0.6078
1,121,0,0.6052
1,122,0,0.6114
1,123,0,0.6242
1,124,0,0.6363
1,125,0,0.6386
1,126,0,0.6373
1,127,0,0.621
1,128,0,0.6083
1,129,0.002,0.5812
1,130,0.031,0.551
1,131,0.081,0.5149
1,132,0.125,0.4754
1,133,0.134,0.444
1,134,0.11,0.4098
1,135,0.065,0.3823
1,136,0.012,0.364
1,137,0,0.3481
1,138,0,0.3208
1,139,0,0.2952
1,140,0,0.2733
1,141,0,0.2542
1,142,0,0.2311
1,143,0,0.212
1,144,0,0.1973
1,145,0,0.1805
1,146,0,0.1702
1,147,0,0.1722
1,148,0,0.1765
1,149,0,0.1778
1,150,0,0.1751
1,151,0,0.1683
1,152,0,0.1654
1,153,0.002,0.1616
1,154,0.024,0.1613
1,155,0.058,0.1534
1,156,0.092,0.1458
1,157,0.106,0.1477
1,158,0.093,0.1577
1,159,0.051,0.1801
1,160,0.008,0.2107
1,161,0,0.2363
1,162,0,0.2388
1,163,0,0.2319
1,164,0,0.2133
1,165,0,0.1951
1,166,0,0.1868
1,167,0,0.1812
1,168,0,0.1791
1,169,0,0.1756
1,170,0,0.1758
1,171,0,0.186
1,172,0,0.2022
1,173,0,0.2165
1,174,0,0.2146
1,175,0,0.2028
1,176,0,0.1967
1,177,0.003,0.1952
1,178,0.04,0.1971
1,179,0.098,0.194
1,180,0.148,0.1892
1,181,0.165,0.1875
1,182,0.134,0.1933
1,183,0.068,0.2182
1,184,0.011,0.2437
1,185,0,0.2681
1,186,0,0.2867
1,187,0,0.3046
1,188,0,0.3129
1,189,0,0.3089
1,190,0,0.3089
1,191,0,0.3162
1,192,0,0.3133
1,193,0,0.314
1,194,0,0.3326
1,195,0,0.3492
1,196,0,0.3597
1,197,0,0.3848
1,198,0,0.3969
1,199,0,0.4077
1,200,0,0.4175
1,201,0.002,0.4197
1,202,0.022,0.4192
1,203,0.048,0.4136
1,204,0.066,0.4149
1,205,0.069,0.4116
1,206,0.049,0.3876
1,207,0.023,0.3517
1,208,0.003,0.3173
1,209,0,0.2871
1,210,0,0.2625
1,211,0,0.232
1,212,0,0.2142
1,213,0,0.2067
1,214,0,0.2013
1,215,0,0.1918
1,216,0,0.1782
1,217,0,0.1633
1,218,0,0.1472
1,219,0,0.1307
1,220,0,0.1205
1,221,0,0.1152
1,222,0,0.1095
1,223,0,0.1038
1,224,0,0.0987
1,225,0.002,0.0967
1,226,0.034,0.0913
1,227,0.084,0.0833
1,228,0.135,0.0753
1,229,0.149,0.0679
1,230,0.121,0.0665
1,231,0.067,0.0703
1,232,0.013,0.0806
1,233,0,0.0925
1,234,0,0.1023
1,235,0,0.1121
1,236,0,0.1273
1,237,0,0.15
1,238,0,0.1699
1,239,0,0.1878
1,240,0,0.2018
1,241,0,0.2154
1,242,0,0.228
1,243,0,0.2282
1,244,0,0.2301
1,245,0,0.229
1,246,0,0.223
1,247,0,0.2235
1,248,0,0.228
1,249,0.003,0.2313
1,250,0.023,0.2302
1,251,0.063,0.2136
1,252,0.112,0.184
1,253,0.138,0.1435
1,254,0.108,0.1173
1,255,0.061,0.096
1,256,0.014,0.088
1,257,0,0.0795
1,258,0,0.0706
1,259,0,0.063
1,260,0,0.0548
1,261,0,0.0493
1,262,0,0.0467
1,263,0,0.0433
1,264,0,0.0389
1,265,0,0.0375
1,266,0,0.0371
1,267,0,0.0381
1,268,0,0.0396
1,269,0,0.0411
1,270,0,0.041
1,271,0,0.0416
1,272,0,0.0459
1,273,0.007,0.0539
1,274,0.065,0.0604
1,275,0.141,0.0627
1,276,0.19,0.0639
1,277,0.196,0.0642
1,278,0.162,0.0644
1,279,0.094,0.074
1,280,0.021,0.0961
1,281,0,0.1201
1,282,0,0.136
1,283,0,0.1516
1,284,0,0.1684
1,285,0,0.1832
1,286,0,0.1932
1,287,0,0.2059
1,288,0,0.221
1,289,0,0.2395
1,290,0,0.2566
1,291,0,0.2677
1,292,0,0.2783
1,293,0,0.2974
1,294,0,0.3024
1,295,0,0.2993
1,296,0,0.3094
1,297,0.021,0.3142
1,298,0.102,0.3121
1,299,0.192,0.3007
1,300,0.244,0.2979
1,301,0.244,0.2904
1,302,0.208,0.2833
1,303,0.135,0.2547
1,304,0.041,0.2271
1,305,0,0.2113
1,306,0,0.2026
1,307,0,0.1987
1,308,0,0.1956
1,309,0,0.1923
1,310,0,0.1961
1,311,0,0.198
1,312,0,0.1995
1,313,0,0.1992
1,314,0,0.2026
1,315,0,0.2089
1,316,0,0.2206
1,317,0,0.2286
1,318,0,0.2294
1,319,0,0.2252
1,320,0,0.2234
1,321,0.006,0.223
1,322,0.042,0.2319
1,323,0.087,0.239
1,324,0.123,0.2604
1,325,0.133,0.3104
1,326,0.114,0.3754
1,327,0.063,0.4148
1,328,0.012,0.4226
1,329,0,0.4074
1,330,0,0.3709
1,331,0,0.3514
1,332,0,0.3501
1,333,0,0.3572
1,334,0,0.37
1,335,0,0.3821
1,336,0,0.3768
1,337,0,0.3796
1,338,0,0.3762
1,339,0,0.383
1,340,0,0.3651
1,341,0,0.3599
1,342,0,0.3558
1,343,0,0.3549
1,344,0,0.3582
1,345,0.004,0.3349
1,346,0.056,0.3094
1,347,0.127,0.2773
1,348,0.18,0.2579
1,349,0.196,0.2538
1,350,0.163,0.2567
1,351,0.098,0.2602
1,352,0.023,0.2708
1,353,0,0.2741
1,354,0,0.2637
1,355,0,0.2393
1,356,0,0.214
1,357,0,0.1943
1,358,0,0.1826
1,359,0,0.1739
1,360,0,0.1616
1,361,0,0.1482
1,362,0,0.143
1,363,0,0.1408
1,364,0,0.1379
1,365,0,0.1384
1,366,0,0.1345
1,367,0,0.1292
1,368,0,0.1218
1,369,0.009,0.1165
1,370,0.092,0.1062
1,371,0.177,0.0915
1,372,0.223,0.0773
1,373,0.23,0.0697
1,374,0.192,0.0683
1,375,0.115,0.075
1,376,0.026,0.0904
1,377,0,0.106
1,378,0,0.1139
1,379,0,0.1158
1,380,0,0.1157
1,381,0,0.1162
1,382,0,0.1145
1,383,0,0.1117
1,384,0,0.1112
1,385,0,0.1106
1,386,0,0.1101
1,387,0,0.1107
1,388,0,0.1144
1,389,0,0.121
1,390,0,0.1278
1,391,0,0.1345
1,392,0,0.1386
1,393,0.008,0.139
1,394,0.08,0.1309
1,395,0.154,0.1159
1,396,0.201,0.1049
1,397,0.213,0.0983
1,398,0.18,0.0979
1,399,0.109,0.1066
1,400,0.028,0.1214
1,401,0,0.131
1,402,0,0.139
1,403,0,0.1456
1,404,0,0.151
1,405,0,0.1559
1,406,0,0.1591
1,407,0,0.1656
1,408,0,0.1738
1,409,0,0.1788
1,410,0,0.1913
1,411,0,0.2016
1,412,0,0.2293
1,413,0,0.2387
1,414,0,0.2422
