Y,T,Weights
15,1,21
15,2,10
15,3,16
15,4,12
15,5,12
15,6,29
15,7,19
15,8,32
15,9,14
15,10,10
15,11,15
15,12,9
15,13,15
15,14,9
15,15,16
15,16,8
15,17,16
15,18,8
15,19,48
15,20,15
15,21,9
15,22,16
15,23,8
15,24,14
15,25,10
15,26,16
15,27,8
15,28,16
15,29,56
15,30,15
15,31,9
15,32,16
15,33,8
15,34,15
15,35,9
15,36,14
15,37,10
15,38,16
15,39,10
15,40,12
15,41,37
15,42,5
15,43,6
15,44,10
15,45,14
15,46,12
15,47,7
15,48,7
15,49,8
15,50,16
15,51,8
15,52,14
15,53,12
15,54,13
15,55,5
15,56,28
15,57,16
15,58,8
15,59,14
15,60,10
15,61,14
15,62,10
15,63,14
15,64,10
15,65,14
15,66,12
15,67,7
15,68,12
15,69,27
15,70,26
15,71,6
15,72,18
15,73,7
15,74,17
15,75,6
15,76,18
15,77,6
15,78,17
15,79,7
15,80,17
15,81,7
15,82,18
15,83,7
15,84,17
15,85,6
15,86,7
15,87,11
15,88,6
15,89,17
15,90,8
15,91,17
15,92,7
15,93,29
15,94,11
15,95,7
15,96,16
15,97,7
15,98,17
15,99,9
15,100,31
15,101,34
15,102,6
15,103,19
15,104,6
15,105,17
15,106,8
15,107,6
15,108,10
15,109,14
15,110,8
15,111,9
15,112,31
15,113,8
15,114,16
15,115,8
15,116,14
15,117,35
15,118,8
15,119,15
15,120,8
15,121,16
15,122,7
15,123,9
15,124,9
15,125,7
15,126,18
15,127,7
15,128,7
15,129,12
15,130,6
15,131,15
15,132,8
15,133,17
15,134,6
15,135,16
15,136,9
15,137,15
15,138,9
15,139,15
15,140,9
15,141,16
15,142,7
15,143,6
15,144,10
15,145,16
15,146,8
15,147,10
15,148,15
15,149,9
15,150,17
15,151,6
15,152,7
15,153,8
15,154,10
15,155,14
15,156,15
15,157,9
15,158,10
15,159,14
15,160,10
15,161,13
15,162,28
15,163,5
15,164,15
15,165,10
15,166,16
15,167,7
15,168,18
15,169,7
15,170,14
15,171,11
15,172,15
15,173,7
15,174,17
15,175,8
15,176,16
15,177,8
15,178,14
15,179,6
15,180,9
15,181,11
15,182,8
15,183,16
15,184,8
15,185,16
15,186,9
15,187,15
15,188,9
15,189,14
15,190,9
15,191,15
15,192,9
15,193,16
15,194,8
15,195,16
15,196,8
15,197,16
15,198,8
15,199,16
15,200,8
15,201,17
15,202,7
15,203,15
15,204,9
15,205,17
15,206,9
15,207,14
15,208,8
15,209,16
15,210,8
15,211,16
15,212,8
15,213,15
15,214,9
15,215,16
15,216,8
15,217,16
15,218,9
15,219,15
15,220,8
15,221,14
15,222,10
15,223,16
15,224,8
15,225,16
15,226,8
15,227,16
15,228,9
15,229,15
15,230,8
15,231,16
15,232,8
15,233,16
15,234,7
15,235,16
15,236,8
15,237,18
15,238,6
15,239,16
15,240,11
15,241,14
15,242,8
15,243,14
15,244,10
15,245,16
15,246,8
15,247,16
15,248,8
15,249,16
15,250,8
15,251,14
15,252,11
15,253,15
15,254,8
15,255,14
15,256,11
15,257,15
15,258,9
15,259,15
15,260,8
15,261,16
15,262,8
15,263,16
15,264,8
15,265,14
15,266,10
15,267,14
15,268,11
15,269,15
15,270,9
15,271,13
15,272,11
15,273,15
15,274,8
15,275,16
15,276,9
15,277,15
15,278,8
15,279,14
15,280,10
15,281,16
15,282,8
15,283,16
15,284,8
15,285,16
15,286,9
15,287,15
15,288,10
15,289,14
15,290,10
15,291,12
15,292,13
15,293,13
15,294,9
15,295,15
15,296,8
15,297,18
15,298,8
15,299,12
15,300,11
15,301,13
15,302,12
15,303,13
15,304,10
15,305,14
15,306,9
15,307,14
15,308,11
15,309,15
15,310,8
15,311,16
15,312,9
15,313,15
15,314,8
15,315,3
15,316,11
15,317,11
15,318,15
15,319,8
15,320,14
15,321,9
15,322,15
15,323,11
15,324,15
15,325,8
15,326,16
15,327,9
15,328,13
15,329,13
15,330,12
15,331,10
15,332,6
15,333,9
15,334,8
15,335,16
15,336,8
15,337,16
15,338,9
15,339,16
15,340,10
15,341,12
15,342,10
15,343,13
15,344,11
15,345,15
15,346,8
15,347,3
15,348,12
15,349,10
15,350,15
15,351,8
15,352,16
15,353,9
15,354,15
15,355,9
15,356,13
15,357,11
15,358,14
15,359,10
15,360,14
15,361,10
15,362,14
15,363,10
15,364,14
15,365,10
15,366,13
15,367,10
15,368,15
15,369,10
15,370,15
15,371,9
15,372,15
15,373,8
15,374,15
15,375,10
15,376,14
15,377,10
15,378,15
15,379,8
15,380,16
15,381,9
15,382,15
15,383,9
15,384,15
15,385,8
15,386,16
15,387,8
15,388,16
15,389,8
15,390,16
15,391,7
15,392,17
15,393,8
15,394,16
15,395,9
15,396,13
15,397,9
15,398,17
15,399,8
15,400,16
15,401,9
15,402,15
15,403,9
15,404,14
15,405,10
15,406,15
15,407,9
15,408,13
15,409,10
15,410,16
15,411,9
15,412,13
15,413,11
15,414,13
15,415,11
15,416,14
15,417,10
15,418,14
15,419,9
15,420,16
15,421,9
15,422,15
15,423,9
15,424,15
15,425,9
15,426,15
15,427,8
15,428,16
15,429,9
15,430,15
15,431,8
15,432,16
15,433,10
15,434,14
15,435,10
15,436,14
15,437,8
15,438,16
15,439,8
15,440,16
15,441,8
15,442,16
15,443,10
15,444,13
15,445,9
15,446,15
15,447,8
15,448,17
15,449,8
15,450,16
15,451,8
15,452,17
15,453,7
15,454,16
15,455,8
15,456,17
15,457,7
15,458,16
15,459,8
15,460,17
15,461,7
15,462,15
15,463,9
15,464,16
15,465,9
15,466,14
15,467,9
15,468,14
15,469,4
15,470,7
15,471,15
15,472,9
15,473,14
15,474,9
15,475,16
15,476,8
15,477,16
15,478,9
15,479,14
15,480,8
15,481,17
15,482,8
15,483,16
15,484,9
15,485,15
15,486,8
15,487,15
15,488,10
15,489,14
15,490,8
15,491,18
15,492,6
15,493,17
15,494,9
15,495,15
15,496,9
15,497,16
15,498,8
15,499,14
15,500,9
15,501,7
15,502,9
15,503,7
15,504,18
15,505,5
15,506,19
15,507,8
15,508,15
15,509,9
15,510,15
15,511,8
15,512,40
15,513,7
15,514,18
15,515,8
15,516,16
15,517,7
15,518,17
15,519,6
15,520,19
15,521,5
15,522,17
15,523,7
15,524,19
15,525,5
15,526,18
15,527,6
15,528,17
15,529,7
15,530,17
15,531,8
15,532,14
15,533,16
15,534,8
15,535,15
15,536,9
15,537,15
15,538,12
15,539,6
15,540,17
15,541,8
15,542,16
15,543,8
15,544,17
15,545,6
15,546,17
15,547,8
15,548,18
15,549,6
15,550,17
15,551,6
15,552,18
15,553,7
15,554,18
15,555,6
15,556,18
15,557,5
15,558,19
15,559,5
15,560,19
15,561,6
15,562,17
15,563,7
15,564,14
15,565,10
15,566,16
15,567,8
15,568,16
15,569,8
15,570,29
15,571,33
15,572,16
