"# Renewables.ninja PV (hourly data, 1980-2019) - ninja_pv_country_GB_merra-2_corrected - Version: 1.3 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",
"# Units: time in UTC, other columns are capacity factors [0-1].  Bias corrected using national generation data.",
time,national
1980-01-01 00:00:00,0
1980-01-01 01:00:00,0
1980-01-01 02:00:00,0
1980-01-01 03:00:00,0
1980-01-01 04:00:00,0
1980-01-01 05:00:00,0
1980-01-01 06:00:00,0
1980-01-01 07:00:00,0
1980-01-01 08:00:00,0.0010
1980-01-01 09:00:00,0.0350
1980-01-01 10:00:00,0.1020
1980-01-01 11:00:00,0.1570
1980-01-01 12:00:00,0.1790
1980-01-01 13:00:00,0.1560
1980-01-01 14:00:00,0.0920
1980-01-01 15:00:00,0.0160
1980-01-01 16:00:00,0
1980-01-01 17:00:00,0
1980-01-01 18:00:00,0
1980-01-01 19:00:00,0
1980-01-01 20:00:00,0
1980-01-01 21:00:00,0
1980-01-01 22:00:00,0
1980-01-01 23:00:00,0
1980-01-02 00:00:00,0
1980-01-02 01:00:00,0
1980-01-02 02:00:00,0
1980-01-02 03:00:00,0
1980-01-02 04:00:00,0
1980-01-02 05:00:00,0
1980-01-02 06:00:00,0
1980-01-02 07:00:00,0
1980-01-02 08:00:00,0.0090
1980-01-02 09:00:00,0.0880
1980-01-02 10:00:00,0.1910
1980-01-02 11:00:00,0.2550
1980-01-02 12:00:00,0.2580
1980-01-02 13:00:00,0.2020
1980-01-02 14:00:00,0.1100
1980-01-02 15:00:00,0.0200
1980-01-02 16:00:00,0
1980-01-02 17:00:00,0
1980-01-02 18:00:00,0
1980-01-02 19:00:00,0
1980-01-02 20:00:00,0
1980-01-02 21:00:00,0
1980-01-02 22:00:00,0
1980-01-02 23:00:00,0
1980-01-03 00:00:00,0
1980-01-03 01:00:00,0
1980-01-03 02:00:00,0
1980-01-03 03:00:00,0
1980-01-03 04:00:00,0
1980-01-03 05:00:00,0
1980-01-03 06:00:00,0
1980-01-03 07:00:00,0
1980-01-03 08:00:00,0
1980-01-03 09:00:00,0.0040
1980-01-03 10:00:00,0.0120
1980-01-03 11:00:00,0.0160
1980-01-03 12:00:00,0.0150
1980-01-03 13:00:00,0.0110
1980-01-03 14:00:00,0.0050
1980-01-03 15:00:00,0.0010
1980-01-03 16:00:00,0
1980-01-03 17:00:00,0
1980-01-03 18:00:00,0
1980-01-03 19:00:00,0
1980-01-03 20:00:00,0
1980-01-03 21:00:00,0
1980-01-03 22:00:00,0
1980-01-03 23:00:00,0
1980-01-04 00:00:00,0
1980-01-04 01:00:00,0
1980-01-04 02:00:00,0
1980-01-04 03:00:00,0
1980-01-04 04:00:00,0
1980-01-04 05:00:00,0
1980-01-04 06:00:00,0
1980-01-04 07:00:00,0
1980-01-04 08:00:00,0.0010
1980-01-04 09:00:00,0.0330
1980-01-04 10:00:00,0.0840
1980-01-04 11:00:00,0.1220
1980-01-04 12:00:00,0.1380
1980-01-04 13:00:00,0.1140
1980-01-04 14:00:00,0.0550
1980-01-04 15:00:00,0.0070
1980-01-04 16:00:00,0
1980-01-04 17:00:00,0
1980-01-04 18:00:00,0
1980-01-04 19:00:00,0
1980-01-04 20:00:00,0
1980-01-04 21:00:00,0
1980-01-04 22:00:00,0
1980-01-04 23:00:00,0
1980-01-05 00:00:00,0
1980-01-05 01:00:00,0
1980-01-05 02:00:00,0
1980-01-05 03:00:00,0
1980-01-05 04:00:00,0
1980-01-05 05:00:00,0
1980-01-05 06:00:00,0
1980-01-05 07:00:00,0
1980-01-05 08:00:00,0.0010
1980-01-05 09:00:00,0.0280
1980-01-05 10:00:00,0.0800
1980-01-05 11:00:00,0.1270
1980-01-05 12:00:00,0.1410
1980-01-05 13:00:00,0.1160
1980-01-05 14:00:00,0.0590
1980-01-05 15:00:00,0.0090
1980-01-05 16:00:00,0
1980-01-05 17:00:00,0
1980-01-05 18:00:00,0
1980-01-05 19:00:00,0
1980-01-05 20:00:00,0
1980-01-05 21:00:00,0
1980-01-05 22:00:00,0
1980-01-05 23:00:00,0
1980-01-06 00:00:00,0
1980-01-06 01:00:00,0
1980-01-06 02:00:00,0
1980-01-06 03:00:00,0
1980-01-06 04:00:00,0
1980-01-06 05:00:00,0
1980-01-06 06:00:00,0
1980-01-06 07:00:00,0
1980-01-06 08:00:00,0.0020
1980-01-06 09:00:00,0.0310
1980-01-06 10:00:00,0.0810
1980-01-06 11:00:00,0.1250
1980-01-06 12:00:00,0.1340
1980-01-06 13:00:00,0.1100
1980-01-06 14:00:00,0.0650
1980-01-06 15:00:00,0.0120
