Y,T,Weights
26,1,9
26,2,36
26,3,13
26,4,13
26,5,8
26,6,8
26,7,20
26,8,12
26,9,14
26,10,10
26,11,8
26,12,15
26,13,9
26,14,15
26,15,18
26,16,18
26,17,5
26,18,19
26,19,12
26,20,9
26,21,15
26,22,9
26,23,8
26,24,8
26,25,8
26,26,16
26,27,39
26,28,30
26,29,13
26,30,12
26,31,10
26,32,8
26,33,6
26,34,10
26,35,15
26,36,9
26,37,9
26,38,6
26,39,9
26,40,15
26,41,11
26,42,6
26,43,18
26,44,22
26,45,16
26,46,8
26,47,15
26,48,9
26,49,15
26,50,9
26,51,14
26,52,10
26,53,16
26,54,10
26,55,24
26,56,13
26,57,9
26,58,15
26,59,9
26,60,15
26,61,9
26,62,16
26,63,8
26,64,15
26,65,9
26,66,16
26,67,34
26,68,22
26,69,15
26,70,9
26,71,16
26,72,8
26,73,10
26,74,6
26,75,18
26,76,5
26,77,9
26,78,40
26,79,24
26,80,9
26,81,8
26,82,15
26,83,16
26,84,10
26,85,12
26,86,12
26,87,13
26,88,48
26,89,11
26,90,6
26,91,16
26,92,15
26,93,9
26,94,40
26,95,8
26,96,16
26,97,8
26,98,8
26,99,8
26,100,9
26,101,8
26,102,24
26,103,15
26,104,16
26,105,10
26,106,6
26,107,16
26,108,8
26,109,6
26,110,11
26,111,15
26,112,8
26,113,8
26,114,6
26,115,11
26,116,8
26,117,16
26,118,8
26,119,17
26,120,7
26,121,15
26,122,9
26,123,17
26,124,8
26,125,4
26,126,10
26,127,9
26,128,15
26,129,9
26,130,5
26,131,12
26,132,5
26,133,19
26,134,9
26,135,17
26,136,46
26,137,7
26,138,15
26,139,8
26,140,18
26,141,8
26,142,16
26,143,7
26,144,66
26,145,8
26,146,13
26,147,15
26,148,9
26,149,9
26,150,17
26,151,7
26,152,40
26,153,9
26,154,16
26,155,48
26,156,7
26,157,40
26,158,8
26,159,40
26,160,8
26,161,16
26,162,13
26,163,13
26,164,7
26,165,14
26,166,9
26,167,15
26,168,11
26,169,12
26,170,15
26,171,13
26,172,6
26,173,16
26,174,7
26,175,15
26,176,10
26,177,16
26,178,9
26,179,16
26,180,7
26,181,16
26,182,8
26,183,14
26,184,11
26,185,14
26,186,16
26,187,10
26,188,7
26,189,14
26,190,9
26,191,17
26,192,8
26,193,16
26,194,8
26,195,17
26,196,9
26,197,14
26,198,8
26,199,15
26,200,9
26,201,16
26,202,8
26,203,14
26,204,10
26,205,16
26,206,9
26,207,13
26,208,18
26,209,8
26,210,8
26,211,14
26,212,16
26,213,9
26,214,10
26,215,16
26,216,7
26,217,16
26,218,8
26,219,14
26,220,10
26,221,16
26,222,10
26,223,14
26,224,9
26,225,10
26,226,4
26,227,9
26,228,15
26,229,11
26,230,13
26,231,9
26,232,16
26,233,8
26,234,16
26,235,8
26,236,15
26,237,9
26,238,16
26,239,9
26,240,15
26,241,8
26,242,6
