Y,T,Weights
17,1,33
17,2,13
17,3,11
17,4,13
17,5,25
17,6,38
17,7,21
17,8,11
17,9,13
17,10,12
17,11,9
17,12,14
17,13,10
17,14,20
17,15,5
17,16,47
17,17,16
17,18,8
17,19,16
17,20,8
17,21,16
17,22,8
17,23,14
17,24,10
17,25,15
17,26,35
17,27,12
17,28,10
17,29,16
17,30,8
17,31,15
17,32,9
17,33,15
17,34,9
17,35,15
17,36,9
17,37,14
17,38,25
17,39,12
17,40,12
17,41,9
17,42,15
17,43,9
17,44,15
17,45,9
17,46,15
17,47,9
17,48,15
17,49,11
17,50,12
17,51,13
17,52,29
17,53,16
17,54,16
17,55,10
17,56,12
17,57,10
17,58,15
17,59,9
17,60,6
17,61,9
17,62,9
17,63,15
17,64,29
17,65,28
17,66,15
17,67,9
17,68,15
17,69,9
17,70,16
17,71,8
17,72,16
17,73,10
17,74,7
17,75,6
17,76,12
17,77,23
17,78,23
17,79,13
17,80,10
17,81,14
17,82,11
17,83,14
17,84,10
17,85,8
17,86,7
17,87,9
17,88,13
17,89,27
17,90,16
17,91,15
17,92,15
17,93,9
17,94,16
17,95,10
17,96,7
17,97,17
17,98,7
17,99,17
17,100,7
17,101,16
17,102,8
17,103,39
17,104,15
17,105,9
17,106,26
17,107,7
17,108,17
17,109,7
17,110,17
17,111,7
17,112,16
17,113,8
17,114,17
17,115,7
17,116,15
17,117,9
17,118,17
17,119,7
17,120,28
17,121,51
17,122,9
17,123,7
17,124,8
17,125,40
17,126,18
17,127,6
17,128,32
17,129,10
17,130,7
17,131,15
17,132,8
17,133,26
17,134,16
17,135,5
17,136,17
17,137,16
17,138,8
17,139,9
17,140,15
17,141,14
17,142,10
17,143,10
17,144,5
17,145,9
17,146,8
17,147,8
17,148,9
17,149,7
17,150,18
17,151,8
17,152,15
17,153,8
17,154,16
17,155,8
17,156,16
17,157,9
17,158,15
17,159,9
17,160,15
17,161,8
17,162,15
17,163,9
17,164,15
17,165,9
17,166,16
17,167,7
17,168,17
17,169,9
17,170,15
17,171,9
17,172,13
17,173,10
17,174,41
17,175,7
17,176,6
17,177,24
