Y,T,Weights
18,1,10
18,2,12
18,3,27
18,4,14
18,5,43
18,6,4
18,7,68
18,8,36
18,9,36
18,10,59
18,11,13
18,12,5
18,13,6
18,14,34
18,15,15
18,16,23
18,17,34
18,18,27
18,19,5
18,20,18
18,21,6
18,22,16
18,23,39
18,24,36
18,25,5
18,26,19
18,27,5
18,28,19
18,29,5
18,30,18
18,31,6
18,32,42
18,33,6
18,34,18
18,35,6
18,36,44
18,37,4
18,38,16
18,39,8
18,40,7
18,41,9
18,42,13
18,43,15
18,44,4
18,45,12
18,46,6
18,47,17
18,48,13
18,49,18
18,50,6
18,51,19
18,52,4
18,53,8
18,54,33
18,55,8
18,56,8
18,57,8
18,58,15
18,59,12
18,60,6
18,61,10
18,62,7
18,63,7
18,64,18
18,65,6
18,66,12
18,67,66
18,68,11
18,69,23
18,70,8
18,71,17
18,72,7
18,73,16
18,74,7
18,75,19
18,76,5
18,77,42
18,78,7
18,79,16
18,80,14
18,81,12
18,82,24
18,83,6
18,84,17
18,85,6
18,86,18
18,87,6
18,88,5
18,89,12
18,90,7
18,91,17
18,92,8
18,93,17
18,94,12
18,95,12
18,96,6
18,97,29
18,98,12
18,99,8
18,100,17
18,101,7
18,102,17
18,103,6
18,104,18
18,105,6
18,106,18
18,107,7
18,108,17
18,109,6
18,110,18
18,111,7
18,112,16
18,113,8
18,114,16
18,115,8
18,116,7
18,117,8
18,118,10
18,119,16
18,120,6
18,121,19
18,122,7
18,123,16
18,124,7
18,125,16
18,126,8
18,127,16
18,128,7
18,129,18
18,130,6
18,131,20
18,132,6
18,133,14
18,134,10
18,135,14
18,136,10
18,137,14
18,138,8
18,139,16
18,140,10
18,141,15
18,142,8
18,143,16
18,144,9
18,145,16
18,146,8
18,147,16
18,148,8
18,149,16
18,150,6
18,151,17
18,152,9
18,153,14
18,154,8
18,155,5
18,156,13
18,157,8
18,158,4
18,159,11
18,160,9
18,161,15
18,162,8
18,163,16
18,164,8
18,165,17
18,166,7
18,167,16
18,168,8
18,169,16
18,170,8
18,171,15
18,172,9
18,173,17
18,174,6
18,175,17
18,176,8
18,177,16
18,178,8
18,179,15
18,180,9
18,181,15
18,182,10
18,183,14
18,184,9
18,185,15
18,186,9
18,187,16
18,188,8
18,189,16
18,190,8
18,191,16
18,192,8
18,193,16
18,194,7
18,195,17
18,196,8
18,197,15
18,198,9
18,199,16
18,200,7
18,201,15
18,202,11
18,203,14
18,204,9
18,205,15
18,206,9
18,207,7
18,208,9
18,209,8
18,210,15
18,211,9
18,212,16
18,213,8
18,214,15
18,215,8
18,216,17
18,217,8
18,218,5
18,219,9
18,220,12
18,221,12
18,222,10
18,223,15
18,224,10
18,225,13
18,226,10
18,227,16
18,228,10
18,229,14
18,230,8
18,231,16
18,232,9
18,233,15
18,234,10
18,235,15
18,236,9
18,237,14
18,238,8
18,239,3
18,240,11
18,241,11
18,242,15
18,243,8
18,244,16
18,245,10
18,246,15
18,247,8
18,248,13
18,249,10
18,250,14
18,251,10
18,252,16
18,253,8
18,254,16
18,255,8
18,256,16
18,257,9
18,258,13
18,259,3
18,260,7
18,261,16
18,262,9
18,263,14
18,264,10
18,265,15
18,266,9
18,267,15
18,268,7
18,269,4
18,270,11
18,271,3
18,272,8
18,273,14
18,274,10
18,275,14
18,276,9
18,277,3
18,278,11
18,279,2
18,280,9
18,281,14
18,282,10
18,283,14
18,284,10
18,285,15
18,286,8
18,287,3
18,288,13
18,289,8
18,290,16
18,291,9
18,292,14
18,293,3
18,294,5
18,295,4
18,296,11
18,297,12
18,298,12
18,299,9
18,300,3
18,301,13
18,302,8
18,303,18
18,304,9
18,305,12
18,306,11
18,307,14
18,308,8
18,309,17
18,310,8
18,311,15
18,312,10
18,313,14
18,314,9
18,315,14
18,316,9
18,317,4
18,318,11
18,319,9
18,320,15
18,321,11
18,322,15
18,323,9
18,324,15
18,325,7
18,326,16
18,327,9
18,328,14
18,329,11
18,330,14
18,331,10
18,332,13
18,333,11
18,334,15
18,335,9
18,336,13
18,337,11
18,338,15
18,339,9
18,340,15
18,341,7
18,342,4
18,343,11
18,344,11
18,345,15
18,346,9
18,347,15
18,348,8
18,349,14
18,350,13
18,351,12
18,352,9
18,353,16
18,354,9
18,355,13
18,356,10
18,357,15
18,358,10
18,359,14
18,360,9
18,361,14
18,362,3
18,363,7
18,364,15
18,365,9
18,366,3
18,367,12
18,368,10
18,369,14
18,370,10
18,371,15
18,372,9
18,373,14
18,374,10
18,375,15
18,376,9
18,377,15
18,378,9
18,379,14
18,380,10
18,381,13
18,382,4
18,383,5
18,384,4
18,385,12
18,386,9
18,387,16
18,388,9
18,389,15
18,390,8
18,391,16
18,392,8
18,393,15
18,394,10
18,395,15
18,396,7
18,397,17
18,398,8
18,399,16
18,400,10
18,401,14
18,402,7
18,403,3
18,404,13
18,405,10
18,406,15
18,407,8
18,408,15
18,409,8
18,410,17
18,411,8
18,412,17
18,413,8
18,414,14
18,415,10
18,416,16
18,417,8
18,418,14
18,419,10
18,420,14
18,421,10
18,422,15
18,423,9
18,424,15
18,425,8
18,426,16
18,427,8
18,428,16
18,429,10
18,430,14
18,431,8
18,432,16
18,433,9
18,434,14
18,435,9
18,436,16
18,437,9
18,438,15
18,439,8
18,440,15
18,441,9
18,442,16
18,443,8
18,444,15
18,445,10
18,446,15
18,447,8
18,448,16
18,449,8
18,450,16
18,451,8
18,452,16
18,453,9
18,454,15
18,455,8
18,456,15
18,457,9
18,458,16
18,459,9
18,460,14
18,461,9
18,462,16
18,463,7
18,464,3
18,465,12
18,466,12
18,467,14
18,468,8
18,469,15
18,470,8
18,471,3
18,472,13
18,473,9
18,474,17
18,475,8
18,476,15
18,477,8
18,478,17
18,479,7
18,480,15
18,481,11
18,482,14
18,483,9
18,484,14
18,485,9
18,486,15
18,487,7
18,488,19
18,489,8
18,490,16
18,491,8
18,492,15
18,493,9
18,494,15
18,495,9
18,496,16
18,497,6
18,498,7
18,499,9
18,500,10
18,501,16
18,502,6
18,503,17
18,504,8
18,505,17
18,506,7
18,507,17
18,508,8
18,509,6
18,510,9
18,511,7
18,512,16
18,513,10
18,514,15
18,515,9
18,516,16
18,517,8
18,518,15
18,519,9
18,520,15
18,521,9
18,522,16
18,523,7
18,524,16
18,525,8
18,526,17
18,527,8
18,528,14
18,529,10
18,530,15
18,531,7
18,532,17
18,533,7
18,534,19
18,535,6
18,536,17
18,537,11
18,538,12
18,539,7
18,540,17
18,541,8
18,542,18
18,543,6
18,544,16
18,545,7
18,546,18
18,547,7
18,548,16
