Y,annual_sum,peak,n_hours,target_S*
1,5704.582254595,1.0,8760,5704.582254595
2,5704.582254595,1.0,8760,5704.582254595
3,5704.582254595,1.0,8760,5704.582254595
4,5704.582254595,1.0,8760,5704.582254595
5,5704.582254595,1.0,8760,5704.582254595
6,5704.582254595,1.0,8760,5704.582254595
7,5704.582254595,1.0,8760,5704.582254595
8,5704.582254595,1.0,8760,5704.582254595
9,5704.582254595,1.0,8760,5704.582254595
10,5704.582254595,1.0,8760,5704.582254595
11,5704.582254595,1.0,8760,5704.582254595
12,5704.582254595,1.0,8760,5704.582254595
13,5704.582254595,1.0,8760,5704.582254595
14,5704.582254595,1.0,8760,5704.582254595
15,5704.582254595,1.0,8760,5704.582254595
16,5704.582254595,1.0,8760,5704.582254595
17,5704.582254595,1.0,8760,5704.582254595
18,5704.582254595,1.0,8760,5704.582254595
19,5704.582254595,1.0,8760,5704.582254595
20,5704.582254595,1.0,8760,5704.582254595
21,5704.582254595,1.0,8760,5704.582254595
22,5704.582254595,1.0,8760,5704.582254595
23,5704.582254595,1.0,8760,5704.582254595
24,5704.582254595,1.0,8760,5704.582254595
25,5704.582254595,1.0,8760,5704.582254595
26,5704.582254595,1.0,8760,5704.582254595
27,5704.582254595,1.0,8760,5704.582254595
28,5704.582254595,1.0,8760,5704.582254595
29,5704.582254595,1.0,8760,5704.582254595
30,5704.582254595,1.0,8760,5704.582254595
31,5704.582254595,1.0,8760,5704.582254595
32,5704.582254595,1.0,8760,5704.582254595
33,5704.582254595,1.0,8760,5704.582254595
34,5704.582254595,1.0,8760,5704.582254595
35,5704.582254595,1.0,8760,5704.582254595
36,5704.582254595,1.0,8760,5704.582254595
37,5704.582254595,1.0,8760,5704.582254595
38,5704.582254595,1.0,8760,5704.582254595
39,5704.582254595,1.0,8760,5704.582254595
40,5704.582254595,1.0,8760,5704.582254595
