Time,Scenario,Generator,Dispatch
1,10,Nuclear,5.393944684150382
1,12,Nuclear,3.0316562392070523
1,14,Nuclear,3.033353639073882
1,17,Nuclear,4.80807584746801
1,18,Nuclear,4.810518536152983
1,21,Nuclear,3.0870929762481625
1,22,Nuclear,3.050948189722586
1,23,Nuclear,5.395735237615558
1,24,Nuclear,4.22309363356535
1,27,Nuclear,5.398239024974633
1,29,Nuclear,3.0557977254078486
1,2,Nuclear,3.080649971629861
1,6,Nuclear,4.27765801483114
1,7,Nuclear,3.0903739094021967
1,8,Nuclear,3.045621562091584
2,10,Nuclear,4.8386340265612375
2,12,Nuclear,3.041343584251099
2,14,Nuclear,3.017676671093738
2,17,Nuclear,5.396464941002736
2,18,Nuclear,5.395851993391875
2,21,Nuclear,3.117331412420623
2,22,Nuclear,3.1710401035770337
2,23,Nuclear,5.392423661894682
2,24,Nuclear,4.802421947612449
2,27,Nuclear,5.398188662265341
2,29,Nuclear,3.058926048333542
2,2,Nuclear,3.142567432557581
2,6,Nuclear,4.829642089616502
2,7,Nuclear,3.104224532731909
2,8,Nuclear,3.038846443915
3,10,Nuclear,4.28399563768134
3,12,Nuclear,3.015418921673323
3,14,Nuclear,3.0315290106631294
3,17,Nuclear,4.80101389763775
3,18,Nuclear,5.398575330069101
3,21,Nuclear,3.155175203431703
3,22,Nuclear,3.682479287985376
3,23,Nuclear,5.397207032033815
3,24,Nuclear,5.398207505087624
3,27,Nuclear,5.398318642352133
3,29,Nuclear,3.0862561128258035
3,2,Nuclear,3.0997475737335636
3,6,Nuclear,5.398216488118974
3,7,Nuclear,3.120893318274286
3,8,Nuclear,3.6197698054807748
4,10,Nuclear,3.7531636651156983
4,12,Nuclear,3.0205469257674267
4,14,Nuclear,3.0241286178823845
4,17,Nuclear,4.206245941229625
4,18,Nuclear,5.397595589218163
4,21,Nuclear,3.0822693581894316
4,22,Nuclear,4.231670510079165
4,23,Nuclear,4.815808159831029
4,24,Nuclear,4.806312105476517
4,27,Nuclear,5.395440333830806
4,29,Nuclear,3.087800612219592
4,2,Nuclear,3.051037601321685
4,6,Nuclear,5.392232333959479
4,7,Nuclear,3.06629982866548
4,8,Nuclear,4.207673779940052
5,10,Nuclear,3.3559786695400122
5,12,Nuclear,3.0267121466862106
5,14,Nuclear,3.0193557607557633
