Time,Scenario,Residual
1,10,7.459842144896811e-6
1,11,7.459841992130123e-6
1,12,7.459841954826629e-6
1,13,7.4598420187754755e-6
1,14,7.459841126156164e-6
1,15,7.459842541912565e-6
1,16,7.459842025880903e-6
1,17,7.459841405932366e-6
1,18,7.459841882884177e-6
1,19,7.4598512922463556e-6
1,1,7.459842163548558e-6
1,20,7.459842413126694e-6
1,21,4.9732281350856056e-6
1,22,7.459841992130123e-6
1,23,7.459841915746779e-6
1,24,7.459841959267521e-6
1,25,7.459839621581921e-6
1,26,7.459841834922543e-6
1,27,7.459841990353766e-6
1,28,7.459842661816651e-6
1,29,7.459842002788264e-6
1,2,7.4598421839766615e-6
1,30,7.459842033874509e-6
1,3,7.4598417523219496e-6
1,4,4.973228023175125e-6
1,5,7.459841731893846e-6
1,6,7.459841929069455e-6
1,7,7.459841945944845e-6
1,8,7.459842011670048e-6
1,9,4.973227953897208e-6
2,10,7.45984752992257e-6
2,11,7.459842022328189e-6
2,12,7.459841379287013e-6
2,13,7.4598420463090065e-6
2,14,7.45984144856493e-6
2,15,7.459843135215749e-6
2,16,7.459841921075849e-6
2,17,7.459840341006441e-6
2,18,7.459842071178002e-6
2,19,4.973238402428137e-6
2,1,7.45984203298633e-6
2,20,7.459841833146186e-6
2,21,7.459842175983056e-6
2,22,7.459842022328189e-6
2,23,7.4598420631843965e-6
2,24,7.459842036539044e-6
2,25,4.973228370452887e-6
2,26,4.973227979654382e-6
2,27,7.459842013446405e-6
2,28,7.45983995908972e-6
2,29,7.459842013446405e-6
2,2,7.459845355661798e-6
2,30,7.459842032098152e-6
2,3,7.459841485868424e-6
2,4,7.4598419850246955e-6
2,5,7.4598421244687074e-6
2,6,7.459842267465433e-6
2,7,7.459841823376223e-6
2,8,7.45984199923555e-6
2,9,7.459842813695161e-6
3,10,7.459846263380143e-6
3,11,7.459842128021421e-6
3,12,4.973227961890814e-6
3,13,7.459842001011907e-6
3,14,7.459841950385737e-6
3,15,4.973227873072972e-6
3,16,7.4598420463090065e-6
3,17,7.459841611101581e-6
3,18,4.9732280693604025e-6
3,19,7.459869719284029e-6
3,1,4.973228013405162e-6
3,20,7.459841270929246e-6
3,21,7.459843914148223e-6
3,22,7.459842004564621e-6
3,23,7.45984210048789e-6
3,24,7.4598419912419445e-6
3,25,7.459842047197185e-6
3,26,7.459841989465588e-6
3,27,7.4598419743665545e-6
3,28,7.459841318002702e-6
3,29,7.459842025880903e-6
3,2,7.459842278123574e-6
