Time,Scenario,Residual
1,10,2.1738669183868353e-5
1,11,2.1738669233606345e-5
1,12,2.173866919186196e-5
1,13,2.173866929844337e-5
1,14,2.1738669190085602e-5
1,15,2.173866917942746e-5
1,16,2.173866917498657e-5
1,17,2.1738669250481735e-5
1,18,2.173866925936352e-5
1,19,2.173866930910151e-5
1,1,2.1738669216730955e-5
1,20,2.1738654523595358e-5
1,21,1.4492446140046411e-5
1,22,2.1738669306436975e-5
1,23,2.1738669190085602e-5
1,24,2.173866918475653e-5
1,25,2.1738669139459432e-5
1,26,2.1738669199855565e-5
1,27,2.1738669182980175e-5
1,28,2.1738669182980175e-5
1,29,2.173866918564471e-5
1,2,2.173866916344025e-5
1,30,2.1738669198967386e-5
1,3,2.1738669229165453e-5
1,4,1.449244619156076e-5
1,5,2.1738669189197424e-5
1,6,2.173866928689705e-5
1,7,2.1738669248705378e-5
1,8,2.173866918031564e-5
1,9,1.4492446132940984e-5
2,10,2.173866942190017e-5
2,11,2.1738669176762926e-5
2,12,2.1738669182091996e-5
2,13,2.173866919097378e-5
2,14,2.173866920163192e-5
2,15,2.173866920163192e-5
2,16,2.1738669194526494e-5
2,17,2.1738620094247096e-5
2,18,2.173866918653289e-5
2,19,1.4492446160474515e-5
2,1,2.1738669215842776e-5
2,20,2.173867050103695e-5
2,21,2.1738669240711772e-5
2,22,2.173866776367106e-5
2,23,2.173866921939549e-5
2,24,2.1738669204296457e-5
2,25,1.4492446141822768e-5
2,26,1.4492446136493697e-5
2,27,2.173866917409839e-5
2,28,2.173866918031564e-5
2,29,2.1738669195414673e-5
2,2,2.173866920873735e-5
2,30,2.173866920873735e-5
2,3,2.1738669261139876e-5
2,4,2.173866921317824e-5
2,5,2.1738669178539283e-5
2,6,2.1738669187421067e-5
2,7,2.173866716237427e-5
2,8,2.173866923627088e-5
2,9,2.173866924248813e-5
3,10,2.173866922472456e-5
3,11,2.1738669296667013e-5
3,12,1.4492446133829162e-5
3,13,2.173866924159995e-5
3,14,2.1738669234494523e-5
3,15,1.4492446154257266e-5
3,16,2.1738669206072814e-5
3,17,2.1738671069471138e-5
3,18,1.4492446124947378e-5
3,19,2.1738669228277274e-5
3,1,1.4492446220870647e-5
3,20,2.17386619176807e-5
3,21,2.173866922028367e-5
3,22,2.173866829124904e-5
3,23,2.173866919186196e-5
3,24,2.1738669193638316e-5
3,25,2.173866918475653e-5
3,26,2.173866950627712e-5
3,27,2.1738669206960992e-5
3,28,2.1738669183868353e-5
3,29,2.173866920340828e-5
3,2,2.173866915811118e-5
3,30,2.1738667152604307e-5
3,3,2.173866938814939e-5
3,4,2.1738669277127087e-5
3,5,2.1738669166104785e-5
3,6,2.1738669228277274e-5
3,7,1.4492446238634216e-5
3,8,2.1738669610193995e-5
3,9,2.1738669178539283e-5
4,10,2.1738669299331548e-5
4,11,1.4492446165803585e-5
4,12,2.1738669246040843e-5
4,13,2.1738669188309245e-5
4,14,2.1738669250481735e-5
4,15,2.1738669374826713e-5
4,16,2.173866918475653e-5
4,17,2.173867295152121e-5
4,18,2.173866937660307e-5
4,19,2.173866923627088e-5
4,1,2.1738669369497643e-5
4,20,2.1738661723169628e-5
4,21,2.173863377752383e-5
4,22,1.4492446141822768e-5
4,23,1.4492446121394664e-5
4,24,2.173866921850731e-5
4,25,1.4492446126723735e-5
4,26,2.1738669452986414e-5
4,27,2.1738669214954598e-5
4,28,2.1738669205184635e-5
4,29,2.173866923094181e-5
4,2,2.1738669422788348e-5
4,30,2.1738666680981567e-5
4,3,2.1738669205184635e-5
4,4,2.173866921850731e-5
4,5,1.4492446120506486e-5
4,6,1.4492446234193324e-5
4,7,2.173866921406642e-5
4,8,2.173866934906954e-5
4,9,2.1738669299331548e-5
5,10,1.4492446114289237e-5
5,11,1.4492446125835556e-5
5,12,2.1738669496507157e-5
5,13,2.1738669200743743e-5
5,14,2.1738669456539128e-5
5,15,2.1738669268245303e-5
5,16,2.1738669216730955e-5
5,17,2.1738671435400647e-5
5,18,1.4492446147151838e-5
5,19,2.1738669232718166e-5
5,1,1.4492446180902618e-5
5,20,2.1738669701676372e-5
5,21,1.4492421955836221e-5
5,22,2.1738669205184635e-5
5,23,2.173866919186196e-5
5,24,2.1738669344628647e-5
5,25,2.1738669188309245e-5
5,26,1.4492446199554365e-5
5,27,1.4492446138270054e-5
5,28,2.1738669245152664e-5
5,29,2.1738669214954598e-5
5,2,1.4492446116065594e-5
5,30,1.4492446235081502e-5
5,3,1.449244621909429e-5
5,4,2.1738669195414673e-5
5,5,2.173866912968947e-5
5,6,2.1738669245152664e-5
5,7,2.1738669188309245e-5
5,8,2.1738669206072814e-5
5,9,2.1738669204296457e-5
6,10,2.173866923715906e-5
6,11,2.1738669190085602e-5
6,12,2.173866922472456e-5
6,13,2.173866919630285e-5
6,14,2.1738663350312493e-5
6,15,1.4492446147151838e-5
6,16,1.4492446135605519e-5
6,17,2.1738669373050357e-5
6,18,2.1738669190085602e-5
6,19,2.1738669210513706e-5
6,1,2.1738669341075934e-5
6,20,2.1738669079951478e-5
6,21,2.1738669909510122e-5
6,22,2.173866947874359e-5
6,23,2.1738669204296457e-5
6,24,2.173866933219415e-5
6,25,2.1738669109261366e-5
6,26,2.173866928600887e-5
6,27,2.1738669198967386e-5
6,28,2.1738669492066265e-5
6,29,2.1738669490289908e-5
6,2,1.4492446141822768e-5
6,30,2.173866919186196e-5
6,3,2.173866922028367e-5
6,4,2.1738669211401884e-5
6,5,2.1738669139459432e-5
6,6,2.1738669216730955e-5
6,7,2.1738669192750137e-5
6,8,2.1738669209625527e-5
6,9,2.1738669229165453e-5
7,10,2.173866925403445e-5
7,11,1.4492446149816374e-5
7,12,2.1738669215842776e-5
7,13,2.173866925936352e-5
7,14,2.1738669254922627e-5
7,15,2.1738669429005597e-5
7,16,2.1738669172322034e-5
7,17,2.1738663361858812e-5
7,18,2.1738669216730955e-5
7,19,2.1738669214954598e-5
7,1,1.4492446145375482e-5
7,20,1.4492446777758516e-5
7,21,1.4492446226199718e-5
7,22,1.4492444529778936e-5
7,23,1.4492446132940984e-5
7,24,2.1738669914839193e-5
7,25,2.1738669155446644e-5
7,26,1.4492446130276448e-5
7,27,2.1738669248705378e-5
7,28,2.1738669520487974e-5
7,29,1.4492446187119867e-5
7,2,2.173866915811118e-5
7,30,2.173866919186196e-5
7,3,2.173866916876932e-5
7,4,2.1738669228277274e-5
7,5,2.1738669161663893e-5
7,6,2.1738669187421067e-5
7,7,2.1738669187421067e-5
7,8,2.1738669339299577e-5
7,9,1.4492446132052805e-5
8,10,1.4492446158698158e-5
8,11,2.1738669206960992e-5
8,12,2.1738669262916233e-5
8,13,2.1738664620407633e-5
8,14,2.1738669166992963e-5
8,15,2.173866924159995e-5
8,16,2.1738669206960992e-5
8,17,2.1738669308213332e-5
8,18,2.173866921406642e-5
8,19,2.1738669183868353e-5
8,1,2.1738669266468946e-5
8,20,2.1738671886595284e-5
8,21,2.173866934285229e-5
8,22,2.1738669317983295e-5
8,23,2.1738669209625527e-5
8,24,2.173866943255831e-5
8,25,2.1738669217619133e-5
8,26,2.1738669188309245e-5
8,27,2.173866923715906e-5
8,28,2.173866936061586e-5
8,29,2.173866921317824e-5
8,2,2.1738669114590436e-5
8,30,2.173866915278211e-5
8,3,1.4492446119618307e-5
8,4,2.1738669273574374e-5
8,5,1.4492446156921801e-5
8,6,2.1738669271798017e-5
8,7,2.1738669204296457e-5
8,8,1.449244576434694e-5
8,9,2.1738669216730955e-5
9,10,2.173866938193214e-5
9,11,2.1738669209625527e-5
9,12,1.4492452420356017e-5
9,13,2.173866957910775e-5
9,14,2.1738669239823594e-5
9,15,1.4492446143599125e-5
9,16,2.173866920340828e-5
9,17,2.1738669198967386e-5
9,18,2.1738669266468946e-5
9,19,2.1738669195414673e-5
9,1,1.4492446179126262e-5
9,20,2.1738658509740105e-5
9,21,2.1738669210513706e-5
9,22,2.173866925225809e-5
9,23,2.173866919719103e-5
9,24,2.1738669408577493e-5
9,25,1.449244611784195e-5
9,26,1.4492446130276448e-5
9,27,2.1738669273574374e-5
9,28,1.4492446724467811e-5
9,29,2.1738669212290063e-5
9,2,2.173866916344025e-5
9,30,1.4492446131164627e-5
9,3,2.1738669211401884e-5
9,4,2.173866919630285e-5
9,5,2.1738669842008562e-5
9,6,2.1738669221171847e-5
9,7,1.4492446120506486e-5
9,8,2.1738669023996238e-5
9,9,2.173866930910151e-5
10,10,2.17386654819407e-5
10,11,2.173866916876932e-5
10,12,2.1738655558323217e-5
10,13,2.173866922028367e-5
10,14,2.1738669311766046e-5
10,15,2.1738669182980175e-5
10,16,2.1738669188309245e-5
10,17,2.1738669209625527e-5
10,18,2.1738669193638316e-5
10,19,2.1738669216730955e-5
10,1,2.173866923627088e-5
10,20,2.173865140342457e-5
10,21,2.1738669211401884e-5
10,22,1.449244614093459e-5
10,23,2.1738669229165453e-5
10,24,1.449244691631435e-5
10,25,2.1738669142123968e-5
10,26,2.1738669175874747e-5
10,27,2.1738669306436975e-5
10,28,2.1738664612414027e-5
10,29,2.1738669214954598e-5
10,2,1.4492446111624702e-5
10,30,2.1738669234494523e-5
10,3,1.4492446130276448e-5
10,4,1.4492446119618307e-5
10,5,2.1738669290449764e-5
10,6,2.1738669204296457e-5
10,7,2.173866919186196e-5
10,8,1.449244640472358e-5
10,9,2.1738669249593556e-5
11,10,2.1738665165749183e-5
11,11,2.1738669206960992e-5
11,12,1.4492446262615033e-5
11,13,2.17386692025201e-5
11,14,2.1738669255810805e-5
11,15,1.4492446180902618e-5
11,16,1.4492446123171021e-5
11,17,2.1738669210513706e-5
11,18,2.1738669317095116e-5
11,19,2.1738669231829988e-5
11,1,1.4492446181790797e-5
11,20,2.1738676999838447e-5
11,21,2.1738669273574374e-5
11,22,2.1738669223836382e-5
11,23,2.173866919630285e-5
11,24,2.1738668777970815e-5
11,25,2.17386691243604e-5
11,26,1.4492446122282843e-5
11,27,2.1738669288673407e-5
11,28,1.4492446259950498e-5
11,29,2.173866922028367e-5
11,2,2.1738669178539283e-5
11,30,2.173866932064783e-5
11,3,2.173866921317824e-5
11,4,1.4492446179126262e-5
11,5,2.1738664592874102e-5
11,6,1.4492446153369087e-5
11,7,2.1738669190085602e-5
11,8,2.1738668788628956e-5
11,9,2.1738669290449764e-5
12,10,2.1738670108462088e-5
12,11,1.4492446130276448e-5
12,12,2.1738669160775714e-5
12,13,2.1738669238047237e-5
12,14,2.1738669232718166e-5
12,15,2.1738669181203818e-5
12,16,2.1738669216730955e-5
12,17,2.173866919186196e-5
12,18,1.4492446126723735e-5
12,19,2.1738669283344336e-5
12,1,2.1738669458315485e-5
12,20,1.4492446041458606e-5
12,21,2.173866920873735e-5
12,22,1.4492446132940984e-5
12,23,2.1738669204296457e-5
12,24,2.173866860033513e-5
12,25,2.173866915811118e-5
12,26,2.1738669209625527e-5
12,27,1.449244615780998e-5
12,28,2.173866920784917e-5
12,29,2.1738669216730955e-5
12,2,2.1738669396142996e-5
12,30,1.4492446132052805e-5
12,3,1.4492446128500092e-5
12,4,2.1738669282456158e-5
12,5,2.173866927535073e-5
12,6,2.1738669193638316e-5
12,7,1.449244615159273e-5
12,8,1.4492445662206421e-5
12,9,2.173866921317824e-5
13,10,1.4492446135605519e-5
13,11,2.17386692025201e-5
13,12,2.173866920784917e-5
13,13,2.1738669172322034e-5
13,14,2.1738669262916233e-5
13,15,1.449244614626366e-5
13,16,1.449244611784195e-5
13,17,2.1738669239823594e-5
13,18,2.1738669214954598e-5
13,19,2.1738669250481735e-5
13,1,2.1738669261139876e-5
13,20,2.1738668998239064e-5
13,21,2.1738669204296457e-5
13,22,2.1738669177651104e-5
13,23,2.173866923715906e-5
13,24,1.4492446338110199e-5
13,25,2.1738669375714892e-5
13,26,2.1738669166992963e-5
13,27,2.1738669239823594e-5
13,28,2.1738669198967386e-5
13,29,2.173866927090984e-5
13,2,2.1738669172322034e-5
13,30,2.1738669181203818e-5
13,3,2.173866928600887e-5
13,4,2.173866922472456e-5
13,5,2.1738669194526494e-5
13,6,2.173866921317824e-5
13,7,2.1738667918214105e-5
13,8,2.1738669424564705e-5
13,9,1.4492446195113473e-5
14,10,2.1738669217619133e-5
14,11,2.17386692025201e-5
14,12,2.1738669189197424e-5
14,13,2.1738669228277274e-5
14,14,1.449244410611783e-5
14,15,2.1738669204296457e-5
14,16,2.1738669170545677e-5
14,17,2.173866917409839e-5
14,18,2.1738669178539283e-5
14,19,2.173866920784917e-5
14,1,1.4492446135605519e-5
14,20,2.1738668939619288e-5
14,21,1.4492446147151838e-5
14,22,2.1738669257587162e-5
14,23,1.4492446135605519e-5
14,24,2.1738669389037568e-5
14,25,2.1738669159887536e-5
14,26,2.1738669194526494e-5
14,27,1.4492446140046411e-5
14,28,2.1738669273574374e-5
14,29,2.1738669426341062e-5
14,2,2.1738669452986414e-5
14,30,1.4492446128500092e-5
14,3,2.1738669575555036e-5
14,4,2.173866917409839e-5
14,5,2.1738669190085602e-5
14,6,2.1738669229165453e-5
14,7,1.4492446152480909e-5
14,8,1.4492446178238083e-5
14,9,2.1738669266468946e-5
15,10,2.1738669266468946e-5
15,11,1.449244614626366e-5
15,12,2.1738669227389096e-5
15,13,2.1738669206960992e-5
15,14,2.1738666463377854e-5
15,15,1.4492446125835556e-5
15,16,1.4492446137381876e-5
15,17,1.4492446138270054e-5
15,18,2.1738669420123813e-5
15,19,1.449244618001444e-5
15,1,2.1738669250481735e-5
15,20,2.1738669019555346e-5
15,21,2.173866918475653e-5
15,22,2.173866921317824e-5
15,23,2.1738669211401884e-5
15,24,1.449244657347748e-5
15,25,2.173866919186196e-5
15,26,2.1738669222948204e-5
15,27,2.17386692025201e-5
15,28,2.1738669204296457e-5
15,29,2.17386666179209e-5
15,2,2.1738669206072814e-5
15,30,2.1738669229165453e-5
15,3,2.1738641794222247e-5
15,4,2.1738669200743743e-5
15,5,1.4492446127611913e-5
15,6,2.1738669295778834e-5
15,7,2.1738669204296457e-5
15,8,2.173866934818136e-5
15,9,1.4492446164915407e-5
16,10,2.1738669327753257e-5
16,11,2.1738669364168572e-5
16,12,2.1738669204296457e-5
16,13,2.1738669226500917e-5
16,14,1.449244634255109e-5
16,15,2.173866923094181e-5
16,16,2.1738669222060025e-5
16,17,2.173866920873735e-5
16,18,1.4492446109848345e-5
16,19,2.1738669189197424e-5
16,1,2.1738669143012146e-5
16,20,1.4492446047675855e-5
16,21,2.173866922561274e-5
16,22,2.173866924692902e-5
16,23,2.173866922028367e-5
16,24,2.1738667860482508e-5
16,25,2.1738669327753257e-5
16,26,2.173866915811118e-5
16,27,2.173866919186196e-5
16,28,2.1738669233606345e-5
16,29,2.1738669836679492e-5
16,2,2.1738669171433855e-5
16,30,2.1738669151005752e-5
16,3,2.1738659197190202e-5
16,4,1.449244611251288e-5
16,5,2.1738669232718166e-5
16,6,2.1738669210513706e-5
16,7,2.1738669182980175e-5
16,8,2.1738669513382547e-5
16,9,2.1738669212290063e-5
17,10,2.1738669199855565e-5
17,11,1.4492446148928195e-5
17,12,2.1738669239823594e-5
17,13,2.1738669199855565e-5
17,14,2.1738669216730955e-5
17,15,2.1738669222060025e-5
17,16,1.4492446126723735e-5
17,17,2.1738669272686195e-5
17,18,2.1738669204296457e-5
17,19,2.1738669210513706e-5
17,1,2.1738669211401884e-5
17,20,2.1738676094784637e-5
17,21,2.1738669277127087e-5
17,22,1.4492446166691764e-5
17,23,1.4492446259950498e-5
17,24,2.173866990506923e-5
17,25,2.173866924248813e-5
17,26,2.173866919186196e-5
17,27,1.4492446154257266e-5
17,28,2.173866921317824e-5
17,29,1.4492446154257266e-5
17,2,2.1738669198079208e-5
17,30,2.1738669193638316e-5
17,3,1.4492441207991646e-5
17,4,2.1738669182980175e-5
17,5,2.1738669300219726e-5
17,6,1.4492446177349905e-5
17,7,2.173866919719103e-5
17,8,2.173866921406642e-5
17,9,2.173866923005363e-5
18,10,2.1738669166992963e-5
18,11,2.1738669200743743e-5
18,12,2.1738669321536008e-5
18,13,2.17386692025201e-5
18,14,2.1738669250481735e-5
18,15,2.1738669182091996e-5
18,16,2.1738669187421067e-5
18,17,2.1738669198079208e-5
18,18,2.1738669200743743e-5
18,19,2.173866924692902e-5
18,1,1.4492446118730129e-5
18,20,2.1738634443657645e-5
18,21,2.1738669206072814e-5
18,22,2.173866918564471e-5
18,23,2.17386676180098e-5
18,24,2.1738667348891738e-5
18,25,2.173866915278211e-5
18,26,2.1738669215842776e-5
18,27,2.1738669344628647e-5
18,28,2.173866922028367e-5
18,29,2.1738669232718166e-5
18,2,2.1738669132354005e-5
18,30,2.1738669216730955e-5
18,3,2.1738501670753863e-5
18,4,1.4492446114289237e-5
18,5,1.4492446109848345e-5
18,6,2.173866922561274e-5
18,7,1.4492446254621427e-5
18,8,1.4492446154257266e-5
18,9,2.1738669221171847e-5
19,10,2.173866918475653e-5
19,11,2.173866921850731e-5
19,12,2.1738668021242802e-5
19,13,1.4492446104519274e-5
19,14,2.1738669390813925e-5
19,15,2.173866917942746e-5
19,16,2.1738669187421067e-5
19,17,2.1738669357063145e-5
19,18,2.1738669170545677e-5
19,19,2.1738666967863196e-5
19,1,2.1738669198967386e-5
19,20,2.1738669153670287e-5
19,21,1.4492446121394664e-5
19,22,2.173866921850731e-5
19,23,2.1738669704340907e-5
19,24,2.1738669257587162e-5
19,25,1.4492446104519274e-5
19,26,2.173866921317824e-5
19,27,2.1738669181203818e-5
19,28,2.1738669256698984e-5
19,29,2.1738669222060025e-5
19,2,2.173866919719103e-5
19,30,2.173866943877556e-5
19,3,2.173867214150249e-5
19,4,2.173866924159995e-5
19,5,2.1738668833037877e-5
19,6,2.1738669328641436e-5
19,7,2.173866711085992e-5
19,8,2.173866921317824e-5
19,9,2.173866925225809e-5
20,10,1.4492446153369087e-5
20,11,2.1738669215842776e-5
20,12,2.1738670037407815e-5
20,13,2.1738669209625527e-5
20,14,2.173866925225809e-5
20,15,2.1738669260251697e-5
20,16,2.1738669352622253e-5
20,17,2.1738669200743743e-5
20,18,2.173866925936352e-5
20,19,1.4492446626768185e-5
20,1,1.449244617468537e-5
20,20,2.1738668968040997e-5
20,21,2.1738669244264486e-5
20,22,2.1738669177651104e-5
20,23,2.1738669296667013e-5
20,24,1.4492446126723735e-5
20,25,2.173866918475653e-5
20,26,2.1738669200743743e-5
20,27,2.1738669233606345e-5
20,28,2.1738672128179815e-5
20,29,2.173866921317824e-5
20,2,1.449244613471734e-5
20,30,2.173866923627088e-5
20,3,2.173867247989847e-5
20,4,1.4492446102742917e-5
20,5,2.173866915278211e-5
20,6,2.173866923005363e-5
20,7,1.4492447768077454e-5
20,8,1.4492446119618307e-5
