Time,Scenario,Residual
1,10,1.2095382251331444e-5
1,11,1.209538274249411e-5
1,12,1.2095382592391957e-5
1,13,1.2095382640353591e-5
1,14,1.2095382827759238e-5
1,15,1.2095380639287612e-5
1,16,1.2095382731835969e-5
1,17,1.2095385661936575e-5
1,18,1.2095379116061622e-5
1,19,1.20953835125448e-5
1,1,1.2095382699861545e-5
1,20,1.2095384634314144e-5
1,21,8.063589026718887e-6
1,22,1.209538264657084e-5
1,23,1.2095382780685782e-5
1,24,1.209538268653887e-5
1,25,1.209538418134315e-5
1,26,1.2095382314392111e-5
1,27,1.2095382597721027e-5
1,28,1.2095383715937658e-5
1,29,1.2095382599497384e-5
1,2,1.2095382814436562e-5
1,30,1.2095382675880728e-5
1,3,1.2095383353560862e-5
1,4,8.063588500917263e-6
1,5,1.2095362590613945e-5
1,6,1.2095384430033107e-5
1,7,1.2095382695420653e-5
1,8,1.2095382722954184e-5
1,9,8.063587015882945e-6
2,10,1.2095389751998198e-5
2,11,1.2095382627030915e-5
2,12,1.2095382177612635e-5
2,13,1.2095382571963853e-5
2,14,1.2095382881049943e-5
2,15,1.209537966229135e-5
2,16,1.2095382780685782e-5
2,17,1.2095383583599073e-5
2,18,1.2095383991272968e-5
2,19,8.063589422846462e-6
2,1,1.2095382675880728e-5
2,20,1.2095383418397887e-5
2,21,1.2095375793386154e-5
2,22,1.209538265811716e-5
2,23,1.2095382965426893e-5
2,24,1.2095382596832849e-5
2,25,8.063588718520975e-6
2,26,8.063588439632952e-6
2,27,1.2095382661669873e-5
2,28,1.209538298407864e-5
2,29,1.2095382620813666e-5
2,2,1.2095384822607969e-5
2,30,1.2095382822430167e-5
2,3,1.209538088176032e-5
2,4,1.2095382561305712e-5
2,5,1.2095362240671648e-5
2,6,1.2095382835752844e-5
2,7,1.2095382714960579e-5
2,8,1.2095382746935002e-5
2,9,1.2095381211274514e-5
3,10,1.2095385554466986e-5
3,11,1.2095382802002064e-5
3,12,8.063588380124997e-6
3,13,1.2095382480481476e-5
3,14,1.2095382672328014e-5
3,15,8.063587796591776e-6
3,16,1.2095382464494264e-5
3,17,1.2095382484922368e-5
3,18,8.063587963569319e-6
3,19,1.2095385578447804e-5
3,1,8.06358836147325e-6
3,20,1.2095383888244271e-5
3,21,1.2095383088883693e-5
3,22,1.2095382420085343e-5
3,23,1.2095382876609051e-5
3,24,1.2095382548871214e-5
3,25,1.2095384464672065e-5
3,26,1.209538276469857e-5
3,27,1.2095382613708239e-5
3,28,1.2095382737165039e-5
3,29,1.2095382387222742e-5
3,2,1.2095383635113421e-5
3,30,1.2095382636800878e-5
3,3,1.2095389513078203e-5
3,4,1.2095382516008613e-5
3,5,1.2095352745156163e-5
3,6,1.209538162960655e-5
3,7,8.063588411211242e-6
3,8,1.209538271940147e-5
3,9,1.2095378703058657e-5
4,10,1.2095388120414441e-5
4,11,8.063588451179271e-6
4,12,1.209538269719701e-5
4,13,1.209538261282006e-5
4,14,1.2095378438381488e-5
4,15,1.209538604740601e-5
4,16,1.2095382714960579e-5
4,17,1.2095382470711513e-5
4,18,1.209539016677752e-5
4,19,1.2095382068366689e-5
4,1,1.209538268653887e-5
4,20,1.209538556956602e-5
4,21,1.2095385144128556e-5
4,22,8.063588253115483e-6
4,23,8.06358842364574e-6
4,24,1.2095382368570995e-5
4,25,8.063588042617198e-6
4,26,1.2095382896148976e-5
4,27,1.2095382432519841e-5
4,28,1.2095385242716361e-5
4,29,1.209538269186794e-5
4,2,1.2095371848097614e-5
4,30,1.2095382190047133e-5
4,3,1.2095383172372465e-5
4,4,1.2095382582621994e-5
4,5,8.063621722342873e-6
4,6,8.063587738860178e-6
4,7,1.2095382682986155e-5
4,8,1.2095382767363105e-5
4,9,1.209537816126982e-5
5,10,8.063588851747738e-6
5,11,8.06358854710254e-6
5,12,1.2095383552512828e-5
5,13,1.2095382780685782e-5
5,14,1.2095380732546346e-5
5,15,1.209538091018203e-5
5,16,1.2095382613708239e-5
5,17,1.2095384516186414e-5
5,18,8.063585528184092e-6
5,19,1.2095382937005184e-5
5,1,8.063588460949234e-6
5,20,1.2095384165355938e-5
5,21,8.063588842865954e-6
5,22,1.2095382785126674e-5
5,23,1.2095382583510172e-5
5,24,1.2095382773580354e-5
5,25,1.2095382114551967e-5
5,26,8.063588442297487e-6
5,27,8.063588510687225e-6
5,28,1.2095384274601884e-5
5,29,1.209538245028341e-5
5,2,8.06358885085956e-6
5,30,8.063588494700014e-6
5,3,8.063587697115793e-6
5,4,1.2095382615484596e-5
5,5,1.209543482616482e-5
5,6,1.2095383789656466e-5
5,7,1.2095383159049788e-5
5,8,1.2095382623478201e-5
5,9,1.2095381862309296e-5
6,10,1.209538447888292e-5
6,11,1.2095382800225707e-5
6,12,1.2095382619925488e-5
6,13,1.2095382771803997e-5
6,14,1.209538155055867e-5
6,15,8.0635871082535e-6
6,16,8.063588518680831e-6
6,17,1.2095377424969911e-5
6,18,1.2095380942156453e-5
6,19,1.2095385003796366e-5
6,1,1.2095382430743484e-5
6,20,1.2095386248134332e-5
6,21,1.209537965074503e-5
6,22,1.2095382891708084e-5
6,23,1.2095382755816786e-5
6,24,1.2095382492915974e-5
6,25,1.2095378866483486e-5
6,26,1.2095382775356711e-5
6,27,1.2095382324162074e-5
6,28,1.2095382130539178e-5
6,29,1.2095382436960733e-5
6,2,8.063587926265825e-6
6,30,1.2095382578181102e-5
6,3,1.2095380075294315e-5
6,4,1.2095382662558052e-5
6,5,1.2095361483055456e-5
6,6,1.209538078050798e-5
6,7,1.2095382554200285e-5
6,8,1.209538286595091e-5
6,9,1.209537779089942e-5
7,10,1.2095390328425992e-5
7,11,8.063588338380612e-6
7,12,1.209538268032162e-5
7,13,1.2095382461829729e-5
7,14,1.209538622681805e-5
7,15,1.2095382550647571e-5
7,16,1.2095382414756273e-5
7,17,1.209540999003167e-5
7,18,1.2095378061793838e-5
7,19,1.2095384562371692e-5
7,1,8.06358858618239e-6
7,20,8.063589350015832e-6
7,21,8.06358855331979e-6
7,22,8.063588414763956e-6
7,23,8.063588546214362e-6
7,24,1.2095382583510172e-5
7,25,1.209538287749723e-5
7,26,8.063588430751167e-6
7,27,1.209538273627686e-5
7,28,1.2095379325671729e-5
7,29,8.063588500917263e-6
7,2,1.209537976887276e-5
7,30,1.2095382611931882e-5
7,3,1.2095381849874798e-5
7,4,1.209538261282006e-5
7,5,1.209544562819076e-5
7,6,1.209537897128854e-5
7,7,1.2095382973420499e-5
7,8,1.2095382594168314e-5
7,9,8.063582439987727e-6
8,10,8.063589962858941e-6
8,11,1.209538255153575e-5
8,12,1.2095382594168314e-5
8,13,1.2095381061172361e-5
8,14,1.2095383958410366e-5
8,15,1.2095384166244116e-5
8,16,1.20953826359127e-5
8,17,1.2095384883004101e-5
8,18,1.2095397059930235e-5
8,19,1.209538577739977e-5
8,1,1.2095382587062886e-5
8,20,1.2095382714960579e-5
8,21,1.2095379245735671e-5
8,22,1.2095382627030915e-5
8,23,1.2095382441401625e-5
8,24,1.2095382693644297e-5
8,25,1.209538496205198e-5
8,26,1.2095382366794638e-5
8,27,1.2095382441401625e-5
8,28,1.2095380103716025e-5
8,29,1.209538268653887e-5
8,2,1.2095377376120098e-5
8,30,1.2095382926347042e-5
8,3,8.063589093332268e-6
8,4,1.2095382768251284e-5
8,5,8.063559129745101e-6
8,6,1.2095364385622531e-5
8,7,1.2095382496468687e-5
8,8,8.063588340156969e-6
8,9,1.2095381148213846e-5
9,10,1.209538108959407e-5
9,11,1.2095382567522961e-5
9,12,8.063595289264924e-6
9,13,1.2095382553312106e-5
9,14,1.2095384615662397e-5
9,15,8.063588312623438e-6
9,16,1.2095382473376048e-5
9,17,1.2095384761323658e-5
9,18,1.2095377534215856e-5
9,19,1.2095383046251129e-5
9,1,8.063588568418822e-6
9,20,1.209538387225706e-5
9,21,1.209538192714632e-5
9,22,1.2095382572852031e-5
9,23,1.2095382606602811e-5
9,24,1.2095382846410985e-5
9,25,8.063589374884828e-6
9,26,8.06358858707057e-6
9,27,1.2095382507126828e-5
9,28,8.063586814266444e-6
9,29,1.2095382757593143e-5
9,2,1.2095381631382907e-5
9,30,8.063588317952508e-6
9,3,1.2095384766652728e-5
9,4,1.2095381504373393e-5
9,5,1.2095401944023365e-5
9,6,1.2095379134713369e-5
9,7,8.063588543549827e-6
9,8,1.2095382924570686e-5
9,9,1.2095380503396314e-5
10,10,1.209538230995122e-5
10,11,1.2095382639465413e-5
10,12,1.2095371478615391e-5
10,13,1.2095382710519686e-5
10,14,1.2095381419108264e-5
10,15,1.2095379151588759e-5
10,16,1.2095382578181102e-5
10,17,1.2095381505261571e-5
10,18,1.2095378020049452e-5
10,19,1.2095388656874206e-5
10,1,1.2095382647459019e-5
10,20,1.2095381610066624e-5
10,21,1.2095379733345624e-5
10,22,8.063588556872503e-6
10,23,1.2095382611931882e-5
10,24,8.063587973339281e-6
10,25,1.2095383883803379e-5
10,26,1.2095382651011732e-5
10,27,1.2095382714960579e-5
10,28,1.2095376916931855e-5
10,29,1.2095382748711359e-5
10,2,8.063588405882172e-6
10,30,1.2095382475152405e-5
10,3,8.063589700846308e-6
10,4,8.063588476936445e-6
10,5,1.209538018542844e-5
10,6,1.2095387628363596e-5
10,7,1.2095382307286684e-5
10,8,8.063588781581643e-6
10,9,1.2095387973865002e-5
11,10,1.2095384598787007e-5
11,11,1.2095382485810546e-5
11,12,8.063588224693774e-6
11,13,1.2095382645682662e-5
11,14,1.2095383985055719e-5
11,15,8.063588599505067e-6
11,16,8.063588282425371e-6
11,17,1.2095389817723401e-5
11,18,1.2095381936916283e-5
11,19,1.2095387608823671e-5
11,1,8.063588506246333e-6
11,20,1.2095385709010031e-5
11,21,1.2095387617705455e-5
11,22,1.2095382563970247e-5
11,23,1.2095382488475082e-5
11,24,1.2095383493893053e-5
11,25,1.2095388044031097e-5
11,26,8.063588389006782e-6
11,27,1.2095382561305712e-5
11,28,8.06358795113482e-6
11,29,1.2095382596832849e-5
11,2,1.2095382248666908e-5
11,30,1.2095382550647571e-5
11,3,1.2095388274957486e-5
11,4,8.063588470719196e-6
11,5,1.2095396247246981e-5
11,6,8.063588015083667e-6
11,7,1.2095382768251284e-5
11,8,1.2095382093235685e-5
11,9,1.209537065882671e-5
12,10,1.209538763724538e-5
12,11,8.063588528450794e-6
12,12,1.2095382730059612e-5
12,13,1.2095382825982881e-5
12,14,1.2095401809020245e-5
12,15,1.2095376368037591e-5
12,16,1.2095382555088463e-5
12,17,1.2095383960186723e-5
12,18,8.063586736106743e-6
12,19,1.2095385050869822e-5
12,1,1.2095386325405855e-5
12,20,8.063589081785949e-6
12,21,1.209538053359438e-5
12,22,8.06358836147325e-6
12,23,1.2095382533772181e-5
12,24,1.2095382007082378e-5
12,25,1.209538318036607e-5
12,26,1.2095382453836123e-5
12,27,8.06358840677035e-6
12,28,1.2095382681209799e-5
12,29,1.2095382833976487e-5
12,2,1.2095379537058193e-5
12,30,8.063588454731985e-6
12,3,8.063588869511307e-6
12,4,1.2095382269095012e-5
12,5,1.2095395356404026e-5
12,6,1.209537771185154e-5
12,7,8.063588301077118e-6
12,8,8.06358841831667e-6
12,9,1.2095381793031379e-5
13,10,8.063587118911641e-6
13,11,1.2095383168819751e-5
13,12,1.2095382807331134e-5
13,13,1.2095382690091583e-5
13,14,1.2095384272825527e-5
13,15,8.063587997320099e-6
13,16,8.063588353479645e-6
13,17,1.2095381205945444e-5
13,18,1.2095376726861673e-5
13,19,1.2095390022004437e-5
13,1,1.209538282687106e-5
13,20,1.2095381995536059e-5
13,21,1.2095378526311151e-5
13,22,1.2095382627919093e-5
13,23,1.2095382757593143e-5
13,24,8.063588465390126e-6
13,25,1.2095386180632772e-5
13,26,1.2095382749599537e-5
13,27,1.2095382846410985e-5
13,28,1.2095383462806808e-5
13,29,1.2095382698085189e-5
13,2,1.2095382734500504e-5
13,30,1.2095382754040429e-5
13,3,1.2095383908672375e-5
13,4,1.209538255153575e-5
13,5,1.2095418480129183e-5
13,6,1.2095380791166122e-5
13,7,1.209538269186794e-5
13,8,1.2095382746935002e-5
13,9,8.063587287665541e-6
14,10,1.2095388061794665e-5
14,11,1.2095382704302438e-5
14,12,1.2095382692756118e-5
14,13,1.2095382825094703e-5
14,14,8.063590800411191e-6
14,15,1.2095378602694495e-5
14,16,1.2095382864174553e-5
14,17,1.2095390198751943e-5
14,18,1.2095380756527163e-5
14,19,1.2095383462806808e-5
14,1,8.063588407658528e-6
14,20,1.2095386190402735e-5
14,21,8.063588074591621e-6
14,22,1.2095382554200285e-5
14,23,8.063588489370943e-6
14,24,1.2095382665222587e-5
14,25,1.2095385832466832e-5
14,26,1.2095382730059612e-5
14,27,8.063588535556221e-6
14,28,1.20953741822305e-5
14,29,1.2095382650123554e-5
14,2,1.2095382666998944e-5
14,30,8.063588379236819e-6
14,3,1.2095382175836278e-5
14,4,1.2095382835752844e-5
14,5,1.2095362043496038e-5
14,6,1.2095384724020164e-5
14,7,8.063588468054661e-6
14,8,8.063588429862989e-6
14,9,1.2095375680587495e-5
15,10,1.2095385581112339e-5
15,11,8.063588480489159e-6
15,12,1.2095382543542144e-5
15,13,1.2095382363241924e-5
15,14,1.2095384919419416e-5
15,15,8.063588057716231e-6
15,16,8.063588605722316e-6
15,17,8.063589518769732e-6
15,18,1.2095370354181512e-5
15,19,8.063589593376719e-6
15,1,1.209538258528653e-5
15,20,1.2095384548160837e-5
15,21,1.2095380384380405e-5
15,22,1.2095382386334563e-5
15,23,1.2095382485810546e-5
15,24,8.063588645690345e-6
15,25,1.209538468671667e-5
15,26,1.209538270874333e-5
15,27,1.209538268653887e-5
15,28,1.2095382082577544e-5
15,29,1.2095381801913163e-5
15,2,1.209538230373397e-5
15,30,1.2095382608379168e-5
15,3,1.2095401258349625e-5
15,4,1.209538261903731e-5
15,5,8.063574624017633e-6
15,6,1.2095381806354055e-5
15,7,1.2095382796672993e-5
15,8,1.2095382617260952e-5
15,9,8.06358645633054e-6
16,10,1.2095382513344077e-5
16,11,1.2095383612020782e-5
16,12,1.2095382420085343e-5
16,13,1.2095382654564446e-5
16,14,8.06358883398417e-6
16,15,1.2095379329224443e-5
16,16,1.2095382823318346e-5
16,17,1.2095378895793374e-5
16,18,8.063588510687225e-6
16,19,1.2095387745603148e-5
16,1,1.20953825453185e-5
16,20,8.063589245210778e-6
16,21,1.2095382988519532e-5
16,22,1.2095382563970247e-5
16,23,1.209538273094779e-5
16,24,1.209538223090334e-5
16,25,1.2095383925547765e-5
16,26,1.2095382516008613e-5
16,27,1.209538269719701e-5
16,28,1.2095380447441073e-5
16,29,1.2095382269095012e-5
16,2,1.2095382341925642e-5
16,30,1.2095383077337374e-5
16,3,1.2095367934783496e-5
16,4,8.063588564866109e-6
16,5,1.2095423856273158e-5
16,6,1.2095382129651e-5
16,7,1.2095383000065851e-5
16,8,1.209538277624489e-5
16,9,1.2095359053887478e-5
17,10,1.2095384952282018e-5
17,11,8.063588478712802e-6
17,12,1.2095382550647571e-5
17,13,1.209538252844311e-5
17,14,1.2095384537502696e-5
17,15,1.209537724555787e-5
17,16,8.063588349926931e-6
17,17,1.2095388185251466e-5
17,18,1.2095381237919867e-5
17,19,1.2095380378163156e-5
17,1,1.209538245028341e-5
17,20,1.2095382069254867e-5
17,21,1.2095385402588477e-5
17,22,8.063588370355035e-6
17,23,8.063588470719196e-6
17,24,1.2095382908583474e-5
17,25,1.2095382889931727e-5
17,26,1.2095382345478356e-5
17,27,8.063588461837412e-6
17,28,1.209538142710187e-5
17,29,8.063588510687225e-6
17,2,1.2095383535637438e-5
17,30,1.209538251778497e-5
17,3,8.063582813022663e-6
17,4,1.2095382400545418e-5
17,5,1.2095372312614927e-5
17,6,8.06358580973665e-6
17,7,1.2095382679433442e-5
17,8,1.209538296720325e-5
17,9,1.209537782997927e-5
18,10,1.209539143687266e-5
18,11,1.2095382579957459e-5
18,12,1.2095382608379168e-5
18,13,1.2095382357912854e-5
18,14,1.2095407029732996e-5
18,15,1.2095384162691403e-5
18,16,1.20953825453185e-5
18,17,1.209538577118252e-5
18,18,1.209537916757597e-5
18,19,1.2095383987720254e-5
18,1,8.06358860305778e-6
18,20,1.2095381399568339e-5
18,21,1.2095386438204514e-5
18,22,1.2095382587951065e-5
18,23,1.2095315289784025e-5
18,24,1.2095382592391957e-5
18,25,1.2095385790722446e-5
18,26,1.2095382874832694e-5
18,27,1.2095382970755963e-5
18,28,1.2095382864174553e-5
18,29,1.2095382739829574e-5
18,2,1.2095381785925952e-5
18,30,1.2095382583510172e-5
18,3,1.2095351030971813e-5
18,4,8.063588450291093e-6
18,5,8.063580305694984e-6
18,6,1.2095382773580354e-5
18,7,8.063588351703288e-6
18,8,8.063588308182545e-6
18,9,1.2095380282239887e-5
19,10,1.2095383092436407e-5
19,11,1.2095382620813666e-5
19,12,1.209538250623865e-5
19,13,8.063588397000387e-6
19,14,1.2095384771981799e-5
19,15,1.2095379969601083e-5
19,16,1.2095382613708239e-5
19,17,1.2095379728904732e-5
19,18,1.2095379506860127e-5
19,19,1.2095389111621557e-5
19,1,1.2095382958321466e-5
19,20,1.2095382257548692e-5
19,21,8.063588354367823e-6
19,22,1.2095382563970247e-5
19,23,1.2095382881938121e-5
19,24,1.2095382709631508e-5
19,25,8.063589124418513e-6
19,26,1.2095382619925488e-5
19,27,1.2095382767363105e-5
19,28,1.2095381141108419e-5
19,29,1.2095382874832694e-5
19,2,1.2095382620813666e-5
19,30,1.2095382796672993e-5
19,3,1.2095381672239114e-5
19,4,1.2095383188359676e-5
19,5,1.2095188894889475e-5
19,6,1.2095378291832048e-5
19,7,1.2095390203192835e-5
19,8,1.2095382542653965e-5
19,9,1.2095375211629289e-5
20,10,8.063589859830245e-6
20,11,1.2095382722954184e-5
20,12,1.2095382645682662e-5
20,13,1.209538261903731e-5
20,14,1.209538382163089e-5
20,15,1.2095372689202577e-5
20,16,1.209538235436014e-5
20,17,1.2095384622767824e-5
20,18,1.2095380836463221e-5
20,19,8.063588595064175e-6
20,1,8.063588380124997e-6
20,20,1.209537981416986e-5
20,21,1.2095382859733661e-5
20,22,1.2095382746935002e-5
20,23,1.2095382631471807e-5
20,24,8.063588461837412e-6
20,25,1.2095390472310896e-5
20,26,1.2095382757593143e-5
20,27,1.2095382800225707e-5
20,28,1.2095385727661778e-5
20,29,1.2095382613708239e-5
20,2,8.063589496565271e-6
20,30,1.2095382730059612e-5
20,3,1.2095380942156453e-5
20,4,8.063588345486039e-6
20,5,1.2095440314219275e-5
20,6,1.2095385493182675e-5
20,7,8.06358838456589e-6
20,8,8.063588487594586e-6
20,9,1.2095382183829884e-5
21,10,1.2095390450106436e-5
21,11,1.2095382588839243e-5
21,12,1.2095368670361761e-5
21,13,8.063588397888566e-6
21,14,1.2095394177791263e-5
21,15,1.209538327628934e-5
21,16,1.2095382583510172e-5
21,17,1.2095380250265464e-5
21,18,1.209537884783174e-5
21,19,1.2095384361643369e-5
21,1,1.2095382880161765e-5
21,20,1.2095386566990385e-5
21,21,1.2095386032306976e-5
21,22,1.2095382606602811e-5
21,23,1.2095382642129948e-5
21,24,1.2095382539101251e-5
21,25,8.06358783389527e-6
21,26,8.063588202489314e-6
21,27,8.063588475160088e-6
21,28,1.209536379054299e-5
21,29,8.063588358808715e-6
21,2,1.2095379494425629e-5
21,30,1.209537906099456e-5
21,3,8.063588600393246e-6
21,4,1.209538228152951e-5
21,5,8.063597765506358e-6
21,6,1.2095384457566638e-5
21,7,1.2095382103893826e-5
21,8,1.2095382636800878e-5
21,9,1.2095383373988966e-5
22,10,1.2095385264032643e-5
22,11,8.063588551543432e-6
22,12,1.2095392900590696e-5
22,13,1.20953826687753e-5
22,14,8.063589258533455e-6
22,15,8.063588835760527e-6
22,16,1.209538320878778e-5
22,17,8.063588476936445e-6
22,18,1.2095378771448395e-5
22,19,1.2095385153898519e-5
22,1,8.063588432527524e-6
22,20,1.2095384150256905e-5
22,21,1.2095382566634783e-5
22,22,8.063588365025964e-6
22,23,1.209538276469857e-5
22,24,1.2095382656340803e-5
22,25,1.209538776159036e-5
22,26,1.2095382807331134e-5
22,27,1.2095382727395076e-5
22,28,1.2095375488740956e-5
22,29,1.2095382682986155e-5
22,2,1.2095377803333918e-5
22,30,1.209538306845559e-5
22,3,1.2095373000953202e-5
22,4,8.063588222029239e-6
22,5,1.209541823499194e-5
22,6,1.2095382817101097e-5
22,7,1.2095382611043703e-5
22,8,1.2095382863286375e-5
22,9,1.2095376980880701e-5
23,10,1.2095386044741474e-5
23,11,1.209538235436014e-5
23,12,1.2095442611770313e-5
23,13,1.2095382550647571e-5
23,14,1.2095382960097822e-5
23,15,1.2095377517340467e-5
23,16,1.2095382638577235e-5
23,17,1.2095382631471807e-5
23,18,1.2095386098920358e-5
23,19,8.063589451268172e-6
23,1,1.2095382505350472e-5
23,20,1.2095383884691557e-5
23,21,1.2095383937094084e-5
23,22,1.2095382726506898e-5
23,23,1.209538271940147e-5
23,24,8.063588346374218e-6
23,25,8.063588757600826e-6
23,26,8.063588388118603e-6
23,27,8.063588492923657e-6
23,28,1.2095386574095812e-5
23,29,1.209538259594467e-5
23,2,8.063588043505376e-6
23,30,1.2095384425592215e-5
23,3,1.2095381053178755e-5
23,4,1.2095382576404745e-5
23,5,8.063579968187184e-6
23,6,1.2095379389620575e-5
23,7,1.20953824218617e-5
23,8,1.20953826687753e-5
23,9,1.2095374229303957e-5
24,10,1.209538509172603e-5
24,11,1.209538270252608e-5
24,12,8.063588389006782e-6
24,13,1.2095382574628388e-5
24,14,1.20953835907045e-5
24,15,1.2095381794807736e-5
24,16,8.063588298412583e-6
24,17,1.209539500557355e-5
24,18,1.2095385982568985e-5
24,19,1.209538680591038e-5
24,1,1.2095382659005338e-5
24,20,1.2095379862131495e-5
24,21,1.2095381883625578e-5
24,22,1.209538228152951e-5
24,23,1.2095382712296043e-5
24,24,1.2095382656340803e-5
24,25,1.2095383442378704e-5
24,26,1.2095382566634783e-5
24,27,1.2095382274424082e-5
24,28,1.20953809155111e-5
24,29,1.2095382924570686e-5
24,2,1.2095372438736263e-5
24,30,8.063589021389816e-6
24,3,1.2095381368482094e-5
24,4,1.2095381799248628e-5
24,5,1.2095357517338812e-5
24,6,1.2095373796761066e-5
24,7,1.2095382816212918e-5
24,8,1.2095382603050098e-5
24,9,8.06358795735207e-6
25,10,1.2095385699240069e-5
25,11,1.2095383238985846e-5
25,12,1.2095382592391957e-5
25,13,8.063588247786413e-6
25,14,1.2095393855382497e-5
25,15,1.2095387235788735e-5
25,16,1.2095382727395076e-5
25,17,1.2095381442200903e-5
25,18,8.063584377993038e-6
25,19,1.20953856033168e-5
25,1,1.2095382566634783e-5
25,20,1.2095379509524662e-5
25,21,1.2095381979548847e-5
25,22,1.2095382462717907e-5
25,23,1.2095382821541989e-5
25,24,8.063588545326184e-6
25,25,1.2095383946864047e-5
25,26,1.209538248403419e-5
25,27,8.063588313511616e-6
25,28,1.2095381602961197e-5
25,29,1.2095382665222587e-5
25,2,8.06358608596014e-6
25,30,1.2095382825094703e-5
25,3,1.2095386025201549e-5
25,4,1.2095382586174708e-5
25,5,1.2095394847477792e-5
25,6,1.2095381351606704e-5
25,7,1.2095382707855151e-5
25,8,1.209538249469233e-5
25,9,1.2095380394150368e-5
26,10,1.2095382756704964e-5
26,11,1.2095382474264227e-5
26,12,8.063588459172877e-6
26,13,1.209538173618796e-5
26,14,1.209538427637824e-5
26,15,1.2095378518317546e-5
26,16,1.209538257906928e-5
26,17,1.2095385204524689e-5
26,18,1.2095384777310869e-5
26,19,8.06358892990744e-6
26,1,1.2095382998289494e-5
26,20,1.2095383175925178e-5
26,21,1.2095398071565455e-5
26,22,1.209538263502452e-5
26,23,1.209538242719077e-5
26,24,1.2095382558641177e-5
26,25,1.2095383329580045e-5
26,26,1.209538257906928e-5
26,27,1.2095382787791209e-5
26,28,1.20953799154222e-5
26,29,1.209538270252608e-5
26,2,1.2095381746846101e-5
26,30,1.2095382475152405e-5
26,3,1.209538196711435e-5
26,4,1.2095382570187496e-5
26,5,8.063604174601835e-6
26,6,1.2095380872878536e-5
26,7,1.2095382386334563e-5
26,8,1.20953830515802e-5
26,9,1.2095383164378859e-5
27,10,1.2095384027688283e-5
27,11,1.2095382830423773e-5
27,12,1.2095382244226016e-5
27,13,1.2095382748711359e-5
27,14,1.2095382891708084e-5
27,15,1.2095382839305557e-5
27,16,1.209538258528653e-5
27,17,1.2095381276999717e-5
27,18,1.2095383351784506e-5
27,19,1.2095384678723065e-5
27,1,8.063588534668042e-6
27,20,1.2095383678634164e-5
27,21,1.2095386815680342e-5
27,22,1.2095382140309141e-5
27,23,1.2095382656340803e-5
27,24,1.2095382277088618e-5
27,25,1.2095382542653965e-5
27,26,8.06358835614418e-6
27,27,8.063588373907749e-6
27,28,1.2095382688315226e-5
27,29,1.209538262969545e-5
27,2,1.2095377387666417e-5
27,30,8.063588567530644e-6
27,3,1.2095380290233493e-5
27,4,8.063588345486039e-6
27,5,1.209531849077905e-5
27,6,8.063588081697048e-6
27,7,1.2095382722066006e-5
27,8,1.2095382684762512e-5
27,9,1.2095386096255822e-5
28,10,1.2095385564236949e-5
28,11,1.2095382531995824e-5
28,12,8.063588431639346e-6
28,13,1.2095382448507053e-5
28,14,1.2095383221222278e-5
28,15,8.063588458284698e-6
28,16,1.209538292190615e-5
28,17,1.209538726065773e-5
28,18,1.2095383524979297e-5
28,19,8.063588365025964e-6
28,1,1.2095382842858271e-5
28,20,1.2095383993049325e-5
28,21,1.2095381995536059e-5
28,22,1.2095382119881037e-5
28,23,1.2095382841081914e-5
28,24,1.2095382817101097e-5
28,25,1.2095385446997398e-5
28,26,1.2095382660781695e-5
28,27,1.2095382782462138e-5
28,28,1.2095388196797785e-5
28,29,1.2095382664334409e-5
28,2,8.063586575346449e-6
28,30,1.2095382600385562e-5
28,3,1.2095380970578162e-5
28,4,1.2095382577292924e-5
28,5,8.063580359873868e-6
28,6,1.2095380003351863e-5
28,7,1.2095382530219467e-5
28,8,1.2095382681209799e-5
28,9,1.2095382959209644e-5
