Time,Scenario,Residual
1,10,2.1335918151343947e-5
1,11,2.1335918956921773e-5
1,12,2.1335918337861415e-5
1,13,2.1335919617726518e-5
1,14,2.1335918471976356e-5
1,15,2.1335917827158823e-5
1,16,2.1335918573228696e-5
1,17,2.133591921715805e-5
1,18,2.1335920008525022e-5
1,19,2.1335919917042645e-5
1,1,2.1335919016429727e-5
1,20,2.1335865511673546e-5
1,21,1.4223945675517768e-5
1,22,2.1335919488940647e-5
1,23,2.1335917302245377e-5
1,24,2.1335918451548253e-5
1,25,2.1335918432008327e-5
1,26,2.1335919165643702e-5
1,27,2.1335918714449065e-5
1,28,2.133591796482648e-5
1,29,2.133591860520312e-5
1,2,2.1335918023446254e-5
1,30,2.1335918669151965e-5
1,3,2.133591861053219e-5
1,4,1.4223946344316118e-5
1,5,2.133591999786688e-5
1,6,2.133591939745827e-5
1,7,2.133591906616772e-5
1,8,2.1335918690468247e-5
1,9,1.4223945667524163e-5
2,10,2.133592071196233e-5
2,11,2.1335918663822895e-5
2,12,2.1335918743758953e-5
2,13,2.1335918440001933e-5
2,14,2.1335919129228387e-5
2,15,2.133591832365056e-5
2,16,2.133591932462764e-5
2,17,2.1335492564666936e-5
2,18,2.1335919212717158e-5
2,19,1.422394587091702e-5
2,1,2.1335918917841923e-5
2,20,2.133592557296282e-5
2,21,2.1335918777509733e-5
2,22,2.1335911316811007e-5
2,23,2.133591925712608e-5
2,24,2.1335918882314786e-5
2,25,1.4223946362079687e-5
2,26,1.4223945835389884e-5
2,27,2.1335918776621554e-5
2,28,2.1335919084819466e-5
2,29,2.1335918782838803e-5
2,2,2.1335919041298723e-5
2,30,2.133591905995047e-5
2,3,2.133592007247387e-5
2,4,2.1335918583886837e-5
2,5,2.1335916578379965e-5
2,6,2.1335918281017996e-5
2,7,2.1335841017489088e-5
2,8,2.133591888053843e-5
2,9,2.1335919955234317e-5
3,10,2.133591871089635e-5
3,11,2.1335919866416475e-5
3,12,1.4223945836278062e-5
3,13,2.133591935749024e-5
3,14,2.133591912834021e-5
3,15,1.4223945851377096e-5
3,16,2.1335918679810106e-5
3,17,2.1335928750865207e-5
3,18,1.4223946373626006e-5
3,19,2.1335917251619207e-5
3,1,1.4223946639191354e-5
3,20,2.1335895548091344e-5
3,21,2.1335919170972772e-5
3,22,2.1335914178521875e-5
3,23,2.1335918900078354e-5
3,24,2.1335918591880443e-5
3,25,2.1335923850784866e-5
3,26,2.133592108322091e-5
3,27,2.1335919204723552e-5
3,28,2.1335918479969962e-5
3,29,2.1335918663822895e-5
3,2,2.1335918832576795e-5
3,30,2.1335915897147117e-5
3,3,2.133592295550102e-5
3,4,2.1335919427656336e-5
3,5,2.133591758735065e-5
3,6,2.133591949782243e-5
3,7,1.4223946727121017e-5
3,8,2.1335921978504757e-5
3,9,2.1335918754417094e-5
4,10,2.133591947117708e-5
4,11,1.4223946052993597e-5
4,12,2.133591899777798e-5
4,13,2.1335918831688616e-5
4,14,2.1335918662046538e-5
4,15,2.1335921090326337e-5
4,16,2.133591982911298e-5
4,17,2.1335938149569245e-5
4,18,2.1335922851584144e-5
4,19,2.1335918793496944e-5
4,1,2.1335920136422715e-5
4,20,2.133589403285896e-5
4,21,2.1335861133842116e-5
4,22,1.4223946023683709e-5
4,23,1.4223945766111967e-5
4,24,2.1335918944487275e-5
4,25,1.4223947273350745e-5
4,26,2.133592109920812e-5
4,27,2.133591884678765e-5
4,28,2.1335918597209513e-5
4,29,2.1335919064391362e-5
4,2,2.1335922777865335e-5
4,30,2.1335899115904056e-5
4,3,2.133591952091507e-5
4,4,2.1335918787279695e-5
4,5,1.4223946542379906e-5
4,6,1.422394677064176e-5
4,7,2.133591903685783e-5
4,8,2.133592054942568e-5
4,9,2.1335921196907748e-5
5,10,1.4223945880686983e-5
5,11,1.4223946080527128e-5
5,12,2.133592125108663e-5
5,13,2.1335918707343637e-5
5,14,2.1335920679987908e-5
5,15,2.1335918884091143e-5
5,16,2.1335918763298878e-5
5,17,2.1335931824850718e-5
5,18,1.422394618000311e-5
5,19,2.133591887432118e-5
5,1,1.4223946030789136e-5
5,20,2.133592244391025e-5
5,21,1.4223901853682719e-5
5,22,2.1335918865439396e-5
5,23,2.1335918843234936e-5
5,24,2.1335920023624055e-5
5,25,2.1335919123899316e-5
5,26,1.4223946193325787e-5
5,27,1.422394582117903e-5
5,28,2.1335918406251153e-5
5,29,2.133591891428921e-5
5,2,1.422394588246334e-5
5,30,1.4223946322111658e-5
5,3,1.4223946738667337e-5
5,4,2.1335918757969807e-5
5,5,2.1335906321695575e-5
5,6,2.1335918878762072e-5
5,7,2.133591870112639e-5
5,8,2.13359188077078e-5
5,9,2.1335918174436586e-5
6,10,2.1335919411669124e-5
6,11,2.1335918759746164e-5
6,12,2.133591886899211e-5
6,13,2.1335918759746164e-5
6,14,2.1335916888354234e-5
6,15,1.4223946070757165e-5
6,16,1.4223945810520888e-5
6,17,2.1335919736742426e-5
6,18,2.1335918926723707e-5
6,19,2.133591858211048e-5
6,1,2.1335920125764574e-5
6,20,2.133591560848913e-5
6,21,2.1335923639398402e-5
6,22,2.1335920884268944e-5
6,23,2.1335918415132937e-5
6,24,2.133591969410986e-5
6,25,2.1335916118303544e-5
6,26,2.1335919315745855e-5
6,27,2.133591881836594e-5
6,28,2.1335918731324455e-5
6,29,2.1335921772447364e-5
6,2,1.4223946303459911e-5
6,30,2.1335918754417094e-5
6,3,2.1335918319209668e-5
6,4,2.1335918804155085e-5
6,5,2.1335918215292793e-5
6,6,2.133591875619345e-5
6,7,2.1335918691356426e-5
6,8,2.1335918849452185e-5
6,9,2.1335918940934562e-5
7,10,2.1335918111375918e-5
7,11,1.4223946052993597e-5
7,12,2.133591886810393e-5
7,13,2.1335919021758798e-5
7,14,2.1335919663911795e-5
7,15,2.133592038067178e-5
7,16,2.1335918674481036e-5
7,17,2.133586317665248e-5
7,18,2.1335918355624983e-5
7,19,2.1335919193177233e-5
7,1,1.42239459499649e-5
7,20,1.4223949124314572e-5
7,21,1.4223946276814559e-5
7,22,1.4223934847734654e-5
7,23,1.4223945795421855e-5
7,24,2.1335925328713756e-5
7,25,2.1335918249043573e-5
7,26,1.4223945833613527e-5
7,27,2.1335919142551063e-5
7,28,2.133591995345796e-5
7,29,1.4223946263491882e-5
7,2,2.1335918004794507e-5
7,30,2.133591870556728e-5
7,3,2.1335919443643547e-5
7,4,2.133591877306884e-5
7,5,2.133591839736937e-5
7,6,2.1335918982678947e-5
7,7,2.133591866115836e-5
7,8,2.133591987529826e-5
7,9,1.4223946257274633e-5
8,10,1.4223946040559099e-5
8,11,2.133591849240446e-5
8,12,2.1335919406340054e-5
8,13,2.133590880770697e-5
8,14,2.1335918113152275e-5
8,15,2.133591887520936e-5
8,16,2.1335918597209513e-5
8,17,2.1335919653253654e-5
8,18,2.1335923447551863e-5
8,19,2.1335918355624983e-5
8,1,2.1335919168308237e-5
8,20,2.133593587672067e-5
8,21,2.133592036912546e-5
8,22,2.1335919924148072e-5
8,23,2.1335919061726827e-5
8,24,2.133592004849305e-5
8,25,2.1335918999554337e-5
8,26,2.1335918907183782e-5
8,27,2.1335918878762072e-5
8,28,2.1335919546672244e-5
8,29,2.1335918907183782e-5
8,2,2.1335920775911177e-5
8,30,2.1335918788167874e-5
8,3,1.4223945732361187e-5
