Time,Scenario,Residual
1,10,1.1022567628415914e-5
1,11,1.1022568121354936e-5
1,12,1.1022567639074055e-5
1,13,1.1022563068507907e-5
1,14,1.1022567706575614e-5
1,15,1.1022567639962233e-5
1,16,1.102256764706766e-5
1,17,1.1022568391361176e-5
1,18,1.102256771989829e-5
1,19,1.1022560977735907e-5
1,1,1.1022568020990775e-5
1,20,1.1022567864671373e-5
1,21,7.34837847105041e-6
1,22,1.1022583391806506e-5
1,23,1.1022567650620374e-5
1,24,1.1022567655061266e-5
1,25,1.1022567321994359e-5
1,26,1.1022567620422308e-5
1,27,1.1022567735885502e-5
1,28,1.1022567549368034e-5
1,29,1.1022567662166693e-5
1,2,1.1022567623086843e-5
1,30,1.102256766927212e-5
1,3,1.102256784957234e-5
1,4,7.348379253535597e-6
1,5,1.1022568104479546e-5
1,6,1.102256755203257e-5
1,7,1.1022568275897981e-5
1,8,1.1022567676377548e-5
1,9,7.348378435523273e-6
2,10,1.1022568084939621e-5
2,11,1.1022567725227361e-5
2,12,1.1022567667495764e-5
2,13,1.1022567935725647e-5
2,14,1.1022567749208179e-5
2,15,1.1022567847795983e-5
2,16,1.1022567594665134e-5
2,17,1.1022569225360712e-5
2,18,1.1022567687923868e-5
2,19,7.348377917715254e-6
2,1,1.1022567814045203e-5
2,20,1.102256858054318e-5
2,21,1.1022568047636128e-5
2,22,1.1022565170826226e-5
2,23,1.1022567612428702e-5
2,24,1.1022567742102751e-5
2,25,7.348378402660671e-6
2,26,7.3483784897021565e-6
2,27,1.1022567677265727e-5
2,28,1.102256790552758e-5
2,29,1.102256769236476e-5
2,2,1.1022567544038964e-5
2,30,1.1022567892204904e-5
2,3,1.1022567592888777e-5
2,4,1.102256786111866e-5
2,5,1.102256764706766e-5
2,6,1.102256767548937e-5
2,7,1.1022506789970521e-5
2,8,1.1022567742102751e-5
2,9,1.1022567532492644e-5
3,10,1.1022567769636282e-5
3,11,1.102256417961911e-5
3,12,7.348378455063198e-6
3,13,1.1022569545104943e-5
3,14,1.1022567864671373e-5
3,15,7.3483785554273595e-6
3,16,1.1022567661278515e-5
3,17,1.1022567053764476e-5
3,18,7.348378452398663e-6
3,19,1.1022566235752151e-5
3,1,7.348377169869025e-6
3,20,1.10225680858278e-5
3,21,1.1022567820262452e-5
3,22,1.1022565930218775e-5
3,23,1.1022567674601191e-5
3,24,1.1022567681706619e-5
3,25,1.1022567711904685e-5
3,26,1.1022567218077484e-5
3,27,1.1022567638185876e-5
3,28,1.1022567734997324e-5
3,29,1.102256768081844e-5
3,2,1.1022567752760892e-5
3,30,1.1022585037601118e-5
3,3,1.1022567456997479e-5
3,4,1.1022569616159217e-5
3,5,1.1022567766083569e-5
3,6,1.1022568240370845e-5
3,7,7.348381273253324e-6
3,8,1.102256734952789e-5
3,9,1.1022567799834349e-5
4,10,1.102256760798781e-5
4,11,7.348378620264384e-6
4,12,1.1022568148000289e-5
4,13,1.102256766927212e-5
4,14,1.1022567659502158e-5
4,15,1.1022567244722836e-5
4,16,1.1022567681706619e-5
4,17,1.1022567952601037e-5
4,18,1.102256774832e-5
4,19,1.1022565237439608e-5
4,1,1.1022566598128947e-5
4,20,1.1022567880658585e-5
4,21,1.1022553019657266e-5
4,22,7.348378547433754e-6
4,23,7.348378469274053e-6
4,24,1.1022567845131448e-5
4,25,7.348378469274053e-6
4,26,1.1022567502294578e-5
4,27,1.102256768703569e-5
4,28,1.1022567723451004e-5
4,29,1.1022567873553157e-5
4,2,1.1022567059093547e-5
4,30,1.1022568124019472e-5
4,3,1.1022567752760892e-5
4,4,1.1022567711904685e-5
4,5,7.348378535887434e-6
4,6,7.348379942762051e-6
4,7,1.1022568076057837e-5
4,8,1.1022567385055027e-5
4,9,1.1022567546703499e-5
5,10,7.3483784666095175e-6
5,11,7.348378423976953e-6
5,12,1.1022566451579507e-5
5,13,1.1022567666607586e-5
