Time,Scenario,Residual
1,10,2.5177168168077912e-5
1,11,2.5177169099777075e-5
1,12,2.517716832617367e-5
1,13,2.517716993377661e-5
1,14,2.517716839989248e-5
1,15,2.5177168189394195e-5
1,16,2.517716861838437e-5
1,17,2.5177170145163075e-5
1,18,2.5177169477252903e-5
1,19,2.517716999683728e-5
1,1,2.51771691646141e-5
1,20,2.5177078063265412e-5
1,21,1.678477925626254e-5
1,22,2.5177169897361296e-5
1,23,2.5177167525036737e-5
1,24,2.5177168429202368e-5
1,25,2.517716805616743e-5
1,26,2.5177169183265846e-5
1,27,2.517716872674214e-5
1,28,2.5177168036627506e-5
1,29,2.5177168594403554e-5
1,2,2.5177167962908698e-5
1,30,2.5177168649470616e-5
1,3,2.5177170645207525e-5
1,4,1.678477983446669e-5
1,5,2.517716146943627e-5
1,6,2.517717145256171e-5
1,7,2.5177169256096477e-5
1,8,2.5177168690326823e-5
1,9,1.6784779067080535e-5
2,10,2.5177174515889078e-5
2,11,2.5177168756052026e-5
2,12,2.517716876049292e-5
2,13,2.517716860150898e-5
2,14,2.5177169935552968e-5
2,15,2.5177169060697224e-5
2,16,2.517716931116354e-5
2,17,2.5176740932053576e-5
2,18,2.5177168938128602e-5
2,19,1.6784779290901497e-5
2,1,2.5177169015400125e-5
2,20,2.5177178692104007e-5
2,21,2.517716956340621e-5
2,22,2.517715624250627e-5
2,23,2.517716928718272e-5
2,24,2.517716894434585e-5
2,25,1.678477969946357e-5
2,26,1.6784779183431908e-5
2,27,2.517716878713827e-5
2,28,2.5177169385770526e-5
2,29,2.5177168784473736e-5
2,2,2.517717002969988e-5
2,30,2.5177169185042203e-5
2,3,2.5177170101642332e-5
2,4,2.517716871519582e-5
2,5,2.517716647787438e-5
2,6,2.517716878269738e-5
2,7,2.517708647875594e-5
2,8,2.5177168915924142e-5
2,9,2.517716993999386e-5
3,10,2.517716918681856e-5
3,11,2.517717020467103e-5
3,12,1.6784779175438302e-5
3,13,2.5177169573176172e-5
3,14,2.5177169204582128e-5
3,15,1.6784779050205145e-5
3,16,2.517716869210318e-5
3,17,2.517718223060683e-5
3,18,1.678477941879919e-5
3,19,2.5177167453982463e-5
3,1,1.6784780326517534e-5
3,20,2.517712187977139e-5
3,21,2.5177170155821216e-5
3,22,2.5177161021794348e-5
3,23,2.5177168931023175e-5
3,24,2.5177168606838052e-5
3,25,2.517717283367915e-5
3,26,2.517717201389047e-5
3,27,2.517716910332979e-5
3,28,2.517716866456965e-5
3,29,2.5177168645917902e-5
3,2,2.5177168723189425e-5
3,30,2.517715619276828e-5
3,3,2.5177173135659814e-5
3,4,2.5177169609591488e-5
3,5,2.517716227323774e-5
3,6,2.5177169375112385e-5
3,7,1.67847804020127e-5
3,8,2.5177173292867394e-5
3,9,2.5177169789891707e-5
4,10,2.517717058658775e-5
4,11,1.678477940636469e-5
4,12,2.517716917616042e-5
4,13,2.5177168773815595e-5
4,14,2.517717004746345e-5
4,15,2.5177171362855688e-5
4,16,2.5177169662882193e-5
4,17,2.5177194525660695e-5
4,18,2.5177174474144692e-5
4,19,2.5177168831547192e-5
4,1,2.5177170634549384e-5
