Time,Scenario,Residual
1,10,2.913714337982043e-5
1,11,2.9137143377155894e-5
1,12,2.913714218166774e-5
1,13,2.9137145429736222e-5
1,14,2.913714345265106e-5
1,15,2.9137141437374225e-5
1,16,2.9137142127488858e-5
1,17,2.91371470604318e-5
1,18,2.9137149040181498e-5
1,19,2.9137149609503865e-5
1,1,2.913714334074058e-5
1,20,2.9137140219681612e-5
1,21,1.9424761816821956e-5
1,22,2.9137144742286125e-5
1,23,2.9137141927648713e-5
1,24,2.9137142298019114e-5
1,25,2.9137142228741197e-5
1,26,2.9137144034407925e-5
1,27,2.9137142730562005e-5
1,28,2.9137141523527532e-5
1,29,2.9137142488977474e-5
1,2,2.9137142517399184e-5
1,30,2.913714250230015e-5
1,3,2.9137145748592275e-5
1,4,1.9424763159747727e-5
1,5,2.9137174024640444e-5
1,6,2.9137150340474705e-5
1,7,2.9137143522817155e-5
1,8,2.91371425866771e-5
1,9,1.942476046057351e-5
2,10,2.9137144597513043e-5
2,11,2.9137142517399184e-5
2,12,2.9137142734114718e-5
2,13,2.9137142594670706e-5
2,14,2.913714414365387e-5
2,15,2.9137141832613622e-5
2,16,2.9137146114521784e-5
2,17,2.9137146788649204e-5
2,18,2.913714287444691e-5
2,19,1.9424761346087394e-5
2,1,2.9137143034319024e-5
2,20,2.9137203631179887e-5
2,21,2.913713803920359e-5
2,22,2.9137142984581033e-5
2,23,2.913714445273996e-5
2,24,2.913714297569925e-5
2,25,1.942476336580512e-5
2,26,1.942476175820218e-5
2,27,2.913714263819145e-5
2,28,2.913714309205062e-5
2,29,2.9137142713686615e-5
2,2,2.9137145253876895e-5
2,30,2.9137143285673517e-5
2,3,2.913713455043876e-5
2,4,2.9137142651514125e-5
2,5,2.9137138150225894e-5
2,6,2.913714084940011e-5
2,7,2.9137141263291255e-5
2,8,2.9137142914414937e-5
2,9,2.9137151338787248e-5
3,10,2.9137144012203464e-5
3,11,2.9137146112745427e-5
3,12,1.942476174665586e-5
3,13,2.913714428931513e-5
3,14,2.9137142848689734e-5
3,15,1.9424762748521118e-5
3,16,2.9137142551149964e-5
3,17,2.913713338070778e-5
3,18,1.9424764644782044e-5
3,19,2.9137140651336324e-5
3,1,1.9424764263753502e-5
3,20,2.9137141162038915e-5
3,21,2.9137146659863333e-5
3,22,2.913714368268927e-5
3,23,2.913714234509257e-5
3,24,2.9137142512958292e-5
3,25,2.9137143327417903e-5
3,26,2.9137153386038506e-5
3,27,2.9137141972057634e-5
3,28,2.913714298102832e-5
3,29,2.913714253693911e-5
3,2,2.9137139408774715e-5
3,30,2.9137144662350067e-5
3,3,2.913713789354233e-5
3,4,2.9137144432311857e-5
3,5,2.9137135249435175e-5
3,6,2.9137142560031748e-5
3,7,1.9424764292175212e-5
3,8,2.913716241526032e-5
3,9,2.913714390295752e-5
4,10,2.9137148610303143e-5
4,11,1.942476219696232e-5
4,12,2.9137143376267716e-5
4,13,2.9137143144453148e-5
4,14,2.9137147312674472e-5
4,15,2.9137129372358572e-5
4,16,2.9137142039559194e-5
4,17,2.9137138660928485e-5
4,18,2.9137138148449537e-5
4,19,2.9137141876134365e-5
4,1,2.913714770791387e-5
4,20,2.9137139693879988e-5
4,21,2.9137138577439714e-5
4,22,1.94247622307131e-5
4,23,1.9424761704023297e-5
4,24,2.9137143110702368e-5
4,25,1.9424760587583023e-5
4,26,2.9137152122160614e-5
4,27,2.9137142814050776e-5
4,28,2.9137139605950324e-5
