Time,Scenario,Residual
1,10,2.21981425831963e-5
1,11,2.2198146615082237e-5
1,12,2.2198144694840494e-5
1,13,2.2198150416929963e-5
1,14,2.219814682069554e-5
1,15,2.2198142607177118e-5
1,16,2.2198144256968533e-5
1,17,2.2198145631424637e-5
1,18,2.2198149986607518e-5
1,19,2.2198161398812033e-5
1,1,2.2198146775398442e-5
1,20,2.2198142934914955e-5
1,21,1.4798761972745211e-5
1,22,2.2198148537988516e-5
1,23,2.2198143818208393e-5
1,24,2.219814485959759e-5
1,25,2.219813722259545e-5
1,26,2.219814805748399e-5
1,27,2.2198145690488502e-5
1,28,2.2198154792540947e-5
1,29,2.219814534409892e-5
1,2,2.219814766535322e-5
1,30,2.2198145414265014e-5
1,3,2.2198144054907942e-5
1,4,1.4798766106327577e-5
1,5,2.2198173082799144e-5
1,6,2.219815494930444e-5
1,7,2.2198146996998958e-5
1,8,2.219814560167066e-5
1,9,1.479876444632211e-5
2,10,2.2198158485142727e-5
2,11,2.2198145131380187e-5
2,12,2.2198145943619352e-5
2,13,2.2198145577689843e-5
2,14,2.2198151246488607e-5
2,15,2.219814982318269e-5
2,16,2.2198152901165003e-5
2,17,2.2198151158114854e-5
2,18,2.2198143225793388e-5
2,19,1.4798763691370453e-5
2,1,2.2198146300667077e-5
2,20,2.21981918562264e-5
2,21,2.2198148880381297e-5
2,22,2.219814610793236e-5
2,23,2.2198149544738754e-5
2,24,2.219814617543392e-5
2,25,1.4798765144874437e-5
2,26,1.47987636029967e-5
2,27,2.2198145698482108e-5
2,28,2.2198153466046477e-5
2,29,2.219814583170887e-5
2,2,2.2198150971597386e-5
2,30,2.2198146762519855e-5
2,3,2.219811992887344e-5
2,4,2.219814514115015e-5
2,5,2.2198122032968115e-5
2,6,2.219815098669642e-5
2,7,2.2198144229435002e-5
2,8,2.2198146071517044e-5
2,9,2.219814938486664e-5
3,10,2.2198144683738263e-5
3,11,2.2198151948593647e-5
3,12,1.4798763855239372e-5
3,13,2.219814814807819e-5
3,14,2.219814602977266e-5
3,15,1.4798765315404694e-5
