Time,Scenario,Residual
1,10,2.466829176928087e-5
1,12,1.850122531177334e-5
1,14,2.466828999914128e-5
1,17,2.466829356873035e-5
1,18,2.4668299414720707e-5
1,21,2.4668194870791638e-5
1,22,2.4668253543858043e-5
1,23,2.4668433358243647e-5
1,24,2.4668297561092345e-5
1,27,2.46683036460027e-5
1,29,2.4668297387897553e-5
1,2,2.4668301097818812e-5
1,6,2.4668287210261042e-5
1,7,2.4668299857921738e-5
1,8,1.850122517677022e-5
2,10,2.4668298872043692e-5
2,12,2.4668300373065222e-5
2,14,2.4668224279267292e-5
2,17,2.4668319268172922e-5
2,18,2.4668301390029512e-5
2,21,2.4668259937854486e-5
2,22,2.466841920956142e-5
2,23,2.466832631675686e-5
2,24,2.4668258697957413e-5
2,27,2.4668300776298224e-5
2,29,2.466830026115474e-5
2,2,1.8501225365952223e-5
2,6,2.4668293538532282e-5
2,7,2.466830015457333e-5
2,8,2.4668298791219456e-5
3,10,2.4668299357877288e-5
3,12,2.4668301922936564e-5
3,14,2.4668291228380212e-5
3,17,1.850122001201271e-5
3,18,2.466830090153138e-5
3,21,2.4668136205718838e-5
3,22,1.8501253156166797e-5
3,23,2.4668679356132373e-5
3,24,2.4668412888395608e-5
3,27,2.4668301485064603e-5
3,29,2.46683018474414e-5
3,2,2.46683005880044e-5
3,6,2.4668301288777172e-5
3,7,2.4668300130592513e-5
3,8,2.4668299276164873e-5
4,10,2.4668300578234437e-5
4,12,2.4668299740682187e-5
4,14,2.4668329831278868e-5
4,17,2.466829583269714e-5
4,18,2.4668299506203084e-5
4,21,2.46683322293606e-5
4,22,2.466820583002516e-5
4,23,2.4668321518817038e-5
4,24,2.4668286949136586e-5
4,27,1.8501223014055768e-5
4,29,2.466829715341845e-5
4,2,2.4668301473518284e-5
4,6,2.466828522784681e-5
4,7,2.4668298236996122e-5
4,8,2.4668299490215873e-5
5,10,2.4668294536844826e-5
5,12,1.8501224508860048e-5
5,14,2.466821673774433e-5
5,17,2.4668316553899672e-5
5,18,2.4668298782337672e-5
5,21,2.4668222732060485e-5
5,22,2.466836247272397e-5
5,23,2.4668363044710873e-5
5,24,1.8501227624589944e-5
5,27,2.4668307835540304e-5
5,29,2.4668300124375264e-5
5,2,2.4668298398644595e-5
5,6,1.850123052626884e-5
5,7,2.46682984972324e-5
5,8,1.8501225185652004e-5
6,10,1.8501227889267113e-5
6,12,2.4668300129704335e-5
6,14,1.85012213664848e-5
6,17,2.4668299714925013e-5
6,18,2.4668297635699332e-5
6,21,1.850121377344749e-5
6,22,2.466830471803405e-5
6,23,2.4668345317557794e-5
6,24,2.4668319024812035e-5
6,27,1.850122658719755e-5
6,29,1.850122506485974e-5
6,2,2.4668305542263624e-5
6,6,2.4668299639429847e-5
6,7,2.466829907632473e-5
6,8,2.4668299760222112e-5
7,10,2.4668315873555002e-5
7,12,1.8501224443134845e-5
7,14,2.4668179706921478e-5
7,17,2.466829090952416e-5
7,18,2.4668301040975393e-5
7,21,2.4668371405134337e-5
7,22,2.4668280347306393e-5
7,23,2.466830938274711e-5
7,24,1.8501229384959572e-5
7,27,2.466830124525643e-5
7,29,2.46683002504966e-5
7,2,1.850122531621423e-5
7,6,1.8501229329004332e-5
7,7,2.46682999129888e-5
7,8,1.850122483926242e-5
8,10,1.8501229208212067e-5
8,12,2.46683012505855e-5
8,14,1.850118853230498e-5
8,17,2.466830320635438e-5
8,18,2.4668308334696576e-5
8,21,2.466820274360515e-5
8,22,2.4668279031025975e-5
8,23,1.85012264122264e-5
8,24,2.4668310739883736e-5
8,27,1.850122612623295e-5
8,29,2.4668299309027475e-5
8,2,2.4668302180508306e-5
8,6,2.4668288540752314e-5
8,7,2.466829758684952e-5
8,8,2.4668296921603883e-5
9,10,2.4668294685170622e-5
9,12,1.8501224082534407e-5
9,14,2.4668358534540857e-5
9,17,2.466829973268858e-5
9,18,2.4668303536756753e-5
9,21,2.466832606540237e-5
9,22,2.4668190754084662e-5
9,23,2.466826209435169e-5
9,24,1.8501227990519453e-5
9,27,2.466829894665068e-5
9,29,2.4668299555941076e-5
9,2,1.850122437296875e-5
9,6,2.4668269794858588e-5
9,7,2.4668300678598598e-5
9,8,1.850122438362689e-5
10,10,1.8501225657274745e-5
10,12,2.4668296802587975e-5
10,14,1.850123564750561e-5
10,17,2.4668276939365796e-5
10,18,2.466830052672009e-5
10,21,2.466831541880765e-5
